ID,英文名稱,中文名稱,圖片,更新日期
229393,Process,过程,,2012-11-26
229394,Problem-centered learning,问题中心学习法,,2012-11-26
229395,Problem solving,解决问题,,2012-11-26
229396,Problem shooting,"解决问题,排难解纷",,2012-11-26
229397,Problem shooter,"解决问题者,排难解纷者",,2012-11-26
229398,Problem analysis,问题分析,,2012-11-26
229399,Prize and award,奖励；奖品,,2012-11-26
229400,Primary group,初级团体,,2012-11-26
229401,Pre-service training,职前训练,,2012-11-26
229402,Potential leader,潜在领导者,,2012-11-26
229403,Policy making,决策,,2012-11-26
229404,Poster,"张贴,招贴,海报",,2012-11-26
229405,Planning meeting,设计会议,,2012-11-26
229406,Plan of work,"工作方案,实施办法",,2012-11-26
229407,Pilot project,示范计划;前锋计划,,2012-11-26
229408,Personnel management,人事管理,,2012-11-26
229409,Personal information source,个人资料来源,,2012-11-26
229410,Personal contact,个别接触,,2012-11-26
229411,Personal communication,"人际沟通,人际交通",,2012-11-26
229412,Personal approach,个人指导法,,2012-11-26
229413,Permissive atmosphere,自由气氛,,2012-11-26
229414,Peasant movement,农民运动,,2012-11-26
229415,Passive rejector,被动拒用者,,2012-11-26
229416,Passive leader,被动领导者,,2012-11-26
229417,Passive adopter,被动采用者,,2012-11-26
229418,Participation,"参与,参加",,2012-11-26
229419,Pannel discussion method,陪席讨论法,,2012-11-26
229420,Overt behavior,外表行为,,2012-11-26
229421,Overadoption,过度采用,,2012-11-26
229422,Out-of-school education,校外教育,,2012-11-26
229423,Orientor,引导者,,2012-11-26
229424,Orientation,"指引,指南",,2012-11-26
229425,Organization,组织,,2012-11-26
229426,Opinion leader,舆论领导者,,2012-11-26
229427,Opinion giver,意见提供者,,2012-11-26
229428,On-the-job training,"在职训练,现场训练",,2012-11-26
229429,One-way communication,单程通讯,,2012-11-26
229430,Oligarchy,少数垄断,,2012-11-26
229431,Office management,事务管理,,2012-11-26
229432,Office call,办公室访问,,2012-11-26
229433,Observation tour,观摩会,,2012-11-26
229434,Observation method,观察法,,2012-11-26
229435,Objectives,目标,,2012-11-26
229436,Object,实物,,2012-11-26
229437,Norminal leader,名义领导者,,2012-11-26
229438,Norm,规范，常模,,2012-11-26
229439,Nonrecommended innovation,非倡用创新,,2012-11-26
229440,Newswriting,新闻撰写,,2012-11-26
229441,Newsstories,新闻报导,,2012-11-26
229442,Newsreels,新闻汇辑,,2012-11-26
229443,Newsletter,新闻函件,,2012-11-26
229444,Neighborhood,邻居,,2012-11-26
229445,Natural resources,天然资源,,2012-11-26
229446,Needs,需要,,2012-11-26
229447,Motives,动机,,2012-11-26
229448,Motivation,动机，激励,,2012-11-26
229449,Modernized agriculture,现代化农业,,2012-11-26
229450,Morrill Act,莫里耳法案(美国农业试验法案),,2012-11-26
229451,Modern norm,现代规范,,2012-11-26
229452,Moderator,仪事主席;仲裁者,,2012-11-26
229453,Model farm,示范农家,,2012-11-26
229454,Model,模型,,2012-11-26
229455,Mobile unit,巡廻车,,2012-11-26
229456,Method demonstration meeting,方法示范集会,,2012-11-26
