ID,英文名稱,中文名稱,圖片,更新日期
762979,moldboard plow ,板犁,,2012-11-26
762980,listing plow,培土犁；作畦犁,,2012-11-26
762981,layer mixing plow ,混层犁,,2012-11-26
762982,Japanese ordinary plow,日式单用犁,,2012-11-26
762983,horse plow ,畜力犁,,2012-11-26
762984,hillside plow ,坡地犁,,2012-11-26
762985,high speed bottom plow,高速板犁,,2012-11-26
762986,heavy duty plow ,深耕犁,,2012-11-26
762987,harrow plow ,耙犁,,2012-11-26
762988,gang plow ,群犁,,2012-11-26
762989,gang disk plow ,圆盘群犁；碟群犁,,2012-11-26
762990,double plow ,二段犁,,2012-11-26
762991,disk plow ,圆盘犁；碟犁,,2012-11-26
762992,deep plow ,深耕犁,,2012-11-26
762994,chisel plow ,凿犁,,2012-11-26
762995,cable plow ,钢缆犁,,2012-11-26
762996,breaking plow ,新垦犁,,2012-11-26
762997,breaker bottom plow ,新垦板犁,,2012-11-26
762998,bottom plow ,板犁,,2012-11-26
762999,animal plow ,畜力犁,,2012-11-26
763000,alternative plow ,双向犁,,2012-11-26
763001,plow,犁,,2012-11-26
763002,plough,犁,,2012-11-26
763003,plenum chamber,调压室；充气室,,2012-11-26
763004,plate-type,盘式,,2012-11-26
763005,plastic house,塑胶温室,,2012-11-26
763006,planting trowel,移植镘,,2012-11-26
763007,planting rate,种植速率,,2012-11-26
763008,planting mechanism,挿植机构；种植机构,,2012-11-26
763009,planting implement,种植机具,,2012-11-26
763010,planting fork,挿植叉,,2012-11-26
763011,planting finger orbit,挿植爪轨迹,,2012-11-26
763012,planting finger,挿植爪,,2012-11-26
763013,planting depth,挿植深度,,2012-11-26
763014,planting arm,挿植臂,,2012-11-26
763015,tobacco planter ,烟草种植机,,2012-11-26
763016,semi-automatic potato planter,半自动马铃薯种植机,,2012-11-26
763017,row planter ,条播机,,2012-11-26
763018,potato planter ,马铃薯种植机,,2012-11-26
763019,pot planter,钵苗移植机,,2012-11-26
763020,plate-type planter ,盘式种植机,,2012-11-26
763021,paddy planter ,水稻直播机,,2012-11-26
763022,hill drop planter ,点播机,,2012-11-26
763023,cotton planter ,棉花播种机,,2012-11-26
763024,corn planter,玉米播种机,,2012-11-26
763025,check row planter ,正条种植机,,2012-11-26
763026,bean planter ,豆类播种机,,2012-11-26
763027,planter,种植机；播种机,,2012-11-26
763028,plant population,种植密度,,2012-11-26
763029,plank harrow,板耙,,2012-11-26
763030,planetary gear transmission,行星齿轮传动装置,,2012-11-26
763031,planetary gear,行星齿轮,,2012-11-26
763032,plane sifter,平面筛,,2012-11-26
763033,plain roller,滑面滚子；普通滚子；光面滚子,,2012-11-26
763034,pitman,摇臂,,2012-11-26
