ID,英文名稱,中文名稱,圖片,更新日期
3134091,1∶1 type clay mineral,1:1型黏土矿物,,2017-07-20
3134092,2∶1 type clay mineral,2:1型黏土矿物,,2017-07-20
3134093,a horizon,A层；表土层,,2017-07-20
3134094,a4/a6 ratio of humic acid,腐植酸a4/a6比值,,2017-07-20
3134095,abandoned field,废耕地,,2017-07-20
3134096,abnormal erosion,异常侵蚀,,2017-07-20
3134097,abnormal soil profile,异常土壤剖面,,2017-07-20
3134098,abrupt textural change,质地骤变,,2017-07-20
3134099,absolute age of soil,土壤绝对年龄,,2017-07-20
3134100,absolute water content,绝对含水量,,2017-07-20
3134101,absorbing bond,吸著键,,2017-07-20
3134102,absorption,吸收[作用],,2017-07-20
3134103,absorption-type terrace,蓄水阶段,,2017-07-20
3134104,accelerated erosion,加速侵蚀,,2017-07-20
3134105,accumulation,积聚作用,,2017-07-20
3134106,acetylene reduction assay,乙炔还原测定,,2017-07-20
3134107,acid humification,酸性腐植化作用,,2017-07-20
3134108,acid humus,酸性腐植质,,2017-07-20
3134109,acid indicator plant,酸性指标植物,,2017-07-20
3134110,acid rain,酸雨,,2017-07-20
3134111,acid soil,酸性土壤,,2017-07-20
3134112,acid soluble nutrient,酸可溶养分,,2017-07-20
3134113,acid sulphate soil,酸性硫酸盐土,,2017-07-20
3134114,acid-hydrolyzable nitrogen,酸水解氮,,2017-07-20
3134115,acidic fertilizer,酸性肥料,,2017-07-20
3134116,acidification,酸化作用,,2017-07-20
3134117,acidity,酸度,,2017-07-20
3134118,acidity equivalent,酸度当量,,2017-07-20
3134119,acrisol,低活性强酸土,,2017-07-20
3134120,act of soil and water conservation,水土保持法,,2017-07-20
3134121,actinomycetes,放射线菌,,2017-07-20
3134122,activated sludge,活性污泥,,2017-07-20
3134123,activated sludge treatment,活性污泥处理法,,2017-07-20
3134124,activation of soil enzyme,土壤酵素活化,,2017-07-20
3134125,active acidity,活性酸度,,2017-07-20
3134126,active humus,活性腐植质,,2017-07-20
3134127,active nutrient uptake,养分主动吸收,,2017-07-20
3134128,active nutrient,活性养分,,2017-07-20
3134129,active water uptake,水分主动吸收,,2017-07-20
3134130,activity of clay,黏粒活性,,2017-07-20
3134131,actual evapotranspiration,实际蒸发散[作用],,2017-07-20
3134132,adhesion,黏著力,,2017-07-20
3134133,adsorbed ion,吸附态离子,,2017-07-20
3134134,adsorption,吸附[作用],,2017-07-20
3134135,adsorptive capacity,吸附容量,,2017-07-20
3134136,aeolian deposit,风积物,,2017-07-20
3134137,aeolian sandy soil,风积砂土,,2017-07-20
3134138,aeolian soil,风积土,,2017-07-20
3134139,aerobic bacteria,好氧性细菌,,2017-07-20
3134140,aerobic decomposition,好氧分解,,2017-07-20
3134141,aerobic enzyme,好氧酵素,,2017-07-20
3134142,aerobic exoenzyme,好氧胞外酵素,,2017-07-20
3134143,aged soil,老年土,,2017-07-20
3134144,aggregate,团粒,,2017-07-20
3134145,aggregate analysis,团粒分析,,2017-07-20
3134146,aggregate disintegration,团粒崩解,,2017-07-20
3134147,aggregate slaking,团粒消散,,2017-07-20
3134148,aggregation,团粒作用,,2017-07-20
