ID,英文名稱,中文名稱,圖片,更新日期
2557,Rim,辋,,2012-11-26
2963,Protect-range,保护区,,2012-11-26
2965,Protective measure,保护法,,2012-11-26
2967,Protective dune,防砂丘,,2012-11-26
3045,Pressure-reducing valve,减压瓣,,2012-11-26
3051,Preservation of fertility,地力保持,,2012-11-26
3064,Preliminary steaming treatment,初步蒸汽处理,,2012-11-26
3090,Powdery mildew,白粉病,,2012-11-26
3126,Pollard,截头木,,2012-11-26
3278,Pinnate leaf,羽状叶,,2012-11-26
3304,Pile of wood,积材,,2012-11-26
3307,Pilaster,柱材,,2012-11-26
3326,Physiological moisture,生理的水分,,2012-11-26
3369,Petal,花瓣,,2012-11-26
3370,Peruvian bark tree(Cinchona succirubra，Pav.),鸡纳树,,2012-11-26
3471,Passing-place,转辙,,2012-11-26
3478,Partial mast,歉年,,2012-11-26
3499,Parasitic insect,寄生性昆虫,,2012-11-26
3534,Palm kernel oil,椰子仁油,,2012-11-26
3572,Overhead-light,上光线,,2012-11-26
3577,Overflow spring,溢泉,,2012-11-26
3593,Out-of-city park,市郊公园,,2012-11-26
3599,Outer pit aperture,纹孔外隙,,2012-11-26
3757,Notice of delivery,交货通知书,,2012-11-26
3798,Non-forest land,非林地,,2012-11-26
3825,Net-planting,网状植树,,2012-11-26
3836,Needle-leaved tree,针叶树,,2012-11-26
3945,Monocotyle,单子叶的,,2012-11-26
4019,Mineral matter,矿物质,,2012-11-26
4021,Mimosa bark,相思树类(Acacia)树皮,,2012-11-26
4023,Mill run,初步锯材,,2012-11-26
4092,Memoranda book,备忘录,,2012-11-26
4161,Marly soil,泥灰土,,2012-11-26
4178,Maple-sugar,槭糖,,2012-11-26
4183,Many storied high forest system,多层乔林作业,,2012-11-26
4204,Management-strip,区划主线,,2012-11-26
4223,Main road,主道，干线,,2012-11-26
4236,Magazine grinder,自动磨木机,,2012-11-26
4409,Line shaft,线轴,,2012-11-26
4737,Intolerant,阳性的,,2012-11-26
4755,Intermediate yield,间收获,,2012-11-26
