ID,英文名稱,中文名稱,圖片,更新日期
48396,powdered moulding,粉末模铸；打锭,,2012-11-26
48613,polarograph,极谱仪,,2012-11-26
48911,photometric analysis,光度分析,,2012-11-26
48926,photodetector,光侦检计,,2012-11-26
48933,phosphorus cycle,磷素循环,,2012-11-26
49017,phage-resistant culture,抗噬菌体菌种,,2012-11-26
49205,peeling machine,除肠衣机；去皮机,,2012-11-26
49208,pedometer,计步器；步数器,,2012-11-26
49393,para-aminobenzoic acid {=PABA},对胺安息香酸；对胺苯甲酸,,2020-05-12
49584,ovoglobulin,卵球蛋白,,2012-11-26
49588,Ovis orientalis; mouflon,摩弗仑（野 ）绵羊,,2012-11-26
49770,organic phosphatic insecticide {=OPI},有机磷杀虫剂,,2020-05-07
49774,organic farming,有机农耕,,2012-11-26
49822,opisthencephalon,小脑；后脑,,2012-11-26
49825,ophthalmoscope,检眼镜,,2012-11-26
49829,ophthalmia,眼炎；结（合 ）膜炎,,2012-11-26
49830,ophthalamin,眼胺（维生素A ）；化脓性眼炎病毒,,2012-11-26
49896,olfactory bulb,嗅球,,2012-11-26
49907,olefinic bonds,烯烃键,,2012-11-26
49985,occluding thrombus,闭塞性血栓,,2012-11-26
50002,obligate psychrophile,绝对嗜冷菌,,2012-11-26
50016,oat groats,脱壳燕麦,,2012-11-26
50044,nursery farm,哺育牧场,,2012-11-26
50259,neuron,神经元；神经细胞,,2012-11-26
50377,nausea,恶心；干呕,,2012-11-26
50709,mottled butter,不匀色乳酪,,2012-11-26
50734,morpha,形态,,2012-11-26
50767,monofactorial inheritance,单因子遗传；一对基因遗传,,2012-11-26
50829,mohair,安哥拉山羊毛；马海,,2012-11-26
51196,mesothelium,中皮层,,2012-11-26
51419,meal,粉料,,2012-11-26
51593,malaria， bird,鸟型疟疾,,2012-11-26
51788,logarithmic death phase,对数死灭期,,2012-11-26
51919,lipoma,脂瘤,,2012-11-26
52063,leucocytosis,多白血球症,,2020-05-07
52092,lectin,凝集素,,2012-11-26
52158,latex,乳汁；胶乳〔植物〕,,2012-11-26
52323,kymograph,描波器,,2012-11-26
52563,iso(o)smotic solution; isotonic solution,等渗（压）溶液,,2012-11-26
52622,ionizability,可游离性,,2012-11-26
52863,insulator,绝缘体,,2012-11-26
52869,insufficiency， uterine,子宫功能不全,,2012-11-26
53019,infectious vulvovaginitis， pustular,传染性脓疱性阴唇阴道炎,,2012-11-26
53031,infectious hepatitis,传染性肝炎,,2012-11-26
53052,infection， droplet,飞沫感染,,2012-11-26
53188,imprinting,铭行〔行为学〕,,2012-11-26
53230,immunity， local,局部免疫,,2012-11-26
53276,imbalance,不平衡；不均衡,,2020-04-24
53455,hypercytosis,多白血球症,,2020-05-07
53476,hypephosphaturia,高磷酸盐尿症,,2012-11-26
53477,hypemia ; hyphemia,贫血,,2012-11-26
53602,hydrochloride rubber,氯化氢橡胶,,2012-11-26
53766,Hordeum vulgare ; barley,大麦 ,,2012-11-26
53783,homopolar bond,同极键；等极键,,2012-11-26
53786,homologation,同系化；同类化,,2012-11-26
53831,hog splitter,猪屠体锯半机,,2012-11-26
53838,hog holding device,猪保定具,,2012-11-26
53994,heredity factor,遗传因子,,2012-11-26
54142,hemoconcentration,血液浓缩,,2012-11-26
54143,hemoclasis,血红球崩解；溶血,,2012-11-26
54158,hemicellulose,半纤维素,,2012-11-26
54193,hematocrit,血球比容；血容比,,2012-11-26
54210,helminthiasis,蠕虫病,,2012-11-26
54357,h(a)emoptysis,咯血,,2012-11-26
54377,gynandry,雌性雄化,,2012-11-26
54425,guanine nucleotide,鸟嘌呤核苷酸,,2012-11-26
54481,grey face,灰面绵羊,,2012-11-26
54865,gelling effect,胶凝作用；胶凝效应,,2012-11-26
55285,fractional coagulation,分（段）凝聚,,2012-11-26
55296,fowl spirochetosis,鸡螺旋体病,,2012-11-26
55300,fowl leucosis,鸡白血病,,2012-11-26
55357,forelimb,前肢,,2012-11-26
55851,field (testing)system,田间测试系统,,2012-11-26
55964,ferrate,铁酸盐,,2012-11-26
56193,fancy meat,杂碎,,2012-11-26
56210,falciform ligament,镰状轫带,,2012-11-26
56274,eye ball,眼球,,2012-11-26
56275,eye,眼；孔,,2012-11-26
56276,exuviation,牙齿脱落；蜕壳；蜕皮,,2012-11-26
56277,exudative epidermitis,渗出性表皮炎,,2012-11-26
56278,exudative diathesis,渗出性素质,,2012-11-26
56279,exudative dermatitis,渗出性皮炎,,2012-11-26
56280,exudation,渗出（作用）,,2012-11-26
56281,exudate,渗出物；渗出液,,2020-04-27
56282,extubate,拔管,,2012-11-26
56283,extrusion plastometer,挤压塑性计,,2012-11-26
56284,extrusion mo(u)lding,挤压成形（法）,,2012-11-26
56285,extrusion laminating,挤压积层（法）,,2012-11-26
56286,extrusion food,挤压食品,,2012-11-26
56287,extrusion flow mo(u)lding,挤压中空成形（法）,,2012-11-26
56288,extrusion cooking,挤压蒸煮,,2012-11-26
56289,extrusion coating,挤压涂布,,2012-11-26
56290,extrusion,挤出；突出；排出,,2012-11-26
56291,extruding machine,挤压机；挤制机,,2012-11-26
56292,extruding granulation,挤压造粒,,2012-11-26
56293,extruder,挤压机；挤型机,,2012-11-26
56294,extrinsic factor,外来因素,,2012-11-26
56295,extrinsic contaminant,外来污染物,,2012-11-26
56296,extra-uterine pregnancy,子宫外孕,,2012-11-26
56297,extrasystole,额外收缩,,2012-11-26
56298,extraneous material; extraneous matter,异物,,2012-11-26
56299,extractive titration,萃取滴定（法）,,2012-11-26
56300,extractive distillation,萃取蒸馏,,2012-11-26
56301,extractive crystallization,萃取结晶（法）,,2012-11-26
56302,extractive,萃取物,,2012-11-26
56303,extraction.solvent,溶剂（萃取）法；溶剂（抽出）法,,2012-11-26
56304,extraction， mechanical,压榨（萃取）法；压榨（抽出）法,,2012-11-26
56305,extraction system,萃取系统,,2012-11-26
56306,extraction equilibrium,萃取平衡,,2012-11-26
