ID,英文名稱,中文名稱,圖片,更新日期
219315,reinvestment,重投资,,2012-11-26
219317,reinsurance,再保险,,2012-11-26
219319,reimbursement,补偿，归垫,,2012-11-26
219320,reimbursable expenditure,可收回支出，垫付款,,2012-11-26
219322,rehabilitation,修复,,2012-11-26
219324,regular price,正常价格,,2012-11-26
219325,regular client,常年委托人,,2012-11-26
219328,re-group,重归类,,2012-11-26
219330,regressive tax,累退税,,2012-11-26
219331,regression equation,回归方程式,,2012-11-26
219333,registration statement,证券上市公司报表,,2012-11-26
219335,registration (of securities),登记(证券),,2012-11-26
219337,registrar,服务登记人,,2012-11-26
219339,registered warrant,已登记支付书,,2012-11-26
219343,registered capital,登记资本额,,2012-11-26
219345,registered bond,记名债券,,2012-11-26
219347,refunding bond,掉换债券,,2012-11-26
219348,register,登记簿,,2012-11-26
219351,refund,退款,,2012-11-26
219353,refinancing expense,债务掉期费用,,2012-11-26
219355,reducing-balance method (of depreciation),余额递减折旧法,,2012-11-26
219358,reducing-balance form，report form,余额式，报告式,,2012-11-26
219361,reducing instalment method (of depreciation),分期递减折旧法,,2012-11-26
219362,redistributed cost,再分配成本,,2012-11-26
219365,rediscount,重贴现,,2012-11-26
219368,red-ink entry,赤字记录,,2012-11-26
219370,red-herring prospectus,非正式募股书，红鱼募股书,,2012-11-26
219373,redemption fund，sinking fund,赎债基金，偿债基金,,2012-11-26
219374,redemption,赎回,,2012-11-26
219377,recurring cost,续生成本,,2012-11-26
219380,recurrent profit and loss,续生损益,,2012-11-26
219381,recurrent income,续生收益,,2012-11-26
219383,recovery value,收回价值,,2012-11-26
219386,recoverable value,可收回价值,,2012-11-26
219387,recovery,收回，回收,,2012-11-26
219389,recoverable loss,可补偿损失,,2012-11-26
219391,recoverable expenditure,可收回支出,,2012-11-26
219392,recoverable cost,可收回成本,,2012-11-26
219395,recover,收回，补偿,,2012-11-26
219396,recoup,补偿,,2012-11-26
219398,recording medium,记录依据，记帐原始依据,,2012-11-26
219399,recorded value,记录价值,,2012-11-26
219401,recorded cost,已记录成本,,2012-11-26
219402,record of goods sold,销货记录,,2012-11-26
219405,record of cash receipt,现金收入记录,,2012-11-26
219407,record of cash disbursement,现金付出记录,,2012-11-26
219408,record date,列册日期,,2012-11-26
219410,reconstruction,重建,,2012-11-26
219413,reconciling inventory,调节存货,,2012-11-26
219415,reconciling bank account,调节银行存款帐户,,2012-11-26
219418,reconciliation of surplus,公积调节表,,2012-11-26
219419,reconciliation [statement],调节，调节表,,2012-11-26
219421,recognize,认定,,2012-11-26
219423,reciprocal account,相对帐户,,2012-11-26
219425,receiving voucher,收入凭单，收入传票,,2012-11-26
219427,receiving slip,收入传票,,2012-11-26
219429,receiving expense,收货费用,,2012-11-26
219433,receiving department expense,收货部费用,,2012-11-26
219435,receiving department,收货部,,2012-11-26
219438,receiver's certificate,清算人借款证,,2012-11-26
219441,receiver's cash account,清算人现金帐,,2012-11-26
219444,receiver,清算人，收受人,,2012-11-26
219445,received report，receiving report,收货报单,,2012-11-26
219447,receivable,应收款项，应收,,2012-11-26
219449,receipt voucher,收入凭单，收入传票,,2012-11-26
219453,receipt ledger,收入分类帐,,2012-11-26
219456,receipt and payment documents,收付凭证,,2012-11-26
219459,receipt and disbursement statement，receipt and payment account,现金收付表,,2012-11-26
219460,receipt,收入，收据,,2012-11-26
219461,recapitulation sheet，recapitulation statement,摘要表,,2012-11-26
219463,recapitalization,资本重整,,2012-11-26
219465,recap，recapitulation,摘总,,2012-11-26
219467,rebate,折扣，退回,,2012-11-26
219469,reappraisal surplus,重估价公积,,2012-11-26
219471,real-value item,实值项目,,2012-11-26
219473,realized surplus,已实现盈余,,2012-11-26
219475,realized revenue,已实现收，已实现所入,,2012-11-26
219480,realized profit,已实现利益,,2012-11-26
219481,realized appreciation,已实现涨价,,2012-11-26
219486,realization of profit,利益实现,,2012-11-26
219487,realization and liquidation statement,变现清算表,,2012-11-26
219491,realization and liquidation profit and loss account,变现清算损益帐户,,2012-11-26
219493,realization and liquidation account,变现清算表,,2012-11-26
219496,realization and liquidation,变现与清算,,2012-11-26
219497,realization account,变现帐户,,2012-11-26
219499,realization,实现，变现,,2012-11-26
219502,realizable value,可变现价值,,2012-11-26
219503,real wages,实质工资,,2012-11-26
219504,real property,不动产,,2012-11-26
219506,real price，real value,实质价格，实质价值,,2012-11-26
219507,real liability,实质负债,,2012-11-26
219510,real estate mortgage,不动产抵押,,2012-11-26
219512,real estate,不动产，房地产,,2012-11-26
219516,real asset,实质资产,,2012-11-26
219517,real cost,实质成本,,2012-11-26
219521,real account,实质帐户，实帐户,,2012-11-26
219522,readjusting entry,重调整分录,,2012-11-26
219525,reacquired bond,重取得债券,,2012-11-26
219526,reacquired stock,重取得股份,,2012-11-26
219530,reabsorption,再吸收，再分配,,2012-11-26
219532,reabsorbed cost,再吸收成本，再分配成本,,2012-11-26
219534,raw material ledger,原料分类帐,,2012-11-26
219535,raw material,原料,,2012-11-26
219537,ratio of trade account payable to purchase,应付款项对购货比率,,2012-11-26
219540,ratio of surplus to net worth,盈余对资本净值比率,,2012-11-26
219542,ratio of quick asset to current liability,速动资产对流动负债比率,,2012-11-26
219544,ratio of net sale to receivable,销货净额对应收款项比率,,2012-11-26
219546,ratio of net sale to proprietorship,销货净额对业主权益比率,,2012-11-26
219548,ratio of net operating profit to net sale,营业利益对销货净额比率,,2012-11-26
219550,ratio of net income to total asset,净益对资产总额比率,,2012-11-26
219552,ratio of net income to proprietorship,净益对业主权益比率,,2012-11-26
219556,ratio of net income to outstanding stock,净益对净发股本比率,,2012-11-26
219559,ratio of net income to net sale,净益对销货净额比率,,2012-11-26
219562,ratio of inventory to receivable,存货对应收款项比率,,2012-11-26
219565,ratio of inside to outside equities,资本对负债比率,,2012-11-26
219568,ratio of fixed liability to asset held for security,固定负债对担保资产比率,,2012-11-26
219572,ratio of fixed asset to total asset,固定资产对资产总额比率,,2012-11-26
219576,ratio of fixed asset to capital,固定资产对资本比率,,2012-11-26
219579,ratio of current liability to total liability,流动负债对负债总额比率,,2012-11-26
219581,ratio of current asset to total asset,流动资产对资产总额比率,,2012-11-26
219583,ratio of cash to current liability,现金对流动负债比率,,2012-11-26
219585,ratio of capital to current liability,资本对流动负债比率,,2012-11-26
219588,ratio analysis cost of sale and operating expense to net sale,销货成本与营业费用对销货净额比率,,2012-11-26
219590,ratio analysis,比率分析,,2012-11-26
219592,ratio,比率,,2012-11-26
219594,rating,分等,,2012-11-26
219595,rate-of-return pricing,报酬率定价法,,2012-11-26
219597,rate of turnover,周转率,,2012-11-26
219599,rate of return method (of capital budgeting),报酬率法(资本预算),,2012-11-26
219601,rate of margin，rate of gross profit,边际率，毛利率,,2012-11-26
219603,rate of exchange,汇兑率，兑换率,,2012-11-26
219604,rate of dividend,股利率,,2012-11-26
