ID,英文名稱,中文名稱,圖片,更新日期
248007,Quarterly Survey of Consumer Buying Intentions,消费者购买意愿季节性调查,,2012-11-26
248008,Quantity discounts,数量折扣,,2012-11-26
248010,Quantitative market analysis,市场计量分析,,2012-11-26
248012,Quality-cost ratio,品质—成本比率,,2012-11-26
248013,Quality stores,高品质商店,,2012-11-26
248015,Quality of life,生活素质,,2012-11-26
248016,Quality index,品质指数,,2012-11-26
248018,Quality image,品质形象,,2012-11-26
248019,Quality effect,品质效果,,2012-11-26
248021,Quality,品质,,2012-11-26
248022,Qualitative market analysis,属质市场分析,,2012-11-26
248023,Qualitative information,属质资讯,,2012-11-26
248024,Qualified expert rule,合格专家规则,,2012-11-26
248025,Q-analysis,Q—分析,,2012-11-26
248028,Pyramid sales schemes,金字塔型销售计划,,2012-11-26
248029,Pushing policy,推性政策,,2012-11-26
248030,Purely competitive pricing,纯竞争定价,,2012-11-26
248032,Pure monopoly,纯粹独占,,2012-11-26
248033,Pure competition,纯粹竞争,,2012-11-26
248034,Purchasing unit,购买单位,,2012-11-26
248035,Purchasing strategies,采购策略,,2012-11-26
248036,Purchasing process,购买过程,,2012-11-26
248037,Purchasing procedures,购买程式序,,2012-11-26
248039,Purchasing power,购买力,,2012-11-26
248040,Purchasing performance,采购绩效,,2012-11-26
248041,Purchasing officer,采购人员,,2012-11-26
248042,Purchasing managers,采购经理,,2012-11-26
248044,Purchasing function,采购功能,,2012-11-26
248045,Purchasing agents,采购代理商,,2012-11-26
248047,Purchasing,采购,,2012-11-26
248048,Purchase-probability surveys,购买机率调查,,2012-11-26
248049,Purchase transition matrix,购买转移矩阵,,2012-11-26
248050,purchase motivation study,购买动机研究,,2012-11-26
248051,Purchase discounts,购买折扣,,2012-11-26
248052,Purchase behavior,购买行为,,2012-11-26
248053,Public transportation,公共运输,,2012-11-26
248055,Public service,公共服务,,2012-11-26
248056,Public sector,公共部门,,2012-11-26
248057,Public environment,公共环境,,2012-11-26
248059,Psychological tests,心理测试,,2012-11-26
248060,Psychological segmentation,心理区隔,,2012-11-26
248062,Psychological law of suggestion selling,建议销售的心理法则,,2012-11-26
248063,Psychological and physical buying motives,心理及生理的购买动机,,2012-11-26
248064,Psychographic market segmentation,心理性市场区隔,,2012-11-26
248065,Protective warranty,保护性保证,,2012-11-26
248066,Protective packaging,保护性包装,,2012-11-26
248067,Propensity to spend,支出倾向,,2012-11-26
248070,Propensity to consume,消费倾向,,2012-11-26
248071,Promotional warranties,推广性保证,,2012-11-26
248072,Promotional value,推广价值,,2012-11-26
248073,Promotional package,推广性包装,,2012-11-26
248074,Promotional orientation,推广导向,,2012-11-26
248076,Promotional objectives,推广目标,,2012-11-26
248078,Promotional mix,推广组合,,2012-11-26
248079,Promotional games,推广竞赛,,2012-11-26
248080,Promotional effectiveness,推广效果,,2012-11-26
248082,Promotional discounts,推广折扣,,2012-11-26
248083,Promotional decisions,推广决策,,2012-11-26
248084,Promotional decision game,推广决策竞赛,,2012-11-26
248086,Promotional competition,推广性竞争,,2012-11-26
248087,Promotional assistance,推广协助,,2012-11-26
248088,Promotional activities,推广活动,,2012-11-26
248091,Promotion strategy,推广策略,,2012-11-26
248092,Promotion opportunity,推广机会,,2012-11-26
248093,Promotion experimentation,推广实验,,2012-11-26
248094,Promotion,推广,,2012-11-26
248095,Promoting and selling,推广与销售,,2012-11-26
248097,Project planning decisions,方案规划决策,,2012-11-26
248099,Program Evaluation and Review Technique (PERT.),计划评核术,,2012-11-26
248100,Program analyzer,程式分析员,,2012-11-26
248101,Profit-volume analysis,利量分析,,2012-11-26
248102,Profit-oriented,利润导向,,2012-11-26
248103,Profit-oriented objectives,利润导向目标,,2012-11-26
248104,Profitability estimate,获利力估计,,2012-11-26
248106,Profitability control,获利力控制,,2012-11-26
248107,Profit models,利润模式,,2012-11-26
248108,Profit maximization,利润极大化,,2012-11-26
248109,Profit margins,利润边际,,2012-11-26
248111,Profit contribution,利润贡献,,2012-11-26
248112,Profit center,利润中心,,2012-11-26
248113,Professional advertising,专业性广告,,2012-11-26
248115,Productive capacity,生产能量,,2012-11-26
248116,Productivity,生产力,,2012-11-26
248117,Production-oriented diversification,生产导向多元化,,2012-11-26
248118,Production record,生产纪录,,2012-11-26
248120,Production planning illustration,生产规划图解,,2012-11-26
248121,Production of competitive,具有竞争力的生产,,2012-11-26
248122,Production-market integration,产销统合,,2012-11-26
248123,Production lines,生产线,,2012-11-26
248125,Production inventory control,生产存货控制,,2012-11-26
248126,Production function,生产功能,,2012-11-26
