ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3542581,"""originate and hold"" business model",「创始并持有」经营模式,,nan,2018-06-26
3542582,"""public-to-private"" service concession arrangement",「公办民营」服务特许权协议,,nan,2018-06-26
3542583,a complete set of financial statements,整套财务报表,,nan,2018-06-26
3542584,a group of similar financial assets,一组类似金融资产,,nan,2018-06-26
3542585,ability model,能力模式,,nan,2018-06-26
3542586,abnormal spoilage,非常损坏,,nan,2018-06-26
3542587,absence of causal connection,缺乏因果关系,,nan,2018-06-26
3542588,absorption costing,归纳成本法,,nan,2018-06-26
3542589,accelerated depreciation allowances,加速折旧准备,,nan,2018-06-26
3542590,acceptable audit risk,可接受查核风险,,nan,2018-06-26
3542591,account,帐户,,账户,2018-06-26
3542592,account analysis method,帐户分析法,,nan,2018-06-26
3542593,account item,会计项目；会计科目,,会计科目,2018-06-26
3542594,accountability of management,管理阶层之课责性,,nan,2018-06-26
3542595,account-based audit,科目基础审计,,账项基础审计,2018-06-26
3542596,accounting,会计；会计学,,会计；会计学,2018-06-26
3542597,accounting acquiree,会计上被收购者,,nan,2018-06-26
3542598,accounting arbitrage,会计套利,,nan,2018-06-26
3542599,accounting assumption,会计假设,,会计假设,2018-06-26
3542600,accounting books,会计帐簿；会计帐册,,会计账簿,2018-06-26
3542601,accounting conservatism,会计稳健性,,会计稳健性,2018-06-26
3542602,accounting control,会计控制,,会计控制,2018-06-26
3542603,accounting cycle,会计循环,,会计循环,2018-06-26
3542604,accounting element,会计要素,,会计要素,2018-06-26
3542605,accounting entity postulate,会计个体假设,,会计主体假设,2018-06-26
3542606,accounting entry,会计分录,,会计分录,2018-06-26
3542607,accounting equation,会计方程式；会计恒等式,,会计等式,2018-06-26
3542608,accounting error,会计错误,,会计差错,2018-06-26
3542609,accounting estimate,会计估计,,会计估计,2018-06-26
3542610,accounting event,会计事项,,会计事项,2018-06-26
3542611,accounting income,会计收益；会计所得,,nan,2018-06-26
3542612,accounting information,会计资讯,,会计信息,2018-06-26
3542613,accounting information content,会计资讯内涵,,会计信息含量,2018-06-26
3542614,accounting information system,会计资讯系统,,会计信息系统,2018-06-26
3542615,accounting measurement,会计衡量,,会计计量,2018-06-26
