ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
1824012,360-degree appraisal,360度评估,,nan,nan,2013-05-01
1824013,ABC inventory planning,ABC库存规划,,nan,nan,2013-05-01
1824015,acceptance theory,接受理论,,nan,nan,2013-05-01
1824017,accounting,会计,,nan,nan,2013-05-01
1824018,accounting cycle,会计循环,,nan,nan,2013-05-01
1824019,accounts payable,应付帐款,,nan,nan,2013-05-01
1824020,achievement,成就,,nan,nan,2013-05-01
1824021,acquisition,购并；取才,,nan,nan,2020-04-09
1824022,action learning,行动学习,,nan,nan,2013-05-01
1824023,action plan of objectives,目标行动计划,,nan,nan,2013-05-01
1824024,activation theory,起动理论,,nan,nan,2013-05-01
1824025,active listening,主动倾听,,nan,nan,2013-05-01
1824027,ADL matrix,ADL矩阵,,nan,nan,2013-05-01
1824028,administered distribution system,管理配销系统；管理配销制度；管理分配系统；管理分配制度,,nan,nan,2013-05-01
1824029,administrative management,行政管理,,nan,nan,2013-05-01
1824030,advertising,广告,,nan,nan,2013-05-01
1824031,affection power,感情权,,nan,nan,2013-05-01
1824032,affective response,情感反应；感情反应,,nan,nan,2013-05-01
1824033,affiliation,隶属,,nan,nan,2013-05-01
1824034,affirmative action,平权行动,,nan,nan,2013-05-01
1824037,agent theory,代理理论,,nan,nan,2013-05-01
1824038,all channel network,全面通路网络,,nan,nan,2013-05-01
1824039,allocative efficiency,配置效率,,nan,nan,2013-05-01
1824040,alternative,备选方案；备案,,nan,nan,2013-05-01
1824041,analytical hierarchical analysis{=AHP},层级程序分析法,,nan,nan,2013-05-01
1824042,angel fund,天使基金,,nan,nan,2013-05-01
1824043,angel investor,天使投资人,,nan,nan,2013-05-01
1824044,annual report,年度报告,,nan,nan,2013-05-01
1824045,application software,应用软体；应用软件,,nan,nan,2013-05-01
1824046,application system,应用系统；应用制度,,nan,nan,2013-05-01
1824047,applied decision theory,应用决策理论,,nan,nan,2013-05-01
1824048,applied research,应用研究,,nan,nan,2013-05-01
1824049,appraisal,评估,,nan,nan,2013-05-01
1824050,appreciative inquiry,肯定式探寻,,nan,nan,2013-05-01
1824051,apprentice program,实习计划；学徒计划,,nan,nan,2013-05-01
1824052,aptitude test,性向测验,,nan,nan,2013-05-01
1824053,arithmetic,算术单位,,nan,nan,2013-05-01
1824054,artificial intelligence {=AI},人工智慧,,nan,nan,2020-03-25
1824055,Asia-Pacific Economic Cooperation {=APEC},亚太经济合作组织,,nan,nan,2013-05-01
1824056,assembly process,组装制程,,nan,nan,2013-05-01
1824057,assessment center,评鉴中心；评量中心；评估中心,,nan,nan,2013-05-01
1824058,asset,资产,,nan,nan,2013-05-01
1824060,Association of Southeast Asia Nations {=ASEAN},东南亚国家协会；东协,,nan,nan,2013-05-01
1824061,attitudes survey,态度调查,,nan,nan,2013-05-01
1824062,attraction-selection-attrition framework,吸才-选才-流才架构；吸才-选才-汰才架构,,nan,nan,2013-05-01
1824063,attribution theory,归因理论,,nan,nan,2013-05-01
1824064,attribution theory of charismatic leadership,魅力领导的归因理论,,nan,nan,2013-05-01
1824065,A-type organization {American organization},A型组织,,nan,nan,2013-05-01
1824066,auditing,审计；稽核,,nan,nan,2013-05-01
1824067,authoritarianism,独裁主义；权威主义,,nan,nan,2013-05-01
1824068,authority,职权；权威,,nan,nan,2013-05-01
1824069,authority design,职权设计,,nan,nan,2013-05-01
1824070,autocratic leadership,专制领导,,nan,nan,2013-05-01
1824071,automation,自动化,,nan,nan,2013-05-01
1824072,automation with feedback control,具回馈控制的自动化,,nan,nan,2013-05-01
1824073,autonomous work group,自主工作小组,,nan,nan,2013-05-01
1824074,autonomy,自主；自治,,nan,nan,2013-05-01
1824076,backward vertical integration,向后垂直整合,,nan,nan,2013-05-01
1824079,balance score card{=BSC},平衡计分卡,,nan,nan,2013-05-01
1824081,bankruptcy,破产,,nan,nan,2013-05-01
1824082,barrier to entry,进入障碍,,nan,nan,2013-05-01
1824083,basic corrective action,基本校正行动；基本改正行动,,nan,nan,2013-05-01
1824084,basic research,基础研究,,nan,nan,2013-05-01
1824085,basic salary,基本薪资,,nan,nan,2013-05-01
1824086,batch production,批量生产,,nan,nan,2013-05-01
1824087,batch-processing system,批量生产系统；批量生产制度,,nan,nan,2013-05-01
1824089,behavior modification,行为改变；行为矫正,,nan,nan,2013-05-01
1824091,behavioral change,行为改变,,nan,nan,2013-05-01
1824092,behavioral component of an attitude,态度的行为要素,,nan,nan,2013-05-01
1824093,behavioral theory of leadership,领导的行为学派理论,,nan,nan,2013-05-01
1824095,benchmarking,标竿,,nan,nan,2013-05-01
1824096,benefit segmentation,利益区隔,,nan,nan,2013-05-01
1824097,benevolent autocracy,仁慈专制,,nan,nan,2013-05-01
1824098,benevolent-authoritative,仁慈-权威,,nan,nan,2013-05-01
1824100,bidding pricing,投标定价法,,nan,nan,2013-05-01
1824101,bill of material {=BOM},物料清单,,nan,nan,2013-05-01
1824102,black box,黑箱,,nan,nan,2013-05-01
1824103,blog,部落格,,nan,nan,2013-05-01
1824104,board of directors,董事会,,nan,nan,2013-05-01
1824105,body language,肢体语言,,nan,nan,2013-05-01
1824106,boiled frog phenomenon,煮青蛙现象,,nan,nan,2013-05-01
1824107,bonding expenditure,担保成本,,nan,nan,2013-05-01
1824108,bonds payable,应付公司债,,nan,nan,2013-05-01
