ID,英文名稱,中文名稱,圖片,更新日期
5311,Quality,品质,,2012-11-26
5441,Propensity to import,输入倾向,,2012-11-26
5493,Product space,产品空间,,2012-11-26
5702,Predict,预测,,2012-11-26
6056,Parallelogram law,平行四边形法则,,2012-11-26
6351,Off-the-equilibrium path behavior,均衡外路径行为,,2012-11-26
6400,Occupational disease,职业病,,2012-11-26
6403,Occupation,职业,,2012-11-26
6406,Obsolescence,废弃；过时,,2012-11-26
6621,Nonhuman capital,非人力资本,,2012-11-26
6686,Noise-to-signal ratio,干扰对讯息比,,2012-11-26
6721,Newly industrializing economics,新工业化经济体,,2012-11-26
6736,New entrants,新进者,,2012-11-26
6773,Nested logit model,巢式罗吉特机率模型,,2012-11-26
6901,Nash program,奈许计划,,2012-11-26
6993,Multiple-input transfer function model,多元投入转换函数模型,,2012-11-26
66285,Multiple commodities,组合商品,,2012-11-26
66287,Multiple causes,多元因果,,2012-11-26
66288,Multiple basing-point system,多重基点制度,,2012-11-26
66291,Multiple ARMA process,多元自我回归移动平均过程,,2012-11-26
66293,Multi-plant operation,多工厂运作,,2012-11-26
66294,Multiperiod wage offers,多期工资出价,,2012-11-26
66296,Multiperiod labor demand,多期劳动需求,,2012-11-26
66298,Multiperiod analysis,多期分析,,2012-11-26
66299,Multipart pricing,多重订价,,2012-11-26
66301,Multi-part model,多部门模型,,2012-11-26
66303,Multinomial probit model,多项式常态机率模型,,2012-11-26
66304,Multinomial probability function,多项机率函数,,2012-11-26
66306,Multinomial experiment,多项试验,,2012-11-26
66308,Multinomial distribution,多项分配,,2012-11-26
66309,Multinomial choice model,多项式选择模型,,2012-11-26
66311,Multinational labor relations,多国籍企业的劳资关系,,2012-11-26
66312,Multinational firms,跨国厂商,,2012-11-26
66313,Multinational enterprise,多国籍企业,,2012-11-26
66316,Multinational Corporation (MNC),多国籍公司；跨国公司,,2012-11-26
66317,Multimarket contact,多市场关连,,2012-11-26
66318,Multimarket behavior,多市场行为,,2012-11-26
66321,Multilateral trade,多边贸易,,2012-11-26
66322,Multilateral Assistance Agency,多边援助机构,,2012-11-26
66324,Multifiber arrangement,多边纤维协定,,2012-11-26
66326,Multifactor model,多要素模型,,2012-11-26
66328,Multidivisonal-form (Mform) firm,多部门型态厂商,,2012-11-26
66330,Multicountry trade,多国贸易,,2012-11-26
66331,Multicommodity trade,多货贸易,,2012-11-26
66332,Multicollinearity,线型重合,,2012-11-26
66334,Multi-agent sysetm,多元决策者系统,,2012-11-26
66337,Moving average process,移动平均过程,,2012-11-26
66338,Moving average polynomial,移动平均多项式,,2012-11-26
66339,Moving average (MA),移动平均,,2012-11-26
66343,Moulin theorem,穆林定理,,2012-11-26
66344,Motivation,动机,,2012-11-26
66345,Motion-time study,工时学,,2012-11-26
66347,Motion-time analysis (MTA),工时分析,,2012-11-26
66350,Motion pictures,动画电影；动画卡通,,2012-11-26
66351,Most-favored-nation treatment,最惠国待遇,,2012-11-26
66352,Most-favored-customer clause,最惠待遇消费者条款,,2012-11-26
66354,Most favored nation (MFN) status,最惠国资格,,2012-11-26
66356,Most efficient scale,最大效率规模,,2012-11-26
66357,Most efficient estimator,最有效估计量,,2012-11-26
66358,Mortgagor,抵押人,,2012-11-26
66360,Mortgages,抵押权,,2012-11-26
66361,Mortgagee,抵押权人,,2012-11-26
66364,Mortgage-backed security (MBS),不动产抵押证券,,2012-11-26
66365,Mortgage bank,抵押银行,,2012-11-26
66367,Mortality rate,死亡率,,2012-11-26
66369,More Developed Countries (MDCs),较开发国家；较高度开发国家,,2012-11-26
66370,Morbidity rate,伤病率,,2012-11-26
66371,Moral survey,士气调查,,2012-11-26
66374,Moral suasion,道德劝说,,2012-11-26
66375,Moral hazard,道德危机,,2012-11-26
66376,Mopping-up swap,吸入换汇,,2012-11-26
66379,Moore-Penrose inverse,莫耳－潘罗斯反矩阵,,2012-11-26
66381,Moonshining,（美国酒禁时期之）假酒,,2012-11-26
66382,Moonlighting,兼差,,2012-11-26
66383,Moody’s Composite Stock Index,穆迪综合股票指数,,2012-11-26
66384,Montreal Agreement,蒙特娄协定,,2012-11-26
66386,Monte Carlo simulation,蒙地卡罗模拟分析,,2012-11-26
66389,Monte Carlo numerical integration,蒙地卡罗数值整合,,2012-11-26
66390,Monte Carlo method,蒙特卡罗抽样法,,2012-11-26
66391,Monte Carlo experiment,蒙地卡罗实验,,2012-11-26
66394,Monotonicity axiom,单调性公理,,2012-11-26
66395,Monotonic value function,单调值函数,,2012-11-26
66397,Monotonic function,单调函数,,2012-11-26
66398,Monotone-likelihood-ratio property,单调概度比性质,,2012-11-26
66399,Monopsony,独买,,2012-11-26
66402,Monopoly-union model,独占工会模型,,2012-11-26
66404,Monopoly revenue,公卖利益,,2012-11-26
66405,Monopoly rent,独占地租,,2012-11-26
66406,Monopoly pricing,独占定价；垄断定价,,2012-11-26
66409,Monopoly power requirement,独占力量要件,,2012-11-26
66411,Monopoly power,独占力；垄断力,,2012-11-26
66412,Monopoly games,独占赛局,,2012-11-26
66416,Monopoly behavior experiments,独占行为实验,,2012-11-26
66417,Monopoly and Merger Commission,独占与结合委员会,,2012-11-26
66419,Monopoly abuse,独占力滥用,,2012-11-26
66420,Monopoly,独占,,2012-11-26
66421,Monopolization,独占化；垄断化,,2012-11-26
66425,Monopolistic merger,独占性结合,,2012-11-26
66426,Monopolistic competition,独占性竞争；垄断性竞争,,2012-11-26
66427,Monopolist,独占者；独卖者,,2012-11-26
66428,Monocentric cities,单一中心都市,,2012-11-26
66430,Monitoring,监控,,2012-11-26
66431,Moneyness,货币性,,2012-11-26
66432,Moneylenders,放债者,,2012-11-26
66434,Moneychanger,外币兑换者,,2012-11-26
66436,Money-back guarantee,现金买回保证；原价买回保证,,2012-11-26
66437,Money veil,货币面纱,,2012-11-26
66439,Money supply controllability,货币供给可控制性,,2012-11-26
66441,Money supply,货币供给,,2012-11-26
66442,Money stock,货币存量,,2012-11-26
66443,Money rates,货币市场利率,,2012-11-26
66446,Money order,汇票,,2012-11-26
66447,Money multiplier effect,货币乘数效果,,2012-11-26
66449,Money multiplier,货币乘数,,2012-11-26
66450,Money Market Mutual Fund (MMMF),货币市场共同基金,,2012-11-26
66453,Money market equilibrium,货币市场均衡,,2012-11-26
66455,Money market,货币市场；短期票券市场,,2012-11-26
66456,Money laundering,洗钱,,2012-11-26
66457,Money Income,货币所得,,2012-11-26
66458,Money illusion,货币幻觉,,2012-11-26
66461,Money economy,货币化经济,,2012-11-26
66462,Money demand,货币需求,,2012-11-26
66464,Money channel,货币传递管道,,2012-11-26
66467,Money center bank,金融中心银行,,2012-11-26
66468,Monetized exchange,货币化交易,,2017-07-31
66469,Monetary unit,货币单位,,2012-11-26
66471,Monetary transmission mechanism,货币传递机能,,2012-11-26
66473,Monetary system,货币体系,,2012-11-26
66474,Monetary rule,货币法则,,2012-11-26
66475,Monetary reform,币制改革,,2012-11-26
66477,Monetary Policy Reform Act (1991),货币政策改革法案,,2012-11-26
