ID,英文名稱,中文名稱,圖片,更新日期
3526035,Abel integral equation,阿贝耳积分方程式,,2018-03-22
3526036,Abel transform,阿贝耳转换,,2018-03-22
3526037,ablation rate,剥蚀率,,2018-03-22
3526038,abnormal tide,异常潮,,2018-03-22
3526039,abrasion,磨蚀；磨耗,,2018-03-22
3526040,absolute acceleration,绝对加速度,,2018-03-22
3526041,absolute head,绝对水头,,2018-03-22
3526042,absolute motion,绝对运动,,2018-03-22
3526043,absolute porosity,绝对孔隙率,,2018-03-22
3526044,absolute pressure,绝对压力,,2018-03-22
3526045,absolute reaction rate,绝对反应率,,2018-03-22
3526046,absolute retardation,绝对运滞性,,2018-03-22
3526047,absolute roughness,绝对糙度,,2018-03-22
3526048,absolute speed,绝对速率,,2018-03-22
3526049,absolute stiffness,绝对劲度,,2018-03-22
3526050,absolute system of units,绝对单位制,,2018-03-22
3526051,absolute temperature,绝对温度,,2018-03-22
3526052,absolute velocity,绝对速度,,2018-03-22
3526053,absolute viscosity,绝对黏度,,2018-03-22
3526054,absolute zero,绝对零度,,2018-03-22
3526055,absorbing-emitting media,吸收发射介质,,2018-03-22
3526056,absorptance,吸收比,,2018-03-22
3526057,absorption,吸收,,2018-03-22
3526058,absorption coefficient,吸收系数,,2018-03-22
3526059,absorption factor,吸收因数,,2018-03-22
3526060,absorption line,吸收谱线,,2018-03-22
3526061,absorption rate,吸收率,,2018-03-22
3526062,absorption spectrum,吸收光谱,,2018-03-22
3526063,absorptivity,吸收性；吸收率,,2018-03-22
3526064,accelerated flow,加速流,,2018-03-22
3526065,accelerated motion,加速运动,,2018-03-22
3526066,accelerating wave,加速波,,2018-03-22
3526067,acceleration,加速度,,2018-03-22
3526068,acceleration gradient,加速（度）梯度,,2018-03-22
3526069,acceleration hodograph,加速矢（坐标）图,,2018-03-22
3526070,acceleration of gravity,重力加速度,,2018-03-22
3526071,acceleration response spectrum,加速度回应谱,,2018-03-22
3526072,accelerometer,加速仪；加速表,,2018-03-22
3526073,accommodation coefficient,调节系数；适应系数,,2018-03-22
3526074,accumulated inflow,入流累积量,,2018-03-22
3526075,accumulative sedimentation method,累积沉淀法,,2018-03-22
3526076,Achimedes's principle,亚基米德原理,,2018-03-22
3526077,acoustic admittance,声导纳,,2018-03-22
3526078,acoustic analogue,音响类比；声波类比,,2018-03-22
3526079,acoustic damping,声波阻尼,,2018-03-22
3526080,acoustic doublet,声源偶,,2018-03-22
3526081,acoustic emission,声波发射,,2018-03-22
3526082,acoustic excitation,声波激发,,2018-03-22
3526083,acoustic filter,滤声器,,2018-03-22
3526084,acoustic impedance,声波阻抗,,2018-03-22
3526085,acoustic intensity,声波强度,,2018-03-22
3526086,acoustic phase lag,声波相滞,,2018-03-22
3526087,acoustic power,声功率,,2018-03-22
3526088,acoustic pressure,声压,,2018-03-22
3526089,acoustic reactance,声抗,,2018-03-22
3526090,acoustic resistance,声阻,,2018-03-22
3526091,acoustic velocity,音速；声速,,2018-03-22
3526092,acoustic wave,声波,,2018-03-22
3526093,acoustical energy,声能,,2018-03-22
3526094,acoustical reciprocity theorem,声学互换定理,,2018-03-22
3526095,acoustical strain gage,声波应变计,,2018-03-22
3526096,acoustics,声学,,2018-03-22
3526097,activated complex,活化复合体,,2018-03-22
3526098,activated energy,活化能,,2018-03-22
3526099,activation energy,活化能,,2018-03-22
3526100,active center,活化中心,,2018-03-22
3526101,active fault,活断层,,2018-03-22
3526102,active transport,主动输送,,2018-03-22
3526103,activity,活性；活度,,2018-03-22
3526104,activity coefficient,活性系数,,2018-03-22
3526105,activity sphere,活力圈[天],,2018-03-22
3526106,actual gas,实际气体,,2018-03-22
3526107,actual stress,实际应力,,2018-03-22
3526108,actual trajectory,实际弹道,,2018-03-22
3526109,actual velocity,实际速度,,2018-03-22
3526110,Adams formula,亚当斯公式,,2018-03-22
3526111,added mass,附加质量,,2018-03-22
3526112,adhering nappe,贴面水舌,,2018-03-22
3526113,adhesion,附著（力）；外聚（力）；黏附（力）,,2018-03-22
3526114,adhesive force,附著力,,2018-03-22
3526115,adhesive water,附著水,,2018-03-22
3526116,adiabatic change,绝热变化,,2018-03-22
3526117,adiabatic compression,绝热压缩,,2018-03-22
3526118,adiabatic cooling,绝热冷却,,2018-03-22
3526119,adiabatic ellipse,绝热椭圆,,2018-03-22
3526120,adiabatic flame temperature,绝热火焰温度,,2018-03-22
3526121,adiabatic flow,绝热流,,2018-03-22
3526122,adiabatic invariant,绝热不变量,,2018-03-22
3526123,adiabatic momentum change,绝热动量变化,,2018-03-22
3526124,adiabatic process,绝热过程,,2018-03-22
3526125,adiabatic saturation temperature,绝热饱和温度,,2018-03-22
3526126,adiabatic temperature,绝热温度,,2018-03-22
3526127,adjoint,伴随,,2018-03-22
3526128,adjoint boundary condition,伴随边界条件,,2018-03-22
3526129,adjoint operator,伴随算子,,2018-03-22
3526130,adjoint variational method,伴随变分法,,2018-03-22
3526131,adjoint variational principle,伴随变分原理,,2018-03-22
3526132,adjustment coefficient,调整系数,,2018-03-22
3526133,admissibility,可容性,,2018-03-22
3526134,adsorption,吸著；吸附,,2018-03-22
3526135,advection,平流,,2018-03-22
3526136,adverse slope,逆坡,,2018-03-22
3526137,aeration,充气,,2018-03-22
3526138,aerator,充气器,,2018-03-22
3526139,aeroacoustics,空气声学,,2018-03-22
3526140,aerodynamic center,空气动力中心,,2018-03-22
3526141,aerodynamic coefficient,空气动力系数,,2018-03-22
3526142,aerodynamic configuration,空气动力外型,,2018-03-22
3526143,aerodynamic derivative,空气动力导数,,2018-03-22
3526144,aerodynamic force,空气动力,,2018-03-22
3526145,aerodynamic heating,空气动力加热,,2018-03-22
3526146,aerodynamic loading,气动力负载,,2018-03-22
3526147,aerodynamic moment,空气动力矩,,2018-03-22
3526148,aerodynamics,空气动力学,,2018-03-22
3526149,aerodynamics force,气动力,,2018-03-22
3526150,aeroelasticity,气体弹性力学,,2018-03-22
3526151,aeronautics,航空学,,2018-03-22
