ID,英文名稱,中文名稱,圖片,更新日期
3288905,abatement,减量；降低,,2018-03-15
3288906,abherent,防黏著剂,,2018-03-15
3288907,ablation,剥蚀,,2018-03-15
3288908,abnormal reaction,异常反应,,2018-03-15
3288909,abrasion,磨耗；磨损,,2018-03-15
3288910,abrasion index,磨耗指数,,2018-03-15
3288911,abrasion resistance,耐磨性；磨耗阻力,,2018-03-15
3288912,abrasion test,磨耗试验,,2018-03-15
3288913,abrasive,[研]磨料,,2018-03-15
3288914,abrasive cleaner,擦洁剂,,2018-03-15
3288915,abrasive paper,磨擦纸；砂纸,,2018-03-15
3288916,abrasiveness,抗磨性,,2018-03-15
3288917,ABS{acrylonitrile-butadiene-styrene resin},丙烯腈/丁二烯/苯乙烯树脂,,2018-03-15
3288918,absinthium,苦艾,,2018-03-15
3288919,absolute alcohol,无水酒精；绝对酒精,,2018-03-15
3288920,absolute boiling point,绝对沸点,,2018-03-15
3288921,absolute color value,绝对色值,,2018-03-15
3288922,absolute counting,绝对计数,,2018-03-15
3288923,absolute deviation,绝对偏差,,2018-03-15
3288924,absolute dry fiber,绝对干纤维,,2018-03-15
3288925,absolute entropy,绝对熵,,2018-03-15
3288926,absolute humidity,绝对湿度,,2018-03-15
3288927,absolute juice,原汁,,2018-03-15
3288928,absolute moisture content,绝对含水量,,2018-03-15
3288929,absolute pressure,绝对压力,,2018-03-15
3288930,absolute pressure gauge,绝对压力计,,2018-03-15
3288931,absolute reaction rate,绝对反应速率,,2018-03-15
3288932,absolute specificity,绝对专一性,,2018-03-15
3288933,absolute stability,绝对稳定性,,2018-03-15
3288934,absolute temperature,绝对温度,,2018-03-15
3288935,absolute thermodynamic temperature scale,绝对热力温标,,2018-03-15
3288936,absolute turbidity,绝对浊度,,2018-03-15
3288937,absolute value,绝对值,,2018-03-15
3288938,absolute viscosity,绝对黏度,,2018-03-15
3288939,absolute zero,绝对零度,,2018-03-15
3288940,absorbance,吸收率；吸光度,,2018-03-15
3288941,absorbed dose,吸收剂量,,2018-03-15
3288942,absorbency curve,吸收率曲线,,2018-03-15
3288943,absorbent,吸收剂,,2018-03-15
3288944,absorbent bed,吸收床,,2018-03-15
3288945,absorbent cellulose,吸收性纤维素,,2018-03-15
3288946,absorbent filter,吸收过滤器,,2018-03-15
3288947,absorber,吸收塔；吸收槽；吸收器,,2018-03-15
3288948,absorbing apparatus,吸收装置,,2018-03-15
3288949,absorption,吸收,,2018-03-15
3288950,absorption band,吸收带；吸光带,,2018-03-15
3288951,absorption base,吸收基质,,2018-03-15
3288952,absorption cell,吸收槽,,2018-03-15
3288953,absorption chromatography,吸收层析[法],,2018-03-15
3288954,absorption coefficient,吸收系数,,2018-03-15
3288955,absorption column,吸收管；吸收塔,,2018-03-15
3288956,absorption correction,吸收修正,,2018-03-15
3288957,absorption cross-section,吸收截面,,2018-03-15
3288958,absorption curve,吸收曲线,,2018-03-15
3288959,absorption discontinuity,吸收不连续性,,2018-03-15
3288960,absorption factor,吸收因子；吸收因数,,2018-03-15
3288961,absorption field,吸收场,,2018-03-15
3288962,absorption heat,吸收热,,2018-03-15
3288963,absorption index,吸收指数,,2018-03-15
3288964,absorption indicator,吸收指示剂,,2018-03-15
3288965,absorption isotherm,吸收等温线,,2018-03-15
3288966,absorption number,吸收数,,2018-03-15
3288967,absorption oil,吸收油,,2018-03-15
3288968,absorption ointment base,吸收性软膏基,,2018-03-15
3288969,absorption power,吸收能力,,2018-03-15
3288970,absorption process,吸收程序,,2018-03-15
3288971,absorption rate,吸收速率,,2018-03-15
3288972,absorption ratio,吸收比,,2018-03-15
3288973,absorption reaction,吸收反应,,2018-03-15
3288974,absorption refrigeration,吸收[式]制冷,,2018-03-15
3288975,absorption spectrum,吸收光谱,,2018-03-15
3288976,absorption system,吸收系统,,2018-03-15
3288977,absorption test,吸收试验,,2018-03-15
3288978,absorption tower,吸收塔,,2018-03-15
3288979,absorptive-type filter,吸收式滤器,,2018-03-15
3288980,absorptivity,吸收率,,2018-03-15
3288981,abundance,丰度,,2018-03-15
3288982,abundance curve,丰度曲线,,2018-03-15
3288983,abutment,拱台,,2018-03-15
3288984,acaricide,杀螨剂,,2018-03-15
3288985,accelerated aging,加速老化,,2018-03-15
3288986,accelerated cement,快干水泥；速凝水泥,,2018-03-15
3288987,accelerated gum,速成胶,,2018-03-15
3288988,acceleration error coefficient,加速误差系数,,2018-03-15
3288989,accelerator,加速器；加速剂,,2018-03-15
3288990,accelerator of vulcanization,硫化加速剂,,2018-03-15
3288991,accelerometer,加速计,,2018-03-15
3288992,acceptable quality level,合格品质水准,,2018-03-15
3288993,acceptable return,可接受[的]报酬,,2018-03-15
3288994,acceptance sampling,验收取样,,2018-03-15
3288995,acceptance sampling plan,验收取样计划,,2018-03-15
3288996,acceptance test,验收试验,,2018-03-15
3288997,acceptor,受体；接收器,,2018-03-15
3288998,acclimation,驯化,,2018-03-15
3288999,acclimation sludge,驯化污泥,,2018-03-15
3289000,accumulation rate,累积速率,,2018-03-15
3289001,accumulative crystallization,聚集结晶,,2018-03-15
3289002,accuracy,准确度；准确性,,2018-03-15
3289003,acentric factor,偏心因子,,2018-03-15
3289004,acetal,缩醛,,2018-03-15
3289005,acetal resin,缩醛树脂,,2018-03-15
3289006,acetate film,醋酸酯膜；乙酸酯膜,,2018-03-15
3289007,acetate rayon,醋酸嫘萦；乙酸嫘萦,,2018-03-15
3289008,acetic acid bacteria,醋酸菌,,2018-03-15
3289009,acetonitrile,乙腈,,2018-03-15
3289010,acetyl cellulose,乙酸纤维素；醋酸纤维素,,2018-03-15
3289011,acetyl value,乙醯值,,2018-03-15
3289012,acetylation,乙醯化,,2018-03-15
3289013,acetylene black,乙炔黑,,2018-03-15
3289014,achromycin,铂霉素{四环素},,2018-03-15
3289015,acid acceptor,酸受体,,2018-03-15
3289016,acid catalysis,酸催化,,2018-03-15
3289017,acid chrome dye,酸性铬媒染料,,2018-03-15
3289018,acid color,酸性染料,,2018-03-15
3289019,acid component,酸性成分,,2018-03-15
3289020,acid cooler,酸冷却器,,2018-03-15
3289021,acid dye,酸性染料,,2018-03-15
3289022,acid feed box,饲酸箱,,2018-03-15
3289023,acid fertilizer,酸性肥料,,2018-03-15
3289024,acid firebrick,酸性耐火砖,,2018-03-15
3289025,acid fume,酸烟,,2018-03-15
3289026,acid gas,酸性气体,,2018-03-15
3289027,acid measuring tank,量酸槽,,2018-03-15
3289028,acid mist,酸雾,,2018-03-15
3289029,acid number,酸值,,2018-03-15
3289030,acid process,酸法,,2018-03-15
3289031,acid pump,酸泵,,2018-03-15
3289032,acid rain,酸雨,,2018-03-15
3289033,acid refractory,酸性耐火材,,2018-03-15
3289034,acid refractory brick,酸性耐火砖,,2018-03-15
3289035,acid resistance,耐酸性,,2018-03-15
3289036,acid resistant,耐酸,,2018-03-15
3289037,acid sludge,酸性污泥,,2018-03-15
3289038,acid tank,酸液储槽,,2018-03-15
3289039,acid tank car,酸槽车,,2018-03-15
3289040,acid-forming bacteria,产酸[细]菌,,2018-03-15
3289041,acidic catalysis,酸性催化[作用],,2018-03-15
3289042,acidic catalyst,酸性触媒,,2018-03-15
