ID,英文詞彙,中文名詞,備註,審定日期,更新日期
21388847,30th highest hourly volume,第30最高小时交通量,公路,2025.12.09,2026-06-25
21388848,A B shift,双班制,公路,2025.12.09,2026-06-25
21388849,abrasion resistance of aggregate,粒料之耐磨性,公路,2025.12.09,2026-06-25
21388850,absorption of aggregate,粒料之吸水性,公路,2025.12.09,2026-06-25
21388851,abutment,桥台,公路,2025.12.09,2026-06-25
21388852,accelerating admixture for concrete,混凝土速凝剂；混凝土早强剂,公路,2025.12.09,2026-06-25
21388853,accidents involving damage to vehicle or property,车辆或财物受损之事故,公路,2025.12.09,2026-06-25
21388854,accidents involving death or personal injury,死伤事故,公路,2025.12.09,2026-06-25
21388855,acid rock,酸性岩,公路,2025.12.09,2026-06-25
21388856,active earth pressure,主动土压力,公路,2025.12.09,2026-06-25
21388857,additional panel,标志附牌,公路,2025.12.09,2026-06-25
21388858,additive for bituminous mixtures,沥青混合料添加剂,公路,2025.12.09,2026-06-25
21388859,admixture for concrete,混凝土掺料；混凝土掺剂,公路,2025.12.09,2026-06-25
21388861,aggregate,粒料；骨材；凝聚,公路,2025.12.09,2026-06-25
21388862,air brake,气轫；空气煞车,铁路,2025.12.09,2026-06-25
21388863,air filter,空气滤清器,公路,2025.12.09,2026-06-25
21388864,air-conditioned bus,空气调节客车,公路,2025.12.09,2026-06-25
21388865,air-entrained concrete,输气混凝土,公路,2025.12.09,2026-06-25
21388866,air-entraining admixture of concrete,混凝土输气剂,公路,2025.12.09,2026-06-25
21388867,air-entraining portland cement,输气卜德兰水泥,公路,2025.12.09,2026-06-25
21388868,alcohol intoxication,酒醉｛交通执法｝,公路,2025.12.09,2026-06-25
21388869,all risks,全险｛交通监理｝,公路,2025.12.09,2026-06-25
21388870,alluvial cone,冲积锥,公路,2025.12.09,2026-06-25
21388871,alluvial fan,冲积扇,公路,2025.12.09,2026-06-25
21388872,alluvial soil,冲积土壤,公路,2025.12.09,2026-06-25
21388873,alluvium,冲积层,公路,2025.12.09,2026-06-25
21388874,all-wheel drive,全轮驱动,公路,2025.12.09,2026-06-25
21388875,amphibious vehicle,水陆两用车,公路,2025.12.09,2026-06-25
21388876,anchored bulkhead,锚定式板桩岸壁,公路,2025.12.09,2026-06-25
21388877,angle of approach,接近角,公路,2025.12.09,2026-06-25
21388878,angle of departure,分离角,公路,2025.12.09,2026-06-25
21388879,angle of kingpin,大王梢倾角,公路,2025.12.09,2026-06-25
21388880,angle of repose,安息角；静止角,公路,2025.12.09,2026-06-25
21388881,angle of steering lock,最大转向角,公路,2025.12.09,2026-06-25
21388882,angle of turn,转向角,公路,2025.12.09,2026-06-25
21388883,animal-drawn vehicle,兽力车,公路,2025.12.09,2026-06-25
21388884,anticlinal stratum,背斜层,公路,2025.12.09,2026-06-25
21388885,arch bridge,拱桥,公路,2025.12.09,2026-06-25
21388886,arterial highway,干线公路,公路,2025.12.09,2026-06-25
21388887,artificial aggregate,人造粒料,公路,2025.12.09,2026-06-25
21388888,asphalt,沥青,公路,2025.12.09,2026-06-25
21388889,asphalt cement,沥青胶泥,公路,2025.12.09,2026-06-25
21388890,asphalt concrete finishing machine,沥青混凝土整平机,公路,2025.12.09,2026-06-25
21388891,asphalt concrete mixer,沥青混凝土拌合机,公路,2025.12.09,2026-06-25
21388892,asphalt concrete mixing plant,沥青混凝土拌合厂,公路,2025.12.09,2026-06-25
21388893,asphalt concrete surface course,沥青混凝土面层,公路,2025.12.09,2026-06-25
21388894,asphalt kettle,沥青锅,公路,2025.12.09,2026-06-25
21388895,asphalt macadam surface,沥青碎石路面,公路,2025.12.09,2026-06-25
21388896,asphalt mastic,沥青砂胶,公路,2025.12.09,2026-06-25
21388897,asphalt oven,沥青试验用烘箱,公路,2025.12.09,2026-06-25
21388898,asphalt plant,沥青拌合厂,公路,2025.12.09,2026-06-25
21388899,asphalt prime coat,沥青透层,公路,2025.12.09,2026-06-25
21388900,asphalt slurry,沥青糊,公路,2025.12.09,2026-06-25
21388901,asphalt surface treatment,沥青表面处理,公路,2025.12.09,2026-06-25
21388902,asphalt-coated metal pipe,涂沥青金属管,公路,2025.12.09,2026-06-25
21388903,at-grade intersection,平面交叉；平面交叉口,公路,2025.12.09,2026-06-25
21388904,automobile hire business,包车租赁业,公路,2025.12.09,2026-06-25
21388905,automobile-transportation trailer,运车拖车,公路,2025.12.09,2026-06-25
21388906,auto-silo park,停车塔,公路,2025.12.09,2026-06-25
21388907,auxiliary lane,辅助车道,公路,2025.12.09,2026-06-25
21388908,average daily traffic,平均日交通量,公路,2025.12.09,2026-06-25
21388909,average highway speed,平均公路速率,公路,2025.12.09,2026-06-25
21388910,average spot speed,定点平均速率,公路,2025.12.09,2026-06-25
21388911,axle-load limitation,轴重限制,公路,2025.12.09,2026-06-25
21388913,baggage volume limit,行李体积限制,公路,2025.12.09,2026-06-25
21388914,baggage weight limit,行李重量限制,公路,2025.12.09,2026-06-25
21388915,ball mill,钢球磨石机；球磨机,公路,2025.12.09,2026-06-25
21388916,bar mat for concrete reinforcement,混凝土用钢筋网,公路,2025.12.09,2026-06-25
21388917,barricade,防栅,公路,2025.12.09,2026-06-25
21388918,bascule bridge,上开桥,公路,2025.12.09,2026-06-25
21388919,base course,底层,公路,2025.12.09,2026-06-25
21388920,basic capacity,基本容量,公路,2025.12.09,2026-06-25
21388921,basic fare,基本运价,公路,2025.12.09,2026-06-25
21388922,basic mileage,基本里程,公路,2025.12.09,2026-06-25
21388923,basic rates,基本运费,公路,2025.12.09,2026-06-25
21388924,batching plant,拌合厂,公路,2025.12.09,2026-06-25
21388925,batter pile,斜桩,公路,2025.12.09,2026-06-25
21388926,bearing,轴承；支承；承压；方向角,公路,2025.12.09,2026-06-25
21388927,bearing capacity,承载力｛大地｝；承载容量｛结构｝；承载强度,公路,2025.12.09,2026-06-25
21388928,bedding course,垫层,公路,2025.12.09,2026-06-25
21388929,Benkelman beam,彭柯曼梁,公路,2026.06.22,2026-06-25
21388930,binder course,联结层；黏结层,公路,2025.12.09,2026-06-25
21388931,bitumen,沥青；沥青胶结料,公路,2025.12.09,2026-06-25
21388932,bituminized-fiber drain and sewer pipe,纤维质沥青排水管,公路,2025.12.09,2026-06-25
21388933,bituminous distributor,沥青撒布机,公路,2025.12.09,2026-06-25
21388934,bituminous material,沥青材料,公路,2025.12.09,2026-06-25
21388935,bituminous tanker,沥青罐车,公路,2025.12.09,2026-06-25
21388936,Blaine air permeability apparatus,布兰氏气透仪,公路,2025.12.09,2026-06-25
21388937,blind drain,暗沟；盲沟,公路,2025.12.09,2026-06-25
21388938,block pavement,块料路面,公路,2025.12.09,2026-06-25
21388939,boiling in soil,土壤沸动,公路,2025.12.09,2026-06-25
21388940,bond stress,握裹应力；黏著应力；黏结应力,公路,2025.12.09,2026-06-25
21388941,boring,钻心；钻掘；钻探,公路,2025.12.09,2026-06-25
21388942,bottom dump wagon,底卸车,公路,2025.12.09,2026-06-25
21388943,box girder bridge,箱形梁桥,公路,2025.12.09,2026-06-25
21388944,branch connection,支线连接线,公路,2025.12.09,2026-06-25
21388945,broken line,虚线,公路,2025.12.09,2026-06-25
21388946,bucket loader,斗式装料机,公路,2025.12.09,2026-06-25
21388947,built-up member,组合构材；组合构件；组合杆件,公路,2025.12.09,2026-06-25
21388948,bulk freight,散装货运,公路,2025.12.09,2026-06-25
21388949,bulldozer,推土机；正铲堆土机,公路,2025.12.09,2026-06-25
21388950,bus-stop,公共汽车站；公车站,公路,2025.12.09,2026-06-25
21388951,buttress fill,土台,公路,2025.12.09,2026-06-25
21388952,camber,拱度；预拱；预拱量；拱曲,公路,2025.12.09,2026-06-25
21388953,cantilever abutment,悬臂式桥台,公路,2025.12.09,2026-06-25
21388954,cantilever bridge,悬臂梁桥,公路,2025.12.09,2026-06-25
21388955,cantilever pier,悬臂式桥墩,公路,2025.12.09,2026-06-25
21388956,capability of transportation,运输能力,公路,2025.12.09,2026-06-25
21388958,car rental business,汽车租赁业,公路,2025.12.09,2026-06-25
21388959,cargo carrying motor bus,客货两用车,公路,2025.12.09,2026-06-25
21388960,carphone,车用电话,公路,2025.12.09,2026-06-25
21388961,carriage way,车行道,公路,2025.12.09,2026-06-25
21388962,cash against document,凭单据付款,公路,2025.12.09,2026-06-25
21388963,cash on delivery,货到付款,公路,2025.12.09,2026-06-25
21388964,cash with order,预付货款,公路,2025.12.09,2026-06-25
21388965,cast in place,现场浇铸；场铸,公路,2025.12.09,2026-06-25
21388966,cast in situ,现地浇铸；场铸,公路,2025.12.09,2026-06-25
21388967,casting bed,铸制场；铸制台,公路,2025.12.09,2026-06-25
21388968,casting blockyard,铸制场,公路,2025.12.09,2026-06-25
21388969,cellular cofferdam,圆筒式围堰,公路,2025.12.09,2026-06-25
21388970,cement gun,水泥喷枪,公路,2025.12.09,2026-06-25
21388971,cement-bound macadam surface,水泥结碎石面层,公路,2025.12.09,2026-06-25
21388972,cementing material,胶结材,公路,2025.12.09,2026-06-25
21388973,center line,中心线,公路,2025.12.09,2026-06-25
21388974,central reservation,中央保留区,公路,2025.12.09,2026-06-25
21388975,certificate of title,汽车行车执照,公路,2025.12.09,2026-06-25
21388976,changing lane,变换车道,公路,2025.12.09,2026-06-25
21388977,channelization,槽化；渠道化,公路,2025.12.09,2026-06-25
21388978,channelizing island,槽化岛,公路,2025.12.09,2026-06-25
21388979,charge for empty move,空驶费,公路,2025.12.09,2026-06-25
21388980,chartered bus,大客车包车,公路,2026.06.22,2026-06-25
21388983,chartered contract,租车合约；包车合约,公路,2025.12.09,2026-06-25
21388984,chatter bar,分向标钮,公路,2025.12.09,2026-06-25
21388985,chunk sample,块状土样,公路,2025.12.09,2026-06-25
21388986,cinder surface course,煤屑面层,公路,2025.12.09,2026-06-25
21388987,circumferential highway,环状公路,公路,2025.12.09,2026-06-25
21388988,city bus,市区公车,公路,2025.12.09,2026-06-25
21388989,clamshell,蚌壳式抓斗机,公路,2025.12.09,2026-06-25
21388990,classification counts,分类交通量调查,公路,2026.06.22,2026-06-25
21388991,classified rates,分等运价,公路,2025.12.09,2026-06-25
21388992,clay pipe,陶管,公路,2025.12.09,2026-06-25
21388993,clay-bound macadam base course,泥结碎石底层,公路,2025.12.09,2026-06-25
21388994,clear width of bridge,桥梁净宽,公路,2025.12.09,2026-06-25
21388995,coal tar,柏油,公路,2025.12.09,2026-06-25
21388996,coarse aggregate spreader,粗料撒铺机,公路,2025.12.09,2026-06-25
21388997,coarse graded asphalt plant-mix cold laid surface course,厂拌冷铺粗级配沥青面层,公路,2025.12.09,2026-06-25
21388998,coarse graded asphalt road-mix surface course,路拌粗级配沥青面层,公路,2025.12.09,2026-06-25
21388999,coastal highway,海岸公路,公路,2025.12.09,2026-06-25
