ID,英文名詞,中文名詞,詞類,審定日期,更新日期
21383598,abutment line,桥台线,桥梁工程,nan,2025-11-13
21383599,abutment wall,桥台躯体,桥梁工程,nan,2025-11-13
21383600,abutting joint,对抵接头；毗连接头,桥梁工程,nan,2025-11-13
21383601,accelerated bridge construction (ABC),快速桥梁施工,桥梁工程,nan,2025-11-13
21383602,accelerated bridge program (ABP) ,快速桥梁施工计划,桥梁工程,nan,2025-11-13
21383603,accidental discovery,遗址发掘,桥梁工程,nan,2025-11-13
21383604,acid Bessemer steel,酸性柏思麦钢 ,桥梁工程,nan,2025-11-13
21383605,acid open-hearth furnace,酸性平炉 ,桥梁工程,nan,2025-11-13
21383606,acid open-hearth process,酸性平炉法,桥梁工程,nan,2025-11-13
21383607,acid open-hearth steel,酸性平炉钢 ,桥梁工程,nan,2025-11-13
21383608,activity of cement,水泥活性,桥梁工程,nan,2025-11-13
21383609,actual horsepower,实际马力,桥梁工程,nan,2025-11-13
21383610,adiabatic curve,绝热曲线 ,桥梁工程,nan,2025-11-13
21383611,adjustable eye-bar,可调式眼杆,桥梁工程,nan,2025-11-13
21383612,adjustable key,活动扳手,桥梁工程,nan,2025-11-13
21383613,adjustable member,可调杆件,桥梁工程,nan,2025-11-13
21383614,adjusting key,活动扳手,桥梁工程,nan,2025-11-13
21383615,administration,主管机关,桥梁工程,nan,2025-11-13
21383616,adopt-a-bridge program,桥梁认养计划,桥梁工程,nan,2025-11-13
21383617,adulterant,掺假物,桥梁工程,nan,2025-11-13
21383618,adulteration,掺假 ,桥梁工程,nan,2025-11-13
21383619,advancing load stress,预加载重应力,桥梁工程,nan,2025-11-13
21383620,adze,锛；锛锄,桥梁工程,nan,2025-11-13
21383621,aesthetic requirement,美学要求,桥梁工程,nan,2025-11-13
21383622,air chamber,气室 ,桥梁工程,nan,2025-11-13
21383623,air compressor,空压机；空气压缩机,桥梁工程,nan,2025-11-13
21383624,air current,气流,桥梁工程,nan,2025-11-13
21383625,air cushion,气垫,桥梁工程,nan,2025-11-13
21383626,air cylinder,气缸 ,桥梁工程,nan,2025-11-13
21383627,air dolly,气动台车,桥梁工程,nan,2025-11-13
21383628,air gauge,气压计；气压表,桥梁工程,nan,2025-11-13
21383629,air gun,气枪,桥梁工程,nan,2025-11-13
21383630,air hammer,气锤 ,桥梁工程,nan,2025-11-13
21383631,air hoist,气压起重机,桥梁工程,nan,2025-11-13
21383632,air hose,输气管,桥梁工程,nan,2025-11-13
21383633,air line,航线；架空线；空气线,桥梁工程,nan,2025-11-13
21383634,air piston,气动活塞 ,桥梁工程,nan,2025-11-13
21383635,air pressure,气压,桥梁工程,nan,2025-11-13
21383636,air pump,空气泵；空气帮浦,桥梁工程,nan,2025-11-13
21383637,air reamer,气动铰孔机 ,桥梁工程,nan,2025-11-13
21383638,air riveter,气动铆钉枪,桥梁工程,nan,2025-11-13
21383639,air shaft,通风井 ,桥梁工程,nan,2025-11-13
21383640,air slaked lime,风化石灰 ,桥梁工程,nan,2025-11-13
21383641,air slaking,风化,桥梁工程,nan,2025-11-13
21383642,air working chamber,沉箱工作气室,桥梁工程,nan,2025-11-13
21383643,air-blast,气爆,桥梁工程,nan,2025-11-13
21383644,air-lift,气升器；气力起重机 ,桥梁工程,nan,2025-11-13
21383645,air-lift pump,气升泵,桥梁工程,nan,2025-11-13
21383646,air-lock,气锁室,桥梁工程,nan,2025-11-13
21383647,air-receiver,贮气箱；集气箱,桥梁工程,nan,2025-11-13
21383648,air-setting,空气固化,桥梁工程,nan,2025-11-13
21383649,algebraic curve,代数曲线 ,桥梁工程,nan,2025-11-13
21383650,alkaline copper quarternary (ACQ),碱性铜烷基铵化合物｛木材防腐剂｝,桥梁工程,nan,2026-05-22
21383651,alligator riveter,钳口铆钉机,桥梁工程,nan,2025-11-13
21383652,alligator wrench,鳄齿扳手,桥梁工程,nan,2025-11-13
21383653,allowable unit stress,容许单位应力,桥梁工程,nan,2025-11-13
21383654,alloy,合金,桥梁工程,nan,2025-11-13
21383655,alloy steel,合金钢,桥梁工程,nan,2025-11-13
21383656,alluvial deposition,冲积淤积；冲淤,桥梁工程,nan,2025-11-13
21383657,all-welded construction bridge,全銲接桥梁；全銲接施工桥梁,桥梁工程,nan,2026-05-22
21383658,alternate layout,替代方案；替选方案,桥梁工程,nan,2025-11-13
21383659,alternating current,交流电,桥梁工程,nan,2025-11-13
21383660,alternative layout,替选配置,桥梁工程,nan,2025-11-13
21383661,aluminum,铝,桥梁工程,nan,2025-11-13
21383662,aluminum bronze,铝青铜 ,桥梁工程,nan,2025-11-13
21383663,American Association of State and Highway Transportation Officials (AASHTO) ,美国国家公路与运输官员协会,桥梁工程,nan,2025-11-13
21383664,ammeter,电流计；安培计 ,桥梁工程,nan,2025-11-13
21383665,amorphous,非晶质 ,桥梁工程,nan,2025-11-13
21383666,amortization,资本摊提；摊销,桥梁工程,nan,2025-11-13
21383667,amount,总计；本利和,桥梁工程,nan,2025-11-13
21383668,anchor arm,锚定端边跨,桥梁工程,nan,2025-11-13
21383669,anchor bar,锚定棒,桥梁工程,nan,2025-11-13
21383670,anchor pier,锚定桥墩,桥梁工程,nan,2025-11-13
21383671,anchor plate,锚定板,桥梁工程,nan,2025-11-13
21383672,anchor shackle,锚接环,桥梁工程,nan,2025-11-13
21383673,anchor span,锚定端边跨,桥梁工程,nan,2025-11-13
21383674,angle,角钢；夹角,桥梁工程,nan,2025-11-13
21383675,angle clip,剪力连接角钢,桥梁工程,nan,2025-11-13
21383676,angle joint,斜接；角接,桥梁工程,nan,2025-11-13
21383677,angle lacing,角钢系条,桥梁工程,nan,2025-11-13
21383678,angle lug,短角铁；短角钢,桥梁工程,nan,2025-11-13
21383679,angle of friction,摩擦角,桥梁工程,nan,2025-11-13
21383680,angle of rupture,破裂角,桥梁工程,nan,2025-11-13
21383681,angle of torsion,扭角；扭转角,桥梁工程,nan,2025-11-13
21383682,angle shears,角铁剪切机,桥梁工程,nan,2025-11-13
21383683,angle strut,角钢支撑；角钢支柱；角钢支杆,桥梁工程,nan,2025-11-13
21383684,angle-iron,角钢,桥梁工程,nan,2025-11-13
21383685,angular fracture,角尖破裂；角端破裂,桥梁工程,nan,2025-11-13
21383686,angular strain,扭转应变；角应变,桥梁工程,nan,2025-11-13
21383687,angular velocity,角速度,桥梁工程,nan,2025-11-13
21383688,anneal,退火；回火；韧化,桥梁工程,nan,2025-11-13
21383689,annealing furnace,退火炉 ,桥梁工程,nan,2025-11-13
21383690,annual average daily traffic (AADT) ,年平均每日交通流量,桥梁工程,nan,2025-11-13
21383691,annual exceedance probability (AEP) ,年超越机率,桥梁工程,nan,2025-11-13
21383692,annuity,年金,桥梁工程,nan,2025-11-13
21383693,anvil,铁砧,桥梁工程,nan,2025-11-13
21383694,anvil vise,砧钳,桥梁工程,nan,2025-11-13
21383695,apex,桁架顶点,桥梁工程,nan,2025-11-13
21383696,apex load,桁架顶点载重,桥梁工程,nan,2025-11-13
21383697,apparent stress,视应力 ,桥梁工程,nan,2025-11-13
21383698,approach,引道,桥梁工程,nan,2025-11-13
21383699,approach embankment,引道路堤,桥梁工程,nan,2025-11-13
21383700,approach map,进桥版,桥梁工程,nan,2025-11-13
21383701,approach railing ,引道栏杆,桥梁工程,nan,2025-11-13
21383702,approach road,引道,桥梁工程,nan,2025-11-13
21383703,approach slab ,进桥版,桥梁工程,nan,2025-11-13
21383704,approach span,进桥版跨,桥梁工程,nan,2025-11-13
21383705,aquaduct,渡槽,桥梁工程,nan,2025-11-13
21383706,aqueduct,水道；渠道；渡槽；输水道,桥梁工程,nan,2025-11-13
21383707,arc,弧,桥梁工程,nan,2025-11-13
21383708,arch barrel,拱体筒圈,桥梁工程,nan,2025-11-13
21383709,arch buttress,拱扶壁；飞扶壁,桥梁工程,nan,2025-11-13
21383710,arch centre,拱支撑,桥梁工程,nan,2025-11-13
21383711,arch culvert,拱形桥涵,桥梁工程,nan,2025-11-13
21383712,arch dam,拱坝,桥梁工程,nan,2025-11-13
21383713,arch depth,拱深,桥梁工程,nan,2025-11-13
21383714,arch face,拱立面,桥梁工程,nan,2025-11-13
21383715,arch method,拱构法,桥梁工程,nan,2026-05-22
21383716,arch rib,拱肋,桥梁工程,nan,2025-11-13
21383717,arch ring,拱圈,桥梁工程,nan,2025-11-13
21383718,arch stone,拱石,桥梁工程,nan,2025-11-13
21383719,arch truss,拱式桁架,桥梁工程,nan,2025-11-13
21383720,archaeological investigation,考古调查,桥梁工程,nan,2025-11-13
21383721,archaeological plan,考古计划,桥梁工程,nan,2025-11-13
21383722,archaeological report,考古报告,桥梁工程,nan,2025-11-13
21383723,archaeological resource,考古资源,桥梁工程,nan,2025-11-13
21383724,archaeological technician,考古技术人员,桥梁工程,nan,2025-11-13
21383725,arch-back,拱背,桥梁工程,nan,2025-11-13
21383726,arched girder,拱形梁；拱梁,桥梁工程,nan,2025-11-13
21383727,arching action,拱势作用；拱作用,桥梁工程,nan,2025-11-13
21383728,architect,建筑师,桥梁工程,nan,2025-11-13
21383729,architect's rod,建筑师用标尺,桥梁工程,nan,2026-05-22
21383730,architects' scale,比例尺,桥梁工程,nan,2026-05-22
21383731,architectural historian,建筑史专家,桥梁工程,nan,2025-11-13
21383732,architectural rod,建筑杆件,桥梁工程,nan,2025-11-13
21383733,area moment,面积矩,桥梁工程,nan,2025-11-13
21383734,arithmetical progression,算术级数 ,桥梁工程,nan,2025-11-13
21383735,asbestos packing,石棉衬垫,桥梁工程,nan,2025-11-13
21383736,asbestos paper,石棉纸,桥梁工程,nan,2025-11-13
21383737,asphalt furnace,沥青炉,桥梁工程,nan,2025-11-13
21383738,asphalt rock,沥青岩 ,桥梁工程,nan,2025-11-13
21383739,asphalter,沥青工,桥梁工程,nan,2025-11-13
21383740,asphaltic mastic,沥青胶泥,桥梁工程,nan,2025-11-13
21383741,asphaltum,沥青,桥梁工程,nan,2025-11-13
21383742,assay balance,试金天平 ,桥梁工程,nan,2025-11-13
21383743,assay furnace,试金炉 ,桥梁工程,nan,2025-11-13
21383744,assemblage,组合；装配,桥梁工程,nan,2025-11-13
21383745,assembling bolt,组合螺栓；装配螺栓 ,桥梁工程,nan,2025-11-13
21383746,assembling hoist,起重机；吊车,桥梁工程,nan,2025-11-13
21383747,assistant engine,辅助引擎,桥梁工程,nan,2025-11-13
21383748,A-truss,A 形桁架,桥梁工程,nan,2026-07-09
21383749,auger,螺钻；螺钻机,桥梁工程,nan,2026-05-22
21383750,auger bit,螺旋钻头,桥梁工程,nan,2025-11-13
21383751,automatic gate,自动门,桥梁工程,nan,2025-11-13
21383752,automatic switch,自动开关,桥梁工程,nan,2025-11-13
21383753,average daily traffic (ADT) ,平均每日交通量,桥梁工程,nan,2025-11-13
21383754,average end-area formula,平均端面积计算公式,桥梁工程,nan,2025-11-13
21383755,average haul,平均运距,桥梁工程,nan,2025-11-13
21383756,avoidance,回避 ,桥梁工程,nan,2025-11-13
21383757,awl,锥子 ,桥梁工程,nan,2025-11-13
21383758,axe hammer,斧锤 ,桥梁工程,nan,2025-11-13
21383759,axed ashlar,斧劈方石,桥梁工程,nan,2025-11-13
21383760,axed dressing,斧劈饰面,桥梁工程,nan,2025-11-13
21383761,axed stone,斧劈石,桥梁工程,nan,2025-11-13
21383762,axial stress,轴应力,桥梁工程,nan,2025-11-13
21383763,axiom,公理 ,桥梁工程,nan,2025-11-13
21383764,axis,轴,桥梁工程,nan,2025-11-13
21383765,axis of gravity,重心轴,桥梁工程,nan,2025-11-13
21383766,axis of perspectivity,透视轴,桥梁工程,nan,2025-11-13
21383767,axis of pressure,压力轴,桥梁工程,nan,2025-11-13
21383768,axis of resistance,反力轴,桥梁工程,nan,2025-11-13
21383769,axis of rotation,旋转轴,桥梁工程,nan,2025-11-13
21383770,axle concentration,轴集中力,桥梁工程,nan,2025-11-13
21383771,B. & O. punch,铆钉冲出机,桥梁工程,nan,2025-11-13
21383772,B. and O,铆钉冲出机,桥梁工程,nan,2025-11-13
21383773,Babbitt metal,巴比特合金,桥梁工程,nan,2025-11-13
21383774,back speed,车床二速档；后退速,桥梁工程,nan,2025-11-13
21383775,backing,背衬；支撑；背填,桥梁工程,nan,2025-11-13
21383776,backing-out punch,铆钉冲出机,桥梁工程,nan,2025-11-13
21383777,back-lash,轮齿隙 ,桥梁工程,nan,2025-11-13
21383778,back-sight,后视 ,桥梁工程,nan,2025-11-13
21383779,backstay,背拉索 ,桥梁工程,nan,2025-11-13
21383780,back-stay,背拉索 ,桥梁工程,nan,2025-11-13
21383781,backstay cable,背拉索 ,桥梁工程,nan,2025-11-13
21383782,backwall,桥台背墙,桥梁工程,nan,2025-11-13
21383783,backwater,壅水,桥梁工程,nan,2025-11-13
21383784,Bailey bridge,倍力桥 ,桥梁工程,nan,2025-11-13
21383785,balance beam,天平杆,桥梁工程,nan,2025-11-13
21383786,balance blocks,配重块；平衡块,桥梁工程,nan,2025-11-13
21383787,balance crane,平衡式起重机,桥梁工程,nan,2025-11-13
21383788,balanced cantilever,平衡悬臂,桥梁工程,nan,2025-11-13
21383789,balanced load stress,平衡载重应力,桥梁工程,nan,2025-11-13
21383790,bale hook,捆钩,桥梁工程,nan,2025-11-13
21383791,balk,大木梁,桥梁工程,nan,2025-11-13
21383792,ball bearing,球形支承,桥梁工程,nan,2025-11-13
21383793,ball check valve,球形止回阀 ,桥梁工程,nan,2025-11-13
21383794,ball cock,浮球阀,桥梁工程,nan,2025-11-13
21383795,ball iron,熟铁球,桥梁工程,nan,2025-11-13
21383796,ball joint,球接头；球窝接头,桥梁工程,nan,2025-11-13
