ID,英文名稱,中文名稱,圖片,更新日期
150611,psychophysical quantity,心理物理量,,2012-11-26
150612,psychophysical method,心理物理法,,2012-11-26
150613,psychomotor task,心理动作工作,,2012-11-26
150614,psychomotor ability,心理动作能力,,2012-11-26
150615,psychometrics,心理量测学,,2012-11-26
150616,pseudo random number,虚拟乱数,,2012-11-26
150617,pseude code,虚拟码,,2012-11-26
150618,proximity sensor,近似感测,,2012-11-26
150619,proximal stimuli,中继刺激,,2012-11-26
150620,prototyping,雏型法,,2012-11-26
150621,prototype,雏型,,2012-11-26
150622,protocol,通讯协定,,2012-11-26
150623,protocol description,协议说明,,2012-11-26
150624,protective coating,防护涂层,,2012-11-26
150625,protective clothing,防护衣,,2012-11-26
150626,prospective value,预期价值,,2012-11-26
150627,prospective rate of return,预期报酬率,,2012-11-26
150628,prospective price level,预期价格水准,,2012-11-26
150629,prospective differential price,预期差别取价,,2012-11-26
150630,proprioceptor,本体刺激感受器,,2012-11-26
150631,proposal form,提案计划书,,2012-11-26
150632,proportional-integral-derivative control,比例性微积分控制,,2012-11-26
150633,proportional control,比例控制,,2012-11-26
150634,property damage accident (PDA),财物损失事故,,2012-11-26
150635,project scheduling and control,专案排程与管制,,2012-11-26
150636,project network,专案网路,,2012-11-26
150637,project management,专案管理,,2012-11-26
150638,project,专案计划,,2012-11-26
150639,progression wage,职级薪资,,2012-11-26
150640,progress report,进度报告,,2012-11-26
150641,progress curve,进度曲线,,2012-11-26
150642,progress chart,进度图,,2012-11-26
150643,programming problem,规划问题,,2012-11-26
150644,programming language,程式语言,,2012-11-26
150645,programming,程式设计,,2012-11-26
150646,programmer,程式设计员,,2012-11-26
150647,programmable formula file,可程式公式档,,2012-11-26
150648,programmable control (PC),可程式控制,,2012-11-26
150649,program testing,程式测试,,2012-11-26
150650,program structure,程式结构,,2012-11-26
150651,program scan,程式搜巡,,2012-11-26
150652,program library,程式库,,2012-11-26
150653,program graph,程式图,,2012-11-26
150654,program evaluation and review technique (PERT),计划评核术,,2012-11-26
150655,program documentation,程式说明书,,2012-11-26
150656,program development cycle,程式发展周期,,2012-11-26
150657,program design language (PDL),程式设计语言,,2012-11-26
150658,program control,程式控制,,2012-11-26
150659,program coding,编写程式,,2012-11-26
150660,program,程式；计划,,2012-11-26
150661,profitability index,获利力指标,,2012-11-26
150662,profit sharing,利润分享,,2012-11-26
150663,profit range,利润范围,,2012-11-26
150664,profit and loss statement,损益表,,2012-11-26
150665,profile,轮廓；态势,,2012-11-26
150666,productivity metrics,生产力衡量法,,2012-11-26
150667,productivity index,生产力指数,,2012-11-26
150668,productivity,生产力,,2012-11-26
150669,productive time,生产时间,,2012-11-26
150670,productive labor,生产人力,,2012-11-26
150671,production test,生产测试,,2012-11-26
150672,production supervisor,生产督导人员,,2012-11-26
150673,production study,生产研究,,2012-11-26
150674,production station,生产工作站,,2012-11-26
150675,production standard,生产标准,,2012-11-26
150676,production smoothing problem,生产平滑问题,,2012-11-26
150677,production scheduling,生产排程,,2012-11-26
150678,production run,生产运作时间,,2012-11-26
150679,production routing,生产途程,,2012-11-26
150680,production record,生产记录,,2012-11-26
150681,production rate change cost,生产率变动成本,,2012-11-26
150682,production rate,生产率,,2012-11-26
150683,production process control,生产程序控制,,2012-11-26
150684,production process,生产程序,,2012-11-26
150685,production policies,生产政策,,2012-11-26
150686,production planning,生产规划,,2012-11-26
150687,production oriented coding system,生产导向编码系统,,2012-11-26
150688,production monitoring,产程监控,,2012-11-26
150689,production management cycle,生产管理周期,,2012-11-26
150690,production line,生产线,,2012-11-26
150691,production level,生产水准,,2012-11-26
150692,production hour,生产时数,,2012-11-26
150693,production function,生产函数,,2012-11-26
150694,production flow analysis (PFA),生产流程分析,,2012-11-26
150695,production efficiency,生产效率,,2012-11-26
150696,production cycle,生产周期,,2012-11-26
150697,production control,生产管制,,2012-11-26
150698,production center method,生产中心法,,2012-11-26
150699,production capacity,产能,,2012-11-26
150700,production and inventory planning and control,生产与存货规划控制,,2012-11-26
150701,product structure tree,产品结构树,,2012-11-26
150702,product structure file,产品结构档,,2012-11-26
150703,product software,产品软体,,2012-11-26
150704,product mix,产品组合,,2012-11-26
150705,product liability (PL),产品责任,,2012-11-26
150706,product layout,产品导向布置,,2012-11-26
150707,product group forecast,产品群预测,,2012-11-26
150708,product group,产品群,,2012-11-26
150709,product flow,产品流程,,2012-11-26
150710,product development,产品开发,,2012-11-26
150711,product design,产品设计,,2012-11-26
150712,product data,产品资料,,2012-11-26
150713,product cost comparison,产品成本比较,,2012-11-26
150714,product assurance,产品保证,,2012-11-26
150715,product analysis,产品分析,,2012-11-26
150716,producibility,可生产性,,2012-11-26
150717,producer's risk,生产者风险,,2012-11-26
150718,procurement cost,取得成本,,2012-11-26
150719,processor,处理器,,2012-11-26
150720,processing program,处理程式,,2012-11-26
150721,process time schedule,程序时间表,,2012-11-26
150722,process time,程序时间,,2012-11-26
150723,process sheet,程序表,,2012-11-26
150724,process sequencing,制程排序,,2012-11-26
150725,process selection problem,程序挑选问题,,2012-11-26
150726,process quality,过程品质,,2012-11-26
150727,process planning,程序规划,,2012-11-26
150728,process plan,制程计划,,2012-11-26
150729,process layout,程序导向布置,,2012-11-26
150730,process instruction,制程解说,,2012-11-26
150731,process engineer,程序工程师,,2012-11-26
150732,process detailing,制程细节化,,2012-11-26
150733,process design,程序设计,,2012-11-26
150734,process control computer,程序控制电脑,,2012-11-26
150735,process control chart,程序控制图,,2012-11-26
150736,process control,制程管制,,2012-11-26
150737,process chart symbols,程序图符号,,2012-11-26
150738,process capability,制程能力,,2012-11-26
150739,process chart,程序图,,2012-11-26
150740,process analysis,程序分析,,2012-11-26
150741,process,程序；制程,,2012-11-26
150742,procedure design,程序设计,,2012-11-26
150743,procedure chart,程序图,,2012-11-26
150744,procedure,电脑程序,,2012-11-26
150745,procedural task,程序性工作,,2012-11-26
150746,procedural language,程序性语言,,2012-11-26
150747,procedural cohesion,程序紧密性,,2012-11-26
150748,problem-solving system,问题解决系统,,2012-11-26
150749,problem-solving capability,问题解决能力,,2012-11-26
150750,problem space,问题领域,,2012-11-26
150751,probationary employee,试用员工,,2012-11-26
