ID,英文名稱,中文名稱,圖片,更新日期
263563,seam,缝,,2012-11-26
263564,script,草体字母,,2012-11-26
263565,scriber,划线器,,2012-11-26
263566,screw-thread class,螺纹配合等级,,2012-11-26
263567,screw thread,螺纹,,2012-11-26
263568,screw pitch gage,螺距规,,2012-11-26
263569,screw flange joint,螺钉凸缘接头,,2012-11-26
263570,screw & nut template,螺钉螺帽模板,,2012-11-26
263571,screw,1.螺旋 2.螺钉 3.螺杆,,2012-11-26
263572,screen,1.网 2.网线(印刷),,2012-11-26
263573,scratch paper,草稿纸,,2012-11-26
263574,scratch board drawing,草图,,2012-11-26
263575,scratch board,草图板,,2012-11-26
263576,scrap,废料,,2012-11-26
263577,scorch-pencil,炭笔,,2012-11-26
263578,scheming,规划,,2012-11-26
263579,scheme of wiring,线路略图,,2012-11-26
263580,scheme of colors,配色法,,2012-11-26
263581,schematic sketch,示意草图,,2012-11-26
263582,schematic drawing,"示意图,略图",,2012-11-26
263583,schematic diagram,"示意图,略图",,2012-11-26
263584,schedule number,编定号码(管厚),,2012-11-26
263585,scatter diagram,点图表,,2012-11-26
263586,scarf weld,1.斜面熔接 2.嵌锻接,,2012-11-26
263587,scarf joint,嵌接头,,2012-11-26
263588,scalene triangle,不等边三角形,,2012-11-26
263589,scalene right triangle,不等边直角三角形,,2012-11-26
263590,scalene obtuse triangle,不等边钝角三角形,,2012-11-26
263591,scale value,比例数值,,2012-11-26
263592,scale rule,1.尺 2.比例尺,,2012-11-26
263593,scale paper,格子纸,,2012-11-26
263594,scale of foreshortening,缩尺,,2012-11-26
263595,scale of drawing,制图比例,,2012-11-26
263596,scale of chord,弦线量角度尺,,2012-11-26
263597,scale layout of piping,复线管系图,,2012-11-26
263598,scale caption,比例尺标释,,2012-11-26
263599,scale,1.比例 2.比例尺 3.尺 4.标度,,2012-11-26
263600,sanitary ware,卫生器材,,2012-11-26
263601,sanitary installation,卫生设备,,2012-11-26
263602,sanitary fittings,卫生设备配件,,2012-11-26
263603,sandwich material,夹层材料,,2012-11-26
263604,sandpaper pad,砂纸板,,2012-11-26
263605,sandpaper file,砂纸板,,2012-11-26
263606,sandpaper block,砂纸板,,2012-11-26
263607,sand paper,砂纸,,2012-11-26
263608,sand dunes,沙丘,,2012-11-26
263609,sand clay,沙黏土,,2012-11-26
263610,sand casting,砂模铸造,,2012-11-26
263611,sand blasting,喷砂,,2012-11-26
263612,sand,砂,,2012-11-26
263613,sampling length,取样长度(表面粗糙度),,2012-11-26
263614,sample,样品,,2012-11-26
263615,salt marsh,咸水沼泽,,2012-11-26
263616,sag ties,系杆(建筑),,2012-11-26
263617,safety valve,安全阀,,2012-11-26
263618,safety switch,安全开关,,2012-11-26
263619,safety glass,安全玻璃,,2012-11-26
263620,safe load,安全负荷,,2012-11-26
263621,safe light,安全灯(红灯),,2012-11-26
263622,safe guard,安全设备,,2012-11-26
263623,SAE steels,SAE规格钢,,2012-11-26
263624,SAE Standards,SAE标准,,2012-11-26
263625,SAE Standard thread,SAE标准螺纹,,2012-11-26
263626,SAE number,SAE编号,,2012-11-26
263627,saddle-shape surface,鞍形面,,2012-11-26
263628,saddle key,鞍形键,,2012-11-26
263629,rust-proof,防锈,,2012-11-26
263630,rustless steel,不锈钢,,2012-11-26
263631,rust,锈,,2012-11-26
263632,runway,跑道,,2012-11-26
263633,runout tolerance,偏转公差,,2012-11-26
263634,runout,1.偏转 2.螺纹退刀,,2012-11-26
263635,run of slope,水平距(斜度),,2012-11-26
263636,running fit,转动配合,,2012-11-26
263637,ruling pen,鸭嘴笔，直线笔,,2012-11-26
263638,ruler,尺,,2012-11-26
263639,ruled surface,直纹面,,2012-11-26
263640,ruled space,格线空间,,2012-11-26
263641,ruled projector,投影线（投射线的投影）,,2012-11-26
263642,ruled off,以直线分隔,,2012-11-26
263643,ruled line & short zigzag,长折断线,,2012-11-26
263644,ruled line,用仪器画的线,,2012-11-26
263645,rule of stability,[字法]稳定原则,,2012-11-26
263646,rule,1.尺 2.规则,,2012-11-26
263647,ruby pencil eraser,粉红色软橡皮,,2012-11-26
263648,rubber stamp,橡皮印章,,2012-11-26
263649,rubber,橡皮,,2012-11-26
263650,row of letters,字行,,2012-11-26
263651,routing diagram,程序图,,2012-11-26
263652,route chart,过程图表，路线图表,,2012-11-26
263653,roundness,正圆度,,2012-11-26
263654,round-head square-neck bolt,圆头方颈螺栓,,2012-11-26
263655,round-head short square-neck bolt,圆头短方颈螺栓,,2012-11-26
263656,round-head bolt,圆头螺栓,,2012-11-26
263657,rounded end,圆头,,2012-11-26
263658,round point,锥形[铅]笔尖,,2012-11-26
263659,round out,修圆,,2012-11-26
263660,round off,舍入,,2012-11-26
263661,round nut,圆[形]螺帽,,2012-11-26
263662,round head cap screw,圆头螺钉,,2012-11-26
263663,round,外圆角,,2012-11-26
263664,roughness-width cut-off,粗糙度截取长度,,2012-11-26
263665,roughness width,粗糙度宽,,2012-11-26
263666,roughness value,粗糙度值,,2012-11-26
263667,roughness height,粗糙度高,,2012-11-26
263668,roughness grade number,粗糙度等级,,2012-11-26
263669,roughness,粗糙度(表面),,2012-11-26
263670,rough work,粗工,,2012-11-26
263671,rough surface,粗糙面,,2012-11-26
263672,rough model,粗模,,2012-11-26
263673,rough hardware,门窗五金,,2012-11-26
263674,rough bore,粗搪,,2012-11-26
263675,rotation,旋转,,2012-11-26
263676,rotated section,旋转剖面,,2012-11-26
263677,rotary switch,旋转电钮,,2012-11-26
263678,root-mean-square value,均方根值,,2012-11-26
263679,root surface,齿底面,,2012-11-26
263680,root penetration,熔透量,,2012-11-26
263681,root opening,根间隙（熔接）,,2012-11-26
263682,root line,1.螺纹谷线 2.齿底线,,2012-11-26
263683,root diameter,小径（螺纹）,,2012-11-26
263684,root cylinder,齿底圆柱面,,2012-11-26
263685,root cone,齿底圆锥面,,2012-11-26
263686,root circle,齿底圆,,2012-11-26
263687,root,1.根 2.谷（螺纹）,,2012-11-26
263688,roofing material,屋面材料,,2012-11-26
263689,roofing,1.屋面 2.屋面料,,2012-11-26
263690,roof tile,屋瓦,,2012-11-26
263691,roof gutter,屋顶排水沟，屋顶排水管,,2012-11-26
263692,roof garden,屋顶花园,,2012-11-26
263693,roof,屋顶,,2012-11-26
263694,Roman letter,罗马体字法,,2012-11-26
263695,rollpin,弹簧销,,2012-11-26
263696,rolling circle,滚圆,,2012-11-26
263697,rolled steel,轧制钢,,2012-11-26
263698,rolled shape,轧制型材,,2012-11-26
263699,rolled section,辊轧型材,,2012-11-26
263700,roll,辊,,2012-11-26
263701,rod,标尺,,2012-11-26
263702,Rockwell hardness (HRC),洛氏硬度,,2012-11-26
263703,road,道路,,2012-11-26
263704,riveted standing seam,加铆站缝,,2012-11-26
263705,riveted lap joint,搭铆接合,,2012-11-26
263706,rivet symbol,铆钉符号,,2012-11-26
263707,riser diagram,1.升流图（电）2.升位图（管路）,,2012-11-26
263708,rise of slope,升坡,,2012-11-26
263709,rise of parabola,抛物线纵距,,2012-11-26
263710,ring head bow,环头弹簧圆规,,2012-11-26
263711,ring gage,环规,,2012-11-26
263712,ring,环，圈,,2012-11-26
263713,rim,轮缘,,2012-11-26
263714,right-hand view,右侧视图,,2012-11-26
263715,right-hand thread,右[旋]螺纹,,2012-11-26
263716,right-hand part,右手件,,2012-11-26
263717,right triangular prism,直三角柱,,2012-11-26
263718,right solid,正立体,,2012-11-26
263719,right side view,右侧视图,,2012-11-26
263720,right side plane,右侧投影面,,2012-11-26
263721,right section,正剖面，正断面,,2012-11-26
263722,right pyramid,直角锥,,2012-11-26
263723,right prism,直角柱,,2012-11-26
263724,right hexagonal prism,直六角柱,,2012-11-26
263725,right helicoid,正螺旋面,,2012-11-26
263726,right elevation,右侧视图，右立面图,,2012-11-26
263727,right cylinder,直圆柱,,2012-11-26
263728,right conoid,直劈锥面,,2012-11-26
263729,right cone,直圆锥,,2012-11-26
263730,right circular cylinder,直圆柱,,2012-11-26
263731,right circular cone,直圆锥,,2012-11-26
263732,right auxiliary view,右辅助视图,,2012-11-26
263733,right auxiliary,右辅助视图,,2012-11-26
263734,right angle,直角,,2012-11-26
263735,right [angle] triangle,直角三角形,,2012-11-26
263736,rib,肋,,2012-11-26
263737,rhumb,罗盘方位,,2012-11-26
263738,rhombus quadrilateral,菱形，斜方形,,2012-11-26
263739,rhombus,菱形，斜方形,,2012-11-26
263740,rhomboid quadrilateral,菱形，斜方形,,2012-11-26
263741,rhomboid,菱形，斜方形,,2012-11-26
263742,rhombohedron,斜方六面体,,2012-11-26
263743,rhombic pyramid,斜方角锥,,2012-11-26
263744,rhombic prism,斜方角柱,,2012-11-26
263745,revolved section,旋转剖面,,2012-11-26
263746,revolution,旋转,,2012-11-26
263747,revision table,更改表,,2012-11-26
263748,revision of dimension,尺寸更改,,2012-11-26
263749,revision,更改,,2012-11-26
263750,reversible method,逆求法,,2012-11-26
263751,reversed isometric drawing,反向等角图,,2012-11-26
263752,reverse curve,反向曲线,,2012-11-26
263753,reverse bevel,顺斜（量尺）,,2012-11-26
263754,reverse axes,反向轴线,,2012-11-26
263755,return pathway,回路（电）,,2012-11-26
263756,return circuit,回路（电）,,2012-11-26
263757,return bend,廻弯接头，U形接头,,2012-11-26
263758,resistor,电阻器,,2012-11-26
263759,resistance welding,电阻熔接,,2012-11-26
263760,resistance element,电阻件,,2012-11-26
263761,resident engineer,驻场工程师,,2012-11-26
263762,reserve capacity,储存量,,2012-11-26
263763,required  line,求作线,,2012-11-26
263764,reprographic process,影印,,2012-11-26
263765,reproduction of drawing,图之复制,,2012-11-26
263766,reproduction method,复制方法,,2012-11-26
263767,reproduced chart,复制图表,,2012-11-26
263768,representative fraction（RF）,缩尺分数,,2012-11-26
263769,representation,表示,,2012-11-26
263770,repetative information,重复形态,,2012-11-26
263771,repetative feature,重复形态,,2012-11-26
263772,repeated detail,重复形态,,2012-11-26
263773,repeat line,细节省略线,,2012-11-26
263774,repair chart,修护图表,,2012-11-26
263775,rendering,精描图，写实图,,2012-11-26
263776,rendered drawing,描写图,,2012-11-26
263777,removed section,移转剖面,,2012-11-26
263778,removed pencil,铅笔尖（圆规）,,2012-11-26
263779,remark,备注,,2012-11-26
263780,relief symbol,地形高低符号,,2012-11-26
263781,relief map,等高线地图,,2012-11-26
263782,relief,1.隙槽 2.让面 3.离隙 4.起伏,,2012-11-26
263783,relay coil,继电器线圈,,2012-11-26
263784,relay,1.继电器，电驿 2.继动器,,2012-11-26
263785,relative position of views,各视图排列位置,,2012-11-26
263786,relative position,相对位置,,2012-11-26
263787,relative location,相关位置（地图）,,2012-11-26
263788,relative elevation,相对高度（地图）,,2012-11-26
263789,Reinhardt letter,斜体小楷字母,,2012-11-26
263790,Reinhardt alphabet,斜体小楷字母,,2012-11-26
263791,reinforcing steel area,钢筋截面积,,2012-11-26
263792,reinforcing steel,钢筋,,2012-11-26
263793,regular thread symbol,螺纹正规符号（美式）,,2012-11-26
263794,regular tetrahedron,正四面体,,2012-11-26
263795,regular symbol,螺纹正规符号（美式）,,2012-11-26
263796,regular solid,正多面体,,2012-11-26
263797,regular series,正规级,,2012-11-26
263798,regular scale,常用比例,,2012-11-26
263799,regular pyramid,正角锥体,,2012-11-26
263800,regular proportion,常用比例,,2012-11-26
263801,regular polyhedron,正多面体,,2012-11-26
263802,regular polygon,正多边形,,2012-11-26
263803,regular pattern,正规模式,,2012-11-26
263804,regular octahedron,正八面体,,2012-11-26
263805,regular internal-thread symbol,内螺纹正规符号（美式）,,2012-11-26
263806,regular icosahedron,正二十面体,,2012-11-26
263807,regular hexahedron,正六面体,,2012-11-26
263808,regular external-thread symbol,外螺纹正规符号（美式）,,2012-11-26
263809,regular dodecahedron,正二十面体,,2012-11-26
263810,regular curve,正则曲线,,2012-11-26
263811,regional plan,区域图,,2012-11-26
263812,regardless of feature size (RFS),不考虑形态尺寸,,2012-11-26
263813,refractory material,耐火材料,,2012-11-26
263814,reflex angle,优角,,2012-11-26
263815,reflector,反光面,,2012-11-26
263816,referenced document,参考文件,,2012-11-26
263817,reference view,参考视图,,2012-11-26
263818,reference standard,参考标准,,2012-11-26
263819,reference point,参考基准点,,2012-11-26
263820,reference plane（RP）,参考基准面,,2012-11-26
263821,reference number,索引号码,,2012-11-26
263822,reference material,1.标准材料 2.参考资料,,2012-11-26
263823,reference mark,参考标记,,2012-11-26
263824,reference manual,参考手册,,2012-11-26
263825,reference line,1.本线，主线 2.基准线,,2012-11-26
263826,reference letter,索引字母,,2012-11-26
263827,reference dimension,参考尺寸,,2012-11-26
263828,reference,1.参考 2.指定事项 3.基准,,2012-11-26
263829,redundant dimension,多余尺寸,,2012-11-26
263830,reducing pipe,渐缩管，异径管接头,,2012-11-26
263831,reducer,渐缩管，异径管接头,,2012-11-26
263832,reduced view,缩小视图,,2012-11-26
263833,reduced size drawing,缩尺图,,2012-11-26
263834,reduced scale,缩尺,,2012-11-26
263835,reduced microfilm,微片,,2012-11-26
263836,reduced diameter,缩小直径,,2012-11-26
263837,rectilinear generatrix,直演生线,,2012-11-26
263838,rectilinear element,直元线,,2012-11-26
263839,rectilinear directrix,直准线,,2012-11-26
263840,rectilinear coordinates,直线坐标,,2012-11-26
263841,rectilinear chart,直角坐标图表,,2012-11-26
263842,rectangular quadrilateral,矩形，长方形,,2012-11-26
263843,rectangular pyramid,矩形锥,,2012-11-26
263844,rectangular prism,长方柱，矩形棱柱,,2012-11-26
263845,rectangular plot,直角坐标点绘,,2012-11-26
263846,rectangular parallelopiped,长方体,,2012-11-26
263847,rectangular object,矩形物,,2012-11-26
263848,rectangular hyperbola,直角双曲线,,2012-11-26
263849,rectangular frame,矩形框,,2012-11-26
263850,rectangular form,矩形，长方形,,2012-11-26
263851,rectangular coordinates,直角坐标,,2012-11-26
263852,rectangular coordinate dimensioning,直角坐标注尺寸法,,2012-11-26
263853,rectangle,矩形，长方形,,2012-11-26
263854,recording card,记录卡,,2012-11-26
263855,reciprocal spiral,倒数蜗线,,2012-11-26
263856,recessed head,十字穴头,,2012-11-26
263857,receding plane,1.退隐面（垂直于主投影面之平面）2.后退面,,2012-11-26
263858,receding line,1.退隐线（垂直于主投影面之直线）2.后退线,,2012-11-26
263859,rear view,后视图,,2012-11-26
263860,rear elevation,后立面图，后视图,,2012-11-26
263861,rear auxiliary,后辅助视图,,2012-11-26
263862,reaming,绞,,2012-11-26
263863,reamed hole,绞光孔,,2012-11-26
263864,real dimension,实际尺寸,,2012-11-26
263865,reading direction,识图方向,,2012-11-26
263866,readability,易读性,,2012-11-26
263867,rays of light,光线,,2012-11-26
263868,ray of projection,投射线,,2012-11-26
263869,ray,射线,,2012-11-26
263870,ratio dividers,比例分规,,2012-11-26
263871,ratio chart,比率图表,,2012-11-26
263872,ratio,比，比率,,2012-11-26
263873,rate-of-change chart,变率图表,,2012-11-26
263874,rapid,急湍,,2012-11-26
263875,range of scale,标度范围,,2012-11-26
263876,railway,铁路,,2012-11-26
263877,railroad pen,双线笔,,2012-11-26
263878,railroad,铁路,,2012-11-26
263879,ragged break line,不整齐折断线,,2012-11-26
263880,radius vector,向径,,2012-11-26
263881,radius template,圆角模板,,2012-11-26
263882,radius tangent template,圆弧切线模板,,2012-11-26
263883,radius of curvature,曲率半径,,2012-11-26
263884,radius gage,半径规,,2012-11-26
263885,radius,半径,,2012-11-26
263886,radio compass station,无线电罗盘站,,2012-11-26
263887,radii,半径（radius的复数）,,2012-11-26
263888,radiating rays,幅射光线,,2012-11-26
263889,radial section,径向剖面,,2012-11-26
263890,radial runout,径向偏转,,2012-11-26
263891,radial projection,辐射投影,,2012-11-26
263892,radial hole pattern,径向孔模式,,2012-11-26
263893,radial element,径向元线,,2012-11-26
263894,radial division line,中心角等分线,,2012-11-26
263895,radial dimension,径向尺寸,,2012-11-26
263896,radial bearing,径向轴承,,2012-11-26
263897,rack,齿条,,2012-11-26
263898,rabbet diameter,槽口直径,,2012-11-26
263899,rabbet,槽口，嵌槽,,2012-11-26
263900,quick-action bow,速调弹簧圆规,,2012-11-26
263901,quartile,四等分,,2012-11-26
263902,quarter turn,直角廻转,,2012-11-26
263903,quarter size,1：4缩尺,,2012-11-26
263904,quarter scale,1/4〞=1′之比例尺,,2012-11-26
263905,quarter circle,四分之一圆,,2012-11-26
263906,quarter bend,直角弯管,,2012-11-26
263907,quarter,四分之一,,2012-11-26
263908,quantity-production work,大量生产工作,,2012-11-26
263909,quantity-production system,大量生产制度,,2012-11-26
263910,quantity-production method,大量生产方法,,2012-11-26
263911,quality of fit,配合等级,,2012-11-26
263912,quadruple-start thread,四纹螺纹,,2012-11-26
263913,quadruple screw,四纹螺杆,,2012-11-26
263914,quadrilateral,四边形,,2012-11-26
263915,quadratic surface,二次曲面,,2012-11-26
263916,quadrant,象限,,2012-11-26
263917,quadrangle sheet,长方形纸,,2012-11-26
263918,pyramid,角锥,,2012-11-26
263919,push fit,推入配合,,2012-11-26
263920,push button top,自动铅笔按钮,,2012-11-26
263921,push button [switch],按钮开关,,2012-11-26
263922,purlin,檩条（建筑）,,2012-11-26
263923,punctuation mark,标点符号,,2012-11-26
263924,punch mark,冲点记号,,2012-11-26
263925,pumpkin-seed form,瓜子形（字法）,,2012-11-26
263926,pump compass,点圆规,,2012-11-26
263927,pseudo-pictorial representation,非透视立体表示法,,2012-11-26
263928,pseudo cylindrical surface,拟圆柱曲面,,2012-11-26
263929,pseudo conic surface,拟圆锥曲面,,2012-11-26
263930,protractor,量角器,,2012-11-26
263931,prototypes & design detailing,造型设计,,2012-11-26
263932,prototype,雏型,,2012-11-26
263933,proportional scale,比例尺,,2012-11-26
263934,proportional method,比例法,,2012-11-26
