ID,英文名稱,中文名稱,圖片,更新日期
721473,reduced stress,等效应力,,2012-11-26
721474,reduced moment,等效矩,,2012-11-26
721475,reduced mass of a mechanism,机构之等效质量,,2012-11-26
721476,reduced force,等效力,,2012-11-26
721477,rectilinear translation,直线平移,,2012-11-26
721478,rectilinear motion,直线运动,,2012-11-26
721479,reciprocating motion,往复运动,,2012-11-26
721480,reciprocating cam follower,往复从动件,,2012-11-26
721481,receptance,位移响应（振动）,,2012-11-26
721482,receding side,退出侧（皮带轮）,,2012-11-26
721483,real part of dual quantity,双量之实部,,2012-11-26
721484,reaction,反作用，反作用力,,2012-11-26
721485,Rayleigh dissipation function,Rayleigh散逸函数,,2012-11-26
721486,ratio,比，比率,,2012-11-26
721487,ratchet wheel,棘轮,,2012-11-26
721488,ratchet mechanism,棘轮机构,,2012-11-26
721489,ratchet,棘轮,,2012-11-26
721490,Rapson slide,Rapson滑行装置,,2012-11-26
721492,random vibration,随机振动,,2012-11-26
721493,random process,随机程序,,2012-11-26
721494,random,随机的,,2012-11-26
721495,ram,撞锤,,2012-11-26
721496,radius of the throat,喉半径（蜗轮）,,2012-11-26
721497,radius of gyration,回转半径,,2012-11-26
721498,radius of curvature,曲率半径,,2012-11-26
721499,radius,半径,,2012-11-26
721500,radian,弪，弪度,,2012-11-26
721501,radial component,径〔向〕分量,,2012-11-26
721502,radial cam follower,径向从动件,,2012-11-26
721503,rack,齿条,,2012-11-26
721504,r.m.s. value,均方根值,,2012-11-26
721505,quinary link,五接头杆,,2012-11-26
721506,quick-return mechanism,急回机构,,2012-11-26
721507,quaternion,四数,,2012-11-26
721508,quaternary link,四接头杆,,2012-11-26
721509,quartic of derivative curvature,导数曲率四次曲线,,2012-11-26
721510,quantity,量,,2012-11-26
721511,quality factor,品质因子，品质因数（振动）,,2012-11-26
721513,quadratic transformation,二次变换,,2012-11-26
721514,Q-factor,品质因子，品质因数（振动）,,2012-11-26
721515,pulsating load,脉动负载,,2012-11-26
721516,pulley,1.皮带轮；2.滑轮,,2012-11-26
721517,proximity sense,近接感度（机器人）,,2012-11-26
721518,proximal,近躯端（机器人）,,2012-11-26
721519,prosthetic device,义肢,,2012-11-26
721520,proportional mechanism,比例机构,,2012-11-26
721521,proportional control,比例控制,,2012-11-26
721522,proper vector,固有振动模态,,2012-11-26
721523,pronation,内下运动（机器人）,,2012-11-26
721524,prolate trochoid,长次摆线,,2012-11-26
721525,programming,1.程式设计；2.规划,,2012-11-26
721526,programmable manipulator,可程式机械臂,,2012-11-26
721528,profile,轮廓，外形,,2012-11-26
721529,product of inertia,惯性积,,2012-11-26
721530,process,程序,,2012-11-26
721531,prismatic pair,棱柱〔运动〕对,,2012-11-26
721532,principle of virtual work,虚功原理,,2012-11-26
721533,principle of motion of centre/center of mass,质心运动原理,,2012-11-26
721534,principle of motion of centre of mass,质心运动原理,,2012-11-26
721535,principle of momentum,动量原理,,2012-11-26
721536,principle of moment of momentum,角动量原理,,2012-11-26
721537,principle of energy,能量原理,,2012-11-26
721538,principle of conservation of momentum,动量守恒原理,,2012-11-26
721539,principle of conservation of moment of momentum,角动量守恒原理,,2012-11-26
721540,principle of conservation of energy,能量守恒原理,,2012-11-26
721541,principle,原理,,2012-11-26
721542,principal moment of inertia,主惯性矩,,2012-11-26
721543,principal axis of inertia,惯性主轴线,,2012-11-26
721544,principal,主要的,,2012-11-26
