ID,英文名稱,中文名稱,圖片,更新日期
20887360,"""R"" indent(pocket)",普通型树脂,,2023-09-09
20887361,"""square"" indent(pocket)",窝眼盘方型窝眼,,2023-01-17
20887362,(mechanical)Load brake,机械刹车,,2024-08-06
20887363,(of clothing) applique,贴花,,2024-03-05
20887364,(screw) thread gauge,螺纹规,,2023-09-09
20887365,[analysis] interference,分析干扰,,2023-01-17
20887366,[bearing] boundary dimension,外形尺寸,,2023-01-17
20887367,[bearing] seal,密封圈,,2025-09-24
20887368,[bearing] shield,防尘盖,,2023-01-17
20887369,[chromatographic] peak,（色谱）峰,,2023-01-17
20887370,[chromatographic] peak base,（色谱）峰底,,2023-01-17
20887371,[chromatographic] peak height,（色谱）峰高,,2023-01-17
20887372,[chromatographic] peak width,峰宽（色谱）,,2023-01-17
20887373,[closing] ring,挡圈,,2026-04-21
20887374,[compressive] prestressing,强压处理,,2023-01-17
20887375,[cross] slide block type output mechanism,（十字）滑块输出机构,,2023-01-17
20887376,[current] link resistance,（电流）跨线电阻,,2023-01-17
20887377,[edge] chipping,刃口崩损,,2024-04-11
20887378,[Electrics] cat eye,猫眼,,2023-01-17
20887379,[feedback] controller,[回馈]控制器,,2023-01-17
20887380,[fillet] weld leg,銲脚,,2023-01-17
20887381,[heat] conduction,（热）传导,,2023-01-17
20887382,[heat] convection,（热）对流,,2023-01-17
20887383,[heat] radiation,（热）辐射,,2023-01-17
20887384,[Junker's] opposite piston engine,对向活塞发动机,,2023-01-17
20887385,[manual] eddy current flaw detector,（手动式）涡流探伤仪,,2023-01-17
20887386,[measurable] quantity,[可测的]量,,2023-01-17
20887387,[measuring] potentiometer,[测量]电位差计,,2023-01-17
20887388,[nominal] compression ratio,[公称]压缩比,,2023-01-17
20887389,[nuclear] radiation transducer,[核]辐射感测器,,2023-01-17
20887390,[optical] parametric oscillator,（光）参数振荡器,,2023-01-17
20887391,[plain] bearing bush,轴承衬套,,2023-01-17
20887392,[power] switch board,配电盘,,2023-01-17
20887393,[prober] incident point,[探头]入射点,,2023-01-17
20887394,[Psychology] extensity,空间感,,2023-01-17
20887395,[resistance] strain gauge rolling force measuring instrument,（电阻）应变式滚动力测量仪,,2023-01-17
20887396,[resistance]strain gauge tensiometer,[电阻]应变式张力计,,2023-01-17
20887397,[rolling element] separator,隔离件,,2023-01-17
20887398,[screw] thread,螺纹,,2023-01-17
20887399,[stereo] interpretoscope,[立体]判读仪,,2023-01-17
20887400,[surface] as forged,黑皮锻件,,2023-01-17
20887401,[tension] prestressing,强拉处理,,2023-01-17
20887402,[torsion] prestressing,强扭处理,,2023-01-17
20887403,[track] driving sprocket,（履带）驱动轮,,2023-01-17
20887404,"[track] idler,[track] tension idler",（履带）惰轮,,2023-01-17
20887405,“V”indent(pocket),窝眼盘 V 型窝眼,,2023-01-17
20887406,1/2 standard turn,1/2 标准转弯,,2023-01-17
20887407,10 consecutive ties,连续 10 根的轨枕,,2023-01-17
20887408,100m haul,100 公尺的搬运,,2023-01-17
20887409,100m length from the free ends,两端 100 公尺长度,,2023-01-17
20887410,100m length from the free joints,两端 100 公尺长度,,2023-01-17
20887411,10-car train,10 辆列车组,,2023-01-17
20887412,12 point flange nut,十二角法兰面螺母,,2023-01-17
20887413,12 point flange screw,十二角法兰面螺栓,,2023-01-17
20887414,120 1b/yd,120 磅／码钢轨,,2023-01-17
20887415,120-1b rail,120 磅钢轨,,2023-01-17
20887416,161 kV AC Relay Panel{=ERP},交流 161 kV 电驿盘,,2023-01-17
20887417,161kV Disconnecting Switch{=DS},161kV 隔离开关,,2023-01-17
20887418,18-lactone,18 内酯,,2023-01-17
20887419,1-azabicyclo [3.3.3],氮杂二环,,2023-01-17
20887420,1D probing,1D 探测,,2023-10-30
20887421,22 kV AC Relay Panel{=HRP},交流 22 kV 电驿盘,,2023-01-17
20887422,22 kV/380 V Station Distribution Transformer{=LT},22 kV / 380 V 车站变压器,,2023-01-17
20887423,22kV Isolating Switch,22kV 隔离开关,,2023-01-17
20887424,22kV Switchgear,22kV 开关箱,,2023-01-17
20887425,24-hour shift,24 小时换班,,2023-01-17
20887426,24m invar wire,24 m 铟钢线尺,,2023-01-17
20887427,250mm below ties,轨枕下 250 mm,,2023-01-17
20887428,2D bar,二维条,,2023-01-17
20887429,2D effect of axis of rotation error motion,旋转轴误差运动之二维效应,,2023-01-17
20887430,2D grating,二维光栅,,2023-01-17
20887431,2D measurement system,二维量测系统,,2023-01-17
20887432,2D probing,2D 探测,,2023-01-17
20887433,2-hydroxypropyl methacrylate,甲基丙烯酸 2 羟丙酯；甲基丙烯酸 2 羟乙酯,,2023-01-17
20887434,2-ketogulonic acid,2 酮古洛糖酸,,2023-01-17
20887435,2-plate mold,二板模,,2023-01-17
20887436,2-port,双埠,,2024-05-06
20887437,2-purpose overhead crane,二用高架起重机,,2023-01-17
20887438,304 stainless steel,304不锈钢,,2023-01-17
20887439,30-second voltage at discharge,放电 30 秒电压,,2023-01-17
20887440,316 stainless steel{=SS316},316不锈钢,,2023-01-17
20887441,3-car unit,三车组,,2023-01-17
20887442,3D cavity,3维腔,,2023-01-17
20887443,3D digitizing,3D 数位化,,2023-01-17
