ID,英文名稱,中文名稱,圖片,更新日期
16069,reactivity measurements,反应度测量,,2012-11-26
16258,ray， Lenard,雷钠射线,,2012-11-26
16260,ray divergence,射线发散,,2012-11-26
16528,random velocity,无规速度,,2012-11-26
16590,radius,半径,,2012-11-26
16604,radium equivalent,镭等值,,2012-11-26
16640,radio-photo-luminescence,放射光发光,,2012-11-26
16642,radiopaque medium,放射不透介质,,2012-11-26
16677,radiological safety rules,放射安全规定,,2012-11-26
16678,radiological safety organization,放射安全组织,,2012-11-26
16829,radioactive radiation,放射性辐射,,2012-11-26
17189,radiation beacon,辐射信号塔；辐射浮标,,2012-11-26
17248,pyrometallurgy,高温冶金术,,2012-11-26
17364,pump discharge shut-off valve,泵排水关断阀,,2012-11-26
17673,property,性质；特性,,2012-11-26
17716,prompt-critiality,瞬临〔界〕度,,2012-11-26
17721,prompt reactivity,瞬发反应度,,2012-11-26
17837,product， radiation,辐射产物,,2012-11-26
17839,product， primary fission,原始分裂产物,,2012-11-26
17996,probability， disintegra-tion,蜕变机率,,2012-11-26
18152,pressure flush,加压冲洗,,2012-11-26
18192,preheater,预热器,,2012-11-26
18340,power supplies,电力供应,,2012-11-26
18386,power breeder reactor,动力滋生反应器,,2012-11-26
18617,pop-open,急速开启,,2012-11-26
18619,pop-closed,急速闭合,,2012-11-26
18620,pop,不连贯的声音,,2012-11-26
18647,polymer，long-chain,长链聚合物,,2012-11-26
18884,plenum spring,空气室弹簧,,2012-11-26
18960,plastic range,塑性范围,,2012-11-26
19029,plant，nuclear separation,核分离厂,,2012-11-26
19105,plant chilled water system,电厂激冷水系统,,2012-11-26
19210,pilot scram valve,中间急停阀,,2012-11-26
19373,photolysis,光解〔光子照射分解〕,,2012-11-26
19392,photographic densitometer,照相密度计,,2012-11-26
19414,photoelectric effect,光电效应,,2012-11-26
19446,phosphor， X-ray,X射线燐光体,,2012-11-26
19519,perturbation， orbit,轨道微扰,,2012-11-26
19598,periodic isolationvalve leak test,定期隔离阀渗漏试验,,2012-11-26
19739,peak-to-vally ratio,峰谷比值,,2012-11-26
19770,peak pressure test,尖峰压力试验,,2012-11-26
19993,particle size,粒子大小,,2012-11-26
20103,parahelium,仲氦,,2012-11-26
20108,parachute shaped velocity limiter,伞式速度限制器,,2012-11-26
20124,panel， instrument,仪表盘,,2012-11-26
20132,palladium,钯,,2012-11-26
20165,pair attenuation coefficient,成对衰减系数,,2012-11-26
20293,overload meter,超载计,,2012-11-26
20300,overlap， pulse,脉冲重叠,,2012-11-26
20502,organs radiation effects,器官辐射效应,,2012-11-26
20507,organic slime and algae control,有机淤泥和藻控制,,2012-11-26
20549,orbital moment,轨矩,,2012-11-26
20574,orbit， equilibrium,平衡轨道,,2012-11-26
20602,optimization in general case,一般情况的充分运用,,2012-11-26
20615,optical pyrometer,光测高温计,,2012-11-26
20853,off site dose,厂外剂量,,2012-11-26
20897,occiude,包藏；阻塞,,2012-11-26
20917,OBE inertia effect,运转基础地震惯性效应,,2012-11-26
20919,OAS (Organization of America States),泛美组织,,2012-11-26
20923,nut,螺帽,,2012-11-26
20940,number， oscillation quantum,振荡量子数,,2012-11-26
20969,number of theoretical plates,理论板数,,2012-11-26
20971,number of neutrons per flssion,每分裂的中子数,,2012-11-26
21002,nucleus， radioactive,放射性核,,2012-11-26
21098,nuclei， fertile,可孕核,,2012-11-26
21119,nuclear-induction method,核感应法,,2012-11-26
21232,nuclear potential well,核位井,,2012-11-26
21261,nuclear mass,核质量,,2012-11-26
21404,NPSH (net positive suction head),净正吸水头,,2012-11-26
21435,not function,非函数,,2012-11-26
21437,north-south effect,南北效应,,2012-11-26
21441,normalize,归一化,,2012-11-26
21472,non-zero spin,无零自旋,,2012-11-26
21678,nickel cyanide,氰化亚镍,,2012-11-26
21709,neutrons， A,银中子,,2012-11-26
21727,neutron-irradiation,中子照射,,2012-11-26
21732,neutronic reactor,中子反应器,,2012-11-26
21749,neutron， unmoderated,未缓和中子,,2012-11-26
21758,neutron， thermal,热中子,,2012-11-26
21783,neutron， long-lived de-layed,长寿命迟延中子,,2012-11-26
21836,neutron spectroscopy,中子谱学,,2012-11-26
21946,neutron cycle,中子循环,,2012-11-26
21987,neutrino,微中子,,2012-11-26
36429,natural leak,自然渗漏,,2012-11-26
36722,multiple radiation,多次辐射,,2012-11-26
36730,multiple output controller,复输出管制器,,2012-11-26
37014,monolayer,单层,,2012-11-26
37553,mode， instability,不稳定形式,,2012-11-26
37665,mixed spectrum reactor,混合能谱反应器,,2012-11-26
38727,medicine， radiation,辐射医学,,2012-11-26
38740,medical therapy reactor,医疗用反应器,,2012-11-26
38846,mechanical collector,机械收集器,,2012-11-26
38873,measurement， subcritical,次临界测量,,2012-11-26
38883,measurement， remote,遥控测量,,2012-11-26
39268,material， radiation transparent,透辐射材料,,2012-11-26
