ID,英文名稱,中文名稱,圖片,更新日期
124137,Slipway,船架滑道,,2012-11-26
124138,"Slip, double",双船道,,2012-11-26
124139,Slip,船道,,2012-11-26
124140,"Slide, levee",坍堤,,2012-11-26
124141,"Slide, land",崩坍,,2012-11-26
124142,"Slide, detritus",土石崩滑,,2012-11-26
124143,Slide,滑动,,2012-11-26
124144,Sleet,霰,,2012-11-26
124145,Slate,板岩,,2012-11-26
124146,"Slab, foundation",基础底版,,2012-11-26
124147,"Slab, articulated",连接版,,2012-11-26
124148,Slab,底版,,2012-11-26
124149,Skinplate,面钣,,2012-11-26
124150,Skimming,撇清,,2012-11-26
124151,Skimmer,撇清器,,2012-11-26
124152,"Size, particle",粒径,,2012-11-26
124153,"Size, grain",粒径,,2012-11-26
124154,"Size, effective",有效粒径,,2012-11-26
124155,"Siphon, inverted",倒虹吸管,,2012-11-26
124156,"Siphon, capillary",毛细管虹吸,,2012-11-26
124157,"Siphon, baby",子虹吸管,,2012-11-26
124158,Siphon,虹吸管,,2012-11-26
124159,Sinkhole,陷孔,,2012-11-26
124160,Sink,灭点，洗槽,,2012-11-26
124161,"Simulator, rain",降雨模仿器,,2012-11-26
124162,"Similitude, law of",相似定律,,2012-11-26
124163,Similitude,相似性,,2012-11-26
124164,"Similarity, kinematic",运动相似性,,2012-11-26
124165,"Similarity, hydraulic",水力相似性,,2012-11-26
124166,"Similarity, geometrical",几何相似性,,2012-11-26
124167,"Similarity, dynamical",动力相似性,,2012-11-26
124168,"Similarity, criterion for",相似性规律,,2012-11-26
124169,Similarity,相似性,,2012-11-26
124170,"Silting, reservoir",水库淤积,,2012-11-26
124171,Silting,淤积,,2012-11-26
124172,Silt,泥,,2012-11-26
124173,Silo,仓,,2012-11-26
124174,"Sill, submerged",潜槛,,2012-11-26
124175,"Sill, mitering",人字门槛,,2012-11-26
124176,"Sill, intake",进水口槛,,2012-11-26
124177,"Sill, ground",潜槛,,2012-11-26
124178,"Sill, gate",门槛,,2012-11-26
124179,"Sill, end",端槛，尾槛,,2012-11-26
124180,"Sill, dentated end",端部齿形槛,,2012-11-26
124181,"Sill, dentate",齿形槛，消力槛,,2012-11-26
124182,Sill,潜坝，槛，阈,,2012-11-26
