ID,英文名稱,中文名稱,圖片,更新日期
2743959,abac,算图；列线图,,2017-01-16
2743960,Abbe condensers,亚贝聚光透镜,,2017-01-16
2743961,Abbe principle,亚贝原理,,2017-01-16
2743962,Abbe refractometer,亚贝折射计,,2017-01-16
2743963,Abbe's comparator,亚贝坐标量测仪,,2017-01-16
2743964,aberration,像差；光行差,,2017-01-16
2743965,aberration angle,像差角；光行差角,,2017-01-16
2743967,aberration constant,光行差常数,,2017-01-16
2743968,aberration correction,像差改正；光行差改正,,2017-01-16
2743969,aberration defect,像差,,2017-01-16
2743970,aberration ellipse,光行差椭圆,,2017-01-16
2743971,aberration of fixed stars,恒星光行差,,2017-01-16
2743972,aberration of light,光行差；光像差,,2017-01-16
2743973,aberration of sphericity,球面像差,,2017-01-16
2743975,aberration-free,无像差,,2017-01-16
2743976,ablatograph,融化测量仪(测量冰川融化速度用),,2017-01-16
2743977,Abney level,阿伯尼水准仪,,2017-01-16
2743978,abnormal magnetic variation,异常磁变,,2017-01-16
2743979,above ground aqueduct,地上导水管,,2017-01-16
2743980,abrasion,磨损,,2017-01-16
2743981,abrasiveness,磨蚀；研磨,,2017-01-16
2743982,abrasives,磨擦物,,2017-01-16
2743983,abrupt,陡坡；急坡,,2017-01-16
2743984,abrupt change of cross section,横断面突变,,2017-01-16
2743985,abscissa,横坐标,,2017-01-16
2743986,abscissa of image point,像点横坐标,,2017-01-16
2743987,absolute (star) catalog,绝对星表,,2017-01-16
2743988,absolute altimeter,绝对航高测定仪；雷达测高仪,,2017-01-16
2743989,absolute altitude,绝对高度；绝对航高,,2017-01-16
2743990,absolute brightness,绝对亮度,,2017-01-16
2743991,absolute ceiling,绝对航高,,2017-01-16
2743992,absolute distortion,绝对畸变,,2017-01-16
2743993,absolute elevation,绝对高程,,2017-01-16
2743994,absolute error,绝对误差,,2017-01-16
2743995,absolute flying height,绝对航高,,2017-01-16
2743996,absolute gravity measurement,绝对重力测量,,2017-01-16
2743997,absolute humidity,绝对湿度,,2017-01-16
2743998,absolute location,绝对位置,,2017-01-16
2743999,absolute magnitudes,绝对星等,,2017-01-16
2744000,absolute orientation,绝对方位；绝对方位判定,,2017-01-16
2744001,absolute parallax,绝对视差,,2017-01-16
2744002,absolute radial velocity,绝对射线速度,,2017-01-16
2744003,absolute stereoscopic parallax,绝对立体视差,,2017-01-16
2744004,absolute term,绝对项,,2017-01-16
2744005,absolute unit,绝对单位,,2017-01-16
2744006,absolute value,绝对值,,2017-01-16
2744007,absorbing,吸收煤质,,2017-01-16
2744008,absorption eage,吸收；吸收带,,2017-01-16
2744009,absorption factor,吸收因素,,2017-01-16
2744010,absorption line,吸收线,,2017-01-16
2744011,absorptive index,吸收率,,2017-01-16
2744012,absorptivity,吸收能力；吸收性,,2017-01-16
2744013,abstract of angle,测角记簿,,2017-01-16
2744014,abstract of observed values,观测记簿,,2017-01-16
2744015,abstract of zenith distance,天顶距记簿,,2017-01-16
2744016,abundant observations,多余观测,,2017-01-16
2744017,abutment,桥台；接界,,2017-01-16
2744018,abuttal,境界,,2017-01-16
2744019,abyss,落水洞；深渊；深水区；海沟,,2017-01-16
2744020,abyssal,深渊,,2017-01-16
2744021,abyssal basin,深海盆地,,2017-01-16
2744022,abyssal plain,深海平原,,2017-01-16
2744023,accelerating force,加速力,,2017-01-16
2744024,acceleration of gravity,重力加速度,,2017-01-16
2744025,accelerator,促进剂,,2017-01-16
2744026,accepted indicator,指示器,,2017-01-16
2744027,acceptor,接受器,,2017-01-16
2744028,accessibility,啣接,,2017-01-16
2744029,accessory,附件,,2017-01-16
2744030,accident of ground,地面起伏,,2017-01-16
2744031,accidental error,偶然误差,,2017-01-16
2744032,acclivity,上升坡,,2017-01-16
2744033,accommodation,凝视,,2017-01-16
2744034,accommodation coefficient,凝视系数,,2017-01-16
2744035,accommodation function,凝视本能,,2017-01-16
2744036,accommodation of human eye,人眼调节,,2017-01-16
2744037,accordant value,符合值；平差值,,2017-01-16
2744038,accordion,折式地图,,2017-01-16
2744039,accumulated discrepancy,累积不符值,,2017-01-16
2744040,accumulated divergence,积累发散；积累较差；累积闭合差,,2017-01-16
2744041,accumulated error,累积误差,,2017-01-16
2744042,accumulation error,累积误差,,2017-01-16
2744043,accumulation of rounding errors,累积凑整误差,,2017-01-16
2744044,accumulative error,累积误差,,2017-01-16
2744045,accumulator,积电器,,2017-01-16
2744046,accuracy,精度,,2017-01-16
2744047,accuracy checking,精度检查,,2017-01-16
2744048,accuracy estimate,精度估计,,2017-01-16
2744049,accuracy grade,精度等级,,2017-01-16
2744050,accuracy of breaking through,贯通精度,,2017-01-16
2744051,accuracy of focusing,调焦精度,,2017-01-16
2744052,accuracy of horizontal control,平面控制精度,,2017-01-16
2744053,accuracy of reading,读数精度,,2017-01-16
2744054,accuracy testing,精度测试,,2017-01-16
2744055,accurate adjustment,精确校正,,2017-01-16
2744056,accurate determination,精确测定,,2017-01-16
2744057,accurate measurement,精确测定；精密测量,,2017-01-16
2744058,acetate,绘图胶片,,2017-01-16
2744059,acetic acid,醋酸,,2017-01-16
2744060,achroamt,消色像差透镜；消色像,,2017-01-16
2744061,achromat double lenses,消色双透镜,,2017-01-16
2744062,achromatic edition,单色版,,2017-01-16
2744063,achromatic eyepiece,消色目镜,,2017-01-16
2744064,achromatic lens,消色差透镜；滤色透镜,,2017-01-16
2744065,achromatic map,单色图,,2017-01-16
2744066,achromatic telescope,消色差望远镜,,2017-01-16
2744067,aclinal,磁水平,,2017-01-16
2744068,aclinal line,磁赤道,,2017-01-16
2744069,aclinic line,零磁线,,2017-01-16
2744070,acoustic bearing,声测方位,,2017-01-16
2744071,acoustic fix,声测定位,,2017-01-16
2744072,acoustic frequency generator,音频发生器,,2017-01-16
2744073,actinic absorption,光化吸收,,2017-01-16
2744074,actinic light,感光灯,,2017-01-16
2744075,actinic ray,光化线,,2017-01-16
2744076,actinic value,光化值,,2017-01-16
2744077,actinism,光化作用,,2017-01-16
2744078,actinity,光化线作用,,2017-01-16
2744079,actinograph,自记曝光计；光能测定仪,,2017-01-16
2744080,actinometer,测光计,,2017-01-16
2744081,actinometry,日射测量法；辐射测量学,,2017-01-16
2744082,action shot,动态摄影,,2017-01-16
2744083,activator,催化剂,,2017-01-16
2744084,active area,有效面积,,2017-01-16
2744085,active drawing,有效绘图面积,,2017-01-16
2744086,active instrument,主动式仪器,,2017-01-16
2744087,active microwave,主动微波,,2017-01-16
2744088,active satellite,主动人造卫星,,2017-01-16
2744089,active sensor,主动探测器,,2017-01-16
2744090,active tracking system,主动追踪系统,,2017-01-16
2744091,actual error,实际误差,,2017-01-16
2744092,actual gravity,实际重力,,2017-01-16
2744093,acutance,清晰度,,2017-01-16
2744094,acute angle,锐角,,2017-01-16
2744095,adapter ring,接合环,,2017-01-16
2744096,adding tape,副尺,,2017-01-16
2744097,addition constant,加常数,,2017-01-16
2744098,addition of variables,变量加法,,2017-01-16
2744099,addition of vector,向量加法,,2017-01-16
2744100,additional coordinates,辅助座标,,2017-01-16
2744101,additive color method,加色法,,2017-01-16
2744102,additive color process,加色法,,2017-01-16
2744103,additive color projection,加色投影法,,2017-01-16
2744104,additive constant,加常数,,2017-01-16
2744105,adele,赋值向量,,2017-01-16
2744106,adhesive backing,裱板,,2017-01-16
2744107,adhesive tester,附著力测试仪,,2017-01-16
2744108,adit,横坑；入口,,2017-01-16
2744109,adjacent area inset,位置示意图；插图,,2017-01-16
2744110,adjacent country,邻接区,,2017-01-16
2744111,adjacent flight line,相邻航线,,2017-01-16
2744112,adjacent location,邻接位置,,2017-01-16
2744113,adjacent map,邻接图幅,,2017-01-16
2744114,adjacent model,相邻模型,,2017-01-16
2744115,adjacent node,相邻结点,,2017-01-16
2744116,adjacent side,邻边,,2017-01-16
2744117,adjoiner,邻接处；接合部,,2017-01-16
2744118,adjoining sheets,图幅接合表,,2017-01-16
2744119,adjust scale,调整比例尺,,2017-01-16
2744120,adjust to zero,归零,,2017-01-16
2744121,adjustable eyepiece,可调目镜,,2017-01-16
2744122,adjustable legs,伸缩式脚架,,2017-01-16
2744123,adjustable mount,可调座架,,2017-01-16
2744124,adjusted angle,改正角,,2017-01-16
2744125,adjusted elevation,平差高程,,2017-01-16
2744126,adjusted position,校正位置；平差后位置,,2017-01-16
2744127,adjusted quantity,平差值；平差量,,2017-01-16
2744128,adjusted value,平差值,,2017-01-16
2744129,adjusting device,校正装置,,2017-01-16
2744130,adjusting knob,校正旋钮,,2017-01-16
2744131,adjusting lath,伸缩式标尺,,2017-01-16
2744132,adjusting pin,校正针；改针,,2017-01-16
2744133,adjusting screw,校正螺旋,,2017-01-16
2744134,adjusting yard,校正场,,2017-01-16
2744135,adjustment,平差；校正；改正,,2017-01-16
2744136,adjustment by coordinates,坐标平差,,2017-01-16
2744137,adjustment computation,平差计算,,2017-01-16
2744138,adjustment correction,平差改正,,2017-01-16
2744139,adjustment diagram,平差图；改正图表,,2017-01-16
2744140,adjustment for collimation,视准轴校正,,2017-01-16
2744141,adjustment for definition,清晰度调整,,2017-01-16
2744142,adjustment for eilt,倾角校正,,2017-01-16
2744143,adjustment in groups,分组平差,,2017-01-16
2744144,adjustment in one cast,整体平差,,2017-01-16
2744145,adjustment in phases,逐级平差,,2017-01-16
2744146,adjustment of aerotriangulation,空中三角平差,,2017-01-16
2744147,adjustment of central polygon,中心多边形平差,,2017-01-16
2744148,adjustment of condition observation,条件观测平差,,2017-01-16
2744149,adjustment of correlated observation,相关观测平差,,2017-01-16
2744150,adjustment of direct observation,直接观测平差,,2017-01-16
2744151,adjustment of figure,图形平差,,2017-01-16
2744152,adjustment of focus,焦距调整,,2017-01-16
2744153,adjustment of incomplete sets of observation,不完全观测组平差,,2017-01-16
2744154,adjustment of indirect observation,间接观测平差,,2017-01-16
2744155,adjustment of instrument,仪器校正,,2017-01-16
2744156,adjustment of leveling circuits,水准线路平差,,2017-01-16
2744157,adjustment of observation,观测值平差,,2017-01-16
2744159,administering country,管辖区,,2017-01-16
2744160,administrative data,行政区划资料,,2017-01-16
2744161,administrative district,行政区,,2017-01-16
2744162,administrative division,行政区分,,2017-01-16
2744163,administrative inde,行政区划示意图,,2017-01-16
2744164,administrative information,行政区划资料,,2017-01-16
2744165,administrative map,行政图,,2017-01-16
2744166,admiralty chart,海图,,2017-01-16
2744167,admissible error,容许误差,,2017-01-16
2744168,admissible relief variation,容许地貌变化,,2017-01-16
2744169,advance of a shoreline,岸线前移,,2017-01-16
2744170,advance print,试印样张,,2017-01-16
2744171,advance(d) proof,初校样张,,2017-01-16
2744172,advance(d) sheet,样张,,2017-01-16
2744173,advanced compilation,临时版,,2017-01-16
2744174,advanced edition,试印版,,2017-01-16
2744175,advanced surveying,高等测量学,,2017-01-16
2744176,advection fog,平流雾,,2017-01-16
2744177,adverse atmospheric condition,不利大气条件,,2017-01-16
2744178,adverse lighting condition,不利光照条件,,2017-01-16
2744179,aerial,航空的；空中的,,2017-01-16
2744180,aerial antenna,天线,,2017-01-16
2744181,aerial beacon,航空标识,,2017-01-16
2744182,aerial cable,空中索道,,2017-01-16
2744183,aerial camera,航摄仪,,2017-01-16
2744184,aerial camera cone,航摄仪镜筒,,2017-01-16
2744185,aerial camera mount,航空摄影机座架,,2017-01-16
2744186,aerial cartigraphic photography,航测制图摄影,,2017-01-16
2744187,aerial conductor,架空电线,,2017-01-16
2744188,aerial equipment,航摄设备,,2017-01-16
2744189,aerial exposure index,航摄曝光指数,,2017-01-16
2744190,aerial film,航摄底片,,2017-01-16
2744191,aerial information,航摄资料,,2017-01-16
2744192,aerial installation,架空设施,,2017-01-16
2744193,aerial levelling,航空水准测量,,2017-01-16
2744194,aerial line,航线,,2017-01-16
2744195,aerial line map,航线图,,2017-01-16
2744196,aerial map,航空图,,2017-01-16
2744197,aerial mapping,航摄制图,,2017-01-16
2744198,aerial mosaic,航摄像片镶嵌图,,2017-01-16
2744199,aerial navigation,航空术；空中航行术,,2017-01-16
2744200,aerial navigation chart,空中航行图,,2017-01-16
