ID,英文名稱,中文名稱,圖片,更新日期
94106,peak,尖峰；尖舱,,2012-11-26
94107,passenger's platform,旅客上下船平台,,2012-11-26
94108,passenger wharf,旅客码头,,2012-11-26
94109,passenger port,客运港；旅客港,,2012-11-26
94110,particle velocity,分子速度{波浪},,2012-11-26
94111,partial relief,减除部分浮力{干船坞底},,2012-11-26
94112,partial blockade,部分封锁,,2012-11-26
94113,parapet wall,胸墙,,2012-11-26
94114,Panama Canal tonnage certificate,巴拿马运河吨位证书,,2012-11-26
94115,palletization,板台化；垫板化[装卸],,2012-11-26
94116,pallet,托[货]板；垫板；板台,,2012-11-26
94117,packing; package {= pkg.},包装,,2012-11-26
94118,pacific blockade,平时封锁,,2012-11-26
94119,ower land report,多卸报告,,2012-11-26
94120,overtopping; overtopping wave,越波,,2012-11-26
94121,overlapped wave,重复波,,2012-11-26
94122,overland,货物多卸,,2012-11-26
94123,overdued cargo,逾期货物,,2012-11-26
94124,outside berth,外船席,,2012-11-26
94125,outer package,外包装,,2012-11-26
94126,outer barbor; outer harbour,外港,,2012-11-26
94127,outer bar,外沙洲,,2012-11-26
94128,outer anchorage,外港锚地,,2012-11-26
94129,outbound procedure,出仓货输出手续,,2012-11-26
94130,outbound compartment,出仓货仓间,,2012-11-26
94131,oscillatory wave,振动波,,2012-11-26
94132,ordinary draught,通常吃水,,2012-11-26
94133,order of light,灯光等级,,2012-11-26
94134,orbit,轨道；轨迹,,2012-11-26
94135,optical range,光强见距,,2012-11-26
94136,operating principle of unitization,搬运单位化原则,,2012-11-26
94137,operating principle of safety,搬运安全原则,,2012-11-26
94138,open transit area,露天堆货场,,2012-11-26
94139,open storage,露天存放,,2012-11-26
94140,open roads,敞开港外锚地,,2012-11-26
94141,open light,无盖灯,,2012-11-26
94142,open landing lighter,无盖装货起岸驳船,,2012-11-26
94143,open harbor,开口港；不冻港,,2012-11-26
94144,open end pipe pile,开底钢管桩,,2012-11-26
94145,open cargo lighter,无盖货驳,,2012-11-26
94146,open caisson wharf,开口沈箱码头,,2012-11-26
94147,open caisson foundation,开口沈箱基础,,2012-11-26
94148,open caisson,开口沈箱,,2012-11-26
94149,open bay,开敞湾,,2012-11-26
94150,open anchorage,开放锚地；敞开锚地,,2012-11-26
94151,one way lock,单向船闸,,2012-11-26
94152,one the berth,泊妥待载,,2012-11-26
94153,on deck cargo,甲板上装船货物；舱面上装船货物,,2012-11-26
94154,oil tanker,运油船,,2012-11-26
94155,oil supply pipe,给油管,,2012-11-26
94156,oil skimmer,除油沫器；撇油器{捞油船},,2012-11-26
94157,oil separator; oily water separator,油水分离器,,2012-11-26
94158,oil separating barge; separator barge,油水分离驳船,,2012-11-26
94159,Oil Pollution Act,油污法,,2012-11-26
94160,oil pipe line,油管线,,2012-11-26
94161,oil pier,油码头,,2012-11-26
94162,oil barge; oil lighter,油驳船,,2012-11-26
94163,ogival buoy,双拱形浮标；双弯顶部浮标,,2012-11-26
94164,offshore tanker berth,离岸油船船席,,2012-11-26
94165,offshore mooring,离岸系泊,,2012-11-26
94166,offshore barrier,岛滩；离岸沙洲,,2012-11-26
94167,offshore,离岸,,2012-11-26
94168,office of maritime administration,航政主管机关,,2012-11-26
94169,oceanic tide,外洋潮,,2012-11-26
94170,ocean tramp,远洋不定期船,,2012-11-26
94171,ocean route,远洋航线,,2012-11-26
94172,ocean carrier,远洋货轮,,2012-11-26
94173,occulting quick flashing light,顿速闪光,,2012-11-26
94174,occulting current; occulting light,顿光,,2012-11-26
94175,occulting apparatus,顿光装置,,2012-11-26
94176,occasional light,不常光；临时灯,,2012-11-26
94177,occasional inspection of small ship,小船临时检查,,2012-11-26
94178,obstacle,障碍物,,2012-11-26
94179,obcured,遮蔽,,2012-11-26
94180,notification of blockade,封锁通告,,2012-11-26
94181,notification,申报书；通告,,2012-11-26
94182,notice to vessels calling international ports of Taiwan,台湾国际港口来船须知,,2012-11-26
94183,notice of clearance,出港通告；出港通知,,2012-11-26
94184,notarial deed,公证证书,,2012-11-26
94185,nose,[船]前进,,2012-11-26
94186,northing,北距,,2012-11-26
94187,normal load,正常载重；正常负载,,2012-11-26
94188,normal draught,正常吃水,,2012-11-26
94189,normal displacement,正常排水量,,2012-11-26
94190,non-propelled dredge,非自航式挖泥船,,2012-11-26
94191,non-negotiable warehouse receipt,不可转让仓单,,2012-11-26
94192,non-negotiable bill of lading,不可转让提单,,2012-11-26
94193,non tidal harbor,无潮港,,2012-11-26
94194,non delivery {= non. d.},未送交,,2012-11-26
94195,no number,无号码,,2012-11-26
94196,no load,无载[重],,2012-11-26
94197,night signal,夜间信号；夜标,,2012-11-26
94198,night life buoy,夜间救生圈,,2012-11-26
94199,night beacon,夜标杆,,2012-11-26
94200,next port of call,下次碇泊港,,2012-11-26
94201,net-work obstruction,网状障碍物,,2012-11-26
94202,net defense,防潜网,,2012-11-26
94203,negotiable warehouse receipt,流通栈单,,2012-11-26
94204,negative flag,否定旗号,,2012-11-26
94205,near shore,近海,,2012-11-26
94206,neap rise,小潮升,,2012-11-26
94207,navigation mark,航路标志,,2012-11-26
