ID,英文名稱,中文名稱,圖片,更新日期
2491738,[water] surface elevation,水位,,2015-12-01
2491739,abnormal climate,异常气候,,2015-12-01
2491740,abnormal tide,异常潮,,2015-12-01
2491741,abnormal value,异常值,,2015-12-01
2491742,abrasion,海蚀,,2015-12-01
2491743,abrasion platform,海蚀平台,,2015-12-01
2491744,absorbing-type wave generator,吸收式造波机,,2015-12-01
2491745,accelerometer,加速计,,2015-12-01
2491746,access route,通路,,2015-12-01
2491747,accessibility to waterfront,亲水性,,2015-12-01
2491748,accommodation,适应,,2015-12-01
2491749,accreting beach,堆积海岸,,2015-12-01
2491750,accretion,堆积,,2015-12-01
2491751,accumulation curve,累积曲线,,2015-12-01
2491752,acid rain,酸雨,,2015-12-01
2491753,acid resistance,耐酸性,,2015-12-01
2491754,acoustic adaptation equipment,调音装置,,2015-12-01
2491755,Acoustic Doppler Current Profiler {=ADCP},声波流速剖面仪,,2015-12-01
2491756,acoustical oceanography,海洋声学,,2015-12-01
2491757,acoustics,声学,,2015-12-01
2491758,active earth pressure,主动土压,,2015-12-01
2491759,active fault,活断层,,2015-12-01
2491760,added inertia force,附加惯性力,,2015-12-01
2491761,added mass,附加质量,,2015-12-01
2491762,added mass coefficient,附加质量系数,,2015-12-01
2491763,added mass force,附加质量力,,2015-12-01
2491764,adjustable groin,调整型突堤,,2015-12-01
2491765,adjusted fill factor,养滩增加率,,2015-12-01
2491766,admixture,混合材料,,2015-12-01
2491767,advance,[回旋]纵距,,2015-12-01
2491768,advancing coast,成长型海岸,,2015-12-01
2491769,advection,平流,,2015-12-01
2491770,advection term,平流项,,2015-12-01
2491771,advection-diffusion,平流扩散,,2015-12-01
2491772,advective diffusion,平流扩散,,2015-12-01
2491773,advective diffusion equation,平流扩散方程式,,2015-12-01
2491774,aeolian,风积,,2015-12-01
2491775,aeration of cement,混凝土风化,,2015-12-01
2491776,aerosol particle,气溶胶粒子,,2015-12-01
2491777,after body,艉部,,2015-12-01
2491778,after breast line,艉横缆,,2015-12-01
2491779,after line,艉缆,,2015-12-01
2491780,after spring,艉斜缆,,2015-12-01
2491781,age determination,年代测定,,2015-12-01
2491782,aggradation,堆积,,2015-12-01
2491783,aggregate,骨材,,2015-12-01
2491784,aids to navigation,助航施设,,2015-12-01
2491785,air bag,气袋,,2015-12-01
2491786,air breakwater,空气防波堤,,2015-12-01
2491787,air bubble curtain,气泡幕,,2015-12-01
2491788,air entraining,空气混入,,2015-12-01
2491789,air slider,空气滑槽,,2015-12-01
2491790,air-cushion boat,气垫艇,,2015-12-01
2491791,Airy wave,艾瑞波,,2015-12-01
2491792,alarm transmitting system,警报传输系统,,2015-12-01
2491793,algae,藻类,,2015-12-01
2491794,algae zone,藻场,,2015-12-01
2491795,aliasing,折叠效应,,2015-12-01
2491796,alignment of dike,堤线,,2015-12-01
2491797,alignment of levee,堤防线,,2015-12-01
2491798,alkali resistance,耐碱性,,2015-12-01
2491799,alkali-aggregate reaction,骨材耐碱反应,,2015-12-01
2491800,allowable overtopping quantity,容许越波量,,2015-12-01
2491801,allowable overtopping rate,容许越波率,,2015-12-01
2491802,allowable quantity of overtopping,容许越波量,,2015-12-01
2491803,allowable stress,容许应力,,2015-12-01
2491804,allowable stress design method,容许应力设计法,,2015-12-01
2491805,alluvial cone,冲积锥,,2015-12-01
2491806,alluvial deposits,冲积沉积物,,2015-12-01
2491807,alluvial fan,冲积扇,,2015-12-01
2491808,alluvial plain,冲积平原,,2015-12-01
2491809,alluvial plane,冲积平原,,2015-12-01
2491810,alluvium,冲积层,,2015-12-01
2491811,along-jetty wave,沿堤波,,2015-12-01
2491812,alongshore,沿岸,,2015-12-01
2491813,alongshore drift,沿岸漂沙,,2015-12-01
2491814,altimeter,高度计,,2015-12-01
2491815,amenity space,亲水[性]空间,,2015-12-01
2491816,amenity-oriented breakwater,亲水[性]防波堤,,2015-12-01
2491817,amenity-oriented environment,亲水[性]环境,,2015-12-01
2491818,amenity-oriented greenery zone,亲水[性]绿带,,2015-12-01
2491819,amenity-oriented seawall,亲水[性]海堤,,2015-12-01
2491820,amenity-oriented waterfront,亲水[性]水岸,,2015-12-01
2491821,amphidromic point,无潮点,,2015-12-01
2491822,amplitude,振幅,,2015-12-01
2491823,amplitude spectrum,振幅谱,,2015-12-01
2491824,anaerobiosis,厌氧,,2015-12-01
2491825,analysis in frequency domain,频域分析,,2015-12-01
2491826,analysis in time domain,时域分析,,2015-12-01
2491827,analysis of historiography,历史资料分析,,2015-12-01
2491828,anchor,锚,,2015-12-01
2491829,anchor barge,锚碇驳船,,2015-12-01
2491830,anchor block,锚碇块,,2015-12-01
2491831,anchor boat,锚船,,2015-12-01
2491832,anchor chain,锚链,,2015-12-01
2491833,anchor coupled-pile,锚碇组桩,,2015-12-01
2491834,anchor davit,吊锚杆,,2015-12-01
2491835,anchor gear,起锚装置,,2015-12-01
2491836,anchor ice,沈冰；锚冰,,2015-12-01
2491837,anchor light,锚泊灯,,2015-12-01
2491838,anchor pile,锚碇桩,,2015-12-01
2491839,anchor plate,锚碇板,,2015-12-01
2491840,anchor rod,锚柱,,2015-12-01
2491841,anchor rope,锚索,,2015-12-01
2491842,anchor sheet-pile,锚碇钢版桩,,2015-12-01
2491843,anchor type wharf,锚碇式码头,,2015-12-01
2491844,anchor vertical-pile,锚碇直桩,,2015-12-01
2491845,anchor wall,锚碇墙,,2015-12-01
2491846,anchorage,泊地；锚地,,2015-12-01
2491847,anchorage and basin,锚泊区,,2015-12-01
2491848,anchorage works,锚碇工,,2015-12-01
2491849,anchoring,锚碇,,2015-12-01
2491850,anearobic bacteria,厌氧性细菌,,2015-12-01
2491851,anemometer,风速计,,2015-12-01
2491852,angle of repose,安息角,,2015-12-01
2491853,angle steel,角钢,,2015-12-01
2491854,angular frequency,角频率,,2015-12-01
2491855,angular spreading,角扩散,,2015-12-01
2491856,angular spreading method,方向分散法,,2015-12-01
2491857,angular velocity,角速度,,2015-12-01
2491858,anisotropic,非同向性,,2015-12-01
2491859,anomalous condition,异常状态,,2015-12-01
2491860,anticorrosion,防蚀,,2015-12-01
2491861,anticorrosion design,防蚀设计,,2015-12-01
2491862,anticyclone,反气旋,,2015-12-01
2491863,antidune,对风沙丘；反向沙丘,,2015-12-01
2491864,antifouling chemical,防生物附著化学物质,,2015-12-01
2491865,antifouling paint,防生物附著涂料,,2015-12-01
2491866,antinode,波腹；反节点,,2015-12-01
2491867,antirolling tank,抗摇箱,,2015-12-01
2491868,aphotic layer,无光层,,2015-12-01
2491869,apogean tide,远地潮,,2015-12-01
2491870,apparent reflection coefficient,视反射率,,2015-12-01
2491871,approaching,靠岸,,2015-12-01
2491872,approaching force,靠岸力,,2015-12-01
2491873,approaching velocity,靠岸速度,,2015-12-01
2491874,appropriated wharf,专用码头,,2015-12-01
2491875,apron,护床,,2015-12-01
2491876,apron light,岸肩灯,,2015-12-01
2491877,aquacultural waste treatment facilities,水产废弃物处理施设,,2015-12-01
2491878,aquafarm,海洋牧场,,2015-12-01
2491879,aquifer,含水层,,2015-12-01
2491880,arbitrary water depth,任意水深,,2015-12-01
