ID,英文名稱,中文名稱,圖片,更新日期
3356358,abalone,鲍鱼；九孔,,2018-03-21
3356359,ablation,冰融,,2018-03-21
3356360,ablation breccia,消融角砾岩,,2018-03-21
3356361,ablation cone,消融锥,,2018-03-21
3356362,ablatograph,冰融仪,,2018-03-21
3356363,abraded bedrock surface,浪蚀基岩面,,2018-03-21
3356364,abrasion,磨蚀,,2018-03-21
3356365,abrasion mark,磨蚀痕迹,,2018-03-21
3356366,abrasion platform,海蚀平台；海蚀台地,,2018-03-21
3356367,abrasion shoreline,浪蚀海岸线,,2018-03-21
3356368,abrasion surface,海蚀面；浪蚀面,,2018-03-21
3356369,abrasion tableland,海蚀台地；浪蚀台地,,2018-03-21
3356370,abrasion terrace,海蚀阶地；浪蚀阶地,,2018-03-21
3356371,absorptivity,吸收性；吸收率,,2018-03-21
3356372,Abundance-Biomass Curve,丰度-生物量曲线；AB曲线,,2018-03-21
3356373,abyssal,深渊底；深海的,,2018-03-21
3356374,abyssal gigantism,深渊底区体型巨大化,,2018-03-21
3356375,abyssal ooze,深海软泥,,2018-03-21
3356376,abyssal plain,深渊底平原；深海平原,,2018-03-21
3356377,abyssal red earth,深海红土,,2018-03-21
3356378,abyssopelagic,深渊水层{4000–6000 公尺},,2018-03-21
3356379,Acanthaster planci,棘冠海星,,2018-03-21
3356380,Acanthocephala,棘[钩]头动物门,,2018-03-21
3356381,accelerator mass spectrometry｛=AMS｝,加速器质谱仪,,2018-03-21
3356382,access and benefit sharing of genetic resources,遗传资源的获取与共享,,2018-03-21
3356383,accidental pollution,意外污染,,2018-03-21
3356384,accidental spillage,意外泄漏,,2018-03-21
3356385,acclimation,驯化,,2018-03-21
3356386,acclimatization,驯化,,2018-03-21
3356387,accreting plate boundary,增积板块边界；增生型板块边界,,2018-03-21
3356388,accretion,固结；凝聚；堆积,,2018-03-21
3356389,accretion beach face,增积海滩面；加积海滩面,,2018-03-21
3356390,accretion bed,增积层；加积层,,2018-03-21
3356391,accretion ridge,增积砂岭；外展滩脊,,2018-03-21
3356392,accretion ripple mark,加积波痕,,2018-03-21
3356393,accretion topography,加积地形,,2018-03-21
3356394,accretion vein,填加脉,,2018-03-21
3356395,accretionary bar,增积砂坝；加积砂坝,,2018-03-21
3356396,accretionary basin,增积盆地,,2018-03-21
3356397,accretionary belt,增积带；加积带,,2018-03-21
3356398,accretionary coast,增积海岸；加积海岸,,2018-03-21
3356399,accretionary lapilli,增积火山泥砾,,2018-03-21
3356400,accretionary lava ball,增积熔岩球,,2018-03-21
3356401,accretionary plate boundary,增积板块边界；增生型板块边界,,2018-03-21
3356402,accretionary prism,增积岩体,,2018-03-21
3356403,accretionary ridge,增积海脊,,2018-03-21
3356404,accretionary subduction complex,增积隐没复合体,,2018-03-21
3356405,accretionary wedge,增积楔形体,,2018-03-21
3356406,accumulated island,堆积岛,,2018-03-21
3356407,accumulation rate,堆积速率,,2018-03-21
3356408,acetate,乙酸盐；醋酸盐,,2018-03-21
3356409,acidification,酸化作用,,2018-03-21
3356410,acidity,酸度；酸性,,2018-03-21
3356411,Acoela,无腔目,,2018-03-21
3356412,acorn barnacle,藤壶,,2018-03-21
3356413,acoustic absorption,声波吸收,,2018-03-21
3356414,acoustic absorption coefficient,声波吸收系数,,2018-03-21
3356415,acoustic absorption factor,声波吸收因子,,2018-03-21
3356416,acoustic absorptivity,声波吸收度,,2018-03-21
3356417,acoustic basement,声波基盘,,2018-03-21
3356418,Acoustic Doppler Current Profiler｛=ADCP｝,声波都卜勒流剖仪,,2018-03-21
3356419,acoustic fishing,音响渔法,,2018-03-21
3356420,acoustic propagation anomaly,声传播异常,,2018-03-21
3356421,acoustic release,声波释放,,2018-03-21
3356422,acoustic remote sensing,声波遥测；声学遥测,,2018-03-21
3356423,acoustic sounding,声波测深；声学探测,,2018-03-21
3356424,acoustic swath-mapping,声波条带测绘,,2018-03-21
3356425,Acoustic Thermometry of Ocean Climate ｛=ATOC｝,海洋气候声学测温计划,,2018-03-21
3356426,acoustic transponder,音响询答机,,2018-03-21
3356427,acoustic oceanography,声学海洋学,,2018-03-21
3356428,Acropora,轴孔珊瑚,,2018-03-21
3356429,Acropyge,尖尾虫属{三叶虫类},,2018-03-21
3356430,Acrosaleniidae,顶萨列海胆科,,2018-03-21
3356431,Acrospirifer,巅石燕属{腕足类},,2018-03-21
3356432,across-track scanner,跨轨扫描仪,,2018-03-21
3356433,Acrothele,乳房贝属{腕足类},,2018-03-21
3356434,Acrothoracica,端胸目{节肢动物蔓足类},,2018-03-21
3356435,Acrothyris,巅孔贝属{腕足类},,2018-03-21
3356436,Acrotreta,乳孔贝属；顶孔贝属{腕足类},,2018-03-21
3356437,acrozone,生物异限带,,2018-03-21
3356438,Actinaraea,辐线珊瑚属,,2018-03-21
3356439,Actinaria,肉珊瑚目,,2018-03-21
3356440,Actinastrum,星形藻属{绿藻类},,2018-03-21
3356441,actine,星状骨针{海绵动物},,2018-03-21
3356442,Actiniaria,海葵目,,2018-03-21
3356443,Actinocamax,星桩箭石属,,2018-03-21
3356444,Actinoceras,珠角石属{头足类},,2018-03-21
3356445,Actinocrinites,辐射海百合属{棘皮类},,2018-03-21
3356446,Actinocyclus,辐环藻属,,2018-03-21
3356447,Actinocystidae,辐射泡沫珊瑚科,,2018-03-21
3356448,Actinodesma,射带蛤属{双壳类},,2018-03-21
3356449,Actinodictyon,射网格层孔虫属,,2018-03-21
3356450,actinodont,辐射栉牙；射齿,,2018-03-21
3356451,Actinomorpha,星形角石属{头足类},,2018-03-21
3356452,Actinophycus,放射线藻属,,2018-03-21
