ID,英文名稱,中文名稱,圖片,更新日期
3160701,"""log time"" model",历时模式,,2017-07-24
3160702,"1/f noise (a.k.a. ""pink noise"")",倒频杂讯；粉红色杂讯,,2017-07-24
3160703,2-d added mass coefficients,二维附加质量系数,,2017-07-24
3160704,2nd-order reference model,二阶参考模式,,2017-07-24
3160705,2nd-order wave forces,二阶波浪力,,2017-07-24
3160706,3DOF surface model,三自由度平面模式,,2017-07-24
3160707,6 DOF equations of motion,六自由度运动方程式,,2017-07-24
3160708,A- frame,A架,,2017-07-24
3160709,a posteriori probability,后验机率,,2017-07-24
3160710,a priori probability,先验机率,,2017-07-24
3160711,A/N-SQS-26 sonar,美国海军SQS－26声纳,,2017-07-24
3160712,A/N-SQS-35 sonar,美国海军SQS－35声纳,,2017-07-24
3160713,Abel's formula,阿贝尔公式,,2017-07-24
3160714,Abkowitz's model,亚伯科维兹模式,,2017-07-24
3160715,absolute damping factor,绝对阻尼因子,,2017-07-24
3160716,absolute stability,维对稳定,,2017-07-24
3160717,absorption,吸收,,2017-07-24
3160718,absorption attenuation,吸收衰减,,2017-07-24
3160720,absorption coefficient,吸收系数,,2017-07-24
3160721,absorption cross section,吸收截面,,2017-07-24
3160722,absorption loss,吸收损失,,2017-07-24
3160723,absorption sensors,吸收感测器,,2017-07-24
3160724,absorption spectra,吸收谱,,2017-07-24
3160725,absorption surface,吸收面,,2017-07-24
3160726,accelerated aging,加速老化,,2017-07-24
3160727,acceleration feedback,加速度回授,,2017-07-24
3160728,acceleration feedback autopilot,加速度回授自动驾驶,,2017-07-24
3160729,accelerometer,加速度规；加速度计,,2017-07-24
3160730,acceptance cone,受光锥,,2017-07-24
3160731,access hatch,舱口盖,,2017-07-24
3160732,accuracy,准确度,,2017-07-24
3160733,acousitc propagation,声传；音传,,2017-07-24
3160734,acousitc sensor,声感测器,,2017-07-24
3160735,acousitc signature,声纹,,2017-07-24
3160736,acoustic axis,声轴,,2017-07-24
3160737,acoustic camera,声学照相机,,2017-07-24
3160738,acoustic characteristic impedance,声特征阻抗,,2017-07-24
3160739,acoustic communication,声通讯,,2017-07-24
3160740,acoustic compliance,声顺,,2017-07-24
3160741,acoustic dipole,声双极,,2017-07-24
3160742,acoustic echo cancelation,回音消除,,2017-07-24
3160743,acoustic emission sensing,声射感测；声泄感测,,2017-07-24
3160744,acoustic emission{=AE},声射；声泄,,2017-07-24
3160745,acoustic flooded member detection {=FMD},声学式元件浸水侦测,,2017-07-24
3160746,acoustic horns,声喇叭,,2017-07-24
3160747,acoustic impedance,声阻抗,,2017-07-24
3160748,acoustic intensity,声强,,2017-07-24
3160749,acoustic lens,声透镜,,2017-07-24
3160750,acoustic lens sonar,声透镜声纳,,2017-07-24
3160751,acoustic mass,声质量,,2017-07-24
3160752,acoustic mine,音响水雷；声雷,,2017-07-24
3160753,acoustic modem,声学数据机,,2017-07-24
3160754,acoustic noise,声杂讯；噪音,,2017-07-24
3160755,acoustic noise level calculation,声杂讯阶计算；噪音阶计算,,2017-07-24
3160756,acoustic noise reflection,声杂讯反射；噪音反射,,2017-07-24
3160757,acoustic performance prediction,声功能预测,,2017-07-24
3160758,acoustic positioning,声学定位,,2017-07-24
3160759,acoustic power,声功率,,2017-07-24
3160760,acoustic pressure,声压,,2017-07-24
3160761,acoustic ray,声束,,2017-07-24
3160762,acoustic raypath,声线路径,,2017-07-24
3160763,acoustic resistance ,声阻,,2017-07-24
3160764,acoustic resonance,声共振,,2017-07-24
3160765,acoustic sensors,声感测器,,2017-07-24
3160766,acoustic tomography,声层析学；声学层析术,,2017-07-24
3160767,acoustic transmitter,声发射器,,2017-07-24
3160768,acoustic volume velocity,声体[积]速度,,2017-07-24
3160769,acoustic wave detection,声波侦测,,2017-07-24
3160770,acoustic wavelength,声波波长,,2017-07-24
3160771,acoustic waves,声波,,2017-07-24
3160772,acoustical Doppler current profiler {=ADCP},[声学]都卜勒流剖仪,,2017-07-24
3160773,acoustics,声学,,2017-07-24
3160774,acoustooptic modulator,声光调变器,,2017-07-24
3160775,acousto-optic tunable filter {=AOTF},声光可调式滤波器,,2017-07-24
3160776,acoutstic remote sensing,声学遥测,,2017-07-24
3160777,acquisition,撷取,,2017-07-24
3160778,acquisition mode,撷取模式,,2017-07-24
3160779,acrylate,丙烯酸酯；丙烯酸盐,,2017-07-24
3160780,acrylate coating,压克力涂层,,2017-07-24
3160781,acrylic acid,丙烯酸,,2017-07-24
3160782,acrylic plastics,丙烯酸塑料；压克力,,2017-07-24
3160783,active alignment,主动对准,,2017-07-24
3160784,active homodyne demodulation,主动零差解调,,2017-07-24
3160785,active noise control {=ANC},主动杂讯控制,,2017-07-24
3160786,active pulse inductance,主动脉冲电感,,2017-07-24
3160787,active sonar,主动声纳,,2017-07-24
3160788,active sonar equation,主动声纳方程式,,2017-07-24
3160789,active sonar porcessor,主动声纳处理器,,2017-07-24
3160790,active waveguide,主动波导,,2017-07-24
3160791,actuator,致动器；制动器,,2017-07-24
3160792,actuator control system,致动器控制系统,,2017-07-24
3160793,actuator dynamics,致动器动力学,,2017-07-24
3160794,actuator electrorheological fluid,致动器电流变液,,2017-07-24
3160795,Adams-Bashforth's integration method,亚当斯-巴斯佛积分法,,2017-07-24
3160796,adaptation algorithm,适应性演算法,,2017-07-24
3160797,adaptation gain vector,适应性增益向量,,2017-07-24
3160798,adapter cable,转接电缆,,2017-07-24
3160799,adaptive algorithm,适应性演算法,,2017-07-24
3160800,adaptive array,适应性阵列,,2017-07-24
3160801,adaptive autopilot,适应性自动驾驶,,2017-07-24
3160802,adaptive beamforming,适应性波束成形,,2017-07-24
3160803,adaptive channel matching,适应性通道匹配,,2017-07-24
3160804,adaptive control,适应性控制,,2017-07-24
3160805,adaptive decision-feedback equalizer,适应性决策回授等化器,,2017-07-24
3160806,adaptive degrees of freedom,适应性自由度,,2017-07-24
3160807,adaptive delta modulation{=ADM},适应性差值调变,,2017-07-24
3160808,adaptive design,适应性设计,,2017-07-24
3160809,adaptive detection,适应性侦测,,2017-07-24
3160810,Adaptive Differential Pulse Code Modulation{=ADPCM},适应性差值脉码调变,,2017-07-24
3160811,adaptive DPCM,适应性差值脉码调变,,2017-07-24
3160812,adaptive echo canceler,适应性回波消除器,,2017-07-24
3160813,adaptive equalization,适应性等化,,2017-07-24
3160814,adaptive equalizer,适应性等化器,,2017-07-24
3160815,adaptive feedback linearization,适应性回授线性化,,2017-07-24
3160816,adaptive filter,适应性滤波器,,2017-07-24
3160817,adaptive filter,适应性滤波器,,2017-07-24
3160818,adaptive filtering,适应性滤波,,2017-07-24
3160819,adaptive linear equalizer,适应线性等化器,,2017-07-24
3160820,adaptive linear quadratic optimal control,适应性线性二次[方]最佳控制,,2017-07-24
3160821,adaptive matched filter {=AMF},适应性匹配滤波器,,2017-07-24
3160822,adaptive noise,适应性噪音,,2017-07-24
3160823,adaptive observer,适应性观测器,,2017-07-24
3160824,adaptive processing,适应性处理,,2017-07-24
3160825,adaptive pulse code modulation {=ADPCM},适应性脉码调变,,2017-07-24
3160826,adaptive signal processing,适应性讯号处理,,2017-07-24
3160827,adaptive tracking algorithm,适应性追踪演算法,,2017-07-24
3160828,adaptive transform coding,适应性转换编码,,2017-07-24
3160829,add/drop multiplexers,增删多工器,,2017-07-24
3160830,added inertia matrix,附加惯性矩阵,,2017-07-24
3160831,added mass,附加质量,,2017-07-24
3160832,additive white Gaussian noise {=AWGN} channel,加成式白高斯杂讯通道,,2017-07-24
3160833,additive white Gaussian noise{=AWGN},加成式白高斯杂讯,,2017-07-24
3160834,additives,添加物,,2017-07-24
3160835,adhesion,黏著,,2017-07-24
3160836,adhesive damage,黏著损害,,2017-07-24
3160837,adiabatic approximation,绝热近似,,2017-07-24
3160838,adiabatic mode,无耦合模态,,2017-07-24
3160839,advance number,前进系数,,2017-07-24
3160840,advance speed,前进速度,,2017-07-24
3160841,advanced microwave instrument {=AMI},高级微波遥感器,,2017-07-24
3160842,advanced microwave scanning radiometer for EOS {=AMSR-E},高级微波扫描辐射计,,2017-07-24
3160843,Advanced Research Projects Agency Computer Network {=ARPANET},先进计划署计算机网路,,2017-07-24
3160844,Advanced Scatterometer {=ASCAT},先进散射仪,,2017-07-24
3160845,advanced very high resolution radiometer {=AVHRR},高级极高解析度辐射计,,2017-07-24
3160846,aerial cable,架空光缆,,2017-07-24
3160847,aero padding,气垫,,2017-07-24
3160848,aerodynamic load,气动力负载,,2017-07-24
3160849,aerodynamic sound,气动声,,2017-07-24
3160850,aerodynamic source,气动(声)源,,2017-07-24
3160851,aerosol,气[悬]胶,,2017-07-24
3160852,affine projection algorithm,仿射投射演算法,,2017-07-24
3160853,affine system,相似系统,,2017-07-24
3160854,A-frame,A架,,2017-07-24
3160855,after perpendicular {= AP},艉垂标,,2017-07-24
3160856,afternoon effect,午后效应,,2017-07-24
3160857,afternoon train {=A-train},午后[卫星]列队,,2017-07-24
3160858,aggregate,聚集,,2017-07-24
3160859,aggressivity,侵入性,,2017-07-24
3160860,aging,老化,,2017-07-24
3160861,aging curve approach,老化曲线法,,2017-07-24
3160862,aided time delay estimation,辅助延迟估测,,2017-07-24
3160863,air bubble,气泡,,2017-07-24
3160864,air bubbles reverberation,气泡回响,,2017-07-24
3160865,air density,空气密度,,2017-07-24
3160866,air lift,气升,,2017-07-24
3160867,air system,供气系统,,2017-07-24
3160868,air tubes,空气管,,2017-07-24
3160869,airborne,空[气][承]载,,2017-07-24
3160870,airborne mine neutralization system {=AMNS},空载扫雷中和系统,,2017-07-24
3160871,airborne oceanographic lider {=AOl},空载水文光[学雷]达,,2017-07-24
3160872,airborne transportation system,空运系统,,2017-07-24
3160873,aircraft,飞行器,,2017-07-24
3160874,aircraft analogy,飞行器类比,,2017-07-24
3160875,aircraft supportability,飞行器支援性,,2017-07-24
3160876,aircraft survivability,飞行器存活性,,2017-07-24
3160877,air-sea interface,气海界面；气海介面,,2017-07-24
3160878,Airy phase,艾里相位,,2020-12-04
3160879,Airy theory,艾里理论,,2017-07-24
3160880,Akaike information criterion {=AIC},Akaike资讯准则,,2017-07-24
3160881,Alamouti CCI mitigation scheme,Alamouti同频干扰消除法,,2017-07-24
3160882,Alamouti scheme,Alamouti方案,,2017-07-24
3160883,Alamoutic scheme,Alamoutic方案,,2017-07-24
3160884,Alexander the great,亚力山大大帝 {潜水钟名},,2017-07-24
3160885,AlGaAs laser,铝砷化镓雷射,,2017-07-24
3160886,algorithm,演算法,,2017-07-24
3160887,algorithmic system,演算系统,,2017-07-24
3160888,aliasing,重叠,,2017-07-24
3160889,aliasing error,混叠误差,,2017-07-24
3160890,all fiber sensor,全光纤感测器,,2017-07-24
3160891,all pole model cepstrum,全极点模式倒谱,,2017-07-24
3160892,all pole{=AP} model,全极点模式,,2017-07-24
3160893,all-pass lattice fliter,全通格状滤波器,,2017-07-24
3160894,all-pass system decomposition,全通系统分解,,2017-07-24
3160895,all-passing system,全通系统,,2017-07-24
3160896,all-pole lattice fliter,全极格状滤波器,,2017-07-24
3160897,all-polymer fiber,全聚合物光纤,,2017-07-24
3160898,all-zero lattice filter,全零格状滤波器,,2017-07-24
3160899,all-zero{=AZ} signal model,全零点讯号模式,,2017-07-24
3160900,ALOHA random access,ALOHA随机存取协定,,2017-07-24
3160901,alternating current field measurement {=ACFM},交流电现场量测,,2017-07-24
3160902,altimeter,高度计,,2017-07-24
3160903,alumina,氧化铝,,2017-07-24
3160904,alumina trihydrate,三水氧化铝,,2017-07-24
3160905,aluminosilicate optical fiber,铝矽酸盐光纤,,2017-07-24
3160906,aluminum alloys,铝合金,,2017-07-24
3160907,aluminum coating,铝涂层,,2017-07-24
3160908,Aluminum gallium arsenide {=AlGaAs},铝砷化镓,,2017-07-24
3160909,Alverich,消声层[瓦],,2018-09-20
3160910,ALVIN,深海潜水调查船名{阿尔文号},,2017-07-24
3160911,ambient noise,背景噪音；环境噪音,,2017-07-24
3160912,ambient noise {=AN},环境噪音；背景噪音,,2017-07-24
3160913,ambient noise in seawater,海水环境噪音,,2017-07-24
3160914,ambient noise level,背景噪音阶,,2017-07-24
3160915,ambient pressure,背景压力,,2017-07-24
3160916,ambiguity,模糊；模糊度,,2017-07-24
3160917,ambiguity diagram,模糊度图,,2017-07-24
3160918,ambiguity function,模糊函数,,2017-07-24
3160919,ambiguous lobe,模糊波瓣,,2017-07-24
3160920,American Petroleum Institute {=API},美国石油协会,,2017-07-24
