ID,英文詞彙,中文詞彙,更新日期
21373092,"(hydroxyethyl) ethylenediamine triacedic acid, trisodium salt solution",羟乙基乙二胺三醋酸三纳盐溶液； 羟乙基乙二胺三乙酸钠二水合物； 羟乙基乙二胺三乙酸三钠盐溶液,2026-05-13
21373099,2- ethylhexanoic acid,2-乙基己酸,2026-05-13
21373100,"2, 2 - dimethyloctanoic acid","2,2-异癸酸",2025-07-08
21373101,"2,2,4-trimethyl-1,3-pentanediol-1-isobutyrate","2,2,4-三甲基-1,3-戊乙醇-1-异丁酸酯；  2,2,4-三甲基-1,3-戊二醇-1-异丁酸酯",2026-05-13
21373102,2-ethoxyethanol,2-乙氧基乙醇,2025-07-08
21373103,3 - methyl - 3 - methoxy butanol,3-甲基-3-甲氧基丁醇,2025-07-08
21373104,3 - methyl - 3 -methoxy butyl acetate,3-甲基-3-甲氧基乙酸丁酯,2025-07-08
21373105,3-methoxy-1-butanol,3-甲氧基-1-丁醇,2025-07-08
21373106,3-methoxybutyl acetate,3-甲氧基乙酸丁酯,2025-07-08
21373107,8 hours - time weight average (8 hours -TWA),八小时日时量平均值,2025-07-08
21373108,8-time weighted average (8-TWA),八小时日时量平均值,2025-07-08
21373109,A bracket,艉轴架; 人字架,2026-05-26
21373110,A.C. welding generator,交流銲接发电机,2025-07-08
21373111,abysmal,艉轴架；人字架,2026-05-13
21373112,abyss,深海(指水深在800m以上),2025-07-08
21373113,abyssal,品质合格标准； 品质合格等级；可接受品质等级,2026-05-13
21373114,abyssal anti-torpedo belt armor,深海水线装甲防雷鼓包,2025-07-08
21373115,abyssal anti-torpedo bulge,深海防雷鼓包,2025-07-08
21373116,abyssalpelagic,深海海面的,2025-07-08
21373117,accelerated cooling,加速冷却,2025-07-08
21373118,acceleration zone,加速区(空化腐蚀),2025-07-08
21373119,acceptable defect level,容许缺陷标准；可接受缺陷等级,2026-05-13
21373120,acceptable quality level (AQL),品质合格标准；品质合格等级；可接受品质等级,2026-05-13
21373121,acceptable reliability level,可靠性合格标准； 可接受可靠度等级,2026-05-13
21373122,acceptance,接受,2025-07-08
21373123,acceptance criteria,验收标准 ；接受标准；验收准则；接受准则；接收判据；合格标准,2026-05-13
21373124,accession,加入,2025-07-08
21373125,accident record,事故纪录,2025-07-08
21373126,accommodation platform,居住平台,2025-07-08
21373127,acetone,丙胴；二甲基酮；醋酮；木酮,2026-05-13
21373128,acid soluble content,酸溶物含量,2025-07-08
21373129,acid-proof test,耐酸性试验,2025-07-08
21373130,acoustic counter measure (ACM),音响反制措施,2025-07-08
21373131,acoustic decoy,音响诱饵,2025-07-08
21373132,acoustic Doppler navigator,都卜勒声纳导航系统,2025-07-08
21373133,acoustic efficiency,声效率,2025-07-08
21373134,acoustic integration model (AIM),声学整合模型,2025-07-08
21373135,acoustic radiation reactance,声辐射抗力,2025-07-08
21373136,acoustic radiation resistance,声辐射阻力,2025-07-08
21373137,acoustic reciprocity,声学互易性,2025-07-08
21373138,acoustic wave trace,声波迹,2025-07-08
21373139,acquisition cost,购置成本；取得成本,2026-05-13
21373140,acrylic resin,丙烯酸树脂,2025-07-08
21373141,Action Data Automaton (ADA),战斗资讯自动化,2025-07-08
21373142,Action Information Organisation (AIO),作战情报组织,2025-07-08
21373143,active overboard decoy (AOD),主动船外；水中诱饵,2026-05-13
21373144,active repair time,实际修复时间,2025-07-08
21373145,activity,活度；活性；活动性,2026-05-13
21373146,activity coefficient,活性系数；活度系数,2026-05-13
21373147,activity factor,活性因子,2025-07-08
21373148,actual stress,实际应力,2025-07-08
21373149,adaptive estimate,自适应估计,2025-07-08
21373150,added mass coefficient,附加质量系数,2025-07-08
21373151,adequacy of scantling,寸法充足性,2025-07-08
21373152,adhesion failure,界面破坏,2025-07-08
21373153,adiabatic flame temperature,绝热火焰温度,2025-07-08
21373154,advance capability building (ACB),先进能力建构,2025-07-08
21373155,advance maximum in stopping,紧急停伡时的最大前进距离,2025-07-08
21373156,advanced combat data system (ACDS),先进战斗资料系统,2025-07-08
21373157,advanced process control (APC),先进程序控制,2025-07-08
21373158,aeroplane platform,飞机平台,2025-07-08
21373159,after surface,后表面,2025-07-08
21373160,aiming drive system of naval gun,舰炮瞄准驱动系统,2025-07-08
21373161,air content ratio,空气含量比(螺桨空化),2025-07-08
21373162,air extraction cooling system,空气冷抽系统,2025-07-08
21373163,air gap,间隙；气隙 ；空气间隙,2026-05-13
21373164,air handling unit (AHU),空调箱,2025-07-08
21373165,air stabilizer,空中稳定器,2025-07-08
21373166,air-arc gouging,空气电弧挖槽,2025-07-08
21373167,Airborne Early Warning (AEW),空中预警,2025-07-08
21373168,Airborne Warning and Command System (AWACS),空中预警管制系统,2025-07-08
21373169,Aircraft Carrier (CV),航空母舰,2025-07-08
21373170,"aircraft landing, handling and parking",飞机著陆、装卸及停放,2025-07-08
21373171,aircraft load,飞机负荷,2025-07-08
21373172,aircraft platform,飞机平台,2025-07-08
21373173,aircraft stagging,飞机交错飞行,2025-07-08
21373174,aircraft staging,飞机分段,2025-07-08
21373175,aircraft undercarriage oleo load,飞机起落架油压减震器负荷,2025-07-08
21373176,aircushion platform,气垫平台,2025-07-08
21373177,alcohols,醇类,2025-07-08
21373178,alkyl benzene,烷基苯,2025-07-08
21373179,Allied Communications Publication (ACP),同盟国通信书刊；盟军通信书刊,2026-05-13
21373180,Allied Data Publication (ADatP),盟军资料书刊,2025-07-08
21373181,Allied Hydrographic Publication (AHP),同盟国水道书刊,2025-07-08
21373182,Allied Tactical Publication (ATP),同盟国战术刊物,2025-07-08
21373183,allowable deflection,容许挠度,2026-05-26
21373184,all-up-weight (AUW),总重；满载重量；最大重量；水翼船托举重量；举重量,2026-05-13
21373185,all-weld metal,全銲接金属,2025-07-08
21373186,all-weld metal test,全銲接金属试验,2025-07-08
21373187,all-weld metal test specimen,全銲接金属试片,2025-07-08
21373188,alpha-olefins (α - olefins),α - 烯,2025-07-08
21373189,altar platform,坞壁平台,2025-07-08
21373190,alternating current machine,交流电机,2025-07-08
21373191,alternating scarf joint,交互嵌接接头,2025-07-08
21373192,alternative solution,替代解；另解,2026-05-13
21373193,aluminium sulphate solution,硫酸铝溶液,2025-07-08
21373194,Aluminum Association Standards (AA Standards),美国铝业协会标准,2025-07-08
21373195,aminoethyl diethanolamine,氨基二乙醇胺水溶液,2025-07-08
21373196,aminoethyl ethanolamine water solution,氨基乙醇胺水溶液,2026-05-13
21373197,ammonium nitrate solution,硝铵溶液,2025-07-08
21373198,ammonium phosphate solution,磷酸铵溶液,2025-07-08
21373199,ammunition feeding system of naval gun,舰炮供弹系统,2025-07-08
21373200,ammunition hoist of shipboard gun,舰炮扬弹机,2025-07-08
21373201,ammunition transfer gear of shipboard gun,舰炮弹药输送装置,2025-07-08
21373202,ammunition transferring and feeding system of shipboard gun,舰炮弹药输送供弹系统,2025-07-08
21373203,amplitude spectrum,振幅频谱,2025-07-08
21373204,primary amyl alcohol,戊醇，初级,2026-05-13
21373205,analytical solution,解析解,2025-07-08
21373206,anchor mooring and towing arrangement,系拖设备； 系泊拖带布置,2026-05-13
21373207,anchoring and mooring arrangement,锚泊与系泊布置,2025-07-08
21373208,anchoring arrangement,锚泊布置,2025-07-08
21373209,angular change distortion,角度变化收缩变形,2025-07-08
21373210,anti ship missile (ASM),反舰飞弹,2025-07-08
21373211,anti submarine warfare (ASW),反潜作战,2025-07-08
21373212,Anti-Jamming (AJ),反干扰,2025-07-08
21373213,antipode,对跖点,2025-07-08
21373214,Anti-Submarine Aircraft Carrier (CVS),反潜航空母舰,2025-07-08
21373215,antisubmarine effectiveness,反潜效能,2025-07-08
21373216,"anti-submarine helicopter {= helicopter, anti submarine (HAS)}",反潜直升机,2025-07-08
21373217,anti-torpedo blister,防雷鼓泡,2025-07-08
21373218,anti-torpedo bulge,防雷鼓包,2025-07-08
21373219,aphelion,远日点；远核点,2026-05-13
21373220,apparent length,表观长度；视长度,2026-05-13
21373221,apparent strain,表观应变,2025-07-08
21373222,apparent stress,表观应力；表征应力,2026-05-13
21373223,approach speed,接近速率；临回旋航速；回旋初速；接近航速,2026-05-13
21373224,approximate estimation,近似估算,2025-07-08
21373225,approximate solution,近似解,2025-07-08
21373226,arc gouging,电弧挖槽,2025-07-08
21373227,area source,面声源,2025-07-08
21373228,articulated loading platform,关节式装载平台,2025-07-08
21373229,assorted screwdriver,什锦螺丝起子,2025-07-08
21373230,as-weld,銲后原态,2025-07-08
21373231,attached fouler,附著垢物,2025-07-08
21373232,augmented GNSS,增强型全球导航卫星系统,2025-07-08
21373233,austenitic steel,奥斯田钢；奥斯体钢,2026-05-13
21373234,automated guided vehicle (AGV),自动导引车；自动导引船,2026-05-13
21373235,Automatic Data Porcessing (ADP),自动资料处理,2025-07-08
21373236,automatic fire stopper at danger zone of shipboard gun,舰炮危险射角停射机构,2025-07-08
21373237,automatic lipring,自动唇环,2025-07-08
21373238,automatic pressure ring,自动压力环,2025-07-08
21373239,autothermal reforming (ATR),自发热重组,2025-07-08
21373240,aviation fuel,航空燃油,2025-07-08
21373241,aviation kerosene,航空煤油,2025-07-08
21373242,avigas,航空汽油,2025-07-08
21373243,awaiting repair time,候修时间,2025-07-08
21373244,axial piston swash plate type,制水板式轴向活塞,2025-07-08
21373245,back-step sequence,后退式顺序；后退銲顺序；退銲顺序,2026-05-13
21373246,back-step welding,后退式銲接；分段后退銲法,2026-05-13
21373247,back-up joystick control,备用操纵杆控制,2025-07-08
21373248,baffled piston,屏障活塞；挡板活塞,2026-05-13
21373249,baffled piston model,屏障活塞模型；挡板活塞模型,2026-05-13
21373250,baking,烘烤,2025-07-08
21373251,batch,批次,2025-07-08
21373252,bathus,深度,2025-07-08
21373253,bathymetry,测深学,2025-07-08
21373254,bead toe,道趾,2025-07-08
21373255,beam analogy,相似梁；梁类比,2026-05-13
21373256,beam overall,全宽,2025-07-08
21373257,beam rider,乘波飞弹；乘波者,2026-05-13
21373258,beamforming,波束形成,2025-07-08
21373259,bearing failure,压溃破坏,2025-07-08
21373260,bending damping matrix,弯曲阻尼矩阵,2025-07-08
21373261,bending flexure,弯曲挠性,2025-07-08
21373262,bending platform,弯材平台,2025-07-08
21373263,bending wave,弯曲波,2025-07-08
21373264,Biles' coffin mass distribution,拜尔斯棺柩形质量分布,2025-07-08
21373265,bilge plate,舭板,2025-07-08
21373266,bilge plating,舭板列,2025-07-08
21373267,binding energy,结合能,2025-07-08
21373268,blue shift,蓝移,2025-07-08
21373269,body centred cubic structure (BCC),体心立方堆积晶格,2025-07-08
21373270,Boltzmann's constant,波兹曼常数,2025-07-08
21373271,boom platform,吊杆平台,2025-07-08
21373272,booster platform,增压加高平台,2025-07-08
21373273,booster seat,加高座椅,2025-07-08
21373274,borescope receptacle,内视镜插座,2025-07-08
21373275,both-side multirun welding,双侧多道銲接,2025-07-08
21373276,both-side single-run welding,双侧单道銲接,2025-07-08
21373277,both-side welding,双侧銲接,2025-07-08
21373278,bottom grillage,底部格架； 船底板架,2026-05-13
21373279,bottom supported platform,坐底式平台；著底平台,2026-05-13
21373280,bottom supporting drilling platform,定柱沉淀式钻井平台； 坐底式钻井平台,2026-05-13
21373281,bottom-up,由下而上；自下而上,2026-05-13
21373282,boundary value problem (BVP),边界值问题,2025-07-08
21373283,breadth overall,全宽,2025-07-08
21373284,Breathing Apparatus Self-Contained Compressed Air (BASCCA),自给式压缩空气呼吸器,2026-05-13
21373285,bridge - linked platforms,桥连平台,2025-07-08
