ID,英文名稱,中文名稱,圖片,更新日期
21290500,A bracket,A形架,,
21290501,A class division,甲级[防火]隔舱；A级[防火]隔舱,,
21290502,A frame,A形构架；A形吊架,,
21290503,A strake,A板列,,
21290504,A.C. arc welding,交流电弧銲接,,
21290505,A/C paint,防锈漆；防蚀漆,,
21290506,A/F paint,防污漆；船底二号漆,,
21290507,aback,向后；逆帆；逆风,,
21290508,abaft,在后,,
21290509,abeam,舷向；正横[向],,
21290510,able-seafarer deck,舱面干练航海人员,,
21290511,able-seafarer engine,机舱干练航海人员,,
21290512,able-seaman,干练水手,,
21290513,abnormal injection,异常喷射,,
21290514,abnormal voltage,异常电压,,
21290515,aboard,在船上,,
21290516,above deck equipment,舱面设备,,
21290517,above-water body,水线以上船体,,
21290518,abrasion,磨耗；磨损；剥蚀,,
21290519,abrasion test,磨耗试验,,
21290520,abrasive blasting,喷砂除污；喷砂清理[法],,
21290521,abrasive wheel,磨轮,,
21290522,abreast,并列,,
21290523,absolute electrostatic unit (AESU),绝对静电单位,,
21290524,absolute error,绝对误差,,
21290525,absolute humidity,绝对湿度,,
21290526,absolute manometer,气压计,,
21290527,absolute potential,绝对电位,,
21290528,absolute pressure,绝对压力,,
21290529,absolute rolling,绝对横摇,,
21290530,absolute temperature,绝对温度,,
21290531,absolute unit,绝对单位,,
21290532,absolute vacuum,绝对真空,,
21290533,absolute value,绝对值,,
21290534,absolute velocity,绝对速度,,
21290535,absolute viscosity,绝对黏度；动力黏度,,
21290536,absolute zero,绝对零度,,
21290537,absorbent,吸收剂,,
21290538,absorber,吸收器,,
21290539,absorbing body,吸音体；吸收体,,
21290540,absorbing circuit,吸收电路,,
21290541,absorption coefficient,吸音系数；吸收系数,,
21290542,absorption current,吸收电流,,
21290543,absorption factor,吸收因数,,
21290544,absorption machine,吸收式冷冻机,,
21290545,absorption refrigeration machine,吸收式冷冻机,,
21290546,abutting plate,对接板,,
21290547,AC arc welding,交流电[弧]銲,,
21290548,AC commutator motor,交流整流[式]马达,,
21290549,AC machine,交流电机,,
21290550,AC motor,交流马达,,
21290551,accelerance,加速性,,
21290552,accelerated corrosion test,加速腐蚀试验,,
21290553,accelerated draught,加速通风,,
21290554,accelerated inflow,加速入流,,
21290555,accelerating device,加速装置,,
21290556,accelerating duct,加速导管,,
21290557,accelerating nozzle,加速导筒；加速导[流]罩,,
21290558,acceleration capability,[船舶]惯性；[内燃机]加速性,,
21290559,acceleration load,惯性负荷,,
21290560,acceleration mode,加速状态,,
21290561,acceleration transducer,加速度换能器,,
21290562,accelerator,加速器；促进剂,,
21290563,accelerometer,加速计；加速规,,
21290564,acceptable defect level,容许缺陷位准,,
21290565,acceptable quality level (AQL),品质合格位准；品质合格等级；可接受品质等级,,
21290566,acceptable reliability level,可靠性合格位准；可接受可靠度等级,,
21290567,acceptance check,接收检查,,
21290568,acceptance inspection,接收检查,,
21290569,access,出入口,,
21290570,access board,跳板；搭板,,
21290571,access bridge,出入栈桥,,
21290572,access door,出入门,,
21290573,access hatch,出入舱口,,
21290574,access hole,出入孔；进出口,,
21290575,access ladder,出入梯,,
21290576,access manhole,出入人孔,,
21290577,access means,接近设施,,
21290578,access opening,出入开口,,
21290579,access trunk,出入箱道,,
21290580,accessibility,可达性,,
21290581,accessory,附件；属具；附属品,,
21290582,accessory machinery,辅助机械；附属机械,,
21290583,accessory mark,副标记,,
21290584,accident boat,[客船]应急艇,,
21290585,accident-prone,事故倾向性,,
21290586,accommodation,住舱设施；起居舱设施,,
21290587,accommodation arrangement,住舱布置图；起居舱布,,
21290588,accommodation bulkhead,住舱舱壁,,
21290589,accommodation deck,起居舱甲板；住舱甲板,,
21290590,accommodation ladder,舷梯,,
21290591,accommodation module,住舱模组,,
21290592,accommodation plan,住舱布置图；起居舱布置图,,
21290593,accommodation quarter,住舱区；起居舱区,,
21290594,accommodation space,住舱空间；起居舱空间,,
21290595,accommodation unit,住舱设施组；起居舱设施组,,
21290596,accommodation vessel,居住船,,
21290597,accomodation heating,住舱暖气,,
21290598,accordion vibration mode,纵向振动模式；手风琴振动模式,,
21290599,accumulation,储蓄；蓄压；聚集,,
21290600,accumulation test,储压试验；蓄压试验,,
21290601,accumulator,储蓄器；蓄压器；蓄电池,,
21290602,accumulator air charging manifold,蓄压器充气歧管,,
21290603,accumulator box,蓄电池箱,,
21290604,accumulator cell,蓄电池,,
21290605,accuracy,精度；准确度,,
21290606,accuracy control,精度控制,,
21290607,acetylene gas generator,乙炔产生器,,
21290608,acetylene gas welding,乙炔气銲,,
21290609,acetylene welding,乙炔銲接,,
21290610,acid bath,酸液池,,
21290611,acid brick,酸性砖,,
21290612,acid brittleness,酸脆性,,
21290613,acid proof,耐酸；抗酸,,
21290614,acid resisting paint,耐酸漆,,
21290615,acid value,酸值,,
21290616,acid-fast,耐酸[的],,
21290617,acidity,酸度,,
21290618,acid-proof brick,耐酸砖,,
21290619,acoumeter,测音计,,
21290620,acoustic board,吸音板；共鸣板,,
21290621,acoustic bulkhead,隔音舱壁,,
21290622,acoustic cavitation,声振空化,,
21290623,acoustic cladding,防声纳涂层,,
21290624,acoustic compliance,声顺,,
21290625,acoustic correlation log,音波相关计程仪,,
21290626,acoustic dipole,声偶极[子],,
21290627,acoustic emission (AE),音泄,,
21290628,acoustic fishing,音响渔法,,
21290629,acoustic frequency,声频,,
21290630,acoustic impedance,声阻抗,,
21290631,acoustic intensity,声音强度,,
21290632,acoustic medium,声音介质,,
21290633,acoustic mine,声响水雷,,
21290634,acoustic noise,音响噪音,,
21290635,acoustic power level,声功率位准,,
21290636,acoustic radiation impedance,声辐射阻抗,,
21290637,acoustic remote control,音响遥控,,
21290638,acoustic signature,音迹,,
21290639,acoustic sweep,水声搜索,,
21290640,acoustic transducer,音响换能器,,
21290641,acoustic transponder,音响询答机,,
21290642,acoustic velocity,音速,,
21290643,acoustic wave,声波；音波,,
21290644,acoustical habitability,音响适居性,,
21290645,acrylic resin paint,丙烯酸树脂涂料,,
21290646,act of god,天灾,,
21290647,acting face,作用面,,
21290648,acting surface,作用面；正压面；推进面{螺桨},,
21290649,activation,启封{将封存船整修再服役},,
21290650,active emitting material,活性；放射性材料,,
21290651,active force,主动力,,
21290652,active homing missile,主动归向飞弹,,
21290653,active metal,活性金属,,
21290654,active rudder,主动舵,,
21290655,active rudder motor,主动舵马达,,
