ID,英文名稱,中文名稱,圖片,更新日期
2039861,A register,A暂存器；算术暂存器,,2014-05-14
2039862,A/D converter {= ADC},A/D转换器；类比数位转换器,,2014-05-14
2039864,Abbe grinding mill,阿贝研磨机,,2014-05-14
2039865,Abbe refractometer,阿贝折射计,,2014-05-14
2039866,Abbe substage condenser,阿贝次阶电容器,,2014-05-14
2039867,Abel tester,阿贝耳[闪点]测定器,,2014-05-14
2039868,abrasion tester,磨耗试验机,,2014-05-14
2039869,abrasive belt,磨带,,2014-05-14
2039870,abrasive cutoff machine,磨切机,,2014-05-14
2039871,abrasive cut-off machine,磨切机,,2014-05-14
2039872,abrasive cutoff saw,磨切锯,,2014-05-14
2039873,abrasive cut-off saw,磨切锯,,2014-05-14
2039874,abrasive hardness tester,抗磨硬度试验机,,2014-05-14
2039875,absolute electrometer,绝对静电计,,2014-05-14
2039876,absolute manometer,绝对[流体]压力计,,2014-05-14
2039877,absolute pressure gage,绝对压力计,,2014-05-14
2039878,absolute pressure gauge,绝对压力计,,2014-05-14
2039879,absorber,吸收器,,2014-05-14
2039880,absorptiometer,液体吸气计；[液体]调稠器；吸收[比色]计,,2014-05-14
2039881,absorption adapter,吸收应接器,,2014-05-14
2039882,absorption apparatus,吸收装置,,2014-05-14
2039883,absorption bottle,吸收瓶,,2014-05-14
2039884,absorption cell,吸收槽；吸收池,,2014-05-14
2039885,absorption column,吸收管柱；吸收塔,,2014-05-14
2039886,absorption frequency meter,吸收[式]频率计,,2014-05-14
2039887,absorption pipet,吸球吸管；吸收吸管,,2014-05-14
2039888,absorption pipette,吸球吸管；吸收吸管,,2014-05-14
2039889,absorption spectrometer,吸收[光]谱仪,,2014-05-14
2039890,absorption spectrophotometer,吸收分光光度计,,2014-05-14
2039891,absorption tower,吸收塔,,2014-05-14
2039892,absorption tube,吸收管,,2014-05-14
2039893,absorption vessel,吸收槽；吸收器[皿],,2014-05-14
2039894,absorption wavemeter,吸收式波长计,,2014-05-14
2039895,absorption wave-meter,吸收式波长计,,2014-05-14
2039896,AC converter,交流转换器,,2014-05-14
2039897,AC dynamo,交流发电机,,2014-05-14
2039898,AC generator,交流发电机,,2014-05-14
2039899,AC inert-arc welder,交流定弧熔接器,,2014-05-14
2039900,AC potentiometer,交流电位计,,2014-05-14
2039901,AC transformer,交流变压器,,2014-05-14
2039902,accelerated solvent extractor {= ASE},加速溶剂萃取仪,,2014-05-14
2039903,accelerated testing cabinet,加速试验机；加速试验箱,,2014-05-14
2039904,accelerating electrode,加速电极,,2014-05-14
2039905,accelerator,加速器,,2014-05-14
2039906,accelerator spectrometer,加速器谱仪,,2014-05-14
2039907,accelerometer,加速[度]计,,2014-05-14
2039908,acceptor,接受器,,2014-05-14
2039909,accordion,伸缩接头,,2014-05-14
2039910,accumulator,蓄电池；累积器；累进器{电脑},,2014-05-14
2039911,AC-DC receiver,交直流接收机；交直流收音机,,2014-05-14
2039912,acetifier,醋化器,,2014-05-14
2039913,acetimeter,乙酸[比重]计；醋酸[比重]计,,2020-03-23
2039914,acetometer,乙酸[比重]计；醋酸[比重]计,,2020-03-23
2039915,acetylation flask,乙醯化瓶,,2014-05-14
2039916,acetylene burner,乙炔灯,,2014-05-14
2039917,achromatic lens,消色差透镜,,2014-05-14
2039918,achromatic objective,消色差物镜,,2014-05-14
2039919,achromatic prism,消色差棱镜,,2014-05-14
2039920,achromatic telescope,消色差望远镜,,2014-05-14
2039921,acid bath,酸浴,,2014-05-14
2039922,acid battery,酸性电池[组],,2014-05-14
2039923,acid buret,酸滴定管,,2014-05-14
2039924,acid cooler,酸冷却器,,2014-05-14
2039925,acid digestion bomb,弹式消化器；耐酸消化弹,,2014-05-14
2039926,acid dipper,耐酸杓,,2014-05-14
2039927,acid egg,蛋形升酸器；酸蛋{仪器名},,2014-05-14
2039928,acid egg pump,酸蛋泵,,2014-05-14
2039929,acid funnel,耐酸漏斗,,2014-05-14
2039930,acid glove,耐酸手套,,2014-05-14
2039931,acid hydrolysis tube,酸性水解管,,2014-05-14
2039932,acid ladle,耐酸杓,,2014-05-14
2039933,acid pump,酸[液]泵,,2014-05-14
2039934,acid sight box,窥酸箱,,2014-05-14
2039935,acid storage battery,酸性蓄电池[组],,2014-05-14
2039936,acid test tube,耐酸试管,,2014-05-14
2039937,acid tongs,耐酸钳,,2014-05-14
2039938,acidimeter,酸量计；酸[液]比重计,,2014-05-14
2039939,acidometer,酸量计；酸[液]比重计,,2014-05-14
2039940,acid-proof slab,耐酸板,,2014-05-14
2039941,acoustic filter,滤声器,,2014-05-14
2039942,acoustic frequency generator,声频发生器,,2014-05-14
2039943,acoustic oscillograph,示声波器,,2014-05-14
2039944,acoustic resonator,共鸣器,,2014-05-14
2039945,acoustical meter,比声计,,2014-05-14
2039946,acoustical radiator,声辐射器,,2014-05-14
2039947,acrometer,油[类]比重计,,2014-05-14
2039948,actino-electricity meter,光化电流计,,2014-05-14
2039949,actinograph,光量仪；辐射仪,,2014-05-14
2039950,actinometer,光量计；感光计,,2014-05-14
2039951,activator,活化器,,2014-05-14
2039952,active device,有源装置；主动装置；有源元件；主动元件,,2014-05-14
2039953,active element,有源元件；主动元件,,2014-05-14
2039954,active network,有源网路；主动网路,,2014-05-14
2039955,active transducer,主动转换器；有源转换器,,2014-05-14
2039956,actuator,引动器；致动器；激发器,,2014-05-14
