ID,英文名稱,中文名稱,圖片,更新日期
144094,quantization error,数位化误差,,2012-11-26
144095,quantization,数位化,,2012-11-26
144096,quadrant,象限,,2012-11-26
144097,Q factor,Q因素,,2012-11-26
144098,pyrometer,高温计,,2012-11-26
144099,push button operated valve,按钮操作阀,,2012-11-26
144100,purging,清洗,,2012-11-26
144101,pure binary numeration system,纯二进位数字系统,,2012-11-26
144102,purchasing lead time,采购前置时间,,2012-11-26
144103,purchase requisition,申购单,,2012-11-26
144104,purchase order,采购单,,2012-11-26
144105,purchase commitment report,采购承诺,,2012-11-26
144106,pump,确实排量式泵,,2012-11-26
144107,pulse width jitter,脉波宽度颤动,,2012-11-26
144108,pulse width distortion,脉波宽度失真,,2012-11-26
144109,pulse waveform distortion,脉波波形失真,,2012-11-26
144110,pulse train,脉波列,,2012-11-26
144111,pulse top magnitude,脉波顶值,,2012-11-26
144112,pulse top distortion,脉波顶部失真,,2012-11-26
144113,pulse top center point,脉波顶部中央点,,2012-11-26
144114,pulse top,脉波顶部,,2012-11-26
144115,pulse shaping circuit，pulse shaper,脉波整形电路，脉波整形器,,2012-11-26
144116,pulse shaping,脉波整形,,2012-11-26
144117,pulse separation jitter,脉波间隔颤动,,2012-11-26
144118,pulse separation fluctuation,脉波间隔颤动,,2012-11-26
144119,pulse separation distortion,脉波间隔失真,,2012-11-26
144120,pulse separation,脉波间隔,,2012-11-26
144121,pulse risetime,脉波上升时间,,2012-11-26
144122,pulse repetition rate,脉波重复率,,2012-11-26
144123,pulse repetition period jitter,脉波重复周期颤动,,2012-11-26
144124,pulse repetition period,脉波重复周期,,2012-11-26
144125,pulse repetition frequency jitter,脉波重复频率颤动,,2012-11-26
144126,pulse repetition frequency,脉波重复频率,,2012-11-26
144127,pulse regeneration circuit，pulse regenerator,脉波再生电路,,2012-11-26
144128,pulse regeneration,脉波再生,,2012-11-26
144129,pulse position,脉波位置,,2012-11-26
144130,pulse magnitude jitter,脉波振幅颤动,,2012-11-26
144131,pulse magnitude fluctuation,脉波振幅颤动,,2012-11-26
144132,pulse magnitude,脉波振幅,,2012-11-26
144133,pulse length jitter,脉波宽度颤动,,2012-11-26
144134,pulse length distortion,脉波宽度失真,,2012-11-26
144135,pulse jitter，pulse position jitter,脉波 (位置) 颤动,,2012-11-26
144136,pulse forming circuit,脉波形成电路,,2012-11-26
144137,pulse forming,脉波形成,,2012-11-26
144138,pulse falltime,脉波下降时间,,2012-11-26
144139,pulse duty factor,脉波任务因数,,2012-11-26
144140,pulse duration，pulse length，pulse width,脉波期间，脉波长度，脉波宽度,,2012-11-26
144141,pulse duration jitter,脉波宽度颤动,,2012-11-26
144142,pulse duration distortion,脉波宽度失真,,2012-11-26
144143,pulse center point,脉波中央点,,2012-11-26
144144,pulse base magnitude,脉波底值,,2012-11-26
144145,pulse base distortion,脉波基底失真,,2012-11-26
144146,pulse base center point,脉波基底中央点,,2012-11-26
144147,pulse base,脉波基底,,2012-11-26
144148,pulse amplitude,脉波振幅,,2012-11-26
144149,pulse advance，pulse delay,脉波前进，脉波延迟,,2012-11-26
144150,pulse,脉波,,2012-11-26
144151,pseudo-random pulse train,虚拟随机脉波列,,2012-11-26
144152,pseudo-code,虚码,,2012-11-26
144153,proximity sensor,近接感测器,,2012-11-26
144154,proximity sense,接近觉,,2012-11-26
144155,protocol,通约，议定,,2012-11-26
144156,proportional pressure relief valve,定比溢流（放泄）阀,,2012-11-26
144157,proportional pressure reducing valve,定比减压阀,,2012-11-26
144158,proportional gain,比例增益,,2012-11-26
144159,proportional device,比例元件,,2012-11-26
144160,proportional control,比例控制,,2012-11-26
144161,proportional band,比例带,,2012-11-26
144162,propagation delay time,传播延迟时间,,2012-11-26
144163,proof test pressure,耐压试验压力,,2012-11-26
144164,proof pressure (pneumatic),保证耐压力,,2012-11-26
144165,proof pressure (hydraulic),保证耐压力,,2012-11-26
144166,projected cash flow,预计现金流量,,2012-11-26
144168,programming language,程式语言,,2012-11-26
144169,programming control,规划式控制,,2012-11-26
144170,programming,程式,,2012-11-26
144171,programmer,程式设计师,,2012-11-26
144172,programmed stop,程式停止,,2012-11-26
144173,programmed optional stop,选择性程式停止,,2012-11-26
144174,programmed operating range,规划作业范围,,2012-11-26
144175,programmable controller,可程式控制器,,2012-11-26
144176,programmable control (PC),可程式控制,,2012-11-26
144177,program without machine function (basic symbol),不含机械动作之程式 (基本符号),,2012-11-26
144178,program with machine function (basic symbol),含有机械功能之程式 (基本符号),,2012-11-26
144179,program testing,程式测试,,2012-11-26
144180,program stop,程式停止,,2012-11-26
144181,program start,程式开始,,2012-11-26
144182,program evaluation and review technique (PERT),计划评核术,,2012-11-26
144183,program documentation,程式文献作业,,2012-11-26
144184,program development cycle,程式发展周期,,2012-11-26
144185,program data error,程式数据错误,,2012-11-26
144186,program coding,编写程式,,2012-11-26
144187,program,程式,,2012-11-26
144188,production plan,生产计划,,2012-11-26
144189,production oriented coding system,生产导向编号系统,,2012-11-26
144190,production flow analysis (PFA),生产流程分析,,2012-11-26
144191,production cycle,生产周期,,2012-11-26
144192,production control,生产管制,,2012-11-26
144193,product structure,产品结构,,2012-11-26
144194,product mix,产品组合,,2012-11-26
144195,product group forecast,产品群预测,,2012-11-26
144196,product group,产品族,,2012-11-26
144197,procurement,获取,,2012-11-26
144198,processor unit,处理器单元,,2012-11-26
144199,processing program,处理程式,,2012-11-26
144200,process sheet,制程表,,2012-11-26
144201,process control,程序控制,,2012-11-26
144202,priority rules,优先法则,,2012-11-26
144203,priority planning,顺序规划,,2012-11-26
144204,printer spacing chart,列印规划表,,2012-11-26
144206,printer,列印机,,2012-11-26
144207,primary work handling system,工件搬运主系统,,2012-11-26
144208,primary sensing element,初级感测元件,,2012-11-26
144209,primary pressure of reducing valve,（减压阀之）一次压,,2012-11-26
144210,primary failure,主故障,,2012-11-26
144211,primary classification,初步分类,,2012-11-26
144212,preventive maintenance time,预防维护时间,,2012-11-26
144213,preventive maintenance,预防维护,,2012-11-26
144214,pressurized flow (rate),受压流量,,2012-11-26
144215,pressure-temperature compensated flow control valve,压力-温度补偿流量控制阀,,2012-11-26
144216,pressure-spring thermometer,压力-弹簧温度计,,2012-11-26
144217,pressure transducer,压力转换器,,2012-11-26
144218,pressure switch (pneumatic),压力开关,,2012-11-26
144219,pressure switch (hydraulic),压力开关,,2012-11-26
144220,pressure switch,压力开关,,2012-11-26
144221,pressure relay,压力电驿,,2012-11-26
144222,pressure reducing valve (pneumatic),减压阀,,2012-11-26
144223,pressure reducing valve (hydraulic),减压阀,,2012-11-26
144224,pressure reducing and relieving valve (pneumatic),溢流（放泄）减压阀,,2012-11-26
144225,pressure reducing and relieving valve (hydraulic),溢流（放泄）减压阀,,2012-11-26
144226,pressure pulsation (pneumatic),压力脉动,,2012-11-26
144227,pressure pulsation (hydraulic),压力脉动,,2012-11-26
144228,pressure plate,压力板,,2012-11-26
144229,pressure intensifier,压力变换器,,2012-11-26
144230,pressure gauge,压力计,,2012-11-26
144231,pressure gage,压力计,,2012-11-26
144232,pressure fluctuation,压力变动,,2012-11-26
144233,pressure drop (pneumatic),压力降,,2012-11-26
144234,pressure drop (hydraulic),压力降,,2012-11-26
144235,pressure control valve (pneumatic),压力控制阀,,2012-11-26
144236,pressure control valve (hydraulic),压力控制阀,,2012-11-26
144237,pressure control circuit,压力控制回路,,2012-11-26
144238,pressure compensated flow control valve,压力补偿流量控制阀,,2012-11-26
144239,preshoot,预击量,,2012-11-26
144240,preprocessor,前处理器,,2012-11-26
144241,preparatory function,准备机能（G机能）,,2012-11-26
144242,preliminary investigation,初步调查,,2012-11-26
144243,preliminary allocation,暂定预拨量,,2012-11-26
144244,prefill valve,预充阀,,2012-11-26
144245,prediction,预估,,2012-11-26
144246,power-factor meter,功率因数计,,2012-11-26
144247,power relay,电力电驿,,2012-11-26
144248,power fuse,电力熔线,,2012-11-26
144249,power density spectrum,功率密度频谱,,2012-11-26
144251,power,电功率；乘幂,,2017-07-19
144252,potentiometer,电位计,,2012-11-26
144253,potential transformer，voltage transformer,比压器,,2012-11-26
144254,potential current transformer,比压比流器,,2012-11-26
144256,postprocessor,后处理器,,2012-11-26
144257,positive lap,正重叠,,2012-11-26
144258,positive displacement pump,确实排量式泵,,2012-11-26
144259,positive displacement motor,排量式马达,,2012-11-26
144260,positioning control，point to point control,定位控制,,2012-11-26
144261,positioning control,定位控制,,2012-11-26
144262,positioning accuracy-normal,位置精度-普通,,2012-11-26
144263,positioning accuracy-fine,位置精度-精,,2012-11-26
144264,positioning accuracy-coarse,位置精度-粗,,2012-11-26
144265,positioning accuracy,定位精度,,2012-11-26
144267,positioner,定位器,,2012-11-26
144268,position relay,位置电驿,,2012-11-26
144269,position memory,位置记忆,,2012-11-26
144270,position indicator,位置指示计,,2012-11-26
144271,port (pneumatic),通口,,2012-11-26
144272,port (hydraulic),接口,,2012-11-26
144273,popularity,流通度,,2012-11-26
144274,poppet valve,提动阀,,2012-11-26
144275,poly-crystal isolation,复晶隔离,,2012-11-26
144276,Polycode structure system,复码编号结构系统,,2012-11-26
144277,politropic exponent，politropic index,多态指数,,2012-11-26
144278,politropic change,多态变化,,2012-11-26
144279,polarity relay,极性电驿,,2012-11-26
144280,polarity,极性,,2012-11-26
144281,polar coordinated robot,极座标型机器人,,2012-11-26
144282,point-of-sale terminal(POS),销售点终端机,,2012-11-26
144283,point to point control(PTP),点对点控制,,2012-11-26
144284,pneumatics,气压,,2012-11-26
