ID,英文名稱,中文名稱,圖片,更新日期
3448240,(actinic) erythema,红斑(紫外放射光),,2018-03-21
3448241,(hemispherical)emissivity (of a thermal radiator),(半球)放射率,,2018-03-21
3448242,(lamp)connector,灯连接器,,2018-03-21
3448243,(luminescence) emission spectrum,(冷光)放射光谱,,2018-03-21
3448244,(psychophysical) colour,色，色彩,,2018-03-21
3448245,(radiation) thermocouple,(辐射测定用)热电偶,,2018-03-21
3448246,(radiation) thermopile,(辐射测定用)热电器，温差电器,,2018-03-21
3448247,(total) luminous flux standard lamp,总光束标准灯泡,,2018-03-21
3448248,(traffic) bollard,(交通)障碍物标识,,2018-03-21
3448249,(von Kries') persistence law,等色不变定律,,2018-03-21
3448250,a data interchange system (ADIS),数据交换系统,,2018-03-21
3448251,a hardware programming language (AHPL),硬体程式设计语言,,2018-03-21
3448252,A key,A键(电报),,2018-03-21
3448253,A operator,A值班员，A调度员,,2018-03-21
3448254,a portfolio bid,资产组合式标单,,2018-03-21
3448255,a posterior error bounds,后验误差界限,,2018-03-21
3448256,a posterior estimate,后验估计,,2018-03-21
3448257,a posteriori entropy,后定熵,,2018-03-21
3448258,a posteriori probability,后验机率,,2018-03-21
3448259,A power supply,A电源,,2018-03-21
3448260,a priori distribution,先验分布，事前分布,,2018-03-21
3448261,a priori entropy,前定熵,,2018-03-21
3448262,a priori estimate,先验估计，事前估计,,2018-03-21
3448263,a priori information,先验资讯,,2018-03-21
3448264,a priori phase,先验相，演绎相,,2018-03-21
3448265,a priori probability,先验机率,,2018-03-21
3448266,a programming language (APL),APL程式设计语言,,2018-03-21
3448267,A scope,A示波器，A扫瞄器,,2018-03-21
3448268,"A, a",三相系统的第一相,,2018-03-21
3448269,A-amplifier,A放大器,,2018-03-21
3448270,A-AND-NOT-B gate,A及非B闸,,2018-03-21
3448271,A-B toll system,A-B长途系统,,2018-03-21
3448272,A-B toll trunk,A-B长途中继线,,2018-03-21
3448273,A-band,A波段，A频带,,2018-03-21
3448274,A-battery,A电池，灯丝电池,,2018-03-21
3448275,A-class insulation,A级绝缘 (耐温105℃),,2018-03-21
3448276,A-digit selector,第一数位选择器，A字选择器,,2018-03-21
3448277,A-display,A显示器,,2018-03-21
