ID,英文名稱,中文名稱,圖片,更新日期
20774031,(electromagnetic) compatibility margin{=EMCM},（电磁）相容性余裕,,2026-07-03
20774032,(electromagnetic) disturbance level{=EMDL},（电磁）扰动位准,,2023-01-17
20774033,(electromagnetic) emission{=EME},（电磁）发射,,2024-12-24
20774034,(electromagnetic) radiation{=EMR},（电磁）辐射,,2025-04-23
20774035,(electromagnetic) susceptibility{=EMS},（电磁）感受力,,2023-01-17
20774036,(of postal matter) return receipt,回执,,2024-03-15
20774037,(radiation) test site{=RTS},（辐射）试验场地,,2025-04-21
20774038,(total) harmonic factor{=THF},（总）谐波因数,,2023-01-17
20774039,[Chinese Medicine] wrinkled giant hyssop,藿香；（中医）皱纹巨牛膝,,2023-01-17
20774040,[Computer] bitmap,位图,,2023-01-17
20774041,[falling] out of synchronism,失调,,2024-02-26
20774042,[Mathematics] isosceles,等腰,,2023-01-17
20774043,[Medicine]  set a broken bone,接骨,,2025-03-13
20774044,[Medicine] rheometry,血流计,,2023-01-17
20774045,[of a screw or bolt] to be stripped,滑牙,,2023-01-17
20774046,<to> click,点选,,2023-01-17
20774047,<to> display,显示,,2023-01-17
20774048,<to> expand,扩充,,2023-01-17
20774049,<to> fill,填充,,2023-01-17
20774050,<to> iconize,图符化,,2023-01-17
20774051,<to> maximize,最大化,,2023-01-17
20774052,<to> minimize,最小化,,2023-01-17
20774053,<to> mirror,镜像,,2023-01-17
20774054,<to> obscure,模糊,,2023-01-17
20774055,<to> occlude,阻隔,,2023-01-17
20774056,<to> resize,调整大小,,2023-01-17
20774057,<to> shrink,收缩,,2023-01-17
20774058,<to> stow,装载,,2023-01-17
20774059,<to> stretch,伸展,,2023-01-17
20774060,"1,1,1,2-tetrafluoroethane{=R-134a}","1,1,1,2-四氟乙烷",,2023-01-17
20774061,10's complement,10补数,,2023-01-17
20774062,150 Ω to 50 Ω adapter,150 Ω 对 50 Ω 配接器,,2023-01-17
20774063,1-butene ligand,1-丁烯配位,,2023-01-17
20774064,1's complement,1补数,,2023-01-17
20774065,2 dimension{=2D},二维,,2023-01-17
20774066,24 hours,24小时,,2023-01-17
20774067,2D bar,二维条,,2023-01-17
20774068,2D bar code,二维条码,,2023-01-17
20774069,2-D data,二维资料,,2023-01-17
20774070,2D data compression,二维资料压缩,,2023-01-17
20774071,2D DCT,二维离散余弦转换,,2023-01-17
20774072,2D grating,二维光栅化,,2023-01-17
20774073,2D grid,二维网格,,2023-01-17
20774074,2D image compression,二维影像压缩,,2023-01-17
20774075,2D image process,二维影像处理,,2023-01-17
20774076,2D measurement system,二维量测系统；2D 量测系统,,2023-07-25
20774077,2D photonic crystal,二维光子晶体,,2023-01-17
20774078,2D shape,二维形状,,2023-01-17
20774079,2-D symbol,二维符号,,2023-01-17
20774080,2D-material,二维材料,,2023-01-17
20774081,2-hydroxypropyl methacrylate,甲基丙烯酸 2 羟丙酯,,2023-01-17
20774082,2-methoxyethanol organic solvent,二甲氧基乙醇有机溶剂,,2023-01-17
20774083,2nd-order parabolic interpolation,2 阶抛物线内插法,,2023-01-17
20774084,2's complement,2补数,,2023-01-17
20774085,3 dimension{=3D},三维,,2023-01-17
20774086,3 dimensional cavity,三维腔,,2023-01-17
20774087,316L stainless steel,316L 不锈钢,,2023-01-17
20774088,32 bit application,32 位元应用；32 位元应用软体,,2023-01-17
20774089,360 videos,360 全景影片,,2024-08-19
20774090,360-degree videos,三百六十度视讯,,2023-01-17
20774091,38 GHz patch antenna array,38 GHz 贴片天线阵列,,2023-01-17
20774092,3D AMOLED display,三维显示器,,2023-01-17
20774093,3D array,三度空间阵列,,2023-01-17
20774094,3D browser,三度空间浏览器,,2023-01-17
20774095,3D drawing system,三维绘图系统；3D 绘图系统,,2023-07-25
20774096,3D emerging memory,三维阵列新兴记忆体,,2023-01-17
20774097,3D finite element method,有限元素法,,2023-01-17
20774098,3D gantry control,3D 龙门机构控制,,2023-01-17
20774099,3D heterogeneous integration,3D 异质积体,,2023-01-17
20774100,3D human organ model,三维人体模型,,2023-01-17
20774101,3D human pose,三维人体骨架,,2023-01-17
20774102,3D IC,三维积体电路,,2023-01-17
20774103,3D image processing,三度空间影像处理,,2023-01-17
20774104,3D integrated circuit{=3D-IC},三维积体电路,,2023-01-17
20774105,3D interaction,三维互动,,2023-01-17
20774106,3D Interactive Optimizer,三维互动式优化器,,2023-01-17
20774107,3D LiDAR,三维光学雷达,,2023-01-17
20774108,3D measurement,三维量测,,2023-01-17
20774109,3D memories,三维记忆体,,2023-01-17
20774110,3D Memory,三维记忆体,,2023-01-17
20774111,3D MIMO,三维多输入多输出,,2023-01-17
20774112,3D Modeling,三维建模,,2023-01-17
20774113,3D multi-core processors,三维多核心处理器,,2023-01-17
20774114,3D NAND FLASH,三维快闪记忆体,,2023-01-17
20774115,3D Network-on-Chip,三维晶片网路,,2023-01-17
20774116,3D object tracking,三维物体追踪,,2023-01-17
20774117,3D perception,三维感知,,2023-01-17
20774118,3D Point Cloud,三维点云,,2023-01-17
20774119,3D point cloud matching,三维点云比对,,2023-01-17
20774120,3D Pose Estimation,三维姿态估测,,2023-01-17
20774121,3D pose recognition,三维姿态辨识,,2023-01-17
20774122,3D print,三维列印；3D 列印,,2023-01-17
20774123,3D printer,三维列印机；3D 列印机,,2023-01-17
20774124,3D printing,三维列印；3D 列印,,2023-01-17
20774125,3D radar,立体雷达,,2023-01-17
20774126,3D reconstruction,3D 重建,,2023-01-17
20774127,3D scanning,3D 扫描,,2023-01-17
20774128,3D sensor image,三维感测影像,,2023-01-17
20774129,3D simulation,3D 模拟,,2023-01-17
20774130,3D SoC,三维系统单晶片,,2023-01-17
20774131,3D Stereoscopic Image,3D 立体影像；3D 立体图像,,2023-01-17
20774132,3D structure,三维结构,,2023-01-17
20774133,3D Tag Volume,三维标签体,,2023-01-17
20774134,3D Video Coding,三维视讯编码,,2023-01-17
20774135,3D view synthesis,三维视点合成,,2023-01-17
20774136,3D Virtual reality,三维虚拟实境,,2023-01-17
20774137,3D Visual Image,三维视觉影像,,2023-01-17
20774138,3dB hybrid couplers,3dB 混成耦合器,,2023-01-17
20774139,3-dimensional comb,三度空间梳,,2023-01-17
20774140,3-dimensional matching,三维匹配,,2023-01-17
20774141,3D-stack,三维推叠；3D 推叠,,2023-01-17
20774142,3GPP Long Term Evolution,3GPP 长期演进技术,,2023-01-17
20774143,3GPP-LTE,3GPP 长期演进技术,,2023-01-17
20774144,3PF,三光子萤光,,2023-01-17
20774145,3-phase rectifier,三相整流器,,2023-01-17
20774146,3-points Flexural Test,三点抗折试验,,2023-01-17
20774147,3rd generation mobile communications,第三代行动通讯,,2023-01-17
20774148,3rd Generation Partnership Project{=3GPP},第三代合作伙伴计划,,2023-01-17
20774149,3-stage balancing charge strategy,三阶段平衡充电策略,,2023-01-17
20774150,3-way pipe,三通管,,2023-01-17
20774151,3x3  Symmetric Demodulation,3x3  对称式解调,,2023-01-17
20774152,3X3 coupler,3X3 耦合器,,2023-01-17
20774153,Ⅲ Ⅴ compound semiconductor,Ⅲ-Ⅴ 族化合物半导体,,2023-01-17
20774154,4 × 4 MIMO,4 × 4 多输入多输出,,2023-01-17
20774155,4-axis Unmanned Aerial Vehicles,四轴无人机,,2023-01-17
20774156,4-Channel × 25 Gbps Single-Mode Optical Interconnect Module,4-通道 × 25Gbps 单模光连接收发模组,,2023-01-17
20774157,4G/LTE,4G 长期演进技术,,2023-01-17
20774158,4-level pulse amplitude modulation{=PAM-4},四阶脉波振幅调变,,2023-01-17
20774159,50% brittleness temperature,50% 脆化温度,,2023-01-17
20774160,5G,第五代行动通讯技术,,2023-01-17
20774161,5G application,第五代行动通讯技术应用,,2023-01-17
20774162,5G architecture,第五代行动通讯技术架构,,2023-01-17
20774163,5G communications,第五代行动通讯,,2023-01-17
20774164,5G cooperative communication,5G 合作通信,,2023-01-17
20774165,5G Mid-Band,5G 中频带,,2023-01-17
20774166,5G mobile communication,5G 移动通信,,2023-01-17
20774167,5G network,5G 网路,,2023-01-17
20774168,5G smartphone antennas,5G 智慧型手机天线,,2023-01-17
20774169,5G smartphones,5G 智慧型手机,,2023-01-17
20774170,5G Technology,5G 技术,,2023-01-17
20774171,5G wireless communication,5G 无线通信,,2023-01-17
20774172,5th generation communication,第 5 代通信,,2023-01-17
