ID,英文名稱,中文名稱,圖片,更新日期
20271424,"(2,7) code","(2,7) 码",,2023-01-17
20271425,"(a,b) tree","(a,b) 树",,2023-01-17
20271426,(arithmetic) overflow,（算术）溢位,,2024-12-30
20271427,(arithmetic) underflow,（算术）欠位,,2023-01-17
20271428,(average) transinformation rate,（平均）传送资讯率,,2023-01-17
20271429,(data) code (in telecommunication),（资料）码（在电信方面）,,2023-01-17
20271430,(data) processing,（资料）处理,,2026-05-04
20271431,(electromagnetic) emission,（电磁）发射,,2023-01-17
20271432,(formal) parrameter,（形式）参数,,2023-01-17
20271433,(in process control) analog input,（程序控制中之）类比输入,,2023-01-17
20271434,(N)-address,（N）位址,,2023-01-17
20271435,(N)-address mapping,（N）位址对映,,2023-01-17
20271436,(N)-connection,（N）连接,,2023-01-17
20271437,(N)-connection endpoint,（N）连接端点,,2023-01-17
20271438,(N)-connection endpoint identifier,（N）连接端点识别符,,2023-01-17
20271439,(N)-data communication,（N）资料通讯,,2023-01-17
20271440,(N)-data sink,（N）资料槽,,2023-01-17
20271441,(N)-data source,（N）资料源,,2023-01-17
20271442,(N)-data transmission,（N）资料传输,,2023-01-17
20271443,(N)-directory,（N）目录,,2023-01-17
20271444,(N)-duplex transmission,（N）双工传输,,2023-01-17
20271445,(N)-entity,（N）实体,,2023-01-17
20271446,(N)-expedited data unit,（N）快速资料单元,,2023-01-17
20271447,(N)-facility,（N）设施,,2023-01-17
20271448,(N)-function,（N）功能,,2023-01-17
20271449,(N)-half duplex transmission,（N）半双工传输,,2023-01-17
20271450,(N)-interface control information,（N）介面控制资讯,,2023-01-17
20271451,(N)-interface data,（N）介面资料,,2023-01-17
20271452,(N)-interface data unit,（N）介面资料单元,,2023-01-17
20271453,(N)-layer,（N）层,,2023-01-17
20271454,(N)-one-way communication,（N）单向通讯；（N）单路通讯,,2023-01-17
20271455,(N)-protocol,（N）协定,,2023-01-17
20271456,(N)-protocol connection identifier,（N）协定连接识别符,,2023-01-17
20271457,(N)-protocol control information,（N）协定控制资讯,,2023-01-17
20271458,(N)-protocol data unit,（N）协定资料单元,,2023-01-17
20271459,(N)-protocol identifier,（N）协定识别符,,2023-01-17
20271460,(N)-relay,（N）中继,,2023-01-17
20271461,(N)-service,（N）服务,,2023-01-17
20271462,(N)-service access point,（N）服务收送点；（N）服务接取点,,2023-01-17
20271463,(N)-service connection identifier,（N）服务连接识别符,,2023-01-17
20271464,(N)-service unit data,（N）服务单元资料,,2023-01-17
20271465,(N)-simplex transmission,（N）单工传输,,2023-01-17
20271466,(N)-subsystem,（N）子系统,,2023-01-17
20271467,(N)-suffix code,（N）尾缀码；（N）尾置码,,2023-01-17
20271468,(N)-transit delay,（N）中转延迟,,2023-01-17
20271469,(N)-two-way alternate communication,（N）双向交替通讯,,2023-01-17
20271470,(N)-two-way simultaneous communication,（N）双向同时通讯,,2023-01-17
20271471,(N)-user data,（N）使用者资料,,2023-01-17
20271472,(storage) location,（储存）位置,,2024-02-01
20271473,(technical) process,（技术）处理,,2023-01-17
20271474,.3GR files,.3GR 格式档案,,2023-01-17
20271475,.AFM files,.AFM 格式档案,,2023-01-17
20271476,.AIF,.AIF 格式档案,,2023-01-17
20271477,.ARC files,.ARC 格式档案,,2023-01-17
20271478,.ARJ files,.ARJ 格式档案,,2023-01-17
20271479,.ART files,.ART 格式档案,,2023-01-17
20271480,.ASC files,.ASC 格式档案,,2023-01-17
20271481,.ASP+ files,.ASP+ 格式档案,,2023-01-17
20271482,.ASPX files,.ASPX 格式档案,,2023-01-17
20271483,.AU files,.AU 格式档案,,2023-01-17
20271484,.AVI files,.AVI 格式档案,,2023-01-17
20271485,.BAT files,.BAT 格式档案,,2023-01-17
20271486,.BMP files,.BMP 图形格式档案,,2023-01-17
20271487,.COM files,.COM 格式档案,,2023-01-17
20271488,.CPT files,.CPT 格式档案,,2023-01-17
20271489,.CRD files,.CRD 格式档案,,2023-01-17
20271490,.DLL files,.DLL 格式档案,,2023-01-17
20271491,.DOC files,.DOC 文件格式档案,,2023-01-17
20271492,.DOT files,.DOT 格式档案,,2023-01-17
20271493,.EPS files,.EPS 格式档案,,2023-01-17
20271494,.EXE files,.EXE 执行格式档案,,2023-01-17
20271495,.FON files,.FON 格式档案,,2023-01-17
20271496,.GIF files,.GIF 图形格式档案,,2023-01-17
20271497,.HQX files,.HQX 格式档案,,2023-01-17
20271498,.HTM files,.HTML 网页格式档案,,2023-01-17
20271499,.IEF files,.IEF 格式档案,,2023-01-17
20271500,.INI files,.INI 格式档案,,2023-01-17
20271501,.JPG files,.JPG 图形格式档案,,2023-01-17
20271502,.ME files,.ME 格式档案,,2023-01-17
20271503,.MID files,.MID 音乐格式档案,,2023-01-17
20271504,.MOD files,.MOD 格式档案,,2023-01-17
20271505,.MOV files,.MOV 影片格式档案,,2023-01-17
20271506,.MOZ files,.MOZ 格式档案,,2023-01-17
20271507,.MP3 files,.MP3 格式档案,,2023-01-17
20271508,.MPG files,.MPG 格式档案,,2023-01-17
20271509,.NET,.NET 作业系统平台,,2023-01-17
20271510,.NET Client Profile,.NET 作业系统平台客户设定档,,2023-01-17
20271511,.NET Enterprise Server,.NET 作业系统平台企业伺服器,,2023-01-17
20271512,.NET environment,.NET 作业系统平台环境,,2023-01-17
20271513,.NET Framework,.NET 作业系统平台框架,,2023-01-17
