ID,英文名稱,中文名稱,圖片,更新日期
21028624,(actinic) erythema,红斑（紫外放射光）,,2025-11-17
21028625,"(damping) time constant, (decay) time constant",阻尼时间常数,,2023-01-17
21028626,(electromagnetic) radiation,﹝电磁﹞放射,,2023-01-17
21028627,(hemispherical)emissivity (of a thermal radiator),（半球）放射率,,2023-01-17
21028628,(ir)radiation sickness,辐射病；照射病,,2023-01-17
21028629,(lamp)connector,灯连接器,,2023-01-17
21028630,(luminescence) emission spectrum,（冷光）放射光谱,,2023-01-17
21028631,(magnetic)disk,（磁）碟；（磁）盘,,2024-07-05
21028632,(of a screw or bolt) to be stripped,滑牙,,2023-01-17
21028633,(of postal matter) return receipt,回执,,2023-01-17
21028634,(psychophysical) colour,色；色彩,,2023-01-17
21028635,(radiation) thermocouple,（辐射测定用）热电偶,,2023-01-17
21028636,(radiation) thermopile,（辐射测定用）热电堆；（辐射测定用）温差电堆,,2023-01-17
21028637,(rotary) air motor,气压马达,,2025-03-06
21028638,(service) droup wire,接户线,,2025-12-11
21028639,(total) luminous flux standard lamp,总光束标准灯泡,,2023-01-17
21028640,(traffic) bollard,（交通）障碍物标识,,2024-03-07
21028641,(von Kries') persistence law,等色不变定律,,2023-01-17
21028642,[absolute] frequency deviation,（绝对）频（率偏）差,,2023-01-17
21028643,[absolute] permeability,（绝对）磁导率,,2024-09-12
21028644,[absolute] permeability of vacuum,真空（绝对）磁导率,,2023-01-17
21028645,[absolute] permittivity,（绝对）电容率；（绝对）介电系数,,2023-01-17
21028646,[absorbed] dose ratemeter,吸收剂量率仪,,2023-01-17
21028647,[accelerated] ageing test,（加速）老化试验,,2023-01-17
21028648,[actinic] erythema,（光化学）红斑,,2023-01-17
21028649,[air] gap,（空）气隙,,2023-01-17
21028650,[aircraft] navigation lights,（飞机）导航灯,,2023-01-17
21028651,[ammonia] absorber,（氨气）吸收器,,2023-01-17
21028652,[ammonia] generator,（氨气）产生器,,2023-01-17
21028653,[analogue] magnetic recorder,（模拟）磁记录仪,,2023-01-17
21028654,[arc] current zero period,（电弧）电流零区,,2023-01-17
21028655,[atomic] nucleus,原子核,,2023-01-17
21028656,[biological] shield,生物遮罩（体）,,2023-01-17
21028657,[brush holder] rocker gear,（刷握）架调节装置,,2023-01-17
21028658,[brush holder] rocker yoke,（刷握）架座,,2023-01-17
21028659,[cell] electrode,（单体电池）电极,,2023-01-17
21028660,[cell] source voltage,（电池）源电压,,2023-01-17
21028661,[charge] carrier,载体,,2023-01-17
21028662,[circuit] valve,（电路）阀,,2023-01-17
21028663,[cleaner] nozzle,（吸尘器）吸嘴,,2023-01-17
21028664,[commutation] margin angle,裕度角,,2023-01-17
21028665,[compressed] air brake,（压缩）空气制动,,2023-01-17
21028666,[Computer] bitmap,位元图；位元映像,,2023-01-17
21028667,[contact] bouncing,（触点）回跳,,2023-01-17
21028668,[control] transformer,（控制）变换器,,2023-01-17
21028669,[d.c.] main generator,（直流）主发电机,,2023-01-17
21028670,"[damping] time constant, [decay] time constant",阻尼时间常数,,2023-01-17
21028671,[DC] current [control] order,（直流）电流（控制）指令,,2023-01-17
21028672,[DC] neutral bus arrester,[直流]中性母线避雷器,,2023-01-17
21028673,[DC] neutral bus capacitor,[直流]中性母线电容器,,2023-01-17
21028674,[DC] voltage [control] order,（直流）电压（控制）指令,,2023-01-17
21028675,[delay] trigger angle,延迟角；（延迟）触发角,,2023-01-17
21028676,[dielectric] loss index,（介质）损耗指数,,2023-01-17
21028677,[dish washer] rated dishwasher capacity,（洗碗机）额定洗涤容量,,2023-01-17
21028678,[dryer] cycle,（干衣机）周期,,2023-01-17
21028679,[dryer] rated capacity,（干衣机）额定容量,,2023-01-17
21028680,[effective] field ratio,（有效）励磁率,,2023-01-17
21028681,[effective] touch voltage,（有效）接触电压,,2023-01-17
21028682,[electomagnetic] compatibility margin,（电磁）相容裕量,,2023-01-17
21028683,[electric] actuator,（电）执行器,,2023-01-17
21028684,[electric] arc,（电）弧,,2023-01-17
21028685,[electric] blanket,电热毯,,2023-01-17
21028686,[electric] breakdown,（电气）击穿,,2023-01-17
21028687,[electric] cable,电缆,,2023-01-17
21028688,[electric] charging,充电,,2023-01-17
21028689,[electric] circuit [of an electrical installation],（电气装置的）电气回路,,2023-01-17
21028690,[electric] coffee grinder,电动咖啡磨碎机,,2023-01-17
21028691,[electric] coffee maker,电咖啡壶,,2023-01-17
21028692,[electric] coffee mill,电动咖啡碾,,2023-01-17
21028693,[electric] current,电流,,2023-01-17
21028694,[electric] discharge,放电,,2023-01-17
21028695,[electric] kettle,电水壶,,2023-01-17
21028696,[electric] line,[电力]线路,,2023-01-17
21028697,[electric] motor coach,电动客车,,2023-01-17
21028698,[electric] motor luggage car,电动行李车,,2023-01-17
21028699,[electric] motor train unit,电动车组,,2023-01-17
21028700,[electric] motor vehicle,电动车辆,,2023-01-17
21028701,[electric] overblanket,电热被,,2023-01-17
21028702,[electric] potential difference,电位差；电势差,,2023-01-17
21028703,[electric] price,[电力]价格,,2023-01-17
21028704,[electric] rate,（电力）费率,,2023-01-17
21028705,[electric] refrigerator,（电）冰箱,,2023-01-17
21028706,[electric] resolver,旋转变压器,,2023-01-17
21028707,[electric] security system engineering,[电力]安全系统工程,,2023-01-17
21028708,[electric] sensor,敏感元件,,2023-01-17
21028709,[electric] shoe polisher,（电动）擦鞋机,,2023-01-17
21028710,[electric] shunt,（电）分流器,,2023-01-17
21028711,[electric] tea kettle,电茶壶,,2023-01-17
21028712,[electric] tin opener,（电动）开罐头器,,2023-01-17
21028713,[electric] tramway,有轨电车运输方式,,2023-01-17
21028714,[electric] underblanket,电热褥,,2023-01-17
21028715,[electrical] energy,电能,,2023-01-17
21028716,[electrical] insulating material,（电气）绝缘材料,,2023-01-17
21028717,[electrical] relay,（电气）继电器,,2023-01-17
21028718,[electrical] separation,电气分隔,,2023-01-17
21028719,[electrical] winding,（电气）绕组,,2023-01-17
21028720,[electrically] instructed person,受过培训的（电气）人员,,2023-01-17
21028721,[electrically] protective barrier,（电气）保护遮栏,,2023-01-17
21028722,[electrically] protective enclosure,（电气）保护外壳,,2023-01-17
21028723,[electrically] protective obstacle,（电气）保护阻挡物,,2023-01-17
21028724,"[electrically] protective screen, [electrically] protective shield",（电气）保护遮罩（体）,,2023-01-17
21028725,"[electrically] protective screening, [electrically] protective shielding",（电气）保护遮罩,,2023-01-17
21028726,[electrically] protective separation,（电气）保护分隔,,2023-01-17
21028727,[electrically] skilled person,熟练（电气）技术人员,,2023-01-17
21028728,[electrochemical] cell,（电化学）电池,,2023-01-17
21028729,[electrochemical] immunity,（电化学）免疫,,2023-01-17
21028730,[electrochemical] migration,（电化学）迁移,,2023-01-17
21028731,[electrochemical] passivity,（电化学）钝态,,2023-01-17
21028732,[electrochemical] separator,（电化学）隔板,,2023-01-17
21028733,[electrochemically] active material,（电化学）活性物质,,2023-01-17
21028734,[electromagnetic] compatibility level,（电磁）相容性电平,,2023-01-17
21028735,[electromagnetic] disturbance level,（电磁）骚扰电平,,2023-01-17
21028736,[electromagnetic] emission,（电磁）发射,,2023-01-17
21028737,[electromagnetic] radiation,（电磁）辐射,,2023-01-17
21028738,[electron beam] oscilloscope,（电子束）示波器,,2023-01-17
21028739,[electron] avalanche,（电子）雪崩,,2023-01-17
21028740,[electron] pair production,电子对产生,,2023-01-17
21028741,[electronic power] AC conversion,（电力电子）交流变流,,2023-01-17
21028742,[electronic power] conversion,（电力电子）变流,,2023-01-17
21028745,[electronic power] DC conversion,（电力电子）直流变流,,2023-01-17
21028746,[electronic power] inversion,（电力电子）逆变,,2023-01-17
21028747,[electronic power] rectification,（电力电子）整流,,2023-01-17
21028748,[electronic power] rectifier,（电力电子）整流器,,2023-01-17
21028749,[electronic power] resistance control,（电力电子）电阻控制,,2023-01-17
21028750,[electronic power] switching,（电力电子）通断,,2023-01-17
21028756,[electronic] valve,（电子）阀,,2023-01-17
21028757,[electronic] valve device,（电子）阀器件,,2023-01-17
21028758,[electronics] [power] conversion,（电力）（电子）换流,,2023-01-17
21028759,[electronics] [power] inversion,（电子式）（功率）逆变,,2023-01-17
21028760,[electronics] [power] rectification,（电子式）（功率）整流,,2023-01-17
21028761,[electronics] [power] resistance control,（电子式）（功率）电阻控制,,2023-01-17
21028762,[electronics] a.c. [power] conversion,（电子式）交流（功率）变流,,2023-01-17
21028763,[electronics] a.c./d.c.[power] conversion,（电子式）交流/直流（功率）变流,,2023-01-17
21028764,[electronics] d.c. [power] conversion,（电子式）直流（功率）变流,,2023-01-17
21028765,[eletromagnetic] compatibility level,（电磁）相容位准,,2023-01-17
21028766,[energy] absorption,（能量）吸收,,2023-01-17
21028767,[energy] loss factor,（电能）损失因数；（电能）损耗因数,,2023-01-17
21028768,[equipotential] frame,（等电位）机架,,2023-01-17
21028769,[fan] air delivery,（风扇）风量,,2023-01-17
21028770,[fiber] cladding,（光纤）包层,,2023-01-17
21028771,[field] weakening ratio,（磁场）减弱比,,2023-01-17
21028772,[forward] slope resistance,（正向）斜率电阻,,2023-01-17
21028773,[forward] threshold voltage,（正向）阈值电压,,2023-01-17
21028774,[frequency] mixer,混频器,,2023-01-17
21028775,[frequency] spectrum,频谱,,2023-01-17
21028776,[fuel element] linear power,[燃料元件]线性功率,,2023-01-17
21028777,"[furnace] casing, [furnace] shell",炉壳,,2023-01-17
21028778,[furnace] chamber,炉室,,2023-01-17
21028779,[furnace] door,炉门,,2023-01-17
21028780,[furnace] lining,炉衬,,2023-01-17
21028781,[furnace] roof,炉顶,,2023-01-17
21028782,[furnace] roof ring,炉顶圈,,2023-01-17
21028783,[gas turbine] combustion chamber,[燃气轮机]燃烧室,,2023-01-17
21028784,[gas] turbine,（燃气）涡轮；（燃气）透平,,2023-01-17
21028785,[glass] bulb,玻壳,,2023-01-17
21028786,[Heaviside] unit step,（赫维赛德）单位阶跃函数,,2023-01-17
21028787,[Helmholtz] free energy,亥姆霍兹自由能,,2023-01-17
21028788,[hemispherical] emissivity [of a thermal radiator],（热辐射体的）（半球）发射率,,2023-01-17
21028789,[independent] current source,（独立）电流源,,2023-01-17
21028790,[independent] voltage source,（独立）电压源,,2023-01-17
21028791,[inductive] coupling factor,（感应）耦合因数,,2023-01-17
21028792,[inherent] closing time,（固有）闭合时间,,2023-01-17
21028793,[inherent] opening time,（固有）断开时间,,2023-01-17
21028794,[ink] jet recorder,喷墨记录仪,,2023-01-17
21028795,[instantaneous] failure intensity,（暂态）失效强度,,2023-01-17
21028796,[instantaneous] failure rate,（暂态）失效率,,2023-01-17
21028797,[instantaneous] repair rate,（暂态）修复率,,2023-01-17
21028798,[insulating] bushing,（绝缘）套管,,2023-01-17
21028799,[insulation] cylinder,（绝缘）筒,,2023-01-17
21028800,[ir]radiation sickness,辐射病；照射病,,2023-01-17
21028801,[lamp] connector,（灯的）连接器,,2023-01-17
21028802,[light] exposing,曝光,,2023-01-17
21028803,[light] exposure,曝光量,,2023-01-17
21028804,[light] spectrum,光谱,,2023-01-17
21028805,[liquid] abnormal leakage,（液体）异常泄漏,,2023-01-17
21028806,[liquid] allowable leakage,容许（液体）泄漏,,2023-01-17
21028807,[liquid] identified leakage,已识别（液体）泄漏,,2023-01-17
21028808,[liquid] leakage,（液体）泄漏,,2023-01-17
