ID,英文名稱,中文名稱,圖片,更新日期
628925,rigger,钻机安装员 ; 装配员,,2012-11-26
628926,rig helper,一般钻工,,2012-11-26
628927,rig front,地面设备,,2012-11-26
628928,rig floor,钻[井]台,,2012-11-26
628929,rig fixer,钻机安装员,,2012-11-26
628930,rig down (RD),钻机拆卸,,2012-11-26
628931,rig cost,钻机操作费用,,2012-11-26
628932,rig builder,钻机安装员 ; 钻机制造厂,,2012-11-26
628933,rig,钻机,,2012-11-26
628934,rift,天然裂缝,,2012-11-26
628935,rifling,采掘迹煤开采,,2012-11-26
628936,rifled pipe,重质油输油管,,2012-11-26
628937,riffles,横条木,,2012-11-26
628938,riffle-box,间隔减样器,,2012-11-26
628939,riffle board,刮蜡板 ; 刮浆板,,2012-11-26
628940,riding hoss,输油管检查具,,2012-11-26
628941,riding boss,管线巡查领班,,2012-11-26
628942,ridge runner,巡查员(油井；管线),,2012-11-26
628943,ridge fault,成脊断层,,2012-11-26
628944,ridge crest,脊峰线,,2012-11-26
628945,rider,游梁 ; 游码 ; 管线巡查员,,2012-11-26
628946,rich oil,富油,,2012-11-26
628947,rich mixture,富油混合物,,2012-11-26
628948,rich gas,富气 ; 湿天然气,,2012-11-26
628949,rib-sides,实煤壁,,2012-11-26
628950,rib-side pack,巷侧替煤石砌墙,,2012-11-26
628951,rib-side gate,单边实煤门巷,,2012-11-26
628952,rib holes,周界炮孔 ; 整修炮孔,,2012-11-26
628953,rib,壁柱 ; 煤壁,,2012-11-26
628954,rhythmic succession,循环重复地层,,2012-11-26
628955,rhyolite,流纹岩,,2012-11-26
628956,rhumb line,恒向线,,2012-11-26
628957,rhombohedral,菱面体,,2012-11-26
628958,rhodonite,蔷薇辉石,,2012-11-26
628959,rhodochrosite,菱锰矿,,2012-11-26
628960,rhodium-gold,铑金,,2012-11-26
628961,rhodium,铑,,2012-11-26
628962,rheology,流变学,,2012-11-26
628963,Rheolaveur washers,瑞氏洗煤机,,2012-11-26
628964,Rheolaveur system,瑞氏槽氏洗煤机,,2012-11-26
628965,Rheolaveur,瑞氏洗煤机,,2012-11-26
628966,rhenium,铼,,2012-11-26
628967,Reynold's number,雷诺数,,2012-11-26
628968,revivification,复原 ; 再活 ; 还原,,2012-11-26
628969,reversion,复原,,2012-11-26
628970,reversible transformation,可逆变化,,2012-11-26
628971,reversible tramway,往复架空索道,,2012-11-26
628972,reversible reaction,可逆反应,,2012-11-26
628973,reversible pick,双头切刃,,2012-11-26
628974,reversible cell,可逆电池,,2012-11-26
628975,reversible auxiliary ventilation,正逆补助通风,,2012-11-26
628976,reversed polarity,反向极性,,2012-11-26
628977,reversed bratticing,偏旁隔风幕,,2012-11-26
628978,reverse thrust,逆掩断层,,2012-11-26
628979,reverse saddles,倒立状矿脉,,2012-11-26
628980,reverse rig,有反转设备之钻机,,2012-11-26
628981,reverse fault,逆断层,,2012-11-26
628982,reverse dip,逆倾斜,,2012-11-26
628983,reverse combustion,逆火攻,,2012-11-26
628984,reverse bearing,反向方位,,2012-11-26
628985,reversal of ventilation,反向通风,,2012-11-26
628986,reverberatory furnace,反射炉,,2012-11-26
628987,return wave,回射波,,2012-11-26
628988,return sheave,回端槽轮,,2012-11-26
628989,return roller,回行滴筒,,2012-11-26
628990,return bend,双弯管 ; 回弯管,,2012-11-26
628991,return airway,回风道,,2012-11-26
628992,return air,回风,,2012-11-26
