ID,英文名稱,中文名稱,圖片,更新日期
152646,rug tow,粗麻；短麻,,2012-11-26
152647,rug gown,粗毛布；粗毛布袍,,2012-11-26
152648,rug,地毯；粗重毛织物,,2012-11-26
152649,ruffler,荷叶边缝制器,,2012-11-26
152650,ruffle skirt,荷叶边裙,,2012-11-26
152651,ruffle boss,经轴端铁环,,2012-11-26
152652,ruffle beam collar,轴紧圈,,2012-11-26
152653,ruffle,荷叶边；铁环,,2012-11-26
152654,ruff,襞褶,,2012-11-26
152655,rucksack,软式背曩,,2012-11-26
152656,ruck,绉纹，折痕,,2012-11-26
152657,ruching,褶饰,,2012-11-26
152658,ruched fabric,褶裥经编织物,,2012-11-26
152659,ruche,褶饰，褶带,,2012-11-26
152660,rubbing test,摩擦试验,,2012-11-26
152661,rubbing resistance,耐摩擦性,,2012-11-26
152662,rubbing leathers,搓条皮圈,,2012-11-26
152663,rubbing apron,搓条皮圈,,2012-11-26
152664,rubbing,搓条；摩擦脱色,,2012-11-26
152665,rubbery state,橡胶状状态,,2012-11-26
152666,rubber-proofed sheeting,涂布橡胶细布,,2012-11-26
152667,rubber-covering machine,包橡胶线机器,,2012-11-26
152668,rubber-coated textiles,涂布橡胶织物,,2012-11-26
152669,rubber-band,胶带,,2012-11-26
152670,rubber-backed carpet,橡胶底地毯,,2012-11-26
152671,rubber sheeting,橡皮垫布,,2012-11-26
152672,rubber roller,橡胶罗拉,,2012-11-26
152673,rubber proofing,橡胶涂层,,2012-11-26
152674,rubber latex,乳胶,,2012-11-26
152675,rubber glove,橡胶手套,,2012-11-26
152676,rubber foot wear,橡胶鞋,,2012-11-26
152677,rubber fibre,橡胶纤维,,2012-11-26
152678,rubber elasticity,橡胶弹性,,2012-11-26
152679,rubber core yarn,橡胶包芯纱,,2012-11-26
152680,rubber coated fabric,橡胶涂布织物,,2012-11-26
152681,rubber cloth,橡胶防水布,,2012-11-26
152682,rubber bust pad,橡胶罩杯垫,,2012-11-26
152683,rubber bowl printing machine,橡胶辊筒印染机,,2012-11-26
152684,rubber bowl,橡皮辊筒,,2012-11-26
152685,rubber blanket,橡皮衬布,,2012-11-26
152686,rubber belt,橡胶皮带,,2012-11-26
152687,rubber air pillow,橡胶气枕,,2012-11-26
152688,ruban,丝带或缎带(法语),,2012-11-26
152689,rub mark,擦痕,,2012-11-26
152690,rub fastness,摩擦坚牢度,,2012-11-26
152691,rub,摩擦,,2012-11-26
152692,royalette,五枚棉毛缎纹呢（英国产）,,2012-11-26
152693,royale,罗亚绸,,2012-11-26
152694,royal twill,高级斜纹绸,,2012-11-26
152695,royal stitch,半畦针步,,2012-11-26
152696,royal rib,双经直绫平布；半畦编,,2012-11-26
152697,roxano,绫纹绉布,,2012-11-26
152698,row,横圈,,2012-11-26
152699,roving waste,粗纱头,,2012-11-26
152700,roving stip device,粗纺停止装置,,2012-11-26
152701,roving frame,粗纺机,,2012-11-26
152702,roving course,可拆除横圈,,2012-11-26
152703,roving,粗纱,,2012-11-26
152704,routine work,日常工作,,2012-11-26
152705,routine analysis,日常作业分析,,2012-11-26
152706,roundness,真圆度,,2012-11-26
152707,round-top bed curtain,圆顶帐,,2012-11-26
152708,round-thread linen,抽花或刺绣用亚麻布,,2012-11-26
152709,round pin,圆针,,2012-11-26
152710,round neckline,圆领围,,2012-11-26
152711,round knife cutting machine,圆刀式裁刀,,2012-11-26
152712,round iron rod,圆铁棒,,2012-11-26
152713,round heel,圆袜跟,,2012-11-26
152714,round cross section,圆形横断面,,2012-11-26
152715,roughness,粗度,,2012-11-26
152716,roughing-out,刷亚麻种籽,,2012-11-26
152717,roughing,手工梳麻,,2012-11-26
152718,rough crepe,粗糙绉纱,,2012-11-26
152719,rotor spinning,鼓轮式纺纱,,2012-11-26
152720,rotatory float expander,回转式扩幅机,,2012-11-26
152721,rotational velocity,回转速度,,2012-11-26
152722,rotating tub,回转桶,,2012-11-26
152723,rotating dryer,旋转式干燥机,,2012-11-26
152724,rotating brush,回转毛刷,,2012-11-26
152725,rotatable hopper,回转式纬管库,,2012-11-26
152726,rotary washing machine,旋转式洗布机,,2012-11-26
152727,rotary viscosimeter,旋转式黏度计,,2012-11-26
152728,rotary stretcher,回转式扩幅机,,2012-11-26
152729,rotary stitching machine,回转式缝缀机,,2012-11-26
