ID,英文名稱,中文名稱,圖片,更新日期
136200,refueling,再加油,,2012-11-26
136201,refrigerator,冷冻机,,2012-11-26
136202,refrigeration tunnel,结冰测试风洞,,2012-11-26
136203,refrigerant,冷冻剂,,2012-11-26
136204,refractive index,折射率,,2012-11-26
136205,refractive error,折射误差;屈光不正,,2012-11-26
136207,refraction dome,折光罩,,2012-11-26
136211,refraction error,折射误差;屈光不正,,2012-11-26
136212,refraction,折射,,2012-11-26
136213,reflux,回流,,2012-11-26
136214,reflex ratio,反射率,,2012-11-26
136215,reflexed wing,反挠翼,,2012-11-26
136216,reflex circuit arrangement,反射电路配置,,2012-11-26
136217,reflex,反射,,2012-11-26
136218,reflex angle,反射角,,2012-11-26
136219,reflector; nuclear reactor,核子反应器之反射器,,2012-11-26
136220,reflectivity,反射性,,2012-11-26
136221,reflection suppression,反射消除,,2012-11-26
136222,reflection rainbow,反射虹,,2012-11-26
136223,reflection-plane model,反射式飞机风洞模型;半机风洞模型,,2012-11-26
136224,reflection-interference wave,反射干涉波,,2012-11-26
136225,refire time,再发射时间,,2012-11-26
136226,reflection,反射,,2012-11-26
136227,reference temperature,参考温度,,2012-11-26
136228,refining,提炼,,2012-11-26
136229,reference pressure,参考压力,,2012-11-26
136230,reference orbit,参考轨道,,2012-11-26
136231,reference line,参考线,,2012-11-26
136232,reference landing distance (RLD),参考著陆距离,,2012-11-26
136233,reference datum height (RDH),参考空层高度,,2012-11-26
136234,reference frame,基准座标系,,2012-11-26
136235,reference axis,参考轴,,2012-11-26
136236,reference area,参考面积,,2012-11-26
136237,re-entry vehicle,重返载具,,2012-11-26
136238,re-entry trajectory,重返弹道,,2012-11-26
136239,re-entry profile,重返剖面,,2012-11-26
136240,re-entry plasma,重返电桨,,2012-11-26
136241,re-entry corridor,重返走廊,,2012-11-26
136242,re-entry body,重返物体,,2012-11-26
136243,re-entry,重返大气层;重返,,2012-11-26
136244,reentrant angle,凹角,,2012-11-26
136245,reel antenna,卷盘式天线,,2012-11-26
136246,red zone of intersection,红色交叉区,,2012-11-26
136247,redundant structure,静不定结构,,2012-11-26
136248,redundant design,余赘设计,,2012-11-26
136249,redundancy,余赘性;重复性;静不定性,,2012-11-26
136250,reducing gear,减速齿轮,,2012-11-26
136251,reducing flame,还原燄,,2012-11-26
136252,reducer,减速器,,2012-11-26
136253,reduced volume,订正容积,,2012-11-26
136254,reduced thrust,减推力,,2012-11-26
136255,reduced temperature,订正温度,,2012-11-26
136256,reduced take-off and landing (RTOL),缩短起降,,2012-11-26
136257,reduced pressure,订正压力,,2012-11-26
136258,reduced modulus of elasticity,弹性折减模数,,2012-11-26
136259,reduced modulus,折合模数,,2012-11-26
136260,reduced mass,折合质量,,2012-11-26
136261,reduced equation,减比方程式;对比方程式,,2012-11-26
136262,reduced comfort boundary,降低舒适度,,2012-11-26
136263,redstone rocket,红石火箭,,2012-11-26
136264,red snow,红雪,,2012-11-26
136265,red out,红视;红昏,,2012-11-26
136266,red line,红线标志,,2012-11-26
136267,red bug,设定红标,,2012-11-26
136268,red civil airway,红色民用航路,,2012-11-26
136269,red cell mass,红血球量,,2012-11-26
136270,recurvature,转向,,2012-11-26
136271,red alert,紧急警戒,,2012-11-26
136272,rectilinear flying,直线飞行,,2012-11-26
136273,rectilinear flow,直线流动,,2012-11-26
136274,rectifier,整流器,,2012-11-26
136275,rectified altitude,校正高度,,2012-11-26
136276,rectification error,校正误差,,2012-11-26
136277,rectified airspeed,校正空速,,2012-11-26
136278,rectification,整流;检波;校正,,2012-11-26
136279,rectenna,校正天线,,2012-11-26
136280,rectangular wing,长方形机翼,,2012-11-26
136281,rectangular spar,匣形梁,,2012-11-26
136282,rectal fistula,直肠廔管,,2012-11-26
136283,recreational mode,休闲方式,,2012-11-26
136284,recovery voltage,恢复电压,,2012-11-26
136285,recovery time,恢复时间,,2012-11-26
136286,recovery temperature,恢复温度,,2012-11-26
136287,recovery percentage,回收率,,2012-11-26
136288,recovery of spacecraft,太空航具回收,,2012-11-26
136289,recovery net,回收网,,2012-11-26
136290,recovery footprint,回收地点,,2012-11-26
136291,recovery factor,回收因数,,2012-11-26
136292,recovery capsule,回收舱,,2012-11-26
136293,recovery,回收;恢复,,2012-11-26
136294,record observation,记录观测,,2012-11-26
136295,recording optical tracking instrument (ROTI),光学追踪记录仪,,2012-11-26
136296,recording barometer,自记气压表,,2012-11-26
136297,recording altimeter,自记高度表,,2012-11-26
136298,recorder; flight,飞行记录器,,2012-11-26
136299,recorder,记录器,,2012-11-26
136301,reconnaissance satellite,侦察卫星,,2012-11-26
136302,reconnaissance missile,侦察飞弹,,2012-11-26
136303,reconnaissance airplane,侦察机,,2012-11-26
136304,reconnaissance aircraft,侦察机,,2012-11-26
136305,reconnaissance (recon) (RC),侦察,,2012-11-26
136306,recompression,再加压,,2012-11-26
