ID,英文名稱,中文名稱,圖片,更新日期
3368471,13C nuclear magnetic resonance,碳-13核磁共振光谱法,,2018-03-21
3368472,15N nuclear magnetic resonance,氮-15核磁共振光谱法,,2018-03-21
3368473,2H nuclear magnetic resonance,氢-2核磁共振光谱法,,2018-03-21
3368474,2π counter,2π计数器,,2018-03-21
3368475,2π radiation detector,2π辐射侦测器,,2018-03-21
3368476,32P nuclear magnetic resonance,磷-32核磁共振光谱法,,2018-03-21
3368477,3D contrast ratio,3D对比度,,2018-03-21
3368478,3D crosstalk,3D串扰,,2018-03-21
3368479,3D depth resolution,3D深度解析度,,2018-03-21
3368480,3D image,3D影像,,2018-03-21
3368481,3D image resolution,3D影像解析度,,2018-03-21
3368482,3D luminance,3D亮度,,2018-03-21
3368483,3D moiré,3D叠纹,,2018-03-21
3368484,3D spatial resolution,立体空间解析度；3D空间解析度,,2018-03-21
3368485,3D viewing angle,3D视角,,2018-03-21
3368486,4π counter,4π计数器,,2018-03-21
3368487,A-weighting sound pressure level,A加权音压位准,,2018-03-21
3368488,abampere,绝对安培,,2018-03-21
3368489,Abbe condenser,阿贝聚光镜,,2018-03-21
3368490,Abbe criterion,阿贝准则；阿贝判据,,2018-03-21
3368491,Abbe diffraction limit,阿贝绕射极限,,2018-03-21
3368492,Abbe invariant,阿贝不变量,,2018-03-21
3368493,Abbe number,阿贝数,,2018-03-21
3368494,Abbe principle,阿贝原理,,2018-03-21
3368495,Abbe prism,阿贝棱镜,,2018-03-21
3368496,Abbe refractometer,阿贝折射计,,2018-03-21
3368497,Abbe's principle,阿贝原理,,2018-03-21
3368498,Abbe's theory of image formation,阿贝成像理论,,2018-03-21
3368499,aberration,像差；光行差{天文},,2018-03-21
3368500,aberration of lens system,透镜系统像差,,2018-03-21
3368501,Abney's law,阿布尼定律,,2018-03-21
3368502,abnormal glow discharge,异常辉光放电,,2018-03-21
3368503,abrasion,磨损,,2018-03-21
3368504,abrasion test,磨损试验,,2018-03-21
3368505,abrasion tester,磨损试验机,,2018-03-21
3368506,abrasion testing machine,磨损试验机,,2018-03-21
3368507,abrasion wear,磨耗,,2018-03-21
3368508,abrasive hardness test,磨轮硬度试验,,2018-03-21
3368509,absolute accuracy,绝对准确度,,2018-03-21
3368510,absolute activity,绝对活性；绝对活度,,2018-03-21
3368511,absolute black body,绝对黑体,,2018-03-21
3368512,absolute blackbody,绝对黑体,,2018-03-21
3368513,absolute boiling point,绝对沸点,,2018-03-21
3368514,absolute calibration,绝对校正,,2018-03-21
3368515,absolute calorimetry,绝对卡路里量测学,,2018-03-21
3368516,absolute capacity,绝对容量,,2018-03-21
3368517,absolute convergence,绝对收敛,,2018-03-21
3368518,absolute density,绝对密度,,2018-03-21
3368519,absolute determination,绝对量测；用绝对法测定,,2018-03-21
3368520,absolute deviation,绝对离差,,2018-03-21
3368521,absolute displacement,绝对位移,,2018-03-21
3368522,absolute dosimetry,绝对剂量术,,2018-03-21
3368523,absolute electrostatic dimension system,绝对静电量纲制,,2018-03-21
3368524,absolute encoder,绝对编码器,,2018-03-21
3368525,absolute error,绝对误差,,2018-03-21
3368526,absolute experiment,绝对实验,,2018-03-21
3368527,absolute gravity,绝对重力,,2018-03-21
3368528,absolute gravity determination,绝对重力测定,,2018-03-21
3368529,absolute humidity,绝对湿度,,2018-03-21
3368530,absolute inclinometer,绝对倾斜仪,,2018-03-21
3368531,absolute intensity,绝对强度,,2018-03-21
3368532,absolute joule,绝对焦耳,,2018-03-21
3368533,absolute manometer,绝对压力计,,2018-03-21
3368534,absolute mass unit,绝对质量单位,,2018-03-21
3368535,absolute measurement,绝对量测,,2018-03-21
3368536,absolute method,绝对法,,2018-03-21
3368537,absolute motion,绝对运动,,2018-03-21
3368538,absolute power,绝对功率,,2018-03-21
3368539,absolute practical unit,绝对实用单位,,2018-03-21
3368540,absolute pressure,绝对压力,,2018-03-21
3368541,absolute pressure gauge,绝对压力计,,2018-03-21
3368542,absolute radiometer,绝对辐射计,,2018-03-21
3368543,absolute radiometry,绝对辐射量测术,,2018-03-21
3368544,absolute rate,绝对速率,,2018-03-21
3368545,absolute scale,绝对标度,,2018-03-21
3368546,absolute sensitivity,绝对灵敏度,,2018-03-21
3368547,absolute standard,绝对标准,,2018-03-21
3368548,absolute standardization,绝对标准化,,2018-03-21
3368549,absolute symmetrical dimension system,绝对对称量纲制,,2018-03-21
3368550,absolute system of units,绝对单位制,,2018-03-21
3368551,absolute temperature,绝对温度,,2018-03-21
3368552,absolute temperature scale,绝对温标,,2018-03-21
3368553,absolute thermal detector,绝对热侦测器,,2018-03-21
3368554,absolute threshold of luminance,亮度绝对阈,,2018-03-21
3368555,absolute uncertainty,绝对不确定度,,2018-03-21
3368556,absolute unit,绝对单位,,2018-03-21
3368557,absolute vacuum,绝对真空,,2018-03-21
3368558,absolute vacuum gauge,绝对真空计,,2018-03-21
3368559,absolute value,绝对值,,2018-03-21
3368560,absolute value of an error,误差绝对值,,2018-03-21
3368561,absolute viscometer,绝对黏度计,,2018-03-21
3368562,absolute viscosity,绝对黏度,,2018-03-21
3368563,absolute zero temperature,绝对零度,,2018-03-21
3368564,absolute-ampere determination,绝对安培测定,,2018-03-21
3368565,absolute-ohm determination,绝对欧姆测定,,2018-03-21
3368566,absorbability,吸收能力,,2018-03-21
3368567,absorbance,吸收率；吸光度,,2018-03-21
3368568,absorbance index,吸收度指敷,,2018-03-21
3368569,absorbed dose,吸收剂量,,2018-03-21
3368570,absorbed dose rate,吸收剂量率,,2018-03-21
3368571,absorbed energy,吸收能,,2018-03-21
3368572,absorbed power,吸收功率,,2018-03-21
3368573,absorbed power meter,吸收功率计,,2018-03-21
3368574,absorbency,吸收率,,2018-03-21
3368575,absorbent,吸收剂；吸收体,,2018-03-21
3368576,absorber,吸收器；吸收剂,,2018-03-21
3368577,absorbing clamp,[功率]吸收钳,,2018-03-21
3368578,absorbing filter,吸收滤光片,,2018-03-21
3368579,absorbing material,吸收材料,,2018-03-21
3368580,absorptance,吸收比,,2018-03-21
3368581,absorptiometer,吸收计,,2018-03-21
3368582,absorptiometry,吸收量测术,,2018-03-21
3368583,absorption,吸收,,2018-03-21
3368584,absorption band,吸收带；吸收[光]谱带,,2018-03-21
3368585,absorption cell,吸收池；吸收匣,,2018-03-21
3368586,absorption chamber,吸收室,,2018-03-21
3368587,absorption chromatography,吸附色层分离法；吸附色谱法；吸收层析术,,2018-03-21
