ID,英文名稱,中文名稱,圖片,更新日期
7195048,1+reach,1次以上接触率,,2023-01-17
7195049,2D animation,二维动画,,2026-06-02
7195050,3D animation,三维动画,,2023-01-17
7195051,6-3-5 method,6-3-5方法,,2023-01-17
7195052,80/20 Rule,80/20法则,,2023-01-17
7195053,abstract form,抽象造形,,2023-01-17
7195054,abstract shape,抽象形状,,2023-01-17
7195055,abstraction,抽象,,2023-01-17
7195056,accent color,重点色彩,,2023-01-17
7195057,accessibility,亲和性；易接近；可触及性,,2023-01-17
7195058,accordion insert,折叠夹页 {平面设计},,2023-01-17
7195059,account executive {=AE},业务代表,,2023-01-17
7195060,acoustic model,声学模型,,2023-01-17
7195061,action,行动；开拍,,2023-01-17
7195062,action game,动作游戏,,2023-01-17
7195063,action mode,行动模式,,2023-01-17
7195064,action planning,行动计划,,2023-01-17
7195065,action process,行动程序,,2023-01-17
7195066,action research,行动研究,,2023-01-17
7195067,action theory,行动理论,,2023-01-17
7195068,action-to-action transition,动作转场,,2023-01-17
7195069,activation advertising,促动式广告,,2023-01-17
7195070,actual line,实线,,2024-06-03
7195071,actualization,具体化；实现,,2023-01-17
7195072,actualization action,具体化行动,,2023-01-17
7195073,ad page exposure {=APX},广告页曝光,,2023-01-17
7195074,adaptive strategy,适应策略；调适策略,,2023-01-17
7195075,added value,附加价值,,2023-01-17
7195076,additive sculpture,加法雕塑,,2023-01-17
7195077,additive value function,加成价值函数,,2023-01-17
7195078,adstock,广告印象累积,,2023-01-17
7195079,adventure game,冒险游戏,,2023-01-17
7195080,advertisement,广告,,2023-01-17
7195081,advertising agency,广告代理商,,2023-01-17
7195082,advertising campaign,广告活动,,2023-01-17
7195083,advertising clutter,广告干扰,,2023-01-17
7195084,advertising design,广告设计,,2023-01-17
7195085,advertising firm,广告公司,,2023-01-17
7195086,advertising strategy,广告策略,,2023-01-17
7195087,aesthetic function,美学机能,,2023-01-17
7195088,aesthetics,美学,,2023-01-17
7195089,aesthetic-usability effect,美即好用效应,,2023-01-17
7195090,affinity diagram,亲和图,,2023-01-17
7195091,after image,后像；残像,,2023-01-17
7195092,aided recall,辅助回忆,,2023-01-17
7195093,algorithmic method,演算方法,,2023-01-17
7195094,alignment,对齐；调整,,2023-01-17
7195095,alternative stage,替选阶段,,2023-01-17
7195096,alternative solution,替选解决方案；替选解答,,2023-01-17
7195097,alternatives,替选方案；其他选项,,2023-01-17
7195098,amplified perspective,扩大透视法,,2023-01-17
7195099,analogous color,类似色；相似色；类比色,,2023-01-17
7195100,analogous problem,类比式问题,,2023-01-17
7195101,analogue model,类比模型,,2023-01-17
7195102,analogy,类比；类比法,,2023-01-17
7195103,analysis,分析,,2023-01-17
7195104,ancillary character,辅助角色,,2023-01-17
7195105,angle of framing,取镜角度,,2023-01-17
7195106,animation,动画,,2023-01-17
7195107,anthropometry,人体计测学,,2023-01-17
7195108,app,应用程式,,2024-06-03
7195109,appearance,外观；外貌；表象,,2023-01-17
7195110,applied arts,应用艺术,,2023-01-17
7195111,archetype,原型；原形,,2023-01-17
7195112,architectural design,建筑设计,,2023-01-17
7195113,architecture,建筑,,2023-01-17
7195114,art,艺术；艺术作品,,2023-01-17
7195115,art director,艺术指导；艺术导演；艺术总监,,2023-01-17
7195116,artifact analysis,器物分析；文物分析,,2023-01-17
7195117,artificial intelligence {=AI},人工智慧,,2025-04-23
7195118,aside,旁白,,2023-01-17
7195119,assembly diagram,组装图；组合图,,2023-01-17
7195120,assembly time,装配时间,,2023-01-17
7195121,assistant creative director {=ACD},助理创意总监,,2023-01-17
7195122,association method,联想方法,,2023-01-17
7195123,association theory,联想理论,,2023-01-17
7195124,asymmetric balance,非对称平衡,,2023-01-17
7195125,asymmetrical complementarity,非对称互补,,2023-01-17
7195126,atmospheric perspective,大气透视法,,2024-06-03
7195127,attractiveness,吸引力,,2023-01-17
7195128,attribute list,属性表,,2023-01-17
7195129,attributive analogy,属性类比,,2023-01-17
7195130,audience,观众；阅听众,,2023-01-17
7195131,audience accumulation,阅听众累计,,2023-01-17
7195132,audience composition,阅听众组成,,2023-01-17
7195133,audience flow,阅听众流量,,2023-01-17
7195134,audience fragmentation,阅听分众,,2023-01-17
7195135,audio,音响；声音,,2023-01-17
7195136,audiovisual,视听觉,,2023-01-17
7195137,augmented reality,扩增实境,,2023-01-17
7195138,authority,授权,,2023-01-17
7195139,automatic optimization,自动最佳化,,2023-01-17
7195140,avant garde,前卫；前卫风格,,2023-01-17
7195141,avatar,化身,,2023-01-17
7195142,background,背景,,2023-01-17
7195143,backstory,背景故事,,2023-01-17
7195144,balance,平衡,,2023-01-17
7195145,band,频带；乐队,,2023-01-17
7195146,bandwidth,频宽；带宽,,2023-01-17
7195147,banner,旗帜；横幅,,2024-06-03
7195148,bar code,条码,,2023-01-17
7195149,basic concept,基本概念,,2023-01-17
7195150,batch,批次,,2023-01-17
7195151,behavior,行为,,2023-01-17
7195152,behavior Identity {=BI},行为识别,,2023-01-17
7195153,behavior model,行为模型；行为模式,,2023-01-17
7195154,behavioral mapping,行为对映,,2023-01-17
7195155,behavioral science,行为科学,,2023-01-17
7195156,benchmark,标竿,,2023-01-17
7195157,benchmarking,设立标竿,,2023-01-17
7195158,benefit segmentation,效益区隔,,2023-01-17
7195159,billboard,大型看板；告示牌；排行榜,,2025-10-21
7195160,binding,装钉；装钉设计,,2023-01-17
7195161,black box,暗箱；黑箱,,2023-01-17
7195162,bleed,出血,,2023-01-17
7195163,blind test,盲测,,2023-01-17
7195164,blister packaging,泡罩包装,,2023-01-17
7195165,block diagram,框图；方块图,,2023-01-17
7195166,body movement,身体动作,,2023-01-17
7195167,bodystorming,亲身体验法,,2023-01-17
7195168,book design,书籍设计；装帧设计,,2023-01-17
7195169,Boolean algebra,布林代数,,2023-01-17
7195170,border,边框,,2023-01-17
7195171,bottleneck,瓶颈,,2023-01-17
7195172,bottom-up,由下而上,,2023-01-17
7195173,boundary,边界,,2023-01-17
7195174,boundary condition,边界条件,,2023-01-17
7195175,boundary searching,边界搜寻,,2023-01-17
7195176,box,盒子；箱子,,2023-01-17
7195177,brainstorm graphic organizer,脑力激荡组织图,,2023-01-17
7195178,brainstorming,脑力激荡,,2023-01-17
7195179,branching strategy,分支策略,,2023-01-17
7195180,brand,品牌,,2023-01-17
7195181,brand awareness,品牌知名度,,2023-01-17
7195182,brand color,品牌标准色,,2023-01-17
7195183,brand development index {=BDI},品牌发展指数,,2023-01-17
7195184,brand equity,品牌资产,,2023-01-17
7195185,brand essence,品牌要素,,2023-01-17
7195186,brand essence board,品牌要素看板,,2023-01-17
7195187,brand extension,品牌延伸,,2023-01-17
7195188,brand identity,品牌识别,,2023-01-17
7195189,brand image,品牌意象；品牌形象,,2023-01-17
7195190,brand loyalty,品牌忠诚度,,2023-01-17
7195191,brand management,品牌管理,,2023-01-17
7195192,brand mark,品牌标志,,2023-01-17
7195193,brand name,品牌名,,2023-01-17
7195194,brand promise,品牌承诺,,2023-01-17
7195195,brand repositioning,品牌重新定位,,2023-01-17
7195196,brand symbol,品牌符号,,2023-01-17
7195197,brand trust,品牌信任；品牌信赖,,2023-01-17
7195198,branding iron,品牌烙印,,2023-01-17
7195199,briefing,简报,,2023-01-17
7195200,brightness,明度{物件}；亮度{灯光},,2023-01-17
7195201,broadcast,广播,,2023-01-17
7195202,broadcast calendar,广播时程表,,2023-01-17
7195203,broadcast network,广播网,,2023-01-17
7195204,broadcasting,播送,,2023-01-17
7195205,broadside,宽边,,2023-01-17
7195206,brochure,手册,,2023-01-17
7195207,budget,预算,,2023-01-17
7195208,build-in,内建,,2023-01-17
7195209,business model,商业模式,,2023-01-17
7195210,business strategy,商业策略,,2023-01-17
7195211,button ads,按钮广告,,2023-01-17
7195212,calligraphic line,缮写线条；书法线条,,2023-01-17
7195213,camera,照相机,,2023-01-17
7195214,camera ready,完稿,,2023-01-17
7195215,can,罐头；罐装,,2023-01-17
7195216,capital,大写字母；柱头{建筑},,2023-04-17
7195217,caps,大写字母,,2023-01-17
7195218,caption,图表说明；标题；字幕,,2023-01-17
7195219,capture the flag {=CTF},夺旗赛；夺旗游戏,,2023-01-17
7195220,car card,车厢看板{广告},,2023-01-17
7195221,card pack,明信片组；纸牌{广告},,2023-01-17
7195222,card sorting,卡片分类法,,2023-01-17
7195223,cardboard,纸板,,2023-01-17
7195224,cartoon,卡通,,2023-01-17
7195225,carving,雕刻；雕刻品,,2023-01-17
7195226,cast shadow,投射阴影,,2023-01-17
7195227,catalogue method,编录法,,2023-01-17
7195228,categorical form,类型形式；范畴形式,,2023-01-17
7195229,category characteristics,类别特性,,2023-01-17
7195230,category trend,类别趋势,,2023-01-17
7195231,causal theory,因果理论,,2023-01-17
7195232,causality,因果关系,,2023-01-17
7195233,cause and effect,因果,,2023-01-17
7195234,cause and effect analysis,因果分析,,2023-01-17
7195235,center spread,中间跨页,,2023-01-17
7195236,channel,频道；管道；通道,,2023-01-17
7195237,channel planning,频道规划,,2023-01-17
7195238,chaos theory,混沌理论,,2023-01-17
7195239,character,字符；角色；性格,,2024-06-03
7195240,character design,角色设计,,2023-01-17
7195241,character grid,字符网格,,2023-01-17
7195242,characteristic texture,特征质感；特征纹理,,2023-01-17
7195243,checklist,检核表,,2023-01-17
7195244,chipboard,刨花板；塑合板；硬纸板,,2023-01-17
7195245,chroma,彩度,,2023-01-17
7195246,chromatic gray,灰彩度,,2023-01-17
7195247,chromatic gray scale,灰彩尺度,,2023-01-17
7195248,chromaticity,色度；染色性,,2023-01-17
7195249,chromaticity diagram,色度图,,2023-01-17
7195250,chronology,时序；年表；年代学,,2023-01-17
7195251,cinematics,剧情动画,,2023-01-17
7195252,circular,传单；通报,,2023-01-17
7195253,circular economy,循环经济,,2023-01-17
7195254,circularity,循环性,,2023-01-17
7195255,circulation,发行量,,2023-01-17
7195256,classified advertising,分类广告,,2023-01-17
7195257,click,点击,,2023-01-17
7195258,click rate,点击率,,2023-01-17
7195259,click through rate {=CTR},点阅率,,2023-01-17
7195260,close up,特写；近景,,2023-01-17
7195261,closure,封闭,,2023-01-17
7195262,clustering,群集化；丛集化,,2023-01-17
7195263,code,符码,,2023-01-17
7195264,coding,编码,,2023-01-17
7195265,cognition,认知,,2023-01-17
7195266,cognitive dissonance,认知失调,,2023-01-17
7195267,cohesive strength,黏著强度,,2023-01-17
7195268,collaborate design,协同设计,,2023-01-17
7195269,collaborative design,协同设计,,2023-01-17
7195270,collage,拼贴,,2023-01-17
7195271,collateral material,辅助宣传素材；附属素材,,2023-01-17
7195272,color association,色关联；色彩关联,,2024-06-17
7195273,color chart,色票；色表,,2025-04-01
7195274,color contrast,色彩对比；色对比,,2024-06-17
7195275,color correction,色彩修正；色彩校正,,2023-01-17
7195276,color filter,色彩滤镜；分色用滤色法,,2023-01-17
7195277,color forecasting,色彩预测,,2023-01-17
7195278,color harmony,色彩调合,,2023-01-17
7195279,color intensity,色彩饱和度；色彩浓度,,2023-01-17
