ID,英文名稱,中文名稱,圖片,更新日期
56366,resolution,解析度,,2012-11-26
56367,reslution， high,高解析度,,2012-11-26
56368,resitivity， surface,表面电阻系数,,2012-11-26
56369,resilience,弹性,,2012-11-26
56370,residual sideband,残余边带，残波瓣,,2012-11-26
56371,residue clutter,残余杂波,,2012-11-26
56372,residual fulx density,剩余磁通密度,,2012-11-26
56373,residual error-rate,残余误差率,,2012-11-26
56374,residence telephone,住宅电话,,2012-11-26
56375,reset,重置载波,,2012-11-26
56376,reserved,保留，备用,,2012-11-26
56377,reserve route,备用路由,,2012-11-26
56378,reserve channel,备用通道,,2012-11-26
56379,reservation services,备用服务,,2012-11-26
56380,resend,重发,,2012-11-26
56381,RES (Resume Message),回复讯息,,2012-11-26
56383,re-route,重边路由，重选路由,,2012-11-26
56384,reradiation,再辐射,,2012-11-26
56385,reradiate,再辐射,,2012-11-26
56386,request-reply service,要求-应答服务,,2012-11-26
56387,Request/Response Unit (RU),要求/回应单元,,2012-11-26
56388,Request Initialization Mode (RIM),要求进入初始化模式,,2012-11-26
56389,Request Disconnect (RD),断线要求,,2012-11-26
56390,requantization,再量化,,2012-11-26
56391,representative， cost,陪集代表,,2012-11-26
56392,repetition rate,重复率，(脉冲)重复频率,,2012-11-26
56393,repetition interval,重复频率，覆送频率,,2012-11-26
56394,repetition frequency,拒斥极，反斥极,,2012-11-26
56395,repetition finterval,重复区间,,2012-11-26
56396,repeller,再生中继器，再生转发器,,2012-11-26
56402,repeater， analog,类比中继站,,2012-11-26
56403,repeater station,中继站，增音机，转播站，转发站,,2012-11-26
56404,repeater spacing,中继站距离,,2012-11-26
56405,repeater gain， undersea,海底中继增益,,2012-11-26
56406,repeater exchanger,中继交换机,,2012-11-26
56407,repeater configuration,中继器组态,,2012-11-26
56408,repeater,中继器，中继站，增音机,,2012-11-26
56409,reordering,重新排序,,2012-11-26
56410,reorder buffer,重排序缓冲器,,2012-11-26
56411,renumbering,重行编号,,2012-11-26
56412,renormalization,再正规化,,2012-11-26
56413,Remote Terminal (RT),远距端点,,2012-11-26
56414,remote terminal,远端，远端终端机,,2012-11-26
56415,remote mate,遥控电话机,,2012-11-26
56416,Remote Defect Indication,远端缺陷指示,,2012-11-26
56417,remote data station,远端数据站,,2012-11-26
56418,remote control， eletronic,电子遥控,,2012-11-26
56419,remote concertration,远距用户集线,,2012-11-26
56420,remote calling system,遥控呼叫系统,,2012-11-26
56421,Remote Alarm indication,远端告警指示,,2012-11-26
56422,remodulation,再调变,,2012-11-26
56423,remanent flux density,剩余磁通密度,,2012-11-26
56424,reluctance,磁阻,,2012-11-26
56425,relract,折射,,2012-11-26
56427,Relflected Binary Code (RBC),反射致二元码,,2012-11-26
56428,relection characteristics,反射特性,,2012-11-26
56429,Release Message,释放讯息,,2012-11-26
56430,release condition， abnormal,不正常释放条件,,2012-11-26
56431,release abnormal,不正常释放条件,,2012-11-26
56432,relaying broadcast,转播,,2012-11-26
56433,relay， microwave radio,无线电微波转播,,2012-11-26
56435,relay transmission,中继传输,,2012-11-26
56438,relay station,转播站,,2012-11-26
56439,relay satellite,中继卫星,,2012-11-26
56440,relay repeater,中继器,,2012-11-26
56441,relay center,中继中心，转播中心，转报中心,,2012-11-26
56442,relay broadcasting,转播,,2012-11-26
56443,relay,继电器，中继,,2012-11-26
56444,relaxation time,松弛时间,,2012-11-26
56445,relaxation oscillation frequency,松弛振荡频率,,2012-11-26
56446,relaxation oscillation,松弛振荡,,2012-11-26
56447,relaxation frequency,松弛频率,,2012-11-26
56448,relative peremability,相对导磁系数,,2012-11-26
56449,relative humidity,相对湿度,,2012-11-26
56450,relative gain,相对增益,,2012-11-26
56451,relative fefractive index difference,相对折射率差,,2012-11-26
56452,Relative Element Address Designate (READ) coding,相对元素位址指定编码,,2012-11-26
56453,relative calibration,相对校准,,2012-11-26
56454,Relative Address Coding (RAC),相对位址编码,,2012-11-26
56455,relability,可靠性，可靠度,,2012-11-26
56456,REL (Release Message),释放讯息,,2012-11-26
56457,rejection， ainlobe clutter,主瓣杂波抑制,,2012-11-26
56458,reinserted carrier,重置载波,,2012-11-26
56459,Reiger bound,里格界线,,2012-11-26
56460,regulator circuit,调整电路，稳压电路,,2012-11-26
56461,regulator,调整器,,2012-11-26
56462,regular link,正常链路,,2012-11-26
56463,regression,回归,,2012-11-26
56465,register,暂存器，纪录器,,2012-11-26
56466,regional satellite communication,区域卫星通讯,,2012-11-26
56467,regional center,区域中心局(一般为一级局),,2012-11-26
56470,region， Mie (resonance),米氏(散射共振)区,,2019-08-26
56471,region， Fuanhofer,法龙霍弗场区,,2012-11-26
56476,region of convergence,收敛区间,,2012-11-26
56477,regio， Mie scattering,米氏散社区,,2012-11-26
56478,regenerator,再生器,,2012-11-26
56479,regenerative repeater,再生中继器，再生转发器,,2012-11-26
56480,regenerative receiver,再生式接收机,,2012-11-26
56481,regenerative baseband recovery,再生式机频带回复,,2012-11-26
56482,regeneratior circuit,再生电路,,2012-11-26
56483,regeneration,再生,,2012-11-26
56484,refractivity,折射率，折射性,,2012-11-26
56485,refractiveness,折射性,,2012-11-26
56486,refractive index， small-scale variations on,折射率小幅度变化,,2012-11-26
56487,refractive index， effective,有效折射率,,2012-11-26
56488,refractive index Sellmeier equation,折射率谢米尔方程式,,2012-11-26
56489,refractive index profiling,折射率剖析,,2012-11-26
56490,refractive index profile measurement,折射率剖面图量测,,2012-11-26
56491,refractive index profile,折射率剖面图,,2012-11-26
56492,refractive index phase grating,折射率相位光栅,,2012-11-26
56493,refractive index normalized difference,标准化折射率差,,2012-11-26
56494,refractive index matching material,折射率匹配物质,,2012-11-26
56495,refractive index lightguides,折射率光导,,2012-11-26
56496,refractive index distribution,折射率分布,,2012-11-26
56497,refractive index definition,折射率定义,,2012-11-26
56498,refractive index change， electrooptically induced,电光引致折射率改变,,2012-11-26
56499,refractive index change,折射率改变,,2012-11-26
56500,refractive index,折射率,,2012-11-26
56501,refraction， tropospheric,对流层大气折射,,2012-11-26
56503,refraction， anomalous,不规则折射,,2012-11-26
56504,refraction angle,折射角,,2012-11-26
56505,refraction,折射,,2012-11-26
56506,refracting layer,折射层,,2012-11-26
56507,refracted near-field method,折射近场方法,,2012-11-26
56508,reflex klystron， Applegate digram of,反射式调速管之阿普里格特图,,2012-11-26
56509,reflex klystron,反射式(回复式)调速管,,2012-11-26
56510,reflector-type antenna,反射器天线,,2012-11-26
56512,reflector， virtual feed of,反射器虚馈(点),,2012-11-26
56513,reflector， vertex-plate,反射器顶板,,2012-11-26
56515,reflector， taper efficiency of,反射器修缓效率,,2012-11-26
56516,reflector， surface geometry of,反射器表面几何形状,,2012-11-26
56517,reflector， spillover efficiency of,反射器溢波效率,,2012-11-26
56518,reflector， spherical,球型反射器,,2012-11-26
56519,reflector， shaped-beam,定型波束反射器,,2012-11-26
