ID,英文名稱,中文名稱,圖片,更新日期
199208,roll crusher,辊碎机,,2012-11-26
199209,roll[ing] scale,轧屑,,2012-11-26
199210,rodding,砂心骨,,2012-11-26
199211,roll,1.轧辊 2.辊子,,2012-11-26
624997,rod straightener,杆条矫直机,,2012-11-26
624998,rod feeding,搅拌补给,,2012-11-26
624999,Rockwell hardness tester,洛氏硬度试验机,,2012-11-26
625000,Rockwell hardness test,洛氏硬度试验,,2012-11-26
625001,Rockwell hardness,洛氏硬度,,2012-11-26
625002,rockover core making machine,翻转式砂心机,,2012-11-26
625003,rocking furnace,摇动炉,,2012-11-26
625004,rock candy [fracture],冰糖形断面（铸疵）,,2012-11-26
625005,roast sand mold,表面烘干砂模,,2012-11-26
625006,river sand,河砂,,2012-11-26
625007,rising mark,突出标志,,2012-11-26
625008,rising,铸瘤,,2012-11-26
625009,riser runner,冒口流道,,2012-11-26
625010,riser pad,冒口垫,,2012-11-26
625011,riser neck,冒口颈,,2012-11-26
625012,riser height,冒口高度,,2012-11-26
625013,riser gate,冒口进模口,,2012-11-26
625014,riser bush,冒口套,,2012-11-26
625015,riser,冒口,,2012-11-26
625016,ripple,波纹,,2012-11-26
625017,ring shake,环形裂缝（木材）,,2012-11-26
625018,ring runner,环形流道,,2012-11-26
625019,ring gate,环形进模口,,2012-11-26
625020,ring balance,环秤（风量计）,,2012-11-26
625021,rimmed steel,未静钢；净缘钢,,2012-11-26
625022,rim type heating,环状加热,,2012-11-26
625023,rim,1.边线；轮缘 2.胎环,,2012-11-26
625024,rigidity,刚性,,2012-11-26
625025,rigging,配置模型,,2012-11-26
625026,riddled sand,筛分砂,,2012-11-26
625027,riddle,粗筛,,2012-11-26
625028,rib,肋,,2012-11-26
625029,rhombic system,斜方晶系（结晶）,,2012-11-26
625030,rhodium,铑（Rh）,,2012-11-26
625031,rhenium,铼（Re）（稀金属元素）,,2012-11-26
625032,Reynold's number（R）,雷诺数,,2012-11-26
625033,revolving speed,转速,,2012-11-26
625034,reversible pattern plate,可翻转模型板,,2012-11-26
625035,reverse mottle,逆冷硬麻口（展性铸铁铸疵）,,2012-11-26
625036,reverse horn gate,反喇叭形浇口,,2012-11-26
625037,reverse chill,逆冷硬（铸疵）,,2012-11-26
625038,reverberatory furnace,反射炉,,2012-11-26
625039,returns,回炉料,,2012-11-26
625040,return scrap,回炉废料,,2012-11-26
