ID,英文名稱,中文名稱,圖片,更新日期
28079,casting,浇注成型，铸造，铸件,,2012-11-26
28090,cassia,桂皮，中国肉桂,,2012-11-26
28097,cask fermentation,桶内发酵,,2012-11-26
28232,carica papaya,木瓜,,2012-11-26
28458,canner,罐头制造者，罐制工，罐头杀菌锅，罐装规格肉,,2012-11-26
28518,candle,蜡烛，烛光,,2012-11-26
28905,butter cake,白脱饼，乳酪饼,,2012-11-26
29035,buffing,抛光，擦光,,2012-11-26
29158,Brodie's solution,布罗迪溶液,,2012-11-26
29997,bine,啤酒花茎,,2012-11-26
30113,berry,浆果,,2012-11-26
30150,benzidine test,联苯胺试验,,2012-11-26
30503,barleycorn,大麦，大麦粒,,2012-11-26
30890,Aw，water activity,水活性,,2012-11-26
31034,autocatalyst,自触媒,,2012-11-26
31536,antivirus,抗病毒,,2012-11-26
31621,antidote,解毒剂,,2012-11-26
31623,antidiabetic diet,抗糖尿膳食，抗糖尿饮食,,2012-11-26
32044,amidine,脒,,2012-11-26
32188,allosteric effect,异位效应,,2012-11-26
32220,alligator,美洲鳄,,2012-11-26
32385,alegar,麦酒醋,,2012-11-26
32563,air package,充气包装,,2012-11-26
32608,air conditioner,空调机,,2012-11-26
32659,agitating retort,搅动式杀菌釜,,2012-11-26
32763,after-fractionating tower,后分馏塔,,2012-11-26
32875,adult,成年，成人,,2012-11-26
32996,additivity,可加性,,2012-11-26
33054,active phosphate,活性磷酸[盐]，活性磷酸[酯],,2012-11-26
33095,Actinomycetaceae,放线菌科,,2012-11-26
33202,acid test,酸试验,,2012-11-26
33320,acetifier,醋化器,,2012-11-26
33355,accessory factor,辅助因素,,2012-11-26
33410,absorption apparatus,吸收装置,,2012-11-26
33456,abscisic acid,脱落酸,,2012-11-26
33485,abequose,阿比可糖,,2012-11-26
33505,5，8-dimethyl tocol,5，8-二甲产酚,,2020-05-21
33515,2-ethyl butyric acid,2-乙基丁酸,,2012-11-26
33628,soy trypsin inhibitor， soybean trypsin inhibitor,大豆胰蛋白酶抑制剂,,2012-11-26
33939,sodium stear(o)yl-2-lactylate， SSL,硬脂醯-2-乳醯乳酸钠,,2012-11-26
34043,soapstock， soap stock,皂脚,,2012-11-26
