ID,英文名稱,中文名稱,圖片,更新日期
218732,ROSSEL－TANZ (RUMANIA),群马舞(罗马尼亚),,2012-11-26
218733,ROSSANAK (CAMBODIA),萝珊娜(高棉),,2012-11-26
218735,ROSS，HERBERT (1926－ ),罗斯，赫伯特,,2012-11-26
218736,ROSS，BERTRAM (1920－ ),罗斯，勃春,,2012-11-26
218739,ROSH HASHANA (HEBREW),新年乐(希伯来),,2012-11-26
218741,ROSENTHAL，JEAN (1912－1969),罗森塔尔，金,,2012-11-26
218742,ROSENBERG，HILDING (1892－1985),罗森柏格，赫尔汀,,2012-11-26
218745,ROSEN，HEINZ (1908－1972),罗森，海因兹,,2012-11-26
218746,ROSAS DANSE ROSAS,罗莎斯舞,,2012-11-26
218749,ROSAS,罗莎斯舞团,,2012-11-26
218751,ROSALIA (FRANCE，ITALY),无想像的连续处理(法国、义大利),,2012-11-26
218753,ROPPO (JAPAN),六方(日本),,2012-11-26
218754,ROPE DANCING (ROME),绳上舞(罗马),,2012-11-26
218755,ROPE,绳索,,2012-11-26
218756,ROOMS,房间,,2012-11-26
218760,ROODY DOODY (MAORI),如迪督迪；舟舞(毛利人),,2012-11-26
218762,RONG NGENG (THAILAND),龙恩吉舞(泰国南部),,2012-11-26
218764,RONDO,轮旋曲,,2012-11-26
218765,RONDEAU,轮旋曲,,2012-11-26
218767,ROND DE JAMBE SOULEVÉ,腿部踮立绕环,,2012-11-26
218769,ROND DE JAMBE PIQUÉ,腿部弹戳绕环,,2012-11-26
218770,ROND DE JAMBE FERMÉ,闭合式腿部绕环,,2012-11-26
218774,ROND DE JAMBE EN L'AIR SAUTÉ,空中跳跃腿部绕环,,2012-11-26
218775,ROND DE JAMBE EN L'AIR EN TOURNANT,空中旋转腿部绕环,,2012-11-26
218777,ROND DE JAMBE EN L'AIR,空中腿部绕环,,2012-11-26
218779,ROND DE JAMBE BALANCÉ,摇摆腿部绕环,,2012-11-26
218781,ROND DE JAMBE À TERRE,地面腿部绕环,,2012-11-26
218782,ROND DE JAMBE,腿部绕环,,2012-11-26
218783,RONCESVALLE (FRANCE),隆斯瓦舞(法国),,2012-11-26
218786,RONALDSHAY (SCOTLAND),若诺谢；新年舞(苏格兰),,2012-11-26
218788,RON，RAHAMIM (1944－ ),朗，洛哈明,,2012-11-26
218790,ROMEO AND JULIET,罗密欧与茱丽叶,,2012-11-26
218792,ROME BALLET,罗马芭蕾舞团,,2012-11-26
218794,RO－MBULAT (MALEKULA，NEW HEBRIDES),蕉叶舞(新赫布里群岛之马勒库拉),,2012-11-26
218795,ROMANY (GYPSY),罗曼尼(吉普赛),,2012-11-26
218797,ROMANTICISM,浪漫主义,,2012-11-26
218798,ROMANOV，BORIS GEORGIEVICH (1891－1957),罗曼诺夫，伯利夫,,2012-11-26
218800,ROMAN SACRED DANCE (ROME),罗马圣舞(罗马),,2012-11-26
218802,ROMAN RITUAL DANCE (ROME),罗马礼仪舞蹈(罗马),,2012-11-26
218804,ROLLING RESISTANCE,滚动阻力,,2012-11-26
218805,ROMALIS (SPAIN),罗玛里斯舞(西班牙),,2012-11-26
218807,ROLLING MOTION,滚动,,2012-11-26
218808,ROLLING IN,足内翻；倒脚,,2012-11-26
218811,ROLLING FRICTION,滚动摩擦,,2012-11-26
218813,ROLLING,滚动,,2012-11-26
218815,ROLLER,滚筒,,2012-11-26
218817,ROLLELIBUTZEN (SWITZERLAND),肩铃舞者(瑞士),,2012-11-26
218819,ROLL HEM,卷缝,,2012-11-26
218821,ROLL CURTAIN,卷轴幕,,2012-11-26
218823,ROLFING,鲁尔夫治疗法,,2012-11-26
218824,ROLF，IDA,鲁尔夫，爱达,,2012-11-26
218826,ROLE REVERSAL,角色代换,,2012-11-26
218829,ROLE PLAY,角色扮演,,2012-11-26
218831,ROLE,角色,,2012-11-26
218833,ROKUSAI NEN BUZU (JAPAN),六齐念佛(日本),,2012-11-26
218835,ROHRER'S INDEX,罗列指数,,2012-11-26
218836,ROKAIK (MALEKULA，NEW HEBRIDES),罗凯克舞(新赫布里群岛之马勒库拉),,2012-11-26
218837,ROGGE，LOLA (1908－ ),罗格，萝拉,,2012-11-26
218840,ROGERS，GINGER (1911－ ),罗杰斯，琴,,2012-11-26
