ID,英文名稱,中文名稱,圖片,更新日期
3607874,artist collective,艺术家联盟,,2026-04-29
3607875,3D modeling technology,3D建模技术,,2023-01-17
3607876,3D printed art,3D列印艺术,,2023-01-17
3607877,85 Art Movement,85新潮；85美术运动,,2023-01-17
3607878,A Book From The Sky,天书,,2023-01-17
3607879,a hearing eye,聆听的眼睛,,2023-01-17
3607880,A Palace Concert,宫乐图（作者不详）,,2023-01-17
3607881,A Preface on Landscape Painting,画山水序 （画论）,,2023-01-17
3607882,artist's proof (A.P.),作者版；画家版；试版,,2026-04-29
3607883,a/r/tography,艺游志,,2023-01-17
3607884,ABC art,极限艺术,,2023-01-17
3607885,ABER (Arts Based Educational Research),艺术本位教育研究,,2023-01-17
3607886,abject art,贱斥艺术,,2025-06-03
3607887,aboriginal art,原住民艺术,,2023-01-17
3607888,Aboriginal Child,番童（黄土水雕塑作品）,,2023-01-17
3607889,absolute judgment,绝对性判断,,2023-01-17
3607890,Abstract Expressionism,抽象表现主义,,2023-01-17
3607891,abstract ink painting,抽象水墨画,,2023-01-17
3607892,abstraction,抽象化,,2023-01-17
3607893,academic art,学院美术,,2023-01-17
3607894,academic artists,学院艺术家,,2023-01-17
3607895,academicism,学院派,,2023-01-17
3607896,academy,学院,,2023-01-17
3607897,accidental art,意外艺术,,2023-01-17
3607898,ACM (Association for Computing Machinery),美国电脑协会,,2023-01-17
3607899,actants,行动元,,2023-01-17
3607900,action painters,行动画派；行动派画家,,2023-01-17
3607901,action painting,行动绘画,,2023-01-17
3607902,activist art,行动艺术,,2023-01-17
3607903,actural intentionalism,真实的意图主义,,2023-01-17
3607904,adherent,拥护者,,2023-01-17
3607905,aerial perspective,大气透视法；空气透视,,2023-03-20
3607906,aesthetic,审美,,2023-01-17
3607907,aesthetic admiration,钦羡的美感,,2023-01-17
3607908,aesthetic appraisal,审美评判,,2023-01-17
3607909,aesthetic appreciation,美学评价；美感欣赏,,2023-01-17
3607911,aesthetic awareness,美的觉察,,2023-01-17
3607912,aesthetic consciousness,审美的意识,,2023-01-17
3607913,aesthetic description,美感描述,,2023-01-17
3607915,aesthetic differentiation,审美区分,,2023-01-17
3607916,aesthetic education,美感教育,,2023-01-17
3607917,aesthetic experience,美感经验,,2023-01-17
3607918,aesthetic health,健康的审美经验心理,,2023-01-17
3607919,aesthetic movement,美学运动；唯美运动；唯美主义运动,,2024-04-29
3607920,aesthetic perception,美感知觉；审美感受,,2023-01-17
3607921,aesthetic properties,美感特征,,2023-01-17
3607922,aesthetic response,审美反应,,2023-01-17
3607923,aesthetic satisfication,美的满足感,,2023-01-17
3607924,aesthetic scanning,美感审视,,2023-01-17
3607925,aesthetic stance,审美立场；审美观点,,2023-01-17
3607928,aesthetics,美学,,2023-01-17
3607929,Afrapix,非洲社会纪实摄影,,2023-01-17
3607930,agit-prop,具政治社会议题之文艺活动,,2023-01-17
3607931,agnecy,代理机构,,2023-01-17
3607932,Albrecht Dürer,阿尔布雷希特‧杜勒（德国）,,2023-01-17
3607933,Alex Davies,艾力克斯‧戴维斯（澳洲）,,2023-01-17
3607934,Alexander Gottlieb Baumgarten,亚历山大‧葛特列‧鲍姆加登（德国）,,2023-01-17
3607935,algorist,演算法艺术家,,2023-01-17
3607936,alienation,异质化；异化,,2023-01-17
3607937,all-purpose ground,万用基底,,2023-01-17
