ID,英文名稱,中文名稱,圖片,更新日期
2569692,4K,四倍超高画质,,2016-03-08
2569693,AB stereo technique,AB立体声麦克风技术,,2016-03-08
2569694,ABC stereo technique,ABC立体声麦克风技术,,2016-03-08
2569695,absorption and diffusion,吸收和扩散,,2016-03-08
2569696,absorption coefficient {=a},吸收系数,,2016-03-08
2569697,acoustic intensity {=Ia},声音强度,,2016-03-08
2569698,adaptive differential pulse code modulation {=ADPCM},主动式脉冲编码调变,,2016-03-08
2569699,advanced audio coding {=AAC},高阶音讯编码,,2016-03-08
2569700,advanced technology attachment {=ATA},高阶技术配置,,2016-03-08
2569701,advanced video codec high definition {=AVCHD},高阶高解析度视讯编码,,2016-03-08
2569702,AES/EBU,音响工程师协会-欧洲广播联盟{规格},,2016-03-08
2569703,after-fader listen {=AFL},输出监听控制键,,2016-03-08
2569704,alignment,对准,,2016-03-08
2569705,all-pass filter {=APF},全通滤波器,,2016-03-08
2569706,alternating current {=AC},交流电,,2016-03-08
2569707,ambient noise level {=ANL},环境噪音级,,2016-03-08
2569708,American Broadcasting Company {=ABC},美国广播公司,,2016-03-08
2569709,American Federation of Television and Radio Artists {=AFTRA},美国广播电视艺术家联盟,,2016-03-08
2569710,American Standard Code for Information Interchange {=ASCII},美国资讯交换标准码,,2016-03-08
2569711,American wire gauge {=AWG},美国线规,,2016-03-08
2569712,ampere {=A},安培,,2016-03-08
2569713,ampere-hour {=Ah},安培小时耗量,,2016-03-08
2569714,amplification,放大,,2016-03-08
2569715,amplification factor {=μ},放大参数,,2016-03-08
2569716,amplified direct sound,直接扩大声音,,2016-03-08
2569717,amplifiers,扩大器,,2016-03-08
2569718,amplitude modulation {=AM},调幅,,2016-03-08
2569719,analogue to digital {=Ａ/D},类比转数位,,2016-03-08
2569720,analogue to digital converter {=ADC},类比数位转换器,,2016-03-08
2569721,announce {=AN},宣布；宣告,,2016-03-08
2569722,articipating announcement {=PT},特别提示,,2016-03-08
2569723,articulation index {=AI},清晰度指标,,2016-03-08
2569724,assistant director {=AD},助理导播,,2016-03-08
2569725,assisted resonance {=AR},辅助共振,,2016-03-08
2569726,attenuator {=ATT},衰减器,,2016-03-08
2569727,audio code number 3 {=AC3},音讯第三号编码,,2016-03-08
2569728,Audio Engineering Society {=AES},音响工程协会；音响工程协会规格,,2016-03-08
2569729,audio frequency {=AF},音讯频率,,2016-03-08
2569730,audio interchange file format {=AIFF},音讯交换格式,,2016-03-08
2569731,audio transformers,音讯转换器,,2016-03-08
2569732,audiovisual {=AV},视听的；视讯的；视听端子,,2016-03-08
2569733,audition {=AUD},试听,,2016-03-08
2569734,automatic frequency contro l{=AFC},自动频率控制,,2016-03-08
2569735,automatic gain control {=AGC},输入自动音量控制,,2016-03-08
2569736,automatic level control {=ALC},自动音量控制,,2016-03-08
2569737,automatic mixers,自动混音器,,2016-03-08
2569738,automatic program controller {=APC},自动程序控制器,,2016-03-08
2569739,automatic volume control {=AVC},输出自动音量控制,,2016-03-08
2569740,auxiliary {=AUX},辅助,,2016-03-08
2569741,available input power {=AIP},可用输入功率,,2016-03-08
2569742,average absorption coefficient {=ā},平均吸声系数,,2016-03-08
2569743,average amplitude {=Aavg},平均振幅,,2016-03-08
2569744,average power {=Pavg},平均功率,,2016-03-08
2569745,A-weighted sound-pressure level in decibels {=dBA},加权音压等级,,2016-03-08
2569746,background {=BG},背景,,2016-03-08
2569747,background music {=BGM},背景音乐,,2016-03-08
2569748,backward-wave oscillator {=BWO},反向波震荡器,,2016-03-08
2569749,band pass filter {=BPF},带通滤波器,,2016-03-08
2569750,band rejection filter {=BRF},带阻滤波器,,2016-03-08
2569751,bandpass in hertz {=fBP},频带赫兹,,2016-03-08
2569752,bandwidth {=BW},频宽,,2016-03-08
2569753,beat-frequency oscillator {=BFO},拍频振荡器,,2016-03-08
2569754,bel {=B},贝,,2016-03-08
2569755,binaural recording microphones,双耳录音麦克风,,2016-03-08
2569756,bipolar field-effect transistors,双极场效电晶体,,2016-03-08
2569757,bipolar transistors,双极电晶体,,2016-03-08
2569758,bit error rate {=BER},位元误差率,,2016-03-08
2569759,bits per second {=bps},每秒位元数,,2016-03-08
2569760,blind carbon copy {=BCC},密件副本,,2016-03-08
2569761,blu-ray disc {=BD},蓝光光碟,,2016-03-08
2569762,blu-ray disc audio visual {=BD-AV},视听蓝光光碟,,2016-03-08
2569763,blu-ray disc movie {=BDMV},蓝光影碟,,2016-03-08
2569764,blu-ray disc recordable {=BD-R},蓝光可录光碟,,2016-03-08
2569765,blu-ray disc rewritable {=BD-RE},蓝光可重复录光碟,,2016-03-08
2569766,boom operator {=BO},收音操作员,,2016-03-08
2569767,boundary layer microphone {=BLM},板面麦克风,,2016-03-08
2569768,British Broadcasting Corporation {=BBC},英国广播公司,,2016-03-08
2569769,British thermal unit {=Btu},英制热量单位,,2016-03-08
2569770,broadcast wave file format {=BWF},广播波档案格式,,2016-03-08
2569771,broadcasting satellit {=BS},卫星广播,,2016-03-08
2569772,Butterworth filters,巴特沃思滤波器,,2016-03-08
2569773,cables,电缆,,2016-03-08
2569774,CADP sound system design,建设和分布式过程分析之音响系统设计,,2016-03-08
2569775,camera control unit {=CCU},摄影机控制器,,2016-03-08
2569776,candela {=cd},烛光,,2016-03-08
2569777,candela per square foot {=cd/ft2},每平分英吋烛光,,2016-03-08
2569778,candela per square meter {=cd/m2},每平方公尺烛光,,2016-03-08
2569779,candle {=cd},烛光,,2016-03-08
2569780,CD-read only memory,唯读光碟,,2016-03-08
2569781,CD-recordable,可录光碟,,2016-03-08
2569782,CD-rewritable,可重复烧录光碟,,2016-03-08
2569783,centimeter-gram-second {=CGS},公分-克-秒,,2016-03-08
2569784,central processing unit {=CPU},中央处理器,,2016-03-08
2569785,channel divider {=C/D},频道分配器,,2016-03-08
2569786,closed circuit television {=CCTV},闭路电视,,2016-03-08
2569787,CML circuits,电流模式逻辑电路,,2016-03-08
2569788,coaxial cable,同轴电缆,,2016-03-08
2569789,coercive force {=Hc},抗磁性,,2016-03-08
2569790,coil,线圈,,2016-03-08
2569791,coincident microphones,多重收音麦克风,,2016-03-08
2569792,collector,收集器,,2016-03-08
2569793,collector-cutoff current,集极截止电流,,2016-03-08
2569794,Columbia Broadcasting Company {=CBS},哥伦比亚广播公司,,2016-03-08
2569795,column loudspeakers,柱体扬声器,,2016-03-08
2569796,Comité Consultatif International des Radiocommunications {=CCIR},国际无线电通讯咨询委员会,,2016-03-08
2569797,commercial message {=CM},广告；商业讯息,,2016-03-08
2569798,Common Mode Rejection Ratio {=CMRR},共模抑制比,,2016-03-08
2569799,community antenna television {=CATV},共用天线电视,,2016-03-08
2569800,compact disc {=CD},光碟,,2016-03-08
2569801,compact disc-digital audio {=CD-DA},数位音讯光碟,,2016-03-08
2569802,compact disks {=CD},光碟,,2016-03-08
2569803,complementary MOSFETs {=CMOS},互补金属氧化物半导体,,2016-03-08
2569804,compression,压缩,,2016-03-08
2569805,condenser microphone,电容式麦克风,,2016-03-08
2569806,condensing lenses,聚光透镜,,2016-03-08
2569807,conductance,电导,,2016-03-08
2569808,conductivity,传导性；传导率,,2016-03-08
2569809,cone loudspeakers,锥形扬声器,,2016-03-08
2569810,conical radial horn,锥形放射状号角式扬声器,,2016-03-08
2569811,constant bandwidth filter{=CBF},频宽滤波器,,2016-03-08
2569812,constant-loss equalizer,低损耗等化器,,2016-03-08
2569813,constructive interference,建设性干扰,,2016-03-08
2569814,consumer hi-fi system,消费者高传真系统,,2016-03-08
2569815,continuous wave {=CW},连续波,,2016-03-08
2569816,controlled reluctance microphone,控制磁阻麦克风,,2016-03-08
2569817,converter,转换器,,2016-03-08
2569818,coverage angle {=C},覆盖角度,,2016-03-08
2569819,cross fade {=C.F.},交错的淡入淡出,,2016-03-08
2569820,cross interleave code {=CIC },十字交错码,,2016-03-08
2569821,cubic centimeter {=cm3},立方公分,,2016-03-08
2569822,cubic foot {=ft3},立方英尺,,2016-03-08
2569823,cubic foot per minute {=ft3/min},每分钟立方英尺,,2016-03-08
