ID,英文名稱,中文名稱,圖片,生歿年,國籍,更新日期
3288828,AC/DC,AC/DC乐团,,1973,澳大利亚,2018-03-15
3288829,Alabama Shakes,阿拉巴马摇滚乐团,,2009-,美国,2018-03-15
3288830,Beach Boys,海滩男孩,,1961成立,美国,2018-03-15
3288831,Big Audio Dynamite,大爆音乐团,,1984,英国,2018-03-15
3288832,Blue Grass Boys,草根蓝调男孩乐团,,1945-2011,美国,2018-03-15
3288833,Carter Family,卡特家族,,1927-,美国,2018-03-15
3288834,CHIC,奇克乐团,,1976-,美国,2018-03-15
3288835,Country Joe and the Fish,乡村乔与鱼乐团,,1965成立,美国,2018-03-15
3288836,Daft Punk,傻瓜庞克乐团,,1992,法国,2018-03-15
3288837,Deep Purple,深紫乐团,,1968,英国,2018-03-15
3288838,Def Leppard,威豹乐团,,1977,英国,2018-03-15
3288839,Depeche Mode,流行尖端乐团,,1980,英国,2018-03-15
3288840,Dio,迪欧乐团,,1982,美国,2018-03-15
3288841,Dire Straits,险峻海峡乐团,,1977,英国,2018-03-15
3288842,Dire Straits,险境乐团,,1977-1995,英国,2018-03-15
3288843,Dominoes band,多米诺斯乐团,,1950,美国,2018-03-15
3288844,Dorsey Brothers,多尔西兄弟,,1928-1956,美国,2018-03-15
3288845,Duran Duran,杜兰杜兰,,1980,英国,2018-03-15
3288846,Eagles,老鹰乐团,,1971,美国,2018-03-15
3288847,Elbow,肘乐团,,1997,英国,2018-03-15
3288848,Foo Fighters,幽浮一族乐团,,1994,美国,2018-03-15
3288849,Gipsy Kings,吉普赛国王合唱团,,1978,法国,2018-03-15
3288850,Gnarls Barkley,奈尔斯 巴克利双人组,,2006,美国,2018-03-15
3288851,Grateful Dead,死之华乐团,,1965-1995,美国,2018-03-15
3288852,Guns N' Roses(GNR),枪与玫瑰,,1985,美国,2018-03-15
3288853,Hall & Oates（Daryl Hall and John Oates）,霍尔与奥茨乐团,,1970,美国,2018-03-15
3288854,Imagine Dragons,谜幻龙乐团,,2008,美国,2018-03-15
3288855,Incognito (band),匿名乐团,,1981,英国,2018-03-15
3288856,Jefferson Airplane,杰佛森飞机乐团,,1965,美国,2018-03-15
3288857,Kings of Leon,雷昂王族,,1999-,美国,2018-03-15
3288858,Kingston Trio,京斯顿三人组,,1957,美国,2018-03-15
3288859,Kiss,Kiss合唱团,,1973,美国,2018-03-15
3288860,Led Zeppelin,齐柏林飞船,,1968,英国,2018-03-15
3288861,LEVEL42,水平42乐团,,1979,英国,2018-03-15
3288862,Linkin Park,联合公园乐团,,1996,美国,2018-03-15
3288863,Los Lobos,灰狼乐团,,1973成立,美国,2018-03-15
3288864,Macklemore & Ryan Lewis,麦可莫 & 莱恩路易斯,,2009,美国,2018-03-15
3288865,Matt Bianco,麦特 毕昂可乐团,,1983,英国,2018-03-15
3288866,Metallica,重金属乐团,,1981,美国,2018-03-15
3288867,MEW,海鸥乐团,,1995,丹麦,2018-03-15
3288868,Miami Sound Machine,迈阿密之音,,1978成立,美国,2018-03-15
3288869,Mike + The Mechanics,麦克和黑手乐团,,1985,英国,2018-03-15
3288870,Mumford & Sons,蒙福之子乐团,,2007,英国,2018-03-15
3288871,Nine Inch Nails,九寸钉乐团,,1988,美国,2018-03-15
3288872,No Doubt,无疑乐团,,1986,美国,2018-03-15
3288873,One Direction,一世代,,2010,英国,2018-03-15
3288874,Paramore,帕拉莫尔乐团,,2004,美国,2018-03-15
3288875,Pink Floyd,平克 弗洛伊德（摇滚乐团）,,1965-,英国,2018-03-15
3288876,Pixies,小妖精乐团,,1986,美国,2018-03-15
3288877,Public Enemy,全民公敌乐团,,1982,美国,2018-03-15
3288878,Public Image Ltd,公众形象乐团,,1978,英国,2018-03-15
3288879,Queen,皇后乐团,,1971,英国,2018-03-15
3288880,Quicksilver Messenger Service,水银使者乐团,,1965,美国,2018-03-15
3288881,R.E.M. ,R.E.M.乐团,,1981-2011,美国,2018-03-15
3288882,Radiohead,电台司令乐团,,1985,英国,2018-03-15
3288883,Rodrigo（Rodrigo Sánchez） y Gabriela（Gabriela Quintero ）,罗德利哥与加布里耶菈,,2000,墨西哥,2018-03-15
3288884,Sex Pistols,性手枪乐团,,1975-,英国,2018-03-15
3288885,Sigur Rós,席格洛斯乐团,,1994,冰岛,2018-03-15
3288886,Simply Red,就是红合唱团,,1985,英国,2018-03-15
3288887,Smashing Pumpkin,非凡人物乐团；碎南瓜乐队,,1988,美国,2018-03-15
3288888,The  Jon Spencer Blues Explosion,乔恩 史宾瑟蓝调爆炸乐团,,1991,美国,2018-03-15
3288889,The Beatles,披头四,,1979,英国,2018-03-15
3288890,The Chemical Brothers,化学兄弟,,1989-,英国,2018-03-15
3288891,The Mothers of Invention,发明之母乐团,,1964,美国,2018-03-15
3288892,The Mothers of Invention,发明之母（摇滚乐团）,,1964-1975,美国,2018-03-15
3288893,The Police,警察合唱团,,1977,英国,2018-03-15
3288894,The Prodigy,超凡乐团,,1990,英国,2018-03-15
3288895,The Rolling Stones,滚石乐团,,1962,英国,2018-03-15
3288896,The Script,手创乐团,,2001,爱尔兰,2018-03-15
3288897,The Smashing Pumpkins,碎南瓜乐团,,1988,美国,2018-03-15
3288898,The Subways,地铁乐团,,2003,英国,2018-03-15
3288899,The Ventures,投机者乐团,,1958,美国,2018-03-15
3288900,The Who,何许人合唱团,,1964,英国,2018-03-15
3288901,The Winery Dogs,酒坊狗乐团,,2012,美国,2018-03-15
3288902,U2,U2乐团,,1979,爱尔兰,2018-03-15
3288903,Weavers,织梦者合唱团,,1964,美国,2018-03-15
3288904,ZAPP ( Zapp Band or Zapp & Roger),扎普乐团,,1977,美国,2018-03-15
