ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249198,"Aavik, Juhan",阿维克,,1884-1982,瑞典,作曲；指挥,爱沙尼亚裔,2017-08-08
3249199,"Abaco, Evaristo Felice dall'",阿巴科,,1675-1742,义大利,小提琴；作曲,nan,2017-08-08
3249200,"Abba-Cornaglia, Pietro",阿巴－寇纳利亚,,1851-1894,义大利,作曲；音乐史,nan,2017-08-08
3249201,"Abbado, Claudio","阿巴多,克劳迪欧",,1933-2014,义大利,指挥,nan,2017-08-08
3249202,"Abbado, Marcello","阿巴多,马切罗",,1926-,义大利,钢琴；作曲,nan,2017-08-08
3249203,"Abbatini, Antonio Maria",阿巴悌尼,,1609-1679,义大利,作曲,nan,2017-08-08
3249204,"Abbott, Emma",阿伯特,,1850-1891,美国,声乐,女高音,2017-08-08
3249205,"Abe, Keiko",安部圭子,,1937-,日本,击乐,nan,2017-08-08
3249206,"Abe, Komei",安部幸明,,1911-2006,日本,作曲；指挥；大提琴,nan,2017-08-08
3249207,"Abeille, Johann Christian Ludwig",阿拜勒,,1761-1838,德国,钢琴；管风琴；作曲,nan,2017-08-08
3249208,"Abel, Carl Friedrich","阿贝尔,卡尔",,1723-1787,德国,作曲,nan,2017-08-08
3249209,"Abel, Leopold August","阿贝尔,雷欧波德",,1718-1794,德国,作曲；小提琴,nan,2017-08-08
3249210,"Abels, Michael",艾伯斯,,1962-,美国,作曲,德裔,2017-08-08
3249211,"Abercrombie, Alexander",阿伯克隆比,,1949-,英国,钢琴；作曲,nan,2017-08-08
3249212,"Abert, Hermann",阿贝特,,1871-1927,德国,音乐学,nan,2017-08-08
3249213,"Abondante, Giulio",阿邦旦特,,1546-1587,义大利,作曲；鲁特琴,nan,2017-08-08
3249214,"Abos, Girolamo",阿伯斯,,1700-1760,义大利,作曲,nan,2017-08-08
3249215,"Aboulker, Isabelle",阿布克,,1938-,法国,作曲,nan,2017-08-08
3249216,"Abraham, Gerald",阿布拉罕,,1904-1988,英国,音乐著作,nan,2017-08-08
3249217,"Abrahamsen, Hans",阿布拉韩森,,1952-,丹麦,作曲,nan,2017-08-08
3249218,"Abram, Jacques",艾布兰,,1915-1998,美国,钢琴,nan,2017-08-08
3249219,"Abramovitz, David    ",艾布拉莫维兹,,1949-,美国,钢琴,nan,2017-08-08
3249220,"Abramsky, Alexander",阿布拉姆斯基,,1898-1985,俄国,作曲,nan,2017-08-08
3249221,"Ábrányi, Emil",阿布兰易,,1882-1970,匈牙利,作曲,nan,2017-08-08
3249222,"Abras, Juan Manuel",阿布拉斯,,1975-,瑞典,作曲,nan,2017-08-08
3249223,"Abravanel, Maurice",阿布拉瓦内,,1903-1993,美国,指挥,nan,2017-08-08
3249224,"Absil, Jean",阿布西,,1893-1974,比利时,作曲,nan,2017-08-08
3249225,"Abt, Franz",阿普特,,1819-1885,德国,作曲；指挥,nan,2017-08-08
3249226,"Abyngdon, Henry",艾宾登,,1418-1497,英国,管风琴；作曲,nan,2017-08-08
3249227,"Accardo, Salvatore",阿卡多,,1941-,义大利,小提琴；指挥,nan,2017-08-08
3249228,"Achterkamp, Jan",阿许特坎普,,1953-,荷兰,作曲,nan,2017-08-08
3249229,"Achucarro, Joaquín",阿楚卡若,,1932-,西班牙,钢琴,nan,2017-08-08
3249230,"Ackermann, Otto",阿克曼,,1909-1960,罗马尼亚,指挥,nan,2017-08-08
3249231,"Ackte, Aino",阿克特,,1876-1944,芬兰,声乐,女高音,2017-08-08
3249232,"Ada, Selman","阿达,瑟尔曼",,1953-,土耳其,作曲,nan,2017-08-08
3249233,"Adajewska, Ella von",阿达耶芙丝卡,,1846-1926,俄国,作曲；钢琴,nan,2017-08-08
3249234,Adam de la Halle,阿当‧德‧拉‧阿勒,,1235-1287,法国,作曲,nan,2017-08-08
3249235,"Adam, Adolphe-Charles","阿当,阿朵夫－夏勒",,1803-1856,法国,作曲,nan,2017-08-08
3249236,"Adamberger, Valentin",阿当贝格尔,,1743-1804,德国,声乐,男高音,2017-08-08
3249237,"Adamis, Michael George",阿达米斯,,1929-,希腊,作曲,nan,2017-08-08
3249238,"Adamovich, Mikhail    ",阿达莫维奇,,1884-1947,俄国,钢琴；指挥,nan,2017-08-08
3249239,"Adams, John","阿当斯,约翰",,1947-,美国,作曲,nan,2017-08-08
3249240,"Adams, John Luther","阿当斯,约翰‧路德",,1953-,美国,作曲,nan,2017-08-08
3249241,"Adams, Leslie","阿当斯,雷斯立",,1932-,美国,作曲,nan,2017-08-08
3249242,"Adams, Thomas","阿当斯,汤玛斯",,1785-1858,英国,作曲,nan,2017-08-08
3249243,"Adan, Marie Claire","阿当,玛莉‧克莱尔",,1926-,法国,管风琴,nan,2017-08-08
3249244,"Addinsell, Richard",阿丁瑟尔,,1904-1977,英国,作曲,nan,2017-08-08
3249245,"Addison, John",阿迪森,,1766-1844,英国,作曲,nan,2017-08-08
3249246,"Addison, John",阿迪森,,1920-1998,英国,作曲,nan,2017-08-08
3249247,"Adeney, Richard",阿登尼,,1920-2010,英国,长笛,nan,2017-08-08
3249248,"Adès, Thomas",艾得斯,,1971-,英国,作曲；钢琴；指挥,nan,2017-08-08
3249249,"Adler, Guido","阿德勒,桂多",,1855-1941,奥地利,音乐学,nan,2017-08-08
3249250,"Adler, Kurt","阿德勒,库特",,1907-1977,捷克,指挥；钢琴,nan,2017-08-08
3249251,"Adler, Kurt Herbert","阿德勒,库特赫贝特",,1905-1988,奥地利,指挥,nan,2017-08-08
3249252,"Adler, Larry","艾德勒,拉瑞",,1914-1990,美国,口琴,nan,2017-08-08
3249253,"Adler, Peter Herman","阿德勒,彼得赫曼",,1899-1990,美国,指挥,捷克裔,2017-08-08
3249254,"Adler, Samuel","阿德勒,撒姆尔",,1928-,美国,作曲；指挥,nan,2017-08-08
3249255,"Adlgasser, Anton Cajetan",阿德盖瑟,,1729-1777,德国,作曲,nan,2017-08-08
3249256,"Adni, Daniel",阿德尼,,1951-,以色列,钢琴,nan,2017-08-08
3249257,"Adorno, Theodor Wiesengrund",阿多诺,,1903-1969,德国,作曲,nan,2017-08-08
3249258,"Adson, John",阿德森,,1587-1640,英国,作曲,nan,2017-08-08
3249259,"Agazzari, Aggostino",阿加查里,,1578-1640,义大利,作曲,nan,2017-08-08
3249260,"Agnelli, Salvatore",阿奈利,,1817-1874,义大利,作曲,nan,2017-08-08
3249261,"Agnesi, Luigi",阿奈西,,1833-1875,比利时,声乐,男低音,2017-08-08
3249262,"Agnew, Roy",阿格纽,,1893-1944,澳大利亚,作曲；钢琴,nan,2017-08-08
3249263,"Agricola, Alexander",阿格里科拉,,1446-1506,比利时,作曲,nan,2017-08-08
3249264,"Agthe, Karl Christian",阿格特,,1762-1797,德国,管风琴；作曲,nan,2017-08-08
3249265,"Aguado, Dionisio",阿括多,,1784-1849,西班牙,作曲；吉他,nan,2017-08-08
3249266,"Aguirre, Julián",阿吉瑞,,1868-1924,阿根廷,作曲,nan,2017-08-08
3249267,"Agujari, Lucrezia",阿古亚莉,,1743-1783,义大利,声乐,女高音,2017-08-08
3249268,"Ahle, Johann Rudolf",阿雷,,1625-1673,德国,作曲,nan,2017-08-08
3249269,"Ahna, Pauline de",阿娜,,1863-1950,德国,声乐,女高音,2017-08-08
3249270,"Aho, Kalevi",阿侯,,1949-,芬兰,作曲,nan,2017-08-08
3249271,"Ahrendt, Karl",阿伦特,,1904-1993,美国,作曲,nan,2017-08-08
3249272,"Aibliger, Johann Kaspar",艾布利格,,1779-1867,德国,作曲,nan,2017-08-08
3249273,"Aichinger, Gregor",艾辛格,,1564-1628,德国,作曲,nan,2017-08-08
3249274,"Aitken, Robert    ",艾特肯,,1939-,加拿大,作曲；长笛；指挥,nan,2017-08-08
3249275,"Akasaka, Tatsuzo",赤坂达三,,1964-,日本,单簧管,nan,2017-08-08
3249276,"Akhron, Joseph",阿克隆,,1886-1943,立陶宛,小提琴；作曲,nan,2017-08-08
3249277,"Akiyama, Kazuyoshi",秋山和庆,,1941-,日本,指挥家；音乐教育,nan,2017-08-08
3249278,"Akiyama, Norio",秋山纪夫,,1936-,日本,管乐教育；指挥,nan,2017-08-08
3249279,"Akpabot, Samuel Ekpe",阿克帕伯特,,1932-2000,奈及利亚,作曲,nan,2017-08-08
3249280,"Aktug, Mehmet",阿克图格,,1959-,土耳其,作曲,nan,2017-08-08
3249281,"Akutagawa, Yasushi",芥川也寸志,,1925-1989,日本,作曲；指挥,nan,2017-08-08
3249282,"Alagna, Roberto",阿蓝尼亚,,1963-,法国,声乐,男高音,2017-08-08
3249283,"Alain, Jehan","阿琅,若昂",,1911-1940,法国,作曲,nan,2017-08-08
3249284,"Alain, Marie-Claire","阿琅,玛莉－克莱尔",,1926-2013,法国,管风琴,nan,2017-08-08
3249285,"Alaleona, Domenico",阿拉雷欧纳,,1881-1928,义大利,作曲,nan,2017-08-08
3249286,"Alan, Hervey",阿蓝,,1910-1982,英国,声乐,男低音,2017-08-08
3249287,"Alanko, Petri    ",阿蓝科,,1963-,芬兰,长笛,nan,2017-08-08
3249288,"Alard, Delphin",阿拉尔,,1815-1888,法国,作曲；小提琴,nan,2017-08-08
3249289,"Alba, Alonso de(Alonso, de Alba)","阿尔巴,阿隆索",,1475?-1520,西班牙,作曲,nan,2017-08-08
3249290,"Albanese, Francesco    ","阿尔巴尼斯,法兰切斯科",,1912-2005,义大利,声乐,男高音,2017-08-08
3249291,"Albanese, Licia","阿尔巴尼斯,莉琪雅",,1913-2014  ,美国（义裔）,声乐,nan,2018-05-31
3249292,"Albanesi, Carlo",阿尔巴内西,,1856-1926,义大利,钢琴；作曲,nan,2017-08-08
3249293,"Albani, Emma",阿尔巴妮,,1847-1930,加拿大,声乐,女高音,2017-08-08
3249294,"Albasri, Yusuf SMS",阿巴斯里,,1982-,美国,作曲,nan,2017-08-08
3249295,"Albéniz, Isaac",阿尔贝尼士,,1860-1909,西班牙,钢琴；作曲,nan,2017-08-08
3249296,"Albert, Eugen d' {Dalbert, Eugène}","达贝尔,尤金",,1864-1932,德国,作曲；钢琴,苏格兰裔,2017-08-08
3249297,"Albert, Heinrich","阿贝特,海因利希",,1604-1651,德国,管风琴；作曲；诗人,nan,2017-08-08
3249298,"Albert, Karel","阿贝特,卡尔",,1901-1987,比利时,作曲,nan,2017-08-08
3249299,"Albert, Prince",阿伯特亲王,,1819-1861,英国,作曲,nan,2017-08-08
3249300,"Albert, Stephen","阿伯特,史提芬",,1941-1992,美国,作曲,nan,2017-08-08
3249301,"Alberti, Domenico","阿贝悌,多门尼可",,1710-1740,义大利,作曲；声乐；大键琴,nan,2017-08-08
3249302,"Alberti, Johann Friedrich","阿贝悌,约翰‧弗里德利希",,1642-1710,德国,作曲,nan,2017-08-08
3249303,"Albertz, Sef",阿贝尔兹,,1971-,委内瑞拉,吉他,nan,2017-08-08
3249304,"Albicastro, Enrico (Heinrich)",阿比卡斯特罗,,1670-1738,瑞士,作曲,nan,2017-08-08
3249305,"Albinoni, Tomaso Giovanni",阿比诺尼,,1671-1751,义大利,作曲,nan,2017-08-08
3249306,"Albrecht, Gerd",阿布雷希特,,1935-2014,德国,指挥；钢琴；小提琴,nan,2017-08-08
3249307,"Albrechtsberger, Johann Geor",阿布雷希茨贝格,,1736-1809,奥地利,管风琴；作曲,nan,2017-08-08
