ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3192868,Duke Bluebeard's Castle,蓝胡子公爵的城堡,,"Bartók, Béla",2017-07-28
3192869,Fidelio,费黛里奥,,"Beethoven, Ludwig van",2017-07-28
3192870,Beatrice di Tenda,滕达的贝阿特丽切,,"Bellini, Vincenzo",2017-07-28
3192871,I Puritani,清教徒,,"Bellini, Vincenzo",2017-07-28
3192872,Il pirata,海盗,,"Bellini, Vincenzo",2017-07-28
3192873,l Capuleti e l Montecchi,卡普雷提与蒙泰奇家族｛罗密欧与茱丽叶｝,,"Bellini, Vincenzo",2017-07-28
3192874,La Sonnambula,梦游女,,"Bellini, Vincenzo",2017-07-28
3192875,Norma,诺玛,,"Bellini, Vincenzo",2017-07-28
3192876,Adelson e Salvini,阿德颂和萨维妮,,"Bellini, Vincenzo",2017-07-28
3192877,Bianca e Fernando,比安卡和费南多,,"Bellini, Vincenzo",2017-07-28
3192878,La straniera,异国人,,"Bellini, Vincenzo",2017-07-28
3192879,Zaira,柴菈,,"Bellini, Vincenzo",2017-07-28
3192880,Lulu,露露,,"Berg, Alban",2017-07-28
3192881,Wozzeck,伍采克,,"Berg, Alban",2017-07-28
3192882,Béatrice et Bénédict,贝阿特丽丝和贝内迪克｛无事生非｝,,"Berlioz, Hector",2017-07-28
3192883,Benvenuto Cellini,本威奴托˙切利尼,,"Berlioz, Hector",2017-07-28
3192884,La Damnation de Faust,浮士德的天谴,,"Berlioz, Hector",2017-07-28
3192885,Les Troyens,特洛伊人,,"Berlioz, Hector",2017-07-28
3192886,Carmen,卡门,,"Bizet, Georges",2017-07-28
3192887,Les Pêcheurs des Perles,采珠者,,"Bizet, Georges",2017-07-28
3192888,Djamileh,迪亚米雷,,"Bizet, Georges",2017-07-28
3192889,Don Procopio,唐˙波科皮欧,,"Bizet, Georges",2017-07-28
3192890,Ivan IV,伊凡四世,,"Bizet, Georges",2017-07-28
3192891,La jolie fille de Perth,贝城佳丽,,"Bizet, Georges",2017-07-28
3192892,Le docteur Miracle,神奇医生,,"Bizet, Georges",2017-07-28
3192893,Mefistofele,梅菲斯特,,"Boito, Arrigo",2017-07-28
3192894,Prince Igor,伊果王子,,"Borodin, Alexander Porphyrevitch",2017-07-28
3192895,A Midsummer Night's Dream,仲夏夜之梦,,"Britten, Benjamin",2017-07-28
3192896,Albert Herring,艾伯特˙贺林,,"Britten, Benjamin",2017-07-28
3192897,Death in Venice,魂断威尼斯,,"Britten, Benjamin",2017-07-28
3192898,"Let's Make an Opera ""The Little Sweep""",让我们来作歌剧「小烟囱工」,,"Britten, Benjamin",2017-07-28
3192899,Peter Grimes,彼得˙葛莱姆,,"Britten, Benjamin",2017-07-28
3192900,The Rape of Lucretia,鲁克丽缇雅的凌辱,,"Britten, Benjamin",2017-07-28
3192901,The Turn of the Screw,旋螺丝{碧庐冤孽},,"Britten, Benjamin",2017-07-28
3192902,Paul Bunyan,保罗本扬,,"Britten, Benjamin",2017-07-28
3192903,The Beggar's Opera,乞丐歌剧,,"Britten, Benjamin",2017-07-28
3192904,Billy Budd,比利巴德,,"Britten, Benjamin",2017-07-28
3192905,Gloriana,葛罗里亚娜,,"Britten, Benjamin",2017-07-28
3192906,Noye's Fludde,诺亚的洪水,,"Britten, Benjamin",2017-07-28
3192907,Owen Wingrave,欧文温格瑞夫,,"Britten, Benjamin",2017-07-28
3192908,La Wally,瓦莉姑娘,,"Catalani, Alfredo",2017-07-28
3192909,Louise,露伊丝,,"Charpentier, Gustave",2017-07-28
3192910,Medea（Médée）,美迪亚,,"Cherubini, Maria Luigi",2017-07-28
3192911,Olimpiade,奥林匹亚德,,"Cherubini, Maria Luigi",2017-07-28
3192912,La finta principessa,假公主,,"Cherubini, Maria Luigi",2017-07-28
3192913,Ifigenia in Aulide,伊菲洁尼雅在奥利德,,"Cherubini, Maria Luigi",2017-07-28
3192914,Lodoïska,洛多伊斯卡,,"Cherubini, Maria Luigi",2017-07-28
3192915,"Eliza, ou Le voyage aux glaciers du Mont Saint Bernard",埃丽莎,,"Cherubini, Maria Luigi",2017-07-28
3192916,Le porteur d'eau,挑水伕,,"Cherubini, Maria Luigi",2017-07-28
3192917,L'amour fugitif,昙花一现的爱情,,"Cherubini, Maria Luigi",2017-07-28
3192918,"Les Abencérages, ou L'étendard de Grenade",阿邦赛拉惹,,"Cherubini, Maria Luigi",2017-07-28
3192919,Adriana Lecouvreur,阿德丽安娜˙雷库弗勒,,"Cilèa, Francesco",2017-07-28
3192920,L'Arlesiana,阿莱城姑娘,,"Cilèa, Francesco",2017-07-28
3192921,Gina,吉娜,,"Cilèa, Francesco",2017-07-28
3192922,La Tilda,娣达,,"Cilèa, Francesco",2017-07-28
3192923,Gloria,葛罗莉亚,,"Cilèa, Francesco",2017-07-28
3192924,Il Matrimonio Segreto,秘密婚姻,,"Cimarosa, Domenic",2017-07-28
3192925,Pelléas et Mélisande,贝利亚与梅丽桑,,"Debussy, Claude Achille",2017-07-28
3192926,Lakmé,拉克美,,"Delibes, Léo",2017-07-28
3192927,Anna Bolena,安娜˙波蕾纳,,"Donizetti, Gaetano",2017-07-28
3192928,Don Pasquale,唐˙巴斯瓜雷,,"Donizetti, Gaetano",2017-07-28
3192929,La Favorita,宠姬,,"Donizetti, Gaetano",2017-07-28
3192930,La Fille du Régiment,联队之花,,"Donizetti, Gaetano",2017-07-28
3192931,L'Elisir d'Amore,爱情灵药,,"Donizetti, Gaetano",2017-07-28
3192932,Linda di Chamounix,夏摩尼的琳达,,"Donizetti, Gaetano",2017-07-28
3192933,Lucia di Lammermoor,拉梅默的露琪亚,,"Donizetti, Gaetano",2017-07-28
3192934,Lucrezia Borgia,路克蕾琪亚˙波吉亚,,"Donizetti, Gaetano",2017-07-28
3192935,Maria di Rohan,罗旺的玛丽亚,,"Donizetti, Gaetano",2017-07-28
3192936,Maria Padilla,玛丽亚帕迪拉,,"Donizetti, Gaetano",2017-07-28
3192937,Maria Stuarda,玛莉亚司徒阿达,,"Donizetti, Gaetano",2017-07-28
3192938,Parisina,巴黎女郎,,"Donizetti, Gaetano",2017-07-28
3192939,Poliuto[see also Les martyrs],波琉托,,"Donizetti, Gaetano",2017-07-28
3192940,Rita,莉塔,,"Donizetti, Gaetano",2017-07-28
3192941,Roberto Devereux,罗贝托德弗勒,,"Donizetti, Gaetano",2017-07-28
3192942,La zingara,吉普赛女郎,,"Donizetti, Gaetano",2017-07-28
3192943,Rusalka,鲁莎卡,,"Dvořák, Antonín",2017-07-28
3192944,El Retablo de Maese Pedro,贝得罗师傅的傀儡戏,,"Falla, Manuel de",2017-07-28
3192945,La vida breve,短促的人生,,"Falla, Manuel de",2017-07-28
3192946,Martha,玛塔,,"Flotow, Friedrich von",2017-07-28
3192947,Stradella,斯特拉台拉,,"Flotow, Friedrich von",2017-07-28
3192948,Le naufrage de la Méduse,美杜莎号历险记,,"Flotow, Friedrich von",2017-07-28
3192949,Porgy and Bess,波吉与贝丝,,"Gershwin, George",2017-07-28
3192950,Andrea Chénier,安德雷亚˙谢涅,,"Giordano, Umberto",2017-07-28
3192951,Fedora,费朵拉,,"Giordano, Umberto",2017-07-28
3192952,Marina (1888),水手,,"Giordano, Umberto",2017-07-28
3192953,Mala Vita,恶运,,"Giordano, Umberto",2017-07-28
3192954,Regina Diaz,迪阿兹女皇,,"Giordano, Umberto",2017-07-28
3192955,Marcella,马切拉,,"Giordano, Umberto",2017-07-28
3192956,Madame Sans-Gêne,桑珍夫人,,"Giordano, Umberto",2017-07-28
3192957,Giove a Pompei,乔维在庞贝,,"Giordano, Umberto",2017-07-28
3192958,Il re,国王,,"Giordano, Umberto",2017-07-28
3192959,La festa del Nilo (incomplete),尼罗河庆典,,"Giordano, Umberto",2017-07-28
3192960,Ivan Sussanin,伊凡˙苏沙宁,,"Glinka, Mikhail Ivanovitch",2017-07-28
3192961,Orfeo ed Euridice,奥菲欧和尤丽蒂切,,"Gluck, Christoph Willibald von",2017-07-28
3192962,Artaserse,雅塔赛瑟,,"Gluck, Christoph Willibald von",2017-07-28
3192963,Il re pastore,牧羊人之王,,"Gluck, Christoph Willibald von",2017-07-28
3192964,Alceste (Italian),阿切斯特,,"Gluck, Christoph Willibald von",2017-07-28
3192965,Paride ed Elena,帕里德和艾蕾娜,,"Gluck, Christoph Willibald von",2017-07-28
3192966,Iphigénie en Aulide,伊菲杰妮在欧利德,,"Gluck, Christoph Willibald von",2017-07-28
3192967,Orphée et Euridice (French),奥菲欧和尤丽蒂切,,"Gluck, Christoph Willibald von",2017-07-28
3192968,Armide,阿米德,,"Gluck, Christoph Willibald von",2017-07-28
3192969,Iphigénie en Tauride,伊菲杰妮在托里德,,"Gluck, Christoph Willibald von",2017-07-28
3192970,Faust,浮士德,,"Gounod, Charles Francois",2017-07-28
3192971,Roméo et Juliette,罗密欧和茱丽叶,,"Gounod, Charles Francois",2017-07-28
3192972,Alcina,阿契娜,,"Händel, Georg Friedrich",2017-07-28
3192973,Ariodante,阿里欧丹特,,"Händel, Georg Friedrich",2017-07-28
3192974,Julius Caesar,凯撒大帝,,"Händel, Georg Friedrich",2017-07-28
3192975,Daphne (Die verwandelte Daphne),达夫内,,"Händel, Georg Friedrich",2017-07-28
3192976,Agrippina,阿格莉皮娜,,"Händel, Georg Friedrich",2017-07-28
3192977,Rinaldo,李纳多,,"Händel, Georg Friedrich",2017-07-28
3192978,Teseo,提赛欧,,"Händel, Georg Friedrich",2017-07-28
3192979,Radamisto,拉达密斯托,,"Händel, Georg Friedrich",2017-07-28
3192980,Ottone,欧托内,,"Händel, Georg Friedrich",2017-07-28
3192981,Flavio,弗拉维欧,,"Händel, Georg Friedrich",2017-07-28
3192982,Giulio Cesare,凯萨大帝,,"Händel, Georg Friedrich",2017-07-28
3192983,Tamerlano,塔梅兰诺,,"Händel, Georg Friedrich",2017-07-28
3192984,Rodelinda,罗德琳达,,"Händel, Georg Friedrich",2017-07-28
3192985,Riccardo Primo,李卡多一世,,"Händel, Georg Friedrich",2017-07-28
3192986,Partenope,帕滕诺珮,,"Händel, Georg Friedrich",2017-07-28
3192987,Poro,波罗王,,"Händel, Georg Friedrich",2017-07-28
3192988,Ezio,艾奇欧,,"Händel, Georg Friedrich",2017-07-28
3192989,Orlando,欧兰多,,"Händel, Georg Friedrich",2017-07-28
3192990,Ariodante,阿里欧丹特,,"Händel, Georg Friedrich",2017-07-28
3192991,Atalanta,阿塔兰塔,,"Händel, Georg Friedrich",2017-07-28
3192992,Giustino,朱斯提诺,,"Händel, Georg Friedrich",2017-07-28
3192993,Berenice,贝蕾妮切,,"Händel, Georg Friedrich",2017-07-28
3192994,Faramondo,法拉蒙多,,"Händel, Georg Friedrich",2017-07-28
3192995,Serse,赛瑟王,,"Händel, Georg Friedrich",2017-07-28
3192996,Acis and Galatea,阿西斯和加拉蒂亚,,"Händel, Georg Friedrich",2017-07-28
3192997,Il Mondo della Luna,月的世界,,"Haydn, Franz Joseph",2017-07-28
3192998,La Fedeltà Premiata,善有善报,,"Haydn, Franz Joseph",2017-07-28
3192999,Lo Speziale,药剂师,,"Haydn, Franz Joseph",2017-07-28
3193000,Acide e Galatea,阿西德和加拉蒂亚,,"Haydn, Franz Joseph",2017-07-28
3193001,L'Infedeltá delusa,不忠实的谎言,,"Haydn, Franz Joseph",2017-07-28
3193002,L'Incontro improvviso,不期而遇,,"Haydn, Franz Joseph",2017-07-28
3193003,Orlando Paladino,欧兰多帕拉迪诺,,"Haydn, Franz Joseph",2017-07-28
3193004,Armida,阿米达,,"Haydn, Franz Joseph",2017-07-28
3193005,L'Anima del Filosofo - Orfeo ed Euridice,奥菲欧和尤丽蒂切-哲学家的灵魂,,"Haydn, Franz Joseph",2017-07-28
3193006,Boulevard Solitude,孤寂大道,,"Henze, Hans Werner",2017-07-28
3193007,Elegie für junge Liebende,情侣悲歌,,"Henze, Hans Werner",2017-07-28
3193008,Jeanne d'Arc au Bûcher,火刑台上的贞德,,"Honegger, Arthur",2017-07-28
3193009,Hänsel und Gretel,韩赛儿与葛丽特,,"Humperdinck, Engelbert",2017-07-28
3193010,Jenůfa,颜如花,,"Janáček, Leoš",2017-07-28
3193011,Katya Kabanová（Kat'a Kabanová）,卡嘉˙卡芭诺娃,,"Janáček, Leoš",2017-07-28
3193012,Příhody Lišky Bystrousky,狡猾的母狐狸,,"Janáček, Leoš",2017-07-28
3193013,Věc Makropulos,马克罗普洛斯事件,,"Janáček, Leoš",2017-07-28
3193014,Z mrtvého domu,死屋,,"Janáček, Leoš",2017-07-28
3193015,"Osud, ""Destiny""",命运,,"Janáček, Leoš",2017-07-28
3193016,"Výlety páně Broučkovy, ""The Excursions of Mr. Broucek"",",布鲁切克先生历险记,,"Janáček, Leoš",2017-07-28
3193017,Eine Nacht in Venedig,威尼斯之夜,,Johann Strauss,2017-07-28
3193018,Háry János,哈利˙雅诺斯,,"Kodály, Zoltán",2017-07-28
3193019,Székelyfonó (The Spinning Room),纺织房,,"Kodály, Zoltán",2017-07-28
3193020,Das Land des Lächelns,微笑王国,,"Lehár, Franz",2017-07-28
3193021,Die lustige Witwe,风流寡妇,,"Lehár, Franz",2017-07-28
3193022,Kukuška,小布谷鸟,,"Lehár, Franz",2017-07-28
3193023,"Arabella, der Kubanerin",古巴女郎阿拉贝拉,,"Lehár, Franz",2017-07-28
3193024,Der Klavierstimmer (Wiener Frauen),钢琴调音师,,"Lehár, Franz",2017-07-28
3193025,Der Schlüssel zum Paradies (revised version of Der Klavierstimmer),天堂之钥,,"Lehár, Franz",2017-07-28
3193026,Rosenstock und Edelweiss,玫瑰花束与小白花,,"Lehár, Franz",2017-07-28
3193027,Die ideale Gattin (revised version of Der Göttergatte),天赐良妻,,"Lehár, Franz",2017-07-28
3193028,Der Sterngucker,观星者,,"Lehár, Franz",2017-07-28
3193029,"Where the Lark Sings (Hungarian: A pacsirta, German: Wo die Lerche singt)",云雀歌唱之处,,"Lehár, Franz",2017-07-28
3193030,Frühling,春天,,"Lehár, Franz",2017-07-28
3193031,Pagliacci,丑角,,"Leoncavallo, Ruggiero",2017-07-28
3193032,La bohème,艺术家的生涯,,"Leoncavallo, Ruggiero",2017-07-28
3193033,Zazà,札札,,"Leoncavallo, Ruggiero",2017-07-28
3193034,Zingari,吉普赛人,,"Leoncavallo, Ruggiero",2017-07-28
3193035,Zar und Zimmermann,沙皇与木匠,,"Lortzing, Gustav",2017-07-28
3193036,Cavalleria Rusticana,乡村骑士,,"Mascagni, Pietro",2017-07-28
3193037,L'amico Fritz,友人弗立兹,,"Mascagni, Pietro",2017-07-28
3193038,Iris,伊莉丝,,"Mascagni, Pietro",2017-07-28
3193039,Le maschere,面具,,"Mascagni, Pietro",2017-07-28
3193040,Don Quichotte,唐˙吉诃德,,"Massenet, Jules",2017-07-28
3193041,La Navarraise,纳瓦拉姑娘,,"Massenet, Jules",2017-07-28
3193042,Manon,玛侬,,"Massenet, Jules",2017-07-28
3193043,Thais,泰伊丝,,"Massenet, Jules",2017-07-28
3193044,Werther,维特,,"Massenet, Jules",2017-07-28
3193045,Hérodiade; rev. as: Erodiade,艾罗迪雅德,,"Massenet, Jules",2017-07-28
3193046,Le Cid,席德,,"Massenet, Jules",2017-07-28
3193047,Esclarmonde,艾丝克拉蒙德,,"Massenet, Jules",2017-07-28
3193048,Sapho,莎芙,,"Massenet, Jules",2017-07-28
3193049,Cendrillon,灰姑娘,,"Massenet, Jules",2017-07-28
3193050,Grisélidis,格里赛莉蒂,,"Massenet, Jules",2017-07-28
3193051,Le jongleur de Notre-Dame,圣母院杂耍人,,"Massenet, Jules",2017-07-28
3193052,Chérubin,谢吕班,,"Massenet, Jules",2017-07-28
3193053,Amahl and the Night Visitors,阿玛与夜访者,,"Menotti, Gian Carlo",2017-07-28
3193054,Amelia al Ballo,阿梅丽亚赴舞会,,"Menotti, Gian Carlo",2017-07-28
3193055,The Consul,领事,,"Menotti, Gian Carlo",2017-07-28
