ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3236555,à 2 {Fr.},二；双,,法,nan,2017-08-08
3236556,a 2 {It.},二,,义,nan,2017-08-08
3236557,a battuta {It.},严守原节拍,,义,nan,2017-08-08
3236558,a bene placito {It.},任意速度的,,义,nan,2017-08-08
3236559,a cappella {It.},无伴奏；无伴奏合唱,,义,nan,2017-08-08
3236560,a capriccio {It.},任意的；随意的,,义,nan,2017-08-08
3236561,à deux cordes {Fr.},双弦（同音）,,法,nan,2017-08-08
3236562,à deux mains {Fr.},用双手弹,,法,nan,2017-08-08
3236563,à deux {Fr.},二；打二拍,,法,nan,2017-08-08
3236564,a due corde {It.},双弦（同音）,,义,nan,2017-08-08
3236565,a due {It.},二；打二拍,,义,nan,2017-08-08
3236566,à la corde {Fr.},弓不离弦；运弓时稍加压力,,法,nan,2017-08-08
3236567,a mezza voce {It.},一半音量,,义,nan,2017-08-08
3236568,a piacere {It.},随意表现,,义,nan,2017-08-08
3236569,a prima vista {It.},视奏；视唱,,义,nan,2017-08-08
3236570,a punta d'rco {It.},用弓尖部奏,,义,nan,2017-08-08
3236571,à quatre mains {Fr.},四手联弹,,法,nan,2017-08-08
3236572,a quattro mani {It.},四手联弹,,义,nan,2017-08-08
3236573,A sharp,升Ａ,,英,nan,2017-08-08
3236574,a tempo primo {It.},初速度,,义,nan,2017-08-08
3236575,a tempo {It.},还原速度；回原速,,义,nan,2017-08-08
3236576,à voix forte {Fr.},大声的,,法,nan,2017-08-08
3236577,A-DAT,八音轨数位录音机,,英,nan,2017-08-08
3236578,A2 {It.},双,,义,nan,2017-08-08
3236579,abadá {Br.},阿巴达鼓,,巴西,nan,2017-08-08
3236580,abbandoné {Fr.},放任的；随意的,,法,nan,2017-08-08
3236581,abbandono {It.},放任的；随意的,,义,nan,2017-08-08
3236582,abbassare {It.},调低（音高）,,义,nan,2017-08-08
3236583,abbellimenti {It.},装饰音符,,义,nan,2017-08-08
3236584,abbellimento {It.},装饰音符,,义,nan,2017-08-08
3236585,abbozzo {It.},草稿,,义,nan,2017-08-08
3236586,abbreviation,简略记法,,英,nan,2017-08-08
3236587,abbreviatura {It.},简略记法,,义,nan,2017-08-08
3236588,abdämpfen{Ger.},加弱音器,,德,nan,2017-08-08
3236589,Abendlied {Ger.},晚间歌曲,,德,nan,2017-08-08
3236590,Abendmusik {Ger.},晚间音乐会；晚间音乐,,德,nan,2017-08-08
3236591,abertura acústica {Sp.},音孔,,西,nan,2017-08-08
3236592,abgeleitete Stufen {Ger.},变化音,,德,nan,2017-08-08
3236593,abgeleitete Töne {Ger.},变化音,,德,nan,2017-08-08
3236594,Abgesang {Ger.},副歌；副段,,德,nan,2017-08-08
3236595,abgrenzter Kanon {Ger.},有终卡农,,德,nan,2017-08-08
3236596,Abkürzung {Ger.},简略记法,,德,nan,2017-08-08
3236597,abnehmend {Ger.},渐弱,,德,nan,2017-08-08
3236598,abréviation{Fr.},简略记法,,法,nan,2017-08-08
3236599,abridged sonata-form,节略奏鸣曲式,,英,nan,2017-08-08
3236600,Absatz {Ger.},休止,,德,nan,2017-08-08
3236601,abschwellend {Ger.},渐弱的,,德,nan,2017-08-08
3236602,absetzen {Ger.},断奏；改编,,德,nan,2017-08-08
3236603,absolute consonance,绝对协和,,英,nan,2017-08-08
3236604,absolute consonant interval,绝对协和音程,,英,nan,2017-08-08
3236605,absolute hearing,绝对音感,,英,nan,2017-08-08
3236606,absolute music,绝对音乐,,英,nan,2017-08-08
3236607,absolute Musik {Ger.},绝对音乐,,德,nan,2017-08-08
3236608,absolute pitch,绝对音高,,英,nan,2017-08-08
3236609,absolute threshold,绝对阈；刺激阈,,英,nan,2017-08-08
3236610,absolute Tonhöhe {Ger.},绝对音高,,德,nan,2017-08-08
3236611,absolutes Gehör {Ger.},绝对音感,,德,nan,2017-08-08
3236612,abstossen {Ger.},断奏；停用某个音栓,,德,nan,2017-08-08
3236613,abstract music,抽象音乐,,英,nan,2017-08-08
3236614,abstrakte Musik {Ger.},抽象音乐,,德,nan,2017-08-08
3236615,Abstrich {Ger.},下弓,,德,nan,2017-08-08
3236616,Abuba {Heb.},阿布巴笛,,希伯来,nan,2017-08-08
3236617,Abwechselnd {Ger.},交替,,德,nan,2017-08-08
3236618,académie{Fr.},学会；学院；音乐会,,法,nan,2017-08-08
3236619,academy,学会；学院；音乐会,,英,nan,2017-08-08
3236620,academy of music,音乐学院,,英,nan,2017-08-08
3236621,Acalento {Por.},巴西摇篮曲｛巴西｝,,葡,nan,2017-08-08
3236622,accademia {It.},学会；学院；音乐会,,义,nan,2017-08-08
3236623,accarezzevole {It.},爱抚的,,义,nan,2017-08-08
3236624,accarezzevolmente {It.},爱抚的,,义,nan,2017-08-08
3236625,accelerando {It.},渐快,,义,nan,2017-08-08
3236626,accelerato {It.},渐快,,义,nan,2017-08-08
3236627,accent {Fr.}{Ger.},重音,,英˙法˙德,nan,2017-08-08
3236628,accentato {It.},加重的,,义,nan,2017-08-08
3236629,accented auxiliary note,强助音,,英,nan,2017-08-08
3236630,accented bar,强小节,,英,nan,2017-08-08
3236631,accented passing note,强经过音,,英,nan,2017-08-08
3236632,accento {It.},重音,,义,nan,2017-08-08
3236633,accentuation,加重音,,英,nan,2017-08-08
3236634,accentus {Lat.},主唱部份,,拉,nan,2017-08-08
3236635,accessary theme,次要主题,,英,nan,2017-08-08
3236636,accessory tone,辅助音,,英,nan,2017-08-08
3236637,accessory voices,伴唱声部,,英,nan,2017-08-08
3236638,acciaccato {It.},猛烈的；粗暴的,,义,nan,2017-08-08
3236639,acciaccatura doppia（意）,复倚音,,义,nan,2017-08-08
3236640,acciccatura {It.},碎音,,义,nan,2017-08-08
3236641,accidental,临时记号；变化记号,,英,nan,2017-08-08
3236642,accidental chord,偶成和弦（弦）,,英,nan,2017-08-08
3236643,accidente {It.},临时记号；变化记号,,义,nan,2017-08-08
3236644,accident{Fr.},临时记号；变化记号,,法,nan,2017-08-08
3236645,acclamation,欢呼歌,,英,nan,2017-08-08
3236646,acclamazione {It.},欢呼歌,,义,nan,2017-08-08
3236647,accolade {Fr.},连谱号,,法,nan,2017-08-08
3236648,accompagnamento {It.},伴奏,,义,nan,2017-08-08
3236649,accompagnato {It.},伴奏吟诵调,,义,nan,2017-08-08
3236650,accompagnement {Fr.},伴奏,,法,nan,2017-08-08
3236651,accompanied canon,有伴奏卡农,,英,nan,2017-08-08
3236652,accompanied fugue,有伴奏复格,,英,nan,2017-08-08
3236653,accompaniment,伴奏,,英,nan,2017-08-08
3236654,accoppiare {It.},连结的；使用连结器的,,义,nan,2017-08-08
3236655,accorato {It.},悲伤的；痛心的,,义,nan,2017-08-08
3236656,accord altéré {Fr.},变化和弦（弦）,,法,nan,2017-08-08
3236657,accord augmenté {Fr.},增和弦（弦）,,法,nan,2017-08-08
3236658,accord brisé {Fr.},分解和弦（弦）,,法,nan,2017-08-08
3236659,accord consonant {Fr.},协和和弦（弦）,,法,nan,2017-08-08
3236660,accord de cinquième et sixième {Fr.},六五和弦（弦）,,法,nan,2017-08-08
3236661,accord de dominante {Fr.},属和弦（弦）,,法,nan,2017-08-08
3236662,accord de neuvième de dominante {Fr.},属九和弦（弦）,,法,nan,2017-08-08
3236663,accord de neuvième majeure {Fr.},大九和弦（弦）,,法,nan,2017-08-08
3236664,accord de neuvième mineure {Fr.},小九和弦（弦）,,法,nan,2017-08-08
3236665,accord de neuvième {Fr.},九和弦（弦）,,法,nan,2017-08-08
3236666,accord de onziéme {Fr.},十一和弦（弦）,,法,nan,2017-08-08
3236667,accord de passage {Fr.},经过和弦（弦）,,法,nan,2017-08-08
3236668,accord de quarte et sixte {Fr.},六四和弦（弦）,,法,nan,2017-08-08
3236669,accord de quinte augmentée {Fr.},增三和弦（弦）,,法,nan,2017-08-08
3236670,accord de quinte et sixte {Fr.},六五和弦（弦）,,法,nan,2017-08-08
3236671,accord de seconde {Fr.},二和弦（弦）,,法,nan,2017-08-08
3236672,accord de septième de dominante {Fr.},属七和弦（弦）,,法,nan,2017-08-08
3236673,accord de septième majeure {Fr.},大七和弦（弦）,,法,nan,2017-08-08
3236674,accord de septième mineure {Fr.},小七和弦（弦）,,法,nan,2017-08-08
3236675,accord de septième {Fr.},七和弦（弦）,,法,nan,2017-08-08
3236676,accord de sixte augmentée {Fr.},增六和弦（弦）,,法,nan,2017-08-08
3236677,accord de sixte {Fr.},六和弦（弦）,,法,nan,2017-08-08
3236678,accord de treizième {Fr.},十三和弦（弦）,,法,nan,2017-08-08
3236679,accord de tritons {Fr.},减三和弦（弦）,,法,nan,2017-08-08
3236680,accord de trois sons {Fr.},三和弦（弦）,,法,nan,2017-08-08
3236681,accord de troisième et quatrième {Fr.},四三和弦（弦）,,法,nan,2017-08-08
3236682,accord dissonant {Fr.},不协和和弦（弦）,,法,nan,2017-08-08
3236683,accord d’emprunt {Fr.},借用和弦（弦）,,法,nan,2017-08-08
3236684,accord imparfait {Fr.},不完全和弦（弦）,,法,nan,2017-08-08
3236685,accord par quartes {Fr.},四度和弦（弦）,,法,nan,2017-08-08
3236686,accord parfait majeur {Fr.},大三和弦（弦）,,法,nan,2017-08-08
3236687,accord parfait mineur {Fr.},小三和弦（弦）,,法,nan,2017-08-08
3236688,accord parfait {Fr.},完全和弦（弦）,,法,nan,2017-08-08
3236689,accord pivot {Fr.},共通和弦（弦）；枢纽和弦（弦）；中介和弦（弦）,,法,nan,2017-08-08
3236690,accord renversé {Fr.},转位和弦（弦）,,法,nan,2017-08-08
3236691,accord septième diminuée {Fr.},减七和弦（弦）,,法,nan,2017-08-08
3236692,accord tonique {Fr.},主和弦（弦）,,法,nan,2017-08-08
3236693,accord {Fr.},和弦（弦）；调音,,法,nan,2017-08-08
3236694,accordage {Fr.},调音,,法,nan,2017-08-08
3236695,accordare {It.},调音,,义,nan,2017-08-08
3236696,accordatura giusta {It.},纯律,,义,nan,2017-08-08
3236697,accordatura {It.},正确的调弦（弦）,,义,nan,2017-08-08
3236698,accordéon {Fr.},手风琴,,法,nan,2017-08-08
3236699,accordi di settima secondari {It.},副七和弦（弦）,,义,nan,2017-08-08
3236700,accordion,手风琴,,英,nan,2017-08-08
3236701,accordo alterato {It.},变化和弦（弦）,,义,nan,2017-08-08
3236702,accordo aumentato {It.},增和弦,,义,nan,2017-08-08
