ID,英文名稱,中文名稱,圖片,更新日期
265326,photoperiod,光照期,,2012-11-26
265327,photonosus，photopathy,光照病,,2012-11-26
265328,photomorphism，photomorphosis,光对形态作用,,2012-11-26
265329,photomicrography,显微照相术,,2012-11-26
265330,photometry,光度测法,,2012-11-26
265331,photometer,光度计，比色计,,2012-11-26
265332,photolysis,光解,,2012-11-26
265333,photolethal,光害的,,2012-11-26
265334,photokinetic,趋光的,,2012-11-26
265335,photogen,菌光素,,2012-11-26
265336,photogastroscope,胃内照相机,,2012-11-26
265337,photoelectrometer,光电比色计,,2012-11-26
265338,photodysphoria，photophobia,畏光，羞明,,2012-11-26
265339,photocystoscope,膀胱内照相机,,2012-11-26
265340,phossy jaw,燐毒性颌疽,,2012-11-26
265341,phosphoprotein,磷蛋白质,,2012-11-26
265342,phosgene,光气，二氯化羰,,2012-11-26
265343,phorology,菌递学，菌邮学,,2012-11-26
265344,phorocyte,结缔组织细胞,,2012-11-26
265345,phonostethograph,听诊录音机,,2012-11-26
265346,phonoscope,心音描记器,,2012-11-26
265347,phonocardiograph,心音描记器,,2012-11-26
265348,phonocardiogram,心音〔描记〕图,,2012-11-26
265349,phonendoscope,扩音听诊器,,2012-11-26
265350,phonacoscope,叩听诊器,,2012-11-26
265351,phocomelus,海豹牁𫍸L，短肢畸形,,2012-11-26
265352,phobia,恐怖〔症〕,,2012-11-26
265353,phmose,多毛，羽状,,2012-11-26
265354,phlyctenule,小水泡,,2012-11-26
265355,phloxine,玫瑰红,,2012-11-26
265356,phlogosis,炎症,,2012-11-26
265357,phlogocyte，plasmocyte,炎细胞，浆细胞,,2012-11-26
265358,phlogistic,炎性,,2012-11-26
265359,phlegmon,蜂窝织炎,,2012-11-26
265360,phlebotomy,静脉切开术，放血术,,2012-11-26
265361,phlebotomize,放血，泻血,,2012-11-26
265362,phlebotome,静脉刀,,2012-11-26
265363,phlebothrombosis,静脉栓塞,,2012-11-26
265364,phlebostasis,静脉郁滞〔术〕,,2012-11-26
265365,phlebosis,静脉炎（非炎症性）,,2012-11-26
265366,phlebosclerosis,静脉硬化,,2012-11-26
265367,phleborrhexis,静脉破裂,,2012-11-26
265368,phlebopiezometry,静脉血压检查法,,2012-11-26
265369,phlebophlebostomy,静脉间吻合术,,2012-11-26
265370,phleboid,静脉样的,,2012-11-26
265371,phleboclysis,静脉注射法,,2012-11-26
265372,phlebitis,静脉炎,,2012-11-26
265373,phlebemphraxis,静脉阻塞,,2012-11-26
265374,phlebectomy,静脉切除术,,2012-11-26
265375,phlebectasia，phlebectasis,静脉扩张,,2012-11-26
265376,phlebarteriectasia,动静脉扩张,,2012-11-26
265377,phlebanesthesia，phlebonarcosis,静脉注射麻醉法,,2012-11-26
265378,phimosis,包茎,,2012-11-26
265379,phimosiectomy,包茎切除术,,2012-11-26
265380,philocytase，amboceptor,介体,,2012-11-26
265381,phermone,传讯素,,2012-11-26
265382,pheochromocyte,嗜铬细胞,,2012-11-26
265383,pheochrome，chromaffin,嗜铬的,,2012-11-26
265384,phenotype,体表型,,2012-11-26
265385,phenothiazine,硫二苯胺,,2012-11-26
265386,phenoluria,酚尿症,,2012-11-26
265387,phenolemia,酚血症,,2012-11-26
265388,phenol coefficient,石炭酸系数,,2012-11-26
265389,phenol,石炭酸，酚,,2012-11-26
265390,phatnorrhea,牙槽脓溢,,2012-11-26
265391,phatnorrhagia,牙槽出血,,2012-11-26
265392,phatne，phatoma,齿槽,,2012-11-26
265393,phase,相，型，期〔间〕,,2012-11-26
265394,pharynx,咽,,2012-11-26
265395,pharyngoparalysis，pharyngolysis，pharyngoplegia,咽麻痺,,2012-11-26
265396,pharyngolaryngitis,咽喉炎,,2012-11-26
265397,pharyngocele,咽膨出,,2012-11-26
265398,pharyngitis,咽炎,,2012-11-26
265399,pharyngismus,咽痉挛,,2012-11-26
265400,pharyngeal，pharyngeus,咽囊,,2012-11-26
265401,pharmacy,药物，制药学，药房,,2012-11-26
265402,pharmacotherapy,药治疗，药物治疗,,2012-11-26
265403,pharmacopeia，pharmacopoeis,药典,,2012-11-26
265404,pharmacopedia，pharmacopedics,药典,,2012-11-26
265405,pharmacology,药理学,,2012-11-26
265406,pharmacognosy，pharmacognostics,生药学,,2012-11-26
265407,pharmacodynamics,药力学，药效学,,2012-11-26
265408,pharmacochemistry,药物化学,,2012-11-26
265409,pharmaceutics,制药学,,2012-11-26
265410,pharmaceutic，pharmaceutical,药的，制药的，药学的,,2012-11-26
265411,phantom pregnancy，pseudopregnancy,假怀孕，伪怀孕,,2012-11-26
265412,phantom corpuscle,幽灵红血球,,2012-11-26
265413,phantom,幽灵,,2012-11-26
265414,phanerogenic，phanerogenetic,原因明显的,,2012-11-26
265415,phallus，penis,阴茎,,2012-11-26
265416,phallic,阴茎的,,2012-11-26
265417,phalanx,趾骨，指骨,,2012-11-26
265418,phagotherapy,摄食疗法，噬〔菌〕体疗法,,2012-11-26
265419,phagocytosis,吞噬作用,,2012-11-26
265420,phagocyte,吞噬细胞,,2012-11-26
265421,phagocaryosis，phagokaryosis,〔吞〕噬〔细胞〕核作用,,2012-11-26
265422,phagedena,蚀疮,,2012-11-26
265423,phage，bacteriophage,噬〔菌〕体,,2012-11-26
265424,phacotherapy，heliotherapy,日光疗法,,2012-11-26
265425,phacoscotasmus,晶状体浑浊,,2012-11-26
265426,phacoplanesis,晶状体游动,,2012-11-26
265427,phacolysis,晶状体摘除术,,2012-11-26
265428,phaco-erysis,晶状体吸除法,,2012-11-26
265429,phacocystitis，phacohymenitis,晶状体囊炎,,2012-11-26
265430,phacocystectomy,晶状体囊截除术,,2012-11-26
265431,phacocele，phakocele,晶状体赫尼亚,,2012-11-26
265432,phacitis，phakitis，phacoiditis,晶状体炎,,2012-11-26
265433,pexia，pexis,固定〔术〕,,2012-11-26
265434,petrous,岩状的,,2012-11-26
265435,petroleum ether,石油醚,,2012-11-26
265436,petrolatum album,白软蜡，白凡士林,,2012-11-26
265437,petrifaction,石化,,2012-11-26
265438,petri dish，Petri dish,培养皿,,2012-11-26
265439,petits maux,小阵痛，初阵痛,,2012-11-26
265440,petit mal,癫痫小发作,,2012-11-26
265441,petechia,瘀斑，瘀点,,2012-11-26
265442,pestle,研钵,,2012-11-26
265443,pestiferous,致疫的，传疫的,,2012-11-26
265444,pest,〔瘟〕疫,,2012-11-26
265445,pessary form,子宫托状,,2012-11-26
265446,pertubation,输卵管灌气法,,2012-11-26
265447,perstriction,血管结扎,,2012-11-26
265449,perspiration，clammy,冷汗，黏汗,,2012-11-26
265450,perspiration,出汗,,2012-11-26
265451,perplication,血管折闭法,,2012-11-26
265452,perosomus,躯体不全（畸胎）,,2012-11-26
265453,perosis,滑腱症（鸡）,,2012-11-26
265454,peroneal,腓骨的,,2012-11-26
265455,peromelus,四肢不全畸胎,,2012-11-26
265456,perocormus，perosomus,躯体不全畸胎,,2012-11-26
265457,perocephalus,头不全畸胎,,2012-11-26
265458,perobrachius,臂不全畸胎，前肢不全畸胎,,2012-11-26
265459,pernicosis,冻伤病，冻疮病,,2012-11-26
265460,pernicious anemia,恶性贫血,,2012-11-26
265461,permeum,会阴的,,2012-11-26
265462,perivascular,血管周的,,2012-11-26
265463,peritonitis,腹膜炎,,2012-11-26
265464,peritoneoscopy,腹膜镜检法,,2012-11-26
265465,peritoneoclysis,腹膜输液法,,2012-11-26
265466,peritoneocentesis,腹膜穿刺术,,2012-11-26
265467,peritonectomy,腹膜切开,,2012-11-26
265468,perisynovitis,滑膜周炎,,2012-11-26
265469,peristaltic rush,猛蠕动,,2012-11-26
265470,peristalsis，reversed,逆蠕动,,2012-11-26
265471,peristalsis，delayed,蠕动迟缓,,2012-11-26
265472,peristalsis,蠕动,,2012-11-26
265473,Perissodactyla,奇蹄目,,2012-11-26
265474,periproctitis,直肠周炎，肛周炎,,2012-11-26
265475,periphlebitis,静脉周炎,,2012-11-26
265476,periphery,末稍，同边，外围,,2012-11-26
265477,peripheral，peripheric,末稍的，周边的,,2012-11-26
265478,periostosteitis,骨膜骨炎,,2012-11-26
265479,periostitis,骨膜炎,,2012-11-26
265480,periosteum，periost,骨膜,,2012-11-26
265481,periople,蹄外膜,,2012-11-26
265482,periodoscope,分娩日期计算表,,2012-11-26
265483,periodontium,齿周膜，齿根膜,,2012-11-26
265484,periodontitis,齿根骨膜炎,,2012-11-26
265485,periodicity,周发性,,2012-11-26
265487,period，reaction,反应期,,2012-11-26
265488,period，multiplication,增殖期,,2012-11-26
265491,period，growth,生长期,,2012-11-26
265492,period，destruction,破坏期,,2012-11-26
265493,period，communicable,传染期,,2012-11-26
265494,period disease,周期性病,,2012-11-26
265495,period,期间,,2012-11-26
265496,perineel,会阴的,,2012-11-26
265497,perimetritis,子宫浆膜炎,,2012-11-26
265498,peridiastolic，prediastolic,心舒张前的,,2012-11-26
265499,peridiastole,心舒缩间期,,2012-11-26
265500,periderm,胎皮，皮肤生长层，表皮，外皮,,2012-11-26
265501,peridectomy，peritomy,环切术,,2012-11-26
265502,pericyte,外被细胞,,2012-11-26
265503,perichordal,围索的,,2012-11-26
265504,perichondral bone,软骨化骨,,2012-11-26
265505,perichondral,软骨膜的,,2012-11-26
265506,pericholangitis,胆管周围炎,,2012-11-26
265507,pericentral,中心周围的,,2012-11-26
265508,pericementum,齿骨膜,,2012-11-26
265509,pericardotomy,心包切开术,,2012-11-26
265510,pericardium,心包，围心囊,,2012-11-26
265511,pericarditis,心包炎,,2012-11-26
265512,pericardiorrhaphy,心包缝术,,2012-11-26
265513,pericardio-kudoasis,心包囊工藤氏黏液胞子虫症（鱼）,,2012-11-26
265514,pericardial,围心的,,2012-11-26
265515,pericardiac,围心的,,2012-11-26
265516,perianal,肛围的,,2012-11-26
265517,perfusion cannula,灌流套管,,2012-11-26
265518,perfusate,灌注液,,2012-11-26
265519,perfrication,搽膏,,2012-11-26
265520,perforator,穿孔器,,2012-11-26
265521,perforation,穿孔，穿通，穿破,,2012-11-26
265522,perforans,穿通的，穿通神经，穿通肌,,2012-11-26
265523,percutaneous,经皮的,,2012-11-26
265524,percussor,叩诊器,,2012-11-26
265525,percussion，light,轻叩,,2012-11-26
265526,percussion，immediate or direct,直接叩诊,,2012-11-26
265527,hammer percussion,槌叩诊,,2020-02-27
265528,percussion，finger,指叩诊,,2012-11-26
265529,percussion，deep,重叩,,2012-11-26
265530,percussion，ausculatory,听叩诊法,,2012-11-26
265531,percussion resonance，woodeny,木性叩响,,2012-11-26
265532,percussion resonance，tympanitic,鼓性叩响,,2012-11-26
