ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254466,(positive) contrast medium,(正性)对比剂,,,2020-01-07
6254467,(pulmonary) consolidation,(肺臓)实质化,,,2020-01-07
6254468,2-[F-18]fluoro-2-deoxy-D-glucose {=FDG},[氟-18]去氧葡萄糖,,,2020-01-07
6254469,abduction,外展,,,2020-01-07
6254470,abnormality of double hitting,染色体双击异常,,,2020-01-07
6254471,absolute filter,绝对滤器；绝对滤片,,,2020-01-07
6254472,absolute measurement,绝对测量,,,2020-01-07
6254473,absolute risk,绝对风险,,,2020-01-07
6254474,absorbance,吸收,,,2020-01-07
6254475,absorbed dose (D),吸收剂量,,,2020-01-07
6254476,absorbed dose rate (D),吸收剂量率,,,2020-01-07
6254477,absorbed fraction,吸收分率,,,2020-01-07
6254478,absorbed-dose index,吸收剂量指数,,,2020-01-07
6254479,absorption coefficient,吸收系数,,,2020-01-07
6254480,absorption edge,吸收边限；吸收边缘,,,2020-01-07
6254481,abundance,含量；丰度,,,2020-01-07
6254482,abusive head trauma,受虐性脑伤,,,2020-01-07
6254483,acanthiomeatal line,鼻下耳孔线,,,2020-01-07
6254484,accelerated fractionated radiotherapy,加速分次放射治疗,,,2020-01-07
6254485,accelerated fractionation,加速分次,,,2020-01-07
6254486,accelerating electrode,加速电极,,,2020-01-07
6254487,accessory fissure,副裂隙,,,2020-01-07
6254488,accumulated dose,累积剂量,,,2020-01-07
6254489,accumulator,累积计,,,2020-01-07
6254490,acid fixing bath,酸性定影浴,,,2020-01-07
6254491,acid maltase deficiency,酸性麦芽糖酶缺乏症,,,2020-01-07
6254492,acromegaly,肢端肥大症,,,2020-01-07
6254493,activation analysis,活化分析,,,2020-01-07
6254494,activation cross section,活化截面,,,2020-01-07
6254495,activity,活性,,,2020-01-07
6254496,acute disseminated encephalomyelitis {=ADEM},急性弥漫性脑脊髓炎,,,2020-01-07
6254497,acute interstitial pneumonitis,急性间质性肺炎,,,2020-01-07
6254498,Acute radiation syndrome {=ARS},急性辐射症候群,,,2020-01-07
6254499,addition filter,附加滤片；附加滤器,,,2020-01-07
6254500,adduction,内收,,,2020-01-07
6254501,adhesive,黏连性；沾黏的,,,2020-01-07
6254502,adhesive capsulitis,粘连性滑膜囊炎,,,2020-01-07
6254503,adjacency effects,邻近效应,,,2020-01-07
6254504,adjuvant therapy,辅助治疗,,,2020-01-07
6254505,Adult Onset Still's Disease {=AOSD},成人史迪尔氏症,,,2020-01-07
6254506,aerated,充气的,,,2020-01-07
6254507,aerial fog,气雾,,,2020-01-07
6254508,afterloading method,后荷法,,,2020-01-07
6254509,afterloading unit,后荷装置,,,2020-01-07
6254510,agenesis of corpus callosum,胼胝体发育不全,,,2020-01-07
6254511,aging brain,老化大脑,,,2020-01-07
6254512,air bronchogram,空气支气管像,,,2020-01-07
6254513,air bronchogram sign,空气支气管像征象,,,2020-01-07
6254514,air equivalent material,空气等价物质,,,2020-01-07
6254515,air equivalent wall,空气等价壁,,,2020-01-07
6254516,air gap technique,空间间隔技术,,,2020-01-07
6254517,air kerma rate constant,空气克马率常数,,,2020-01-07
6254518,air trapping,气体滞留,,,2020-01-07
6254519,air-fluid level,气体－液体界面,,,2020-01-07
6254520,airspace,气腔,,,2020-01-07
6254521,Al breakthrough,铝突破,,,2020-01-07
6254522,Alexander disease,Alexander氏病,,,2020-01-07
6254523,algebraic reconstruction technique {=ART},代数重建技术,,,2020-01-07
