ID,英文名稱,中文名稱,圖片,更新日期
20743230,"1,25-dihydrocholecalciferol",二羟胆利钙醇；维生素D3,,2022-09-05
20743231,1-amino-4-methylaminoanthraquinone,1-胺-4-甲胺蒽醌,,2022-09-05
20743232,10-ethyl-10-deaza-aminopterin,10-乙基-10-去氮-胺基蝶吟,,2022-09-05
20743233,13-cis-retinoic,13-顺维他命A,,2022-09-05
20743234,13-cis-retinoic acid,13-顺维他命A酸,,2022-09-05
20743235,1─tryptophan,1─色胺酸,,2022-09-05
20743236,"2 (2-anilinovinyl) -3,4-dimethyl-oxazolinium iodide",感光素401号,,2022-09-05
20743237,2-alkyl-N-carboxymethl-N-hydroxyethyl imidazolinium betaine,2-烷-N-羧甲-N-羟乙咪唑啉甜菜碱,,2022-09-05
20743238,"2-amino-2-methyl-1,3-propanediol","2-胺-2-甲-1,3-丙二醇",,2022-09-05
20743239,2-amino-2-methyl-1-propanol treated shellac solution,2-胺-2-甲-1-丙醇处理虫胶液,,2022-09-05
20743240,2-amino-4-nitrophenol,2-胺-4-硝苯酚,,2022-09-05
20743241,2-amino-5-nitrophenol,2-胺-5-硝苯酚,,2022-09-05
20743242,2-amino-5-nitrophenol sulfate,硫酸 2-胺-5-硝苯酚,,2022-09-05
20743243,"2-chloro-N,N-diallylacetamide","2-氯-N,N-二稀丙基乙醯胺",,2022-09-05
20743244,2-ethyl hexanediol,2-乙基己二醇,,2022-09-05
20743245,2-ethylhexyl isopelargonate,异壬酸辛酯,,2022-09-05
20743246,2-ethylhexyl p-dimethylamino benzoate,对二甲胺苯甲酸2-辛酯,,2022-09-05
20743247,2-ethylhexyl palmitate,棕榈酸辛酯,,2022-09-05
20743248,2-ethylhexyl stearate,硬脂酸辛酯,,2022-09-05
20743249,5-aminolevulinic acid,5-胺基乙酰丙酸,,2022-09-05
20743250,5α-reductase,5-α环原酶,,2022-09-05
20743251,A band,A带,,2022-09-05
20743252,A cell,A细胞,,2022-09-05
20743253,A point,A点,,2022-09-05
20743254,a wave,a波,,2022-09-05
20743255,A-H interval,A-H间期,,2022-09-05
20743256,A-mode echocardiography,A型心脏超音波图,,2022-09-05
20743257,A-S-E bandage,腋肩肘吊带,,2022-09-05
20743258,A-V shunt,动静脉分流,,2022-09-05
20743259,A.C.D. solution,柠檬酸葡萄糖溶液,,2022-09-05
20743260,AAA disease,钩虫病,,2022-09-05
20743261,Aarskog syndrome{facio-digito-genital},Aarskog症候群{面－指－生殖器症候群},,2022-09-05
20743262,Aase syndrome,Aase氏症候群,,2022-09-05
20743263,ab aure laeso vertigo,耳性眩晕,,2022-09-05
20743264,ab stomacho laeso vertigo,胃性眩晕,,2022-09-05
20743265,abacterial,非细菌性的,,2022-09-05
20743266,abacterial thrombotic endocarditis,非细菌性栓塞性心内膜炎,,2022-09-05
20743267,abandonment,中止治疗,,2022-09-05
20743268,abarticular,关节外的,,2022-09-05
20743269,abarticular gout,非关节性痛风,,2022-09-05
20743270,Abbe-Zeiss counting cell,亚贝．蔡司计数池,,2022-09-05
20743271,ABC method,ABC法,,2022-09-05
20743272,Abderhalden's dialysis,Abderhalden氏透析反应,,2022-09-05
20743273,abdomen,腹部,,2022-09-05
20743274,abdomen obstipum,先天性腹直肌短缩,,2022-09-05
20743275,abdoment,腹部,,2022-09-05
20743276,abdominal,腹的,,2022-09-05
20743277,abdominal aortic,腹主动脉,,2022-09-05
20743278,abdominal aortic plexus,腹主动脉丛,,2022-09-05
20743279,abdominal asthma,腹性气喘,,2022-09-05
20743280,abdominal bandage,腹带,,2022-09-05
20743281,abdominal coronary,腹冠状的,,2022-09-05
20743282,abdominal distention,腹胀,,2022-09-05
20743283,abdominal epliepsy,腹性癫痫,,2022-09-05
20743284,abdominal fistula,腹部瘘管,,2022-09-05
20743285,abdominal gestation,腹腔内妊娠,,2022-09-05
20743286,abdominal hernia,腹疝,,2022-09-05
20743287,abdominal influenza,肠胃型流行性感冒,,2022-09-05
20743288,abdominal injury,腹部损伤,,2022-09-05
20743289,abdominal respiration,腹式呼吸,,2022-09-05
20743290,abdominal rib,腹肋,,2022-09-05
20743291,abdominal syndrome,腹部症候群,,2022-09-05
20743292,abdomino,字首，表示与腹有关之义,,2022-09-05
20743293,abdominocentesis,腹部穿刺术,,2022-09-05
20743294,abdominojugular reflux,腹颈反流,,2022-09-05
20743295,abdominoperineal,腹与会阴的,,2022-09-05
20743296,abdominoscopy,腹腔镜,,2022-09-05
20743297,abducens,外展的,,2022-09-05
20743298,abducent,外展的,,2022-09-05
20743299,abducent nerve,外展神经,,2022-09-05
20743300,abduction,外展,,2022-09-05
20743301,abduction splint,外屏夹,,2022-09-05
20743302,abductor,外展肌,,2022-09-05
20743303,abductor muscle of great toe,外展拇指,,2022-09-05
20743304,abductor muscle of little finger,外展小指肌,,2022-09-05
20743305,abductor muscle of little toe,外展小趾肌,,2022-09-05
20743306,Abercrombie's syndrome,艾伯克症候群；淀粉样变性,,2022-09-05
20743307,aberrant,迷走的,,2022-09-05
20743308,aberrant artery,迷动脉,,2022-09-05
20743309,aberrant basal cell carcinoma,异位基底细胞癌,,2022-09-05
20743310,aberrant duct,迷管,,2022-09-05
20743311,aberrant goiter,迷走性甲状腺肿大,,2022-09-05
20743312,aberrant Mongolian spot,异位性蒙古斑,,2022-09-05
20743313,"aberration, intraventricular",心室内迷传,,2022-09-05
20743314,abetalipoproteinemia,血清β脂蛋白缺乏症,,2022-09-05
20743315,abient behavior,回避行为,,2022-09-05
20743316,ability,能力,,2022-09-05
20743317,abiortrophia,营养性衰竭,,2022-09-05
20743318,abiortrophic degeneration,生活力缺乏性变性,,2022-09-05
20743319,abiortrophy,营养性衰竭,,2022-09-05
20743320,ablate,切除,,2022-09-05
20743321,ablatio,脱离,,2022-09-05
20743322,ablation,剥离,,2022-09-05
20743323,ablation therapy,摘除治疗,,2022-09-05
20743324,abnormal,异常的,,2022-09-05
20743325,abnormal occlusion,咬合异常,,2022-09-05
20743326,abnormalities,异常,,2022-09-05
20743327,abnormality,异常,,2022-09-05
20743328,abortive,堕胎的,,2022-09-05
20743329,abortive form,顿挫型,,2022-09-05
20743330,abortive type,顿挫型,,2022-09-05
20743331,abortive zoster,顿挫型带状疱疹,,2022-09-05
20743332,abortus,流产,,2022-09-05
20743333,above knee,膝以上,,2022-09-05
20743334,above knee amputation,膝上截肢,,2022-09-05
20743335,Abrami's disease,Abrami氏病,,2022-09-05
20743336,abrasive,擦落的,,2022-09-05
20743337,abrasive cleanser,磨磋性清洁剂,,2022-09-05
20743338,abreaction,精神发泄,,2022-09-05
20743339,abreactive therapy,精神分析治疗,,2022-09-05
20743340,Abrikosoffs tumour,Abrikosoffs氏瘤,,2022-09-05
20743341,abruptio,剥落,,2022-09-05
20743342,abruption placenta,胎盘剥落过早,,2022-09-05
20743343,abscedens,脓肿性,,2022-09-05
20743344,abscess,脓疡,,2022-09-05
20743345,absence,失神,,2022-09-05
20743346,absence of mouth,无口畸形,,2022-09-05
20743347,absent,失神的,,2022-09-05
20743348,absent navel syndrome,无脐症候群,,2022-09-05
20743349,absent respiration,呼吸音消失,,2022-09-05
20743350,Absidia,犁头霉属,,2022-09-05
20743351,Absidia coerulea,蓝色犁头霉,,2022-09-05
20743352,Absidia corymbifera,繖状犁头霉,,2022-09-05
20743353,Absidia ramosa,分枝犁头霉,,2022-09-05
20743354,Absidia spinosa,刺柄犁头霉,,2022-09-05
20743355,absinthe,苦艾酒,,2022-09-05
20743356,absinthe oil,苦艾油,,2022-09-05
20743357,absolute,绝对的,,2022-09-05
20743358,absolute alcohol,无水醇；无水酒精,,2022-09-05
20743359,absolute diet,禁食,,2022-09-05
20743360,absolute ethanol,无水乙醇,,2022-09-05
20743361,absolute leukocytosis,绝对性白血球增多,,2022-09-05
20743362,absolute pathogen,绝对病原菌,,2022-09-05
20743363,absolute polycythemia,绝对红血球增多症,,2022-09-05
20743364,absolutely dull percussion resonance,绝对浊叩响,,2022-09-05
20743365,absorbency,吸收力；吸光率,,2022-09-05
20743366,absorbent,吸收的,,2022-09-05
20743367,absorbent power,吸收力,,2022-09-05
20743368,absorber,吸收器；吸收剂,,2022-09-05
20743369,absorption,吸收,,2022-09-05
20743370,absorption band,吸收光带,,2022-09-05
20743371,absorption bands,吸收带,,2022-09-05
20743372,absorption bases,吸收性基质,,2022-09-05
20743373,absorption jaundice,吸收性黄疸,,2022-09-05
20743374,absorption lens,吸收透镜,,2022-09-05
20743375,absorption line,吸收线,,2022-09-05
20743376,absorption spectrum,吸收光谱,,2022-09-05
20743377,abstinence,戒断,,2022-09-05
20743378,abstinence syndrome,脱瘾症候群,,2022-09-05
20743379,Abt-Letterer-Siwe syndrome,网状内皮系肿瘤症候群,,2022-09-05
20743380,abtropfung,痣细胞变性增生；痣细胞团下移 ,,2022-09-05
20743381,abtropfung theory,痣细胞围下移理论,,2022-09-05
20743382,abuse,滥用,,2022-09-05
20743383,abut,支持的,,2022-09-05
20743384,abutment,支台齿,,2022-09-05
20743385,abutment analog implant,支柱类似体,,2022-09-05
20743386,abutment groove,支柱牙沟,,2022-09-05
20743387,abutment implant,支柱,,2022-09-05
20743388,abutment locater,支柱牙定位器,,2022-09-05
20743389,abutment screw implant,支柱螺旋,,2022-09-05
20743390,abutment splint,支柱牙固定装置,,2022-09-05
20743391,abutment tooth,支柱牙,,2022-09-05
20743392,abuttal,齿桥墩,,2022-09-05
20743393,Acacia arabica,阿拉伯树胶,,2022-09-05
20743394,academic,学术的,,2022-09-05
20743395,acalculia,计算能力缺失,,2022-09-05
20743396,acanthocheilonemiasis,棘唇虫病,,2022-09-05
20743397,acanthocytosis,棘细胞增殖,,2022-09-05
20743398,acanthogenic,棘层生成的,,2022-09-05
20743399,acantholysis,皮肤棘层松懈,,2022-09-05
20743400,acantholytic,皮肤棘层松懈的,,2022-09-05
20743401,acantholytic acanthoma,棘层松解性棘皮瘤,,2022-09-05
20743402,acantholytic cell,棘层松解细胞,,2022-09-05
20743403,acantholytic dyskeratosis,棘层松解性角化不良,,2022-09-05
20743404,acantholytic herpetiform dermatitis,棘层松解性疱疹样皮肤炎,,2022-09-05
20743405,acanthoma,棘皮瘤,,2022-09-05
20743406,acanthoma adenoides cysticum,囊性腺样棘皮瘤,,2022-09-05
20743407,acanthoma alveolare,泡形棘皮瘤,,2022-09-05
20743408,acanthoma fissuratum,皲裂性棘皮瘤,,2022-09-05
20743409,acanthoma inguinale,腹股沟棘皮瘤,,2022-09-05
20743410,acanthoma tropicum,热带棘皮瘤,,2022-09-05
20743411,acanthoma verrucosa seborrhoeica,脂漏性疣状棘皮瘤,,2022-09-05
20743412,acanthome a cellules claires,明亮细胞棘皮瘤,,2022-09-05
20743413,acanthosis,棘皮病,,2022-09-05
20743414,acanthosis palmaris,掌棘皮病,,2022-09-05
20743415,acapnial alkalosis,碳酸缺乏性碱中毒,,2022-09-05
20743416,Acari,螨,,2022-09-05
20743417,Acarina,螨目,,2022-09-05
20743418,acarodermatitis,螨虫皮肤炎,,2022-09-05
20743419,acarphobia,螨恐怖,,2022-09-05
20743420,Acarus,恙虫属,,2022-09-05
20743421,Acarus folliculorum,毛囊螨,,2022-09-05
20743422,Acarus siro,粗脚粉螨,,2022-09-05
20743423,acatalasemia,无过氧化氢酶血症,,2022-09-05
20743424,acatalasia,缺触酶症,,2022-09-05
20743425,acathetic,抑留不能的,,2022-09-05
20743426,acathetic jaundice,抑留不能性黄疸,,2022-09-05
20743427,accelerant,促进剂,,2022-09-05
20743428,accelerate,加速,,2022-09-05
20743429,accelerated,加速的,,2022-09-05
20743430,accelerated artioventricular junctional rhythm,加速性房室结合心律,,2022-09-05
20743431,accelerated hypertension,恶性高血压,,2022-09-05
20743432,accelerated idioventricular rhythm,加速性特发性心室心律,,2022-09-05
20743433,accelerated rejection,加速排斥,,2022-09-05
20743434,accelerated respiration,呼吸加速,,2022-09-05
20743435,accelerated response,加速反应,,2022-09-05
20743436,accelerator,加速者,,2022-09-05
20743437,accelerator nerve,加速神经,,2022-09-05
20743438,acceleratory nerve,加速神经,,2022-09-05
20743439,accentuated murmur,加重杂音,,2022-09-05
20743440,accentuation,增强,,2022-09-05
20743441,acceptor,受体,,2022-09-05
20743442,access,入口,,2022-09-05
20743443,access cavity,入口窝洞,,2022-09-05
20743444,access preparation,入口修形,,2022-09-05
20743445,accessibility,可近性,,2022-09-05
20743446,accessory,副的,,2022-09-05
20743447,accessory bile duct,副胆管,,2022-09-05
20743448,accessory bone,附属骨,,2022-09-05
20743449,accessory cell,辅助细胞,,2022-09-05
20743450,accessory cephalic vein,副头静脉,,2022-09-05
20743451,accessory cuboid bone,副骰骨,,2022-09-05
20743452,accessory flexor muscle,附属屈肌,,2022-09-05
20743453,accessory food substance,维生素,,2022-09-05
20743454,accessory foramen,副孔,,2022-09-05
20743455,accessory gland,副腺,,2022-09-05
20743456,accessory hemiazygos vein,副半奇静脉,,2022-09-05
20743457,accessory ligament,副韧带,,2022-09-05
20743458,accessory ligament of humerus,肱骨副韧带,,2022-09-05
20743459,accessory ligaments of digits of hand,指副韧带,,2022-09-05
20743460,accessory meningeal artery,脑膜副动脉,,2022-09-05
20743461,accessory multangular bone,副多角骨,,2022-09-05
20743462,accessory nerve,副神经,,2022-09-05
20743463,accessory nucleus,副核,,2022-09-05
20743464,accessory obturator artery,副闭孔动脉,,2022-09-05
20743465,accessory pancreatic duct,副胰管,,2022-09-05
20743466,accessory pathway,副传导路径,,2022-09-05
20743467,accessory placenta,副胎盘,,2022-09-05
20743468,accessory plexus,副丛,,2022-09-05
20743469,accessory reproductive duct,附属生殖管道,,2022-09-05
20743470,accessory reproductive gland,附属生殖腺,,2022-09-05
20743471,accessory saphenous vein,副隐静脉,,2022-09-05
20743472,accessory spleen,副脾,,2022-09-05
20743473,accessory tragus,副耳珠,,2022-09-05
20743474,accident,意外事故,,2022-09-05
20743475,accidental hemorrhage,意外出血,,2022-09-05
20743476,accidental murmur,偶发性杂音,,2022-09-05
20743477,accidental psychosis,偶发性精神病,,2022-09-05
20743478,accidental tattoo,意外性纹身,,2022-09-05
