ID,英文名稱,中文名稱,圖片,更新日期
89409,Schaumann bodies,谢氏小体（类肉瘤病之红色或棕色结节性贝壳状病灶）,,2012-11-26
89410,Schaedler flora,谢德拉微生物丛,,2012-11-26
89411,Sceloporus undulatus,条纹蜥蜴,,2012-11-26
89412,Sceloporus,蜥蜴属,,2012-11-26
89413,scarlet R,猩红,,2012-11-26
89414,scapula,肩胛,,2012-11-26
89415,scaly leg,鸟的石灰脚病,,2012-11-26
89416,scaly face,石灰脸病,,2012-11-26
89417,scala tympani,鼓阶,,2012-11-26
89418,scala media [=ductus cochlearis],蜗管,,2012-11-26
89419,scala media complex,蜗管复合体,,2012-11-26
89420,Sauromys,南非扁头蝠属,,2012-11-26
89421,Saunders' myositis,桑德氏肌炎；天竺鼠肌炎,,2012-11-26
89422,satratoxin,芝麻霉菌毒素,,2012-11-26
89423,Satellite,卫星小体,,2012-11-26
89424,sarkomycin,沙克霉素,,2012-11-26
89425,sarcosporidiosis,肌肉孢子虫症,,2012-11-26
89426,Sarcoptes scabie,疥癣虫,,2012-11-26
89427,Sarcophaga,肉蝇属,,2012-11-26
89428,sarcoma virus,肉瘤病毒,,2012-11-26
89429,sarcoma,肉瘤,,2012-11-26
89430,sarcoidlike granuloma,类肉状瘤肉芽肿,,2012-11-26
89431,sarcoid,肉状瘤,,2012-11-26
89432,Sarcocystis muris,鼠肉孢子虫,,2012-11-26
89433,Sarcocystis cuniculi,兔子肉孢子虫,,2012-11-26
89434,Sarcocystis caviae,天竺鼠肉孢子虫,,2012-11-26
89435,Sarcocystis,肉孢子虫属,,2012-11-26
89436,sarco-,与「肉」、「肌」有关之字首,,2012-11-26
89437,saprophyte,腐物寄生物,,2012-11-26
89438,saprophagous,腐食性,,2012-11-26
89439,saprolegniasis,水霉病（鱼）,,2012-11-26
89440,Saprolegnia parasitica,寄生水霉,,2012-11-26
89441,Saprolegnia ferax,水霉；水生菌,,2012-11-26
89442,sapro-,与「腐败」有关的字首,,2012-11-26
89443,saphenous vein,隐静脉,,2012-11-26
89444,sanitizing compound,卫生清洁剂,,2012-11-26
89445,sanitization,卫生清洁法,,2012-11-26
89446,sanitation,卫生,,2012-11-26
89447,sanguinous,多血的；血的,,2012-11-26
89448,Sandhoff's disease,山多夫氏病,,2012-11-26
89449,sand viper,沙蛇,,2012-11-26
89450,sand rat,沙鼠,,2012-11-26
89451,sampling,取样；采样,,2012-11-26
89452,Samoyed,撒摩耶犬,,2012-11-26
89453,Salvelinus namaycush,湖鲑,,2012-11-26
89454,Salvelinus fontinalis,溪鲑,,2012-11-26
89455,salt hypertension,食盐性高血压,,2012-11-26
89456,salt gland,盐腺（在某些鱼类的鳃里发现的细胞群）,,2012-11-26
89457,salt fractionation,盐析法,,2012-11-26
89458,salpingitis,输卵管炎；耳咽管炎,,2012-11-26
89459,salmonid,类鲑鱼,,2012-11-26
89460,salmonellosis,沙门氏杆菌症,,2012-11-26
89461,Salmonella typhisuis,猪伤寒沙氏杆菌,,2012-11-26
89462,Salmonella typhimurium,鼠伤寒沙氏杆菌,,2012-11-26
89463,Salmonella typhi [=Salmonella typhosa],伤寒沙氏杆菌,,2012-11-26
89464,salmonella test system,沙氏杆菌试验系统,,2012-11-26
89465,Salmonella pullorum,雏白痢沙氏杆菌,,2012-11-26
89466,Salmonella pestis caviae,天竺鼠疫杆菌,,2012-11-26
89467,Salmonella paratyphi C,C型副伤寒杆菌,,2012-11-26
89468,Salmonella paratyphi B,B型副伤寒杆菌,,2012-11-26
89469,Salmonella paratyphi A,A型副伤寒杆菌,,2012-11-26
89470,Salmonella oranienberg,奥连堡沙氏杆菌,,2012-11-26
89471,Salmonella newport,新港沙氏杆菌,,2012-11-26
89472,Salmonella montivideo,人胃肠炎沙氏杆菌,,2012-11-26
89473,Salmonella meleagridis,火鸡沙氏杆菌,,2012-11-26
89474,Salmonella heidelberg,海登堡沙氏杆菌,,2012-11-26
89475,Salmonella gallinarum,鸡沙氏杆菌,,2012-11-26
89476,Salmonella enteritis,肠炎沙氏杆菌,,2012-11-26
89477,Salmonella enteritidis,肠炎杆菌,,2012-11-26
89478,Salmonella enteriditis serovar typhimurium,肠炎杆菌（小鼠伤寒杆菌血清变异型）,,2012-11-26
89479,Salmonella dublin,都伯林沙氏杆菌,,2012-11-26
89480,Salmonella derby,德贝沙氏杆菌,,2012-11-26
89481,Salmonella cholerasuis,猪霍乱沙氏杆菌,,2012-11-26
89482,Salmonella bredeny,鸡副伤寒沙氏杆菌,,2012-11-26
