ID,英文名稱,中文名稱,圖片,更新日期
128787,Rhinencephaly,长鼻并脑(畸形),,2012-11-26
128788,Rhinodacryolith,鼻泪管石,,2012-11-26
128789,Rhinencephalic monster,长鼻并脑畸胎,,2012-11-26
128790,Rheumatism; St. Gervasius disease,风湿病; 风湿,,2012-11-26
128791,Rheumatism of extremities,四肢风湿,,2012-11-26
128792,Rheumatic granuloma,风湿肉芽肿,,2012-11-26
128793,Rheumatic eruption; Rheumatide,风湿疹,,2012-11-26
128794,Rheumatic diathesis,风湿素质,,2012-11-26
128795,Rheumatic callosity,风湿胼胝,,2012-11-26
128796,Rheostosis of limbs,肢骨纹样肥大,,2012-11-26
128797,Rheumatic affection,风湿病,,2012-11-26
128798,Rhachitic dwarfism; Rhachitic dwarf,佝偻病性矮小,,2012-11-26
128799,Rhabdomyomatous myxoma,横纹肌黏液瘤,,2012-11-26
128800,Rhabdomyomatous chondroma,平滑肌软骨瘤,,2012-11-26
128801,Reversionary atrophy; Undifferentiation,返朴性发育障碍; 退行发育,,2012-11-26
128802,Retrovisceral goiter,食管后甲状腺肿,,2012-11-26
128803,Retrovascular goiter,血管后甲状腺肿,,2012-11-26
128804,Retropharyngeal tumor,咽后肿瘤,,2012-11-26
128805,Retroperitoneal tumor,腹膜后肿瘤,,2012-11-26
128806,Retroperitoneal sarcoma,腹膜后肉瘤,,2017-07-20
128807,Retromaxillary fibroma,颌骨后纤维瘤,,2012-11-26
128808,Retroinfection,倒传染,,2012-11-26
128809,Retrograde carcinoma; Retrograde cancer,逆徙癌,,2012-11-26
128810,Retinopathy; Disease of retina,视网膜病,,2012-11-26
128811,Retinal spongioma; Spongy tumor of retina,视网膜海绵肿,,2012-11-26
128812,Retinal concussion; Berlin's disease,视网膜震荡; Berlin氏病,,2012-11-26
128813,Retinal coloboma; Retinal cleft,裂视网膜(畸形),,2012-11-26
128814,Retinal blastoma,视网膜胚细胞瘤,,2012-11-26
128815,Retinal chalcosis,视网膜铜屑沉着病,,2012-11-26
128816,Retinal angioma; Von Hippel's disease,视网膜血管瘤; Hippel氏病,,2012-11-26
128817,Reticulo-endothelial tumor,网状内皮瘤,,2012-11-26
128818,Reticuloendothelial sarcoma; Retothelial sarcoma,网状内皮细胞肉瘤,,2012-11-26
128819,Reticuloendothelial hyperplasy; Hyperplasia of reticuloendothelial system,网状内皮细胞增殖,,2012-11-26
128820,Reticulated cancer,网状癌,,2012-11-26
128821,Reticular sarcoma; Net-cell sarcoma,网状细胞肉瘤,,2012-11-26
128822,Retention toxicosis,积储性自体中毒,,2012-11-26
128823,Retention cyst,潴溜囊肿,,2012-11-26
128824,Respiratory type,呼吸系发达型; 呼吸型,,2012-11-26
128825,Respiratory affection,呼吸系病,,2012-11-26
128826,Resorptive tubercle,吸收性结核节,,2012-11-26
128827,Resorptive intoxication; Resorptive poisoning,吸收性中毒,,2012-11-26
128828,Resorcin poisoning; Resorcinism,树脂酚中毒,,2012-11-26
128829,Resecting fracture,切除骨折,,2012-11-26
128830,Report of gun,枪身反击伤,,2012-11-26
128831,Replacement hypertrophy,填空性肥大,,2012-11-26
128832,Replacement hyperplasia,修补性增殖,,2012-11-26
128833,Reorganization,组织再生,,2012-11-26
128834,Repair of epithelium; Cuticularization,上皮再生,,2012-11-26
128835,Renal zymosis,肾酿母病,,2012-11-26
128836,Rent; Fissure; Slit,裂隙; 裂,,2012-11-26
128837,Renal tumor; Tumor of kidney,肾肿瘤,,2012-11-26
128838,Renal tuberculosis,肾结核; 肾痨,,2012-11-26
128839,Renal syphilis,肾梅毒,,2012-11-26
128840,Renal spongioma,肾海绵肿,,2012-11-26
128841,Renal sarcoma,肾肉瘤,,2012-11-26
128842,Renal rheumatism,肾风湿,,2012-11-26
128843,Renal pigmentation,肾色素沉着,,2012-11-26
128844,Renal lithiasis,肾石病,,2012-11-26
128845,Renal injury; Injury to kidney,肾损伤,,2012-11-26
128846,Renal infantilism; Renal rickets; Pseudorickets; Renal dwarfism,肾病性幼稚型; 肾病性佝偻病,,2012-11-26
128847,Renal gravel; Minute renal calculus,肾砂,,2012-11-26
128848,Renal fibroma,肾纤维瘤,,2012-11-26
128849,Renal epithelioma,肾上皮瘤,,2012-11-26
128850,Renal endothelioma,肾内皮瘤,,2012-11-26
128851,Renal echinococcal disease; Renal echinococcosis,肾包虫病,,2012-11-26
128852,Renal dystrophy; Nephrodystrophy,肾荣养障碍,,2012-11-26
128853,Renal cyst; Cyst of kidney,肾脏囊肿,,2012-11-26
128854,Renal cancer; Cancer of kidney,肾癌; 肾癌病,,2012-11-26
128855,Renal calculus; Nephrolith; Kidney-stone,肾结石; 肾石,,2012-11-26
128856,Renal calcification,肾石灰化,,2012-11-26
128857,Renal cachexia; Nephrism,肾病性恶病质,,2012-11-26
128858,Renal blastoma,肾胚细胞瘤,,2012-11-26
128859,Renal argyria,肾银质沉著病,,2012-11-26
128860,Renal adenoma; Adenoma of kidney,肾腺瘤,,2012-11-26
128861,Renal actinomycosis,肾放线菌病,,2012-11-26
128862,Remote heredity; Atavism; Reversion,隔代遗传; 返祖性,,2012-11-26
128863,Remote cause; Secondary cause,远因,,2012-11-26
128864,Remittent malaria,弛张疟,,2012-11-26
128865,Remittent disease,弛张病,,2012-11-26
128866,Relative idiosyncrasy,相对特应性,,2012-11-26
128867,Relapsing fever; Recurrent fever; Famine fever; Hunger plague; Spirillum fever,回归热,,2012-11-26
128868,Reiter's disease,关节炎性旋转螺旋体病; Reiter氏病,,2012-11-26
128869,Regenerative pannus,再生性血管翳; 修补性血管翳,,2012-11-26
128870,Regeneration; Neoformation; Palingenesy; Renewal,再生; 新生,,2012-11-26
128871,Regeneration of nerve; Neurotization,神经再生,,2012-11-26
128872,Regeneration of cut surface,割处再生,,2012-11-26
128873,Regeneration of bone; Bone regeneration,骨再生,,2012-11-26
128874,Reflex alopecia; Jacquet's disease,反射性脱发,,2012-11-26
128875,Red trichonocardiasis,红(色)毛发土壤丝菌病,,2012-11-26
128876,Red trichomycosis,红色毛芽胞菌病,,2012-11-26
128877,Red nasal granulosis,鼻部红颗粒层增殖; 鼻红粒病,,2012-11-26
128878,Red microsporosis,红色小芽胞菌病; 寄生性红癣,,2012-11-26
128879,Red dysentery; Hematodiarrhea; Hemodiarrhea; Bloody flux,赤痢; 血痢,,2012-11-26
128880,Recurrent syphilis; Relapsing syphilis,复发性梅毒,,2012-11-26
128881,Recurrent erysiyelas; Relapsing erysipelas,后发性丹毒; 回归性丹毒,,2012-11-26
128882,Recurrent chancre; Monorecidive,再发硬下疳,,2012-11-26
128883,Rectal wound,直肠创伤,,2012-11-26
128884,Rectal tumor,直肠肿瘤,,2012-11-26
