ID,英文名稱,中文名稱,圖片,更新日期
720656,Paranoia erotica,情欲妄想狂，情欲偏狂,,2012-11-26
720657,Paranoia acuta,急性妄想狂，急性偏狂,,2012-11-26
720658,Paranoia abortiva; Abortive paranoia,顿挫性妄想狂，顿挫性偏狂,,2012-11-26
720659,Paramusia,音律不调症，歌唱倒错,,2012-11-26
720660,Paramnesia,记忆异常，记忆错误,,2012-11-26
720661,Paramimia,表情倒错，拟态不伦,,2012-11-26
720662,Paralogia; Ganser's symptom,论理倒错，当意即答，Ganser氏病征,,2012-11-26
720663,Paralipophobia,疏忽恐怖,,2012-11-26
720664,Paralgesia,痛觉倒错,,2012-11-26
720665,Parakinesis,运动倒错，动作倒错,,2012-11-26
720666,Parageusia; Parageusis,味觉倒错,,2012-11-26
720667,Paradoxia sexualis,性欲违期，非时性欲,,2012-11-26
720668,Paracusis; Paracusia; Disordered hearing,听觉错误，误听,,2012-11-26
720669,Parabulia,意志倒错,,2012-11-26
720670,Paracusis loci; Paracusia localis,方向误听,,2012-11-26
720671,Pantophobia; Universal dread; Panophobia; Panphobia,普泛性恐怖,,2012-11-26
720672,Pantomimia,全部表情,,2012-11-26
720673,Panphagia,滥食癖,,2012-11-26
720674,Oxyosphresia; Oxyosphrasia,嗅觉锐敏，锐嗅,,2012-11-26
720675,Oxyopsia; Oxyblepsia; Oxydercia; Acuteness of sight,视觉敏锐，锐视,,2012-11-26
720676,Oxygeusia,味觉锐敏，锐味,,2012-11-26
720677,Oxyaphia,触觉锐敏，锐触,,2012-11-26
720678,Oxyacusis; Oxyecoia,听觉锐敏，锐听,,2012-11-26
720679,Overconsciousness,[过]显意识，显觉，神志过显,,2012-11-26
720680,Osteophagia,食骨癖,,2012-11-26
720681,Osmedysphoria; Dysodia,嫌香觉,,2012-11-26
720682,Orientation,定向力,,2012-11-26
720683,Orgasm,极度性乐，性的极乐,,2012-11-26
720684,Orexis; Appetite; Desire for food,食欲,,2012-11-26
720685,Orchestromania,队乐癖，管弦乐癖,,2012-11-26
720686,Optical amusia; Note-blindness; Musical alexia,视觉性乐歌不能，视觉性音乐不能，乐谱盲，音乐性失读症,,2012-11-26
720687,Opposition,反抗，反对,,2012-11-26
720688,Opiomania; Opium-habit,鸦片癖，鸦片瘾,,2012-11-26
720689,Ophthalmophobia,被注视恐怖,,2012-11-26
720690,Onomatomania,称名癖,,2012-11-26
720691,Ophiophobia; Fear of snakes,蛇恐怖，恐蛇症,,2012-11-26
720692,Oniomania; Buying mania,购买癖,,2012-11-26
