ID,英文名稱,中文名稱,圖片,更新日期
588,Rickettsia quintana ; Rickettsia wolhynica,五日热病原体,,2012-11-26
834,Mucedinaceae,稻熟病菌科,,2012-11-26
970,Medium,媒介者,,2012-11-26
1125,Hot air sterilizer ; Dry heat sterilizer,干热灭菌器,,2012-11-26
1142,Heterocytolysin,异族溶细胞素；细胞自溶素,,2017-07-25
1357,Dermacentroxenus rickettsii ; Rickettsia rickettsii,落矶山热小体，美国斑疹伤寒病原体,,2012-11-26
205657,Clilium or flagellum staining,鞭毛染色,,2012-11-26
205660,Clearing reagent,透明剂,,2012-11-26
205662,Cladotricheae,分枝丝菌科,,2012-11-26
205664,Cladothrix thermophile,嗜热分枝丝菌,,2012-11-26
205667,Cladothrix odorifera,芳香分枝丝菌,,2012-11-26
205668,Cladothrix natans ; Sphaerotilus natans,游泳分枝丝菌,,2012-11-26
205671,Cladothrix dichotoma,岐分枝丝菌,,2012-11-26
205675,Cladothrix ; Sphaerotilus,分枝丝菌属,,2012-11-26
205677,Chymosmogen,凝酪酵素原,,2012-11-26
205678,Citochol reaction ; Sachs-Witebsky test,快速梅毒反应,,2012-11-26
205682,Chromophoric bacteria,著色菌，具色菌,,2012-11-26
205684,Chromogenic sarcina,产色八叠菌,,2012-11-26
205686,Chromogenic bacteria,产色菌,,2012-11-26
205688,Chromatolysis ; Axon reaction,色原溶解,,2012-11-26
205691,Chromatin,核染质,,2012-11-26
205692,Cholin,胆汁赝碱，胆素(从化),,2012-11-26
205693,Choleraplasmin,霍乱菌胞浆,,2012-11-26
205696,Cholera toxin ; Cholera poison,霍乱菌毒素,,2012-11-26
205697,Chlamydozoa,包藏小体，衣原动物,,2012-11-26
205698,Cholera red reaction,霍乱红反应,,2012-11-26
205702,Chlamydothrix ferruginea ; Gallionella ferruginea,铁锈色披毛菌,,2012-11-26
205704,Chief agglutiongen,主凝集愿,,2012-11-26
205707,Chicken cholera serum ; Fowl cholera serum,鸡霍乱血清,,2012-11-26
205708,Chemotherapy ; Chemotherapeutics,化学疗法,,2012-11-26
205710,Chemotaxis ; Chemiotaxis,趋化性,,2012-11-26
205713,Chemoceptor ; Chemoreceptor,化学品受体,,2012-11-26
205714,Central spore,中央芽胞,,2012-11-26
205717,Cellulase,纤维酵素（从化）,,2012-11-26
205719,Cell-substance,细胞质,,2012-11-26
205721,Cause of infection,传染原因,,2012-11-26
205723,Cattle plague serum ; Rinder pest serum,牛疫血清,,2012-11-26
205726,Catalase,过氧化氢酵素，触媒酵素（从化）,,2012-11-26
205727,Castellani's absorption test,解饱和试验，吸收试验,,2012-11-26
205731,Carrier of infection,带传染者,,2012-11-26
205733,Carrier of disease,带病者，病邮,,2012-11-26
205735,Carotin,胡萝卜色素(从化),,2012-11-26
205736,Carmin,胭脂红（从化），朱红,,2012-11-26
205739,Carcinolytic reaction,癌溶解反应,,2012-11-26
205741,Carboxylase,脱~44_2~酵素（从化）,,2012-11-26
205744,Carbol-fuchsin ; Zieh-Neelsen's stain,石炭酸一品红液，Ziehl氏染色液（从化）,,2012-11-26
205748,Carbohydrase,解糖酵素（碳水化物分解酵素）（从化）,,2012-11-26
205750,Capsule,荚膜,,2012-11-26
205751,Capsule staining,荚膜染色,,2012-11-26
205753,Capsulate bacteris,荚膜菌,,2012-11-26
205754,Capacity of being stained,可染性,,2012-11-26
205756,Cancer serum,治癌血清,,2012-11-26
205758,Cadaverin,尸赝碱+B698,,2012-11-26
205761,Butyrinase ; Butyrase,脂羟化酵素，酪酯酵素（从化）,,2012-11-26
205763,Brain agar,脑琼脂基,,2012-11-26
205764,Brucella melitensis ; Micrococcus melitensis ; Bacillus melitensis ; Bacterium melitense ; Maltacoccus ; Alcaligenes melitensis,地中海热多形菌，Malta热小球菌,,2012-11-26
205765,Bovovaccine,牛结核菌苗,,2012-11-26
205769,Bovine vaccine ; Vaccine-lymph ; Vaccine (狭义),牛痘苗,,2012-11-26
205771,Bovine tuberculin P，T，,牛结核菌素,,2012-11-26
205773,Botulismus antitoxin ; Botulism antitoxin,腊肠抗毒素,,2012-11-26
205776,Blood-serum gelatin,血清胶基,,2012-11-26
205777,Botulism toxin,腊肠毒素,,2012-11-26
205780,Blood-grouping investigation,血族探索，血族考证,,2012-11-26
205782,Blood-bouillon,血肉羹,,2012-11-26
205783,Blood-agar,血琼脂基,,2012-11-26
205787,Blood serum medium,血清基,,2012-11-26
205788,Blood preparation,血液标本,,2012-11-26
205791,Blood medium,血基,,2012-11-26
205793,Blastomycetes ; Saccharomyetes ; Yeast fungi,芽生菌目，酿母菌目,,2012-11-26
205796,Blastomyces dermatitdis ; Cryptococcus Gilchristi,皮炎芽生菌，Gilchrist病囊球菌,,2012-11-26
205799,Bipolar stain,两极染色,,2012-11-26
205801,Biological blood test ; Precipitin test ; Uhlenhuth's test,生物学的血种鉴别法，Uhlenhuth氏血诊断,,2012-11-26
205806,Beggiatoaceae,无芽胞杆菌属；细菌属；白硫菌属,,2017-07-25
205810,Beggiatoa alba,白硫菌,,2012-11-26
205812,Becterium dihptheriae cuniculi,家兔白喉杆菌,,2012-11-26
205814,Becterium acne contagiosae,传染性粉刺杆菌,,2012-11-26
205817,Becillus seborrhoeae,溢脂症杆菌,,2012-11-26
205818,Becillus albuminis,蛋白杆菌,,2012-11-26
205821,Bbcillus sputigenus crassus,肥生痰菌,,2012-11-26
205822,Bbcillus epidermidis,表皮杆菌,,2012-11-26
205824,Bazillus foetidus ozaenae,鼻臭杆菌,,2012-11-26
205827,Baterium pneumosintes ; Dialister pneumosintes,害肺杆菌,,2012-11-26
205830,Basidomvcetes,担子菌纲,,2012-11-26
205831,Bartonella muris,鼠Barton氏原生体,,2012-11-26
205835,Bartonella bacilliformis,杆菌形Barton氏原生体,,2012-11-26
205837,Balliux rhinoscleromatis ; Klebsiella rhinoscleromatis ; Bacterium rhinoscleromatis,鼻硬结杆菌,,2012-11-26
205839,Bacterium vermiforme,蚓状菌,,2012-11-26
205842,Bacterium variolae,痘疱菌,,2012-11-26
205844,Bacterium tularense ; Pasteurella tularensis ; Bacillus tularensis,Tulare 杆菌（Tulare地方）,,2012-11-26
205847,Bacterium tremo,振颤菌,,2012-11-26
205849,Bacterium sulfureum,硫菌,,2012-11-26
205851,Bacterium sinuosus,窦状菌,,2012-11-26
205856,Bacterium sarcophilum ; Photobacterium sarcophilum,嗜肉性发光菌,,2012-11-26
205857,Bacterium sanguinarium,血液杆菌,,2012-11-26
205859,Bacterium pyogenes anaerobicus,厌氧酿脓菌,,2012-11-26
205861,Bacterium pseudoinfluenzae,非病原假流行性感冒菌,,2012-11-26
205863,Bacterium prodigiosum ; Bacillus prodigiosus,灵杆菌,,2012-11-26
205865,Bacterium pallescens,褪色菌,,2012-11-26
