ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367051,"2,3-dimercapto-1-propanesulfonic acid",二硫醇丙磺酸,Heavy metal antagonists,113.11.22,2026-05-11
21367052,abacavir,环丙胺腺韦尔,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs),113.11.22,2026-05-11
21367053,abemaciclib,倍灭周素靶泊；哌氟苯咪唑周素靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367054,abiraterone,吡雄二烯,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367055,acalabrutinib,奥卡淋靶泊；吡胺醯胺炔淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367056,acebutolol,艾舒飙落；乙醯丁醯胺洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367057,acetazolamide,乙醯唑醯胺；乙醯噻唑磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,113.11.22,2026-05-11
21367058,aciclovir,非环疱韦尔；非环鸟疱韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367059,acrisorcin,吖啶胺-己雷琐辛；吖啶胺-己间苯二酚,Antifungals：Others,113.11.22,2026-05-11
21367060,acyclovir,非环疱韦尔；非环鸟疱韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367061,adefovir,腺膦肝韦尔,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367062,adefovir dipivoxil,腺膦肝韦尔戊酸酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),113.11.22,2026-05-11
21367063,adenosine,腺苷；腺核苷,Antiarrhythmics agents：Class IV antiarrhythmics,113.11.22,2026-05-11
21367064,aerosporin,多黏杆菌素B；多黏杆菌肽B,Antibiotics：Polypeptides,113.11.22,2026-05-11
21367065,afatinib,艾肺靶泊；邻卤胺呋肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367066,agomelatine,萘促褪黑素,Antidepressants：Others,113.11.22,2026-05-11
21367067,albendazole,泛苯咪唑；丙硫苯咪唑,<p>Antiparasitics：Anthelmintics (antihelminthics)</p>,113.11.22,2026-05-11
21367068,alectinib,艾力克肺靶泊；腈𠰌苯咔唑酮肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367069,alemtuzumab,艾敛妥拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367070,alfuzosin,艾芙挫欣；（四氢）呋醯丙二胺挫欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367071,aliskiren,艾利抑肾素；苯辛醯胺抑肾素,Antihypertensives：Renin inhibitors,113.11.22,2026-05-11
21367072,alpelisib,艾沛膦脂靶泊；氟吡噻唑咯啶膦脂靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367073,alprenolol,艾压诺落；丙烯异丙洛,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367074,alprostadil,前列酸E1；前列腺素E1,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367075,amantadine,金刚烷胺,Antivirals：Uncoating inhibitors,113.11.22,2026-05-11
21367076,ambrisentan,羧甲内皮坦,Antihypertensives：Endothelin receptor antagonists,113.11.22,2026-05-11
21367077,amikacin,胺醯康菌素；胺羟丁醯康丝菌素,Antibiotics：Aminoglycosides,113.11.22,2026-05-11
21367078,amiloride,胺氯压利,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367079,aminophylline,茶碱乙二胺盐,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367080,aminosalicylic acid,胺柳酸；胺水杨酸,Antimycobacterials,113.11.22,2026-05-11
21367081,amiodarone,胺碘苯呋酮,Antiarrhythmics agents：Class III antiarrhythmics,113.11.22,2026-05-11
21367082,amisulpride,胺砜必利；胺砜醯吡咯啶,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367083,amitriptyline,二甲思定；三环丙烯二甲胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367084,amlodipine,胺氯啶平；胺乙氯啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367085,amorolfine,戊苯丁𠰌啉,Antifungals：Allylamines,113.11.22,2026-05-11
21367086,amoxicillin,胺酚苄西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367087,"amphetamine, amfetamine",安非他命；苯异丙胺,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),113.11.22,2026-05-11
21367088,amphotericin B,节丝菌素B；节丝烯内酯,Antifungals：Polyenes,113.11.22,2026-05-11
21367089,ampicillin,胺苄西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367090,amprenavir,安沛韦尔；磺胺韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367091,amrinone,胺联吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors,113.11.22,2026-05-11
21367092,anastrozole,丁腈苄三唑；异丁腈苄三唑,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367093,anidulafungin,三联苯醯棘白霉素,Antifungals：Echinocandins,113.11.22,2026-05-11
21367094,apalutamide,艾泛卤醯胺 ；氟吡丁内醯硫脲,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367095,aprepitant,艾瑞脾坦 ；唑酮氟必坦,Antiemetics：NK1 receptor antagonist,113.11.22,2026-05-11
21367096,artemether,青蒿甲缩醛,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367097,artemisinin,青蒿素；青蒿内酯,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367098,artesunate,青蒿缩醛酯；青蒿琥珀缩醛酯,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367099,atazanavir,安泰韦尔；醯肼韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367100,atenolol,艾坦诺落；乙醯胺丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367101,atezolizumab,艾剔拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367102,atomoxetine,胺甲苯思汀；l-胺甲苯思汀,Antidepressants：Norepinephrine reuptake inhibitors (NRI),113.11.22,2026-05-11
21367103,atovaquone,氯苯萘醌,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367104,avapritinib,艾伐胃靶泊；氟吡咯三唑胃靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367105,avelumab,艾维单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367106,axitinib,揠克肾靶泊；吡烯硫醚吲唑肾靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367107,azacitidine,氮胞苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367108,Azathioprine,唑硫嘌呤,Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antineoplastic agents：Antimetabolites],113.11.22,2026-05-11
21367109,azelastine,呔𠯤氮𠰢；氯苄呔𠯤氮𠰢,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367110,azilsartan,艾济洒坦；㗁唑酮拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
