ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5448313,1-hydroxy-2-naphthoic acid,1-羟基-2-萘甲酸；昔萘酸,,102.08.13,nan,2023-01-17
5448314,"3,5-dinitroanaline urea","3,5-二硝基苯胺脲",,108.04.25,nan,2023-01-17
5448315,"3,5-dinitrobenzoyl","3,5-二硝基苯甲醯基",,108.04.25,nan,2023-01-17
5448316,3D structure,三维结构,,102.12.05,nan,2023-01-17
5448317,6-deoxyhexoses,6-去氧己糖,,106.06.13,nan,2023-01-17
5448318,7-iodo-8-hydroxyquinoline-5-sulfonic acid,碘羟基喹啉磺酸,,101.04.12,nan,2023-01-17
5448319,Abbe refractometer,阿贝折射计,,102.03.14,中华无菌制剂协会,2025-04-09
5448320,abbreviated new drug application {=ANDA},简化新药申请,,107.01.18,Remington,2023-01-17
5448321,abirasterone acetate,阿比特龙乙酸酯,,107.10.18,nan,2023-01-17
5448322,abnormality,异常,,nan,nan,2023-01-17
5448323,aborticide,堕胎药,,nan,nan,2023-01-17
5448324,abortient,堕胎药,,nan,nan,2023-01-17
5448325,abortifacient,堕胎药,,nan,nan,2023-01-17
5448326,abscess,脓肿；脓疡,,nan,nan,2023-01-17
5448327,absence seizure,意识丧失型癫痫；失神型癫痫,,nan,nan,2023-01-17
5448328,absinthium,苦艾,,103.06.19,nan,2023-01-17
5448329,absolute alcohol,无水乙醇；绝对酒精,,nan,nan,2025-04-09
5448330,absolute bioavailability,绝对生体可用率,,nan,nan,2023-01-17
5448331,absolute configuration,绝对构型,,nan,nan,2023-01-17
5448332,absolute lethal concentration,绝对致死浓度,,nan,nan,2023-01-17
5448333,absolute lethal dose,绝对致死剂量,,nan,nan,2023-01-17
5448334,absorbable surgical suture,可吸收性外科缝线,,105.08.16,nan,2023-01-17
5448335,absorbance,吸光度,,nan,nan,2023-01-17
5448336,absorbance ratio,吸光度比,,nan,nan,2023-01-17
5448337,absorbance ratio method,吸光度比测定法,,nan,nan,2023-01-17
5448338,absorbent,吸收剂,,nan,nan,2023-01-17
5448339,absorbent cotton,脱脂棉；吸附棉,,nan,nan,2023-01-17
5448340,absorber,吸收剂,,nan,nan,2023-01-17
5448341,absorption,吸收,,nan,国编馆,2023-01-17
5448342,absorption base,吸收基剂,,nan,nan,2023-01-17
5448343,absorption enhancer,吸收增进剂,,nan,nan,2023-01-17
5448344,absorption fraction,吸收分率,,nan,nan,2023-01-17
5448345,absorption of drug,药物吸收,,nan,nan,2023-01-17
5448346,abstinence,禁断,,101.12.12,国立编译馆,2023-01-17
5448347,abstinence reaction,戒断反应,,nan,nan,2023-01-17
5448348,abstinence syndrome,禁断症候群,,nan,nan,2023-01-17
5448349,abuse,滥用,,nan,nan,2023-01-17
5448350,acacia,阿拉伯胶,,101.02.09,nan,2023-01-17
5448351,acanthopanax root bark {Acanthopanacis Cortex},五加皮,,106.12.14,中医药,2023-01-17
5448352,acatalasia,过氧化氢酶缺乏症,,nan,nan,2023-01-17
5448353,accelerated stability test,安定性加速试验,,nan,nan,2023-01-17
5448354,accelerated testing,加速试验,,105.10.20,GMP,2023-01-17
5448355,accelerator,加速器,,103.11.20,GMP,2023-01-17
5448356,acceptable daily intake {=ADI},每日允许摄取量,,107.01.18,nan,2023-01-17
5448357,acceptable intake,容许摄取量,,106.11.09,ICH M7,2023-01-17
5448358,acceptable limit,容许限量,,106.11.09,ICH M7,2023-01-17
5448359,acceptance criteria,允收基准,,106.03.14,GMP,2023-01-17
5448360,acceptance sampling,允收抽样,,104.06.11,Remington,2023-01-17
5448361,acceptor,受体,,nan,nan,2023-01-17
5448362,accumulative toxicity,蓄积毒性,,nan,nan,2023-01-17
5448363,accuracy,准确性,,103.11.20,GMP,2023-01-17
5448364,acetaminophen,乙醯胺酚,,nan,nan,2025-01-10
5448365,acetate-malonate pathway,乙酸-丙二酸途径,,nan,nan,2023-01-17
5448366,acetate-mevalonate pathway,乙酸-甲基二羟戊酸途径,,nan,nan,2023-01-17
5448367,acetic acid,乙酸,,107.05.14,通则试药与溶液,2023-01-17
5448368,acetic anhydride,乙酐,,107.05.14,通则试药与溶液,2023-01-17
5448369,acetone,丙酮,,107.05.14,通则试药与溶液,2023-01-17
5448370,acetonitrile,乙腈,,107.05.14,通则试药与溶液,2023-01-17
5448371,acetyl,乙醯,,106.06.13,nan,2023-01-17
5448372,acetylcholinesterase inhibitor,乙醯胆碱酯酶抑制剂,,nan,nan,2023-01-17
5448373,achiral molecule,非手性分子,,nan,nan,2023-01-17
5448374,achyranthes root {Achyranthis Bidentatae Radix},牛膝,,103.06.19,中医药,2023-01-17
5448375,acid,酸,,nan,nan,2023-01-17
5448376,acid rebound,胃酸回弹,,102.03.14,中华无菌制剂协会,2023-01-17
5448377,acid value,酸价,,nan,nan,2023-01-17
5448378,acid-base balance,酸碱平衡,,nan,nan,2023-01-17
5448379,acidic mucopolysaccharide,酸性黏多糖,,nan,nan,2023-01-17
5448380,acidified iodoplatinate solution,酸化碘铂酸盐溶液,,nan,nan,2023-01-17
5448381,acidifiers,酸化剂,,104.06.11,Remington,2023-01-17
5448382,acidifying agent,酸化剂,,nan,nan,2023-01-17
5448383,acid-insoluble ash,酸不溶性灰分,,nan,nan,2023-01-17
5448384,acidity,酸度,,nan,nan,2023-01-17
5448385,acid-neutralizing capacity,酸中和能力,,nan,nan,2023-01-17
5448386,Acidophilus,乳酸菌属,,107.01.18,健康食品,2023-01-17
5448387,acidosis,酸中毒,,nan,nan,2023-01-17
5448388,aconite,乌头；附子,,nan,国编馆,2023-01-17
5448389,aconite root {Aconiti Lateralis Radix Praeparata},乌头；附子,,106.12.14,中医药,2023-01-17
5448390,acorus root {Acori Tatarinowii Rhizoma},石菖蒲,,103.06.19,中医药,2023-01-17
5448391,acquired immune deficiency syndrome（AIDS）,后天免疫缺乏症候群；爱滋病,,nan,nan,2025-01-10
5448392,acquired immunodeficiency syndrome {=AIDS},后天免疫不全症候群 {爱滋病},,107.01.18,Remington,2023-01-17
5448393,acridine alkaloid,吖啶生物碱,,nan,nan,2023-01-17
5448394,acrolein,丙烯醛,,102.03.14,中华无菌制剂协会,2023-01-17
5448395,acromegaly,肢端肥大症,,nan,nan,2023-01-17
5448396,actin,肌动蛋白,,nan,nan,2023-01-17
5448397,Actinomyces,放线菌属,,107.01.18,nan,2023-01-17
5448398,actinophage,放线菌噬菌体,,107.01.18,nan,2023-01-17
5448399,action,作用,,nan,国编馆,2023-01-17
5448400,action level,行动阈值,,105.10.20,GMP,2023-01-17
5448401,action limit,启动门槛,,103.11.20,GMP,2023-01-17
5448402,action potential,动作电位,,101.11.14,中华无菌制剂协会,2023-01-17
5448403,activated carbon,活性碳,,104.09.10,Remington,2023-01-17
5448404,activated charcoal,活性碳,,104.09.10,Remington,2023-01-17
5448405,activation,活化,,nan,nan,2023-01-17
5448406,activation energy,活化能,,nan,nan,2023-01-17
5448407,activator,活化剂,,nan,nan,2023-01-17
5448408,active center,活性中心,,nan,nan,2023-01-17
5448409,active ingredient,活性成分,,nan,nan,2023-01-17
5448410,active pharmaceutical ingredients {=API},原料药,,107.01.18,nan,2023-01-17
5448411,active principle,有效成分；活性成分,,nan,nan,2023-01-17
5448412,active site,活性部位,,nan,nan,2023-01-17
5448413,active substance,活性物质,,nan,nan,2023-01-17
5448414,active substance gas,气体原料药,,103.11.20,GMP,2023-01-17
5448415,active transport,主动运输,,103.01.16,中华无菌制剂协会,2023-01-17
5448416,activity,活性,,nan,nan,2023-01-17
5448417,activity coefficient,活性系数,,104.06.11,Remington,2023-01-17
5448418,actuators,致动器,,104.06.11,Remington,2023-01-17
5448419,acupuncture,针灸,,104.06.11,Remington,2023-01-17
5448420,acute toxicity,急性毒性,,nan,nan,2023-01-17
5448421,acute toxicity classification,急性毒性分类,,nan,nan,2023-01-17
5448422,added qualifications process,附加验证过程,,104.06.11,Remington,2023-01-17
5448423,addiction,成瘾,,nan,nan,2023-01-17
5448424,Addison's disease,爱迪生氏病,,107.01.18,nan,2023-01-17
5448425,addition,加成,,nan,nan,2023-01-17
5448426,additive,添加物,,nan,nan,2023-01-17
5448427,additivity,加成性,,nan,nan,2023-01-17
