ID,英文名稱,中文名稱,圖片,更新日期
63364,pterion,翼穴,,2012-11-26
63365,PTERIOMORPHA,翼形亚纲,,2012-11-26
63366,PTERIOIDEA,莺蛤超科,,2012-11-26
63367,PTERIOIDA,莺蛤目,,2012-11-26
63368,pterins,翅色素,,2012-11-26
63369,PTERIINA,莺蛤亚目,,2012-11-26
63370,PTERIIDAE,莺蛤科,,2012-11-26
63371,pteridine,翅黄素,,2012-11-26
63372,Pterelotris evides ,黑鱼鳍塘鳢；瑰丽塘鳢,,2012-11-26
67624,PTERASPIDOMORPHI,鳍甲形纲,,2012-11-26
67625,PTERASPIDIMORPHA,鳍甲鱼总目,,2012-11-26
67626,PTERASPIDIFORMES,鳍甲鱼目,,2012-11-26
67627,PTERASPIDAE,鳍甲鱼科,,2012-11-26
67628,PTERASPIDA; HETEROSTRACI,异甲目,,2012-11-26
67629,Pteranodon ,羽齿龙（属）,,2012-11-26
67630,Pteragogus flagellifera ,曳丝鹦鲷,,2012-11-26
67632,PSYLLIDAE,木虱科,,2012-11-26
67633,psychrophil bacteria,嗜冷性细菌；嗜冷菌,,2012-11-26
67634,PSYCHROLUTIDAE,隐棘杜父鱼科,,2012-11-26
67635,psychozoic era; anthrozoic era,灵生代；人类世代,,2012-11-26
67636,psychosis,精神病；心理变态,,2012-11-26
67637,PSYCHOPSIDAE,圆翅蜻蛉科,,2012-11-26
67638,psychophysiology,心理生理学,,2012-11-26
67639,PSYCHOMYIIDAE,管石蚕科,,2012-11-26
67640,psychology,心理学,,2012-11-26
67641,psychogenic water drinking,心因性饮水,,2012-11-26
67642,psychoendocrinology,精神内分泌学,,2012-11-26
67643,PSYCHODIDAE,蝶蝇科,,2012-11-26
67644,psychic secretion,心理性分泌,,2012-11-26
67645,psychic reflex,心理反射,,2012-11-26
67646,psychic,精神的；心理的,,2012-11-26
67647,psychiatry,精神病学,,2012-11-26
67648,psychiatric disorder,精神异常,,2012-11-26
67649,psychedelic drugs,迷幻药,,2012-11-26
67650,psyche,精神；灵魂,,2012-11-26
67651,PSTTACIDAE,鹦鹉科,,2012-11-26
67652,psorosperms,孢子虫静止期,,2012-11-26
67653,psoriasis,牛皮癣,,2012-11-26
67654,PSOPHIIDAE,喇叭鸟科,,2012-11-26
67655,PSOCOPTERA,啮虫目,,2012-11-26
67656,PSOCIDAE,茶蛀虫科,,2012-11-26
67657,psoas tubercle; tuberculum psoadicum,腰结,,2012-11-26
67658,psoas minor,腰小肌,,2012-11-26
67659,psoas major,腰大肌,,2012-11-26
67660,psoas muscle,腰肌,,2012-11-26
67661,Psittacula krameri scho ,模里西斯环颈鹦鹉,,2012-11-26
67662,Psittacula krameri borealis ,红领绿鹦鹉,,2012-11-26
67663,PSITTACOTHERIUM,钮齿目,,2012-11-26
67664,psittacosis; parrot fever,鹦鹉热,,2012-11-26
67665,Psittacosaurus ,鹦鹉龙（属）,,2012-11-26
67666,PSITTACIFORMES,鹦形目,,2012-11-26
67667,p-site,肱基位置；P-位点,,2012-11-26
67668,PSILORHYNCHIDAE,裸吻鱼科,,2012-11-26
67669,Psilocephalus barbatus ,须鲀,,2012-11-26
67670,pseudozoaea; erichthus ,假水蚤期,,2012-11-26
67671,Pseudoxendon stejnegeri stejnegeri ; Mountain Keelback; Stejneger's Bamboo Snake,史丹吉氏斜鳞蛇,,2012-11-26
67672,Pseudoxenodon macropus stejnegeri ,斯丹吉氏斜鳞蛇,,2012-11-26
67673,Pseudoxenodon macropus sauteri ,梭德氏斜鳞蛇,,2012-11-26
67674,PSEUDOTRICHONOTIDAE,拟毛背鱼科,,2012-11-26
67675,Pseudotriakis acrales ,哑巴鲛；小齿拟皱唇鲨,,2012-11-26
67676,pseudotrachea,假气管；唇瓣环沟,,2012-11-26
67677,pseudothyroid gland,假甲状腺,,2012-11-26
67678,PSEUDOSUCHIA,拟鳄亚目,,2012-11-26
67679,pseudostratified epithelium,拟复层皮膜,,2012-11-26
67680,pseudostratified columnar ciliated epithelium,拟复层柱状纤毛皮膜,,2012-11-26
67681,pseudostratified,假横纹,,2012-11-26
67682,PSEUDOSCORPIONIDA,拟蝎目,,2012-11-26
67683,pseudoscolex,拟头节,,2012-11-26
67684,pseudoscience,伪科学,,2012-11-26
67685,Pseudosciaena polyactis ,小黄鱼,,2012-11-26
67686,Pseudosciaena crocea ,大黄鱼,,2012-11-26
67687,Pseudoryx nghetinhensis ,臧羚,,2012-11-26
67688,Pseudorhombus pentophthalmus ,五目扁鱼；五眼斑鲆,,2012-11-26
67689,Pseudorhombus oligodon ,贫齿扁鱼；少眼斑鲆,,2012-11-26
67690,Pseudorhombus cinnamomeus ,桂皮扁鱼；柠檬斑鲆,,2012-11-26
67691,Pseudorhombus arsius ,大齿扁鱼；大齿斑鲆,,2012-11-26
67692,Pseudorca crassidens ,伪虎鲸,,2012-11-26
67693,Pseudorasbora parva ,罗汉鱼,,2012-11-26
67694,pseudopupa,拟蛹,,2012-11-26
67695,pseudopuberty,假青春期,,2012-11-26
67696,pseudopregnancy,虚孕；假妊娠,,2020-03-09
67697,pseudopodium (pl.pseudopodia),伪足,,2012-11-26
67698,pseudoplasmodium,假变形体,,2012-11-26
67699,PSEUDOPHYLLIDEA,拟叶目,,2012-11-26
67700,PSEUDOPETALICHTHYIFORMES,假瓣甲鱼目,,2012-11-26
67701,PSEUDOPETALICHTHYIDA,假瓣甲鱼目,,2012-11-26
67702,Pseudomys praeconis ,澳洲拟水鼠,,2012-11-26
67703,Pseudomys albocinereus ,澳洲伪鼠,,2012-11-26
67704,Pseudomys ,澳洲伪鼠（属）,,2012-11-26
67705,pseudomucinous dystadenoma,拟黏液性囊腺肿,,2012-11-26
67706,Pseudomonas ,假单胞菌（属）,,2012-11-26
67707,pseudomixis,假融合,,2012-11-26
67708,pseudometaplasia,假转变；假化生,,2012-11-26
67709,pseudomelanosis,假性黑变病,,2012-11-26
67710,Pseudolabrus japonicus ,日本拟鹦鲷,,2012-11-26
67711,Pseudolabrus gracilis ,细鳞拟鹦鲷；细拟隆头鱼,,2012-11-26
67712,pseudokeratin,拟角蛋白,,2012-11-26
67713,Pseudois  nayaur ,蓝羊,,2012-11-26
67714,Pseudois ,蓝羊（属）,,2012-11-26
67715,pseudohypoparathyroitism,假副甲状腺低能症,,2012-11-26
67716,pseudohypertrophy,假肥大,,2012-11-26
67717,pseudohypertrichosis,假多毛性,,2012-11-26
67718,pseudohypermetabola,拟复变态类,,2012-11-26
67719,pseudohermophrodite,假两性体；假性雌雄同体,,2012-11-26
67720,pseudohaltere,伪平衡棍,,2012-11-26
67721,pseudogyna,假雌虫,,2012-11-26
67722,Pseudogramma polyacantha ,多棘拟线鲈,,2012-11-26
