ID,英文名稱,中文名稱,圖片,原子序,符號,音,讀,更新日期
530778,hydrogen,氢,,1,H,ㄑㄧㄥ,轻,2023-01-17
530779,helium,氦,,2,He,ㄏㄞˋ,亥,2023-01-17
530780,lithium,锂,,3,Li,ㄌㄧˇ,里,2023-01-17
530781,beryllium,铍,,4,Be,ㄆㄧˊ,皮,2023-01-17
530782,boron,硼,,5,B,ㄆㄥˊ,朋,2023-01-17
530783,carbon,碳,,6,C,ㄊㄢˋ,炭,2023-01-17
530784,nitrogen,氮,,7,N,ㄉㄢˋ,淡,2023-01-17
530785,oxygen,氧,,8,O,ㄧㄤˇ ,养,2023-01-17
530786,fluorine,氟,,9,F,ㄈㄨˊ ,弗,2023-01-17
530787,neon,氖,,10,Ne,ㄋㄞˇ,乃,2023-01-17
530788,sodium,钠,,11,Na ,ㄋㄚˋ,纳,2023-01-17
530789,magnesium,镁,,12,Mg,ㄇㄟˇ,美,2023-01-17
530790,aluminium; aluminum*,铝,,13,Al ,ㄌㄩˇ,吕,2023-01-17
530791,silicon,矽,,14,Si,ㄒㄧˋ,夕,2023-01-17
530792,phosphorus,磷,,15,P,ㄌㄧㄣˊ ,邻,2023-01-17
530793,sulfur,硫,,16,S,ㄌㄧㄡˊ,流,2023-01-17
530794,chlorine,氯,,17,Cl,ㄌㄩˋ ,绿,2023-01-17
530795,argon,氩,,18,Ar,ㄧㄚˇ,亚,2023-01-17
530796,potassium,钾,,19,K,ㄐㄧㄚˇ,甲,2023-01-17
530797,calcium,钙,,20,Ca,ㄍㄞˋ ,丐,2023-01-17
530798,scandium,钪,,21,Sc,ㄎㄤˋ ,亢,2023-01-17
530799,titanium,钛,,22,Ti,ㄊㄞˋ ,太,2023-01-17
530800,vanadium,钒,,23,V,ㄈㄢˊ ,凡,2023-01-17
530801,chromium,铬,,24,Cr,ㄍㄜˋ ,各,2023-01-17
530802,manganese,锰,,25,Mn,ㄇㄥˇ,猛,2023-01-17
530803,iron,铁,,26,Fe,ㄊㄧㄝˇ ,帖,2023-01-17
530804,cobalt,钴,,27,Co,ㄍㄨ,姑,2023-01-17
530805,nickel,镍,,28,Ni,ㄋㄧㄝˋ,臬,2023-01-17
530806,copper,铜,,29,Cu,ㄊㄨㄥˊ ,同,2023-01-17
530807,zinc,锌 ,,30,Zn,ㄒㄧㄣ,辛,2023-01-17
530808,gallium,镓,,31,Ga,ㄐㄧㄚ,家,2023-01-17
530809,germanium,锗,,32,Ge,ㄓㄜˇ ,者,2023-01-17
530810,arsenic,砷,,33,As,ㄕㄣ,申,2023-01-17
530811,selenium,硒,,34,Se,ㄒㄧ,西,2023-01-17
530812,bromine,溴,,35,Br,ㄒㄧㄡˋ,嗅,2023-01-17
530813,krypton,氪,,36,Kr,ㄎㄜˋ ,克,2023-01-17
530814,rubidium,铷,,37,Rb,ㄖㄨˊ,如,2023-01-17
530815,strontium,锶,,38,Sr,ㄙ,思,2023-01-17
530816,yttrium,钇,,39,Y,ㄧˇ,乙,2023-01-17
530817,zirconium,锆,,40,Zr,ㄍㄠˋ,告,2023-01-17
530818,niobium,铌,,41,Nb,ㄋㄧˊ,尼,2023-01-17
530819,molybdenum; molybdenium*,钼,,42,Mo,ㄇㄨˋ,目,2023-01-17
530820,technetium; technium*,𨱏,,43,Tc,ㄊㄚˇ ,塔,2023-01-17
530821,ruthenium,钌,,44,Ru,ㄌㄧㄠˇ,了,2023-01-17
530822,rhodium,铑,,45,Rh,ㄌㄠˇ,老,2023-01-17
530823,palladium,钯,,46,Pd,ㄅㄚ ,巴,2023-01-17
530824,silver,银,,47,Ag,ㄧㄣˊ ,吟,2023-01-17
530825,cadmium,镉,,48,Cd,ㄍㄜˊ,隔,2023-01-17
530826,indium,铟,,49,In,ㄧㄣ,因,2023-01-17
530827,tin,锡,,50,Sn,ㄒㄧˊ,席,2023-01-17
530828,antimony,锑,,51,Sb,ㄊㄧˋ,替,2023-01-17
530829,tellurium,碲,,52,Te,ㄉㄧˋ,帝,2023-01-17
530830,iodine,碘,,53,I,ㄉㄧㄢˇ,典,2023-01-17
530831,xenon,氙,,54,Xe,ㄒㄧㄢ,仙,2023-01-17
530832,caesium; cesium* ,铯,,55,Cs,ㄙㄜˋ,色,2023-01-17
530833,barium,钡,,56,Ba,ㄅㄟˋ,贝,2023-01-17
530834,lanthanum,镧,,57,La,ㄌㄢˊ,兰,2023-01-17
530835,cerium,铈,,58,Ce,ㄕˋ,市,2023-01-17
530836,praseodymium,镨,,59,Pr,ㄆㄨˇ,普,2023-01-17
530837,neodymium,钕,,60,Nd,ㄋㄩˇ,女,2023-01-17
530838,promethium,钷,,61,Pm,ㄆㄛˇ,叵,2023-01-17
530839,samarium,钐,,62,Sm,ㄕㄢ,杉,2023-01-17
530840,europium,铕,,63,Eu,ㄧㄡˇ,有,2023-01-17
530841,gadolinium,钆,,64,Gd,ㄍㄚˊ,轧,2023-01-17
530842,terbium,铽,,65,Tb,ㄊㄜˋ,特,2023-01-17
530843,dysprosium,镝,,66,Dy,ㄉㄧ,滴,2023-01-17
530844,holmium,钬,,67,Ho,ㄏㄨㄛˇ,火,2023-01-17
530845,erbium,铒,,68,Er,ㄦˇ,耳,2023-01-17
530846,thulium,铥,,69,Tm,ㄉㄧㄡ,丢,2023-01-17
530847,ytterbium,镱,,70,Yb,ㄧˋ,意,2023-01-17
530848,lutetium,镏,,71,Lu,ㄌㄧㄡˊ,留,2023-01-17
530849,hafnium,铪,,72,Hf,ㄏㄚ,哈,2023-01-17
