ID,英文名稱,中文名稱,圖片,部首,音,讀,更新日期
3354108,,【口山】,,口部,ㄕㄢ,山,2023-01-17
3354109,,【口久】,,口部,ㄐㄧㄡˇ,久,2023-01-17
3354110,,吖,,口部,ㄧㄚ,鸦,2023-01-17
3354111,,【口巾】,,口部,ㄐㄧㄣ,巾,2023-01-17
3354112,,吲,,口部,ㄧㄣˇ,引,2023-01-17
3354113,,【口元】,,口部,ㄨㄢˊ,玩,2023-01-17
3354114,,呃,,口部,ㄜˋ,厄,2023-01-17
3354115,,吩,,口部,ㄈㄣ,分,2023-01-17
3354116,,呋,,口部,ㄈㄨ,夫,2023-01-17
3354117,,【口井】,,口部,ㄐㄧㄥˇ,井,2023-01-17
3354118,,吡,,口部,ㄅㄧˇ,比,2023-01-17
3354119,,呔,,口部,ㄊㄞˋ,太,2023-01-17
3354120,,呠,,口部,ㄅㄣˇ,本,2023-01-17
3354121,,呸,,口部,ㄆㄟ,胚,2023-01-17
3354122,,呱,,口部,ㄍㄨㄚ,瓜,2023-01-17
3354123,,【口末】,,口部,ㄇㄛˋ,末,2023-01-17
3354124,,咔,,口部,ㄎㄚˇ,卡,2023-01-17
3354125,,呾,,口部,ㄉㄢˋ,旦,2023-01-17
3354126,,呤,,口部,ㄌㄧㄥˊ,铃,2023-01-17
3354127,,咹,,口部,ㄢ,安,2023-01-17
3354128,,【口叵】,,口部,ㄆㄛˇ,剖,2023-01-17
3354129,,哚,,口部,ㄉㄨㄛˇ,朵,2023-01-17
3354130,,咯,,口部,ㄌㄨㄛˋ,洛,2023-01-17
3354131,,哌,,口部,ㄆㄞˋ　,派,2023-01-17
3354132,,哢,,口部,ㄋㄨㄥˋ,弄,2023-01-17
3354133,,唑,,口部,ㄗㄨㄛˋ,坐,2023-01-17
3354134,,啶,,口部,ㄉㄧㄥˋ,定,2023-01-17
3354135,,唍,,口部,ㄨㄢˊ,完,2023-01-17
3354136,,呯,,口部,ㄆㄧㄥˊ,平,2023-01-17
3354137,,【口半】,,口部,ㄅㄢˋ,半,2023-01-17
3354138,,咁,,口部,ㄍㄢ,甘,2023-01-17
3354139,,喏,,口部,ㄋㄨㄛˋ,诺,2023-01-17
3354140,,【口辛】,,口部,ㄒㄧㄣ,辛,2023-01-17
3354141,,【口克】,,口部,ㄎㄜˋ,克,2023-01-17
3354142,,【口昆】,,口部,ㄎㄨㄣ,昆,2023-01-17
3354143,,【口奈】,,口部,ㄋㄞˋ,奈,2023-01-17
3354144,,唏,,口部,ㄒㄧ,希,2023-01-17
3354145,,啉,,口部,ㄌㄧㄣˊ,林,2023-01-17
3354146,,【口咢】,,口部,ㄜˋ,咢,2023-01-17
3354147,,【口星】,,口部,ㄒㄧㄥ,星,2023-01-17
3354148,,【口柬】,,口部,ㄌㄧㄢˋ,练,2023-01-17
3354149,,喹,,口部,ㄎㄨㄟˊ,奎,2023-01-17
3354150,,嗒,,口部,ㄉㄚ,搭,2023-01-17
3354151,,嗏,,口部,ㄔㄚˊ,茶,2023-01-17
3354152,,嘧,,口部,ㄇㄧˋ,密,2023-01-17
3354153,,嗪,,口部,ㄑㄧㄣˊ,秦,2023-01-17
3354154,,噙,,口部,ㄑㄧㄣˊ,禽,2023-01-17
3354155,,啿,,口部,ㄎㄢ,堪,2023-01-17
3354156,,嘌,,口部,ㄆㄧㄠ,飘,2023-01-17
3354157,,噻,,口部,ㄙㄞˋ,赛,2023-01-17
3354158,,咛,,口部,ㄋㄧㄥˊ,宁,2023-01-17
3354159,,坝,,土部,ㄅㄟˋ,贝,2023-01-17
3354160,,炔,,火部,ㄑㄩㄝ,缺,2023-01-17
3354161,,烷,,火部,ㄨㄢˊ,完,2023-01-17
3354162,,烯,,火部,ㄒㄧ,希,2023-01-17
3354163,,烃,,火部,ㄊㄧㄥ,听,2023-01-17
3354164,,肟,,月部,ㄨ,污,2023-01-17
3354165,,【月必】,,月部,ㄅㄧˋ,必,2023-01-17
3354166,,肼,,月部,ㄐㄧㄥˇ,井,2023-01-17
3354167,,肽,,月部,ㄊㄞˋ,太,2023-01-17
3354168,,胂,,月部,ㄕㄣ,申,2023-01-17
3354169,,胜,,月部,ㄕㄥ,生,2023-01-17
3354170,,胍,,月部,ㄍㄨㄚ,瓜,2023-01-17
3354171,,脒,,月部,ㄇㄧˇ,米,2023-01-17
3354172,,胩,,月部,ㄎㄚˇ,卡,2023-01-17
3354173,,胺,,月部,ㄢ,安,2023-01-17
3354174,,胲,,月部,ㄏㄞˋ,亥,2023-01-17
3354175,,脎,,月部,ㄕㄚ,杀,2023-01-17
3354176,,【月弟】,,月部,ㄊㄧˋ,悌,2023-01-17
3354177,,脲,,月部,ㄋㄧㄠˋ,尿,2023-01-17
3354178,,腈,,月部,ㄑㄧㄥ,青,2023-01-17
3354179,,腙,,月部,ㄗㄨㄥ,宗,2023-01-17
3354180,,【月+潜(之右)】,,月部,ㄑㄧㄢˊ,潜,2023-01-17
3354181,,膦,,月部,ㄌㄧㄣˊ,磷,2023-01-17
3354182,,氰,,气部,ㄑㄧㄥ,青,2023-01-17
3354183,,砜,,石部,ㄈㄥ,风,2023-01-17
3354184,,甾,,田部,ㄗ,玆,2023-01-17
3354185,,苄,,艸部,ㄅㄧㄢˋ,卞,2023-01-17
3354186,,【艹久】,,艸部,ㄐㄧㄡˇ,久,2023-01-17
3354187,,【艹卡】,,艸部,ㄎㄚˇ,卡,2023-01-17
3354188,,苉,,艸部,ㄆㄧ,匹,2023-01-17
3354189,,芘,,艸部,ㄅㄧˇ,比,2023-01-17
3354190,,苊,,艸部,ㄜˋ,厄,2023-01-17
3354191,,苯,,艸部,ㄅㄣˇ,本,2023-01-17
3354192,,苨,,艸部,ㄋㄧˊ,尼,2023-01-17
3354193,,茀,,艸部,ㄈㄨˊ,弗,2023-01-17
3354194,,茬,,艸部,ㄗㄞˋ,在,2023-01-17
3354195,,苝,,艸部,ㄅㄟˇ,北,2023-01-17
3354196,,茚,,艸部,ㄧㄣˋ,印,2023-01-17
3354197,,【艹申】,,艸部,ㄕㄣ,申,2023-01-17
3354198,,芪,,艸部,ㄕˋ,氏,2023-01-17
3354199,,茋,,艸部,ㄉㄧˇ,底,2023-01-17
3354200,,苷,,艸部,ㄍㄢ,甘,2023-01-17
3354201,,【艹叨】,,艸部,ㄉㄠ,叨,2023-01-17
