ID,英文名稱,中文名稱,圖片,更新日期
80942,nonlinear optical crystal,非线性光学晶体,,2023-01-17
181177,uncontrollable factor,不可控因素,,2023-01-17
181178,unconformability; unconformity,非整合性,,2023-01-17
181179,uncompetitive inhibition,非竞争型抑制,,2023-01-17
181180,unconditional transfer,无条件转移,,2023-01-17
181181,uncompensated heat,非补偿热,,2023-01-17
181182,uncoated lens,无镀膜透镜,,2023-01-17
181183,unclean bomb,脏弹,,2023-01-17
181184,uncoated laser,无镀膜雷射,,2023-01-17
181185,uncharged carrier electrode,未荷电载体电极,,2023-01-17
181186,uncharged carrier,未荷电载体,,2023-01-17
181187,uncharged acid,未荷电酸,,2023-01-17
181188,uncertainty relation,测不准关系,,2023-01-17
181189,uncertainty principle,测不准原理,,2023-01-17
181190,uncertainty,不确定度；不准度,,2023-01-17
181191,uncertain systematic error,未定系统误差,,2023-01-17
181192,unbound water,非结合水,,2023-01-17
181193,unburned brick,不烧砖,,2023-01-17
181194,unbleached pulp,未漂白纸浆,,2023-01-17
181195,unbiased test,无偏检验,,2023-01-17
181196,unbiased statistics,无偏统计,,2023-01-17
181197,unbiased sample,无偏样本,,2023-01-17
181198,unbiased estimator,无偏估计值；无偏估计量,,2023-01-17
181199,unbiased estimate of population variance,均方；总体变异无偏估计,,2023-01-17
181200,unbiased,无偏性,,2023-01-17
181201,unattackable electrode,不可侵害电极,,2023-01-17
181202,unactivated state,未活化态,,2023-01-17
181203,umpolung,极性逆转；极性反转,,2023-01-17
181204,umpire analysis,仲裁分析,,2023-01-17
181205,U-mode ,U型,,2023-01-17
181206,umbelliferone,繖[形]酮,,2023-01-17
181207,ultraviolet-visible-photoacoustic spectrometer {= UV-vis-PAS},紫外-可见光-光声光谱仪,,2023-01-17
181208,ultraviolet-visible spectrophotometer,紫外-可见光分光光度计,,2023-01-17
181209,ultraviolet-visible effluent monitor,紫外-可见光流出物监测器,,2023-01-17
181210,ultraviolet-visible detector,紫外-可见光侦检器,,2023-01-17
181211,ultraviolet-visible colorimeter monitor,紫外-可见光比色监控器,,2023-01-17
181212,ultraviolet spectrum,紫外光谱,,2023-01-17
181213,ultraviolet spectroscopy,紫外光谱学；紫外光谱法,,2023-01-17
181214,ultraviolet spectrophotometry,紫外线光谱测定法,,2023-01-17
181215,ultraviolet spectrometry,紫外光谱法,,2023-01-17
181216,ultraviolet spectrometer,紫外光谱仪,,2023-01-17
181217,ultraviolet spectrograph,紫外线摄谱仪,,2023-01-17
181218,ultraviolet spectrogram,紫外光谱图,,2023-01-17
181219,ultraviolet region,紫外[光]区,,2023-01-17
181220,ultraviolet sensitive paper,紫外[光]感光纸,,2023-01-17
181221,ultraviolet ray transmitting glass,紫外线透光玻璃,,2023-01-17
181222,ultraviolet ray microscope,紫外线显微镜,,2023-01-17
181223,ultraviolet ray intercepting glass,紫外[线]吸收玻璃；防紫外线玻璃,,2023-01-17
181224,ultraviolet ray filter,紫外线滤光片,,2023-01-17
181225,ultraviolet ray absorbing glass,紫外线吸光玻璃  ,,2023-01-17
181226,ultraviolet radiation,紫外线辐射,,2023-01-17
181227,ultraviolet plate,紫外感光板,,2023-01-17
