ID,英文名稱,中文名稱,圖片,更新日期
273208,zygacine,棋盘花生碱,207.0,2012-11-26
273209,yohimbine,育亨宾[碱],211.0,2012-11-26
273210,xanthoplanine,竹叶椒碱,214.0,2012-11-26
273211,xanthaline,鸭片黄碱,216.0,2012-11-26
273212,wilfordine,雷公藤碱,218.0,2012-11-26
273213,vomicine,番木虌次碱,221.0,2012-11-26
273214,vittatine,条纹碱,222.0,2012-11-26
273215,viridiflorine,绿花倒提壶碱,224.0,2012-11-26
273216,vindolinine,长春尼宁；文采尼宁碱,227.0,2012-11-26
273217,vindoline,长春多宁；文朵灵碱,229.0,2012-11-26
273218,vincristine,长春新碱,231.0,2012-11-26
273219,vincoline,长春考灵；文考灵碱,234.0,2012-11-26
273220,vinblastine,长春碱,236.0,2012-11-26
273221,venoterpine,喜树次碱,238.0,2012-11-26
273222,vellosimine,维洛斯明碱,240.0,2012-11-26
273223,vasicolinone,鸭嘴花考林酮碱,244.0,2012-11-26
273224,valerine,缬草碱,246.0,2012-11-26
273225,ushinsunine,黄心树宁碱,248.0,2012-11-26
273226,usaramine,光萼猪屎豆碱,250.0,2012-11-26
273227,tylocrebrine,娃儿藤碱,252.0,2012-11-26
273228,tuduranine,土藤碱,254.0,2012-11-26
273229,tuberostemonine,对叶百部碱,256.0,2012-11-26
273230,tropine,托品碱,258.0,2012-11-26
273231,trilobine,木防己碱,260.0,2012-11-26
273232,trigonelline,葫芦巴碱,262.0,2012-11-26
273233,trichodesmine,毛束草碱,264.0,2012-11-26
273234,triacanthin,三刺皂荚碱,265.0,2012-11-26
273235,tomatine,番茄碱,268.0,2012-11-26
273236,thermopsine,黄华碱,273.0,2012-11-26
273237,theophylline,茶碱,274.0,2012-11-26
273238,theobromine,可可豆碱,277.0,2012-11-26
273239,thebaine,蒂巴因[碱],279.0,2012-11-26
273240,thalidezine,芬式唐松草[真]碱,282.0,2012-11-26
273241,thalictricine,黄唐松草生碱；黄唐松草星碱,284.0,2012-11-26
273242,thalicsimidine,箭头唐松草米定碱,286.0,2012-11-26
273243,thalicmine,小唐松草碱,287.0,2012-11-26
273244,thalicberine,唐松草檗碱,288.0,2012-11-26
273245,thalfoetidine,香唐松草碱,290.0,2012-11-26
273246,thalcimine,箭头唐松草碱,291.0,2012-11-26
273247,tetrodotoxin,河豚毒素,293.0,2012-11-26
273248,tetrandrine,汉防己碱；粉防己碱,295.0,2012-11-26
273249,terminaline,粉蕊黄杨醇碱,296.0,2012-11-26
273250,tazettine,多花水仙碱,298.0,2012-11-26
273251,taxol,紫杉醇,300.0,2012-11-26
273252,takatonine,高唐碱,303.0,2012-11-26
273253,tabersonine,水甘草碱；它波宁,305.0,2012-11-26
273254,stylopine,人血草碱,306.0,2012-11-26
273255,strychnine,番木虌碱,307.0,2012-11-26
273256,steponine,异千金藤碱,308.0,2012-11-26
273257,stepholidine,光千金藤定碱,309.0,2012-11-26
273258,stepharine,光千金藤碱,311.0,2012-11-26
273259,stephanine,千金藤碱,313.0,2012-11-26
273260,ste(i)nine,百步次碱,320.0,2012-11-26
273261,stemoine,百部碱,321.0,2012-11-26
273262,stebisimine,千金藤比斯碱,322.0,2012-11-26
273263,stachydrine,水苏碱,323.0,2012-11-26
273264,spiropachysine,螺粉蕊黄杨碱,324.0,2012-11-26
273265,spiradine A,绣线菊碱A,327.0,2012-11-26
273266,sparteine,鹰爪豆碱,328.0,2012-11-26
273267,sophoridine,槐定碱,330.0,2012-11-26
273268,sophoramine,槐胺碱,333.0,2012-11-26
273269,sophocarpine,槐根碱,335.0,2012-11-26
273270,songorine,准葛尔乌头碱,337.0,2012-11-26
273271,solasurine,刺茄碱,339.0,2012-11-26
273272,solasonine,澳洲茄碱,341.0,2012-11-26
273273,solanocapsine,毛叶冬珊瑚碱,343.0,2012-11-26
273274,solanine,龙葵碱；茄碱,346.0,2012-11-26
273275,α-solamarine,α-苦茄碱,347.0,2012-11-26
273276,solamargine,澳洲茄边碱,348.0,2012-11-26
273277,soladulcidine,蜀羊泉次碱,349.0,2012-11-26
