ID,英文名稱,中文名稱,圖片,化學式,更新日期
334697,sodium diethyl dithiocarbamate,二乙二硫胺甲酸钠,,(C<Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub><Font>NCS</Font><Sub>2</Sub><Font>Na</Font>,2023-01-17
334698,"sodium 2,4-dichloro-phenoxyacetate","2,4-二氯苯氧乙酸钠",,Cl<Sub>2</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>OCH</Font><Sub>2</Sub><Font>COONa</Font>,2023-01-17
334699,sodium cyclohexylsulfamate,环己胺磺酸钠,,C<Sub>6</Sub><Font>H</Font><Sub>11</Sub><Font>NHSO</Font><Sub>3</Sub><Font>Na</Font>,2023-01-17
334700,"sodium citrazinate; sodium 2,6-dihydroxy-isonicotinate","西吖酸钠；2,6-二羟异烟碱酸钠",,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>NO</Font><Sub>4</Sub><Font>Na</Font>,2023-01-17
334701,sodium cinnamate,桂皮酸钠；肉桂酸钠,,<p>NaC<sub>9</sub>H<sub>7</sub>O<sub>2</sub></p>,2023-01-17
334702,sodium citrate,柠檬酸钠,,Na<Sub>3</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub>,2023-01-17
334703,sodium chloroacetate,氯乙酸钠,,ClCH<Sub>2</Sub><Font>COONa</Font>,2023-01-17
334704,sodium catechol acetate,儿茶酚乙酸钠,,Na(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>OCH</Font><Sub>2</Sub><Font>COO)</Font>,2023-01-17
334705,sodium carbide; sodium acetylide,碳化钠；乙炔钠,,Na<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2023-01-17
334706,sodium carbolate,石炭酸钠；酚钠,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>ONa</Font>,2023-01-17
334707,sodium caproate,己酸钠,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>COONa</Font>,2023-01-17
334708,sodium caprylate,辛酸钠,,C<Sub>7</Sub><Font>H</Font><Sub>15</Sub><Font>COONa</Font>,2023-01-17
334709,sodium caprate,癸酸钠,,C<Sub>9</Sub><Font>H</Font><Sub>19</Sub><Font>COONa</Font>,2023-01-17
334710,sodium butylate,丁醇钠,,<p>C<sub>4</sub>H<sub>9</sub>ONa</p>,2025-02-27
334711,sodium boron salicylate; sodium borosalicylate,硼柳酸钠,,Na[B(C<Sub>7</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>]</Font>,2023-01-17
334712,sodium bitartrate,酒石酸氢钠,,NaHC<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2023-01-17
339647,sodium bisuccinate,琥珀酸氢钠；丁二酸氢钠,,NaHC<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>4</Sub>,2023-01-17
339648,sodium bismuth thioglycolate,硫羟乙酸铋钠,,Bi(SCH<Sub>2</Sub><Font>COONa)</Font><Sub>3</Sub>,2023-01-17
339649,sodium bismuth tartrate; sodium bismuthyl tartrate,酒石酸铋钠,,Na(BiO)<Sub>3</Sub><Font>(C</Font><Sub>4</Sub><Font>H</Font><Sub>2</Sub><Font>O</Font><Sub>6</Sub><Font>)</Font>,2023-01-17
339650,sodium benzoate,苯甲酸钠；安息酸钠,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COONa</Font>,2023-01-17
339651,sodium benzenesulfonate,苯磺酸钠,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>SO</Font><Sub>3</Sub><Font>Na</Font>,2023-01-17
339652,sodium barbital,巴比妥钠,,NaC<Sub>8</Sub><Font>H</Font><Sub>11</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
339653,sodium arsonoacetate,胂酸乙酸钠,,NaOOCCH<Sub>2</Sub><Font>AsO(OH)ONa</Font>,2023-01-17
339654,sodium ascorbate; vitamin C sodium,抗坏血酸钠；维生素C钠盐,,C<Sub>6</Sub><Font>H</Font><Sub>7</Sub><Font>O</Font><Sub>6</Sub><Font>Na</Font>,2023-01-17
339655,sodium anthranilate,邻胺苄酸钠 {邻-胺苯甲酸钠},,<p>H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>COONa</p>,2025-05-21
339656,sodium antimonyl tartrate,酒石酸锑钠,,Na[Sb(C<Sub>4</Sub><Font>H</Font><Sub>2</Sub><Font>O</Font><Sub>6</Sub><Font>)(H</Font><Sub>2</Sub><Font>O)]</Font>,2023-01-17
339657,sodium anisate,大茴香酸钠 {对-甲氧苯甲酸钠},,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>COONa</p>,2025-05-21
339658,sodium amylsulfate,戊硫酸钠,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>SO</Font><Sub>4</Sub><Font>Na</Font>,2023-01-17
339659,sodium p-aminosalicylate,对-胺柳酸钠,,<p>H<sub>2</sub>N(OH)C<sub>6</sub>H<sub>3</sub>COONa</p>,2025-05-21
339660,sodium p-aminobenzoate,对-胺苯甲酸钠,,<p>H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>COONa</p>,2025-05-21
339661,sodium 4-amino-2-aurothiosalicylate,4-胺-2-金硫柳酸钠,,H<Sub>2</Sub><Font>N(AuS)C</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>COONa</Font>,2023-01-17
339662,sodium aluminum oxalate,草酸铝钠,,Na[Al(C<Sub>2</Sub><Font>O</Font><Sub>4</Sub><Font>)</Font><Sub>2</Sub><Font>]</Font>,2023-01-17
339663,sodium acid tartrate,酒石酸氢钠,,NaHC<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2023-01-17
339664,sodium alizarinsulfonate,茜素磺酸钠；茜素胭脂,,C<Sub>14</Sub><Font>H</Font><Sub>7</Sub><Font>NaO</Font><Sub>7</Sub><Font>S</Font>,2023-01-17
339665,sodium N-acetylsulfanilate,N-乙醯对胺苯磺酸钠,,<p>CH<sub>3</sub>CONHC<sub>6</sub>H<sub>4</sub>SO<sub>3</sub>Na</p>,2025-05-21
339666,sodium acetylstibanilate,乙醯胺苯锑酸钠,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SbO(OH)ONa</Font>,2023-01-17
339667,sodium acetylsalicylate,乙醯柳酸钠,,CH<Sub>3</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COONa</Font>,2023-01-17
339668,sodium acetylide; sodium carbide,乙炔钠；碳化钠,,Na<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2023-01-17
339669,sodium acetylarsanilate,乙醯胺苯胂酸钠,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>AsO(OH)ONa</Font>,2023-01-17
339670,sodium acetarsenate,胂酸乙酸钠,,NaOOCCH<Sub>2</Sub><Font>AsO(OH)ONa</Font>,2023-01-17
339671,sodium acetate,乙酸钠,,CH<Sub>3</Sub><Font>COONa</Font>,2023-01-17
339672,sodium acetamide,乙醯胺钠,,CH<Sub>3</Sub><Font>CONHNa</Font>,2023-01-17
339673,sodium abietate,松脂酸钠,,C<Sub>19</Sub><Font>H</Font><Sub>29</Sub><Font>COONa</Font>,2023-01-17
339674,sobrerone; pinole,"松脑 {6,8-环氧-对-䓝-1-烯}",,<p>C<sub>10</sub>H<sub>16</sub>O</p>,2025-05-21
339675,"sobrerol; p-menth-6-ene-2,8-diol","苏伯楼醇；对-䓝-6-烯-2,8-二醇",,<p>C<sub>10</sub>H<sub>18</sub>O<sub>2</sub></p>,2025-05-21
339676,smilagenin,菝葜配质,,C<Sub>27</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
339677,skatole; 3-methylindole,粪臭素；3-甲基吲哚,,C<Sub>9</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font>,2023-01-17
339678,skimmianine,茵芋碱,,C<Sub>14</Sub><Font>H</Font><Sub>13</Sub><Font>NO</Font><Sub>4</Sub>,2023-01-17
339679,β-sitosterol,β-榖甾醇；β-植甾醇,,C<Sub>29</Sub><Font>H</Font><Sub>50</Sub><Font>O</Font>,2023-01-17
339680,sipeimine,西贝母碱,,C<Sub>27</Sub><Font>H</Font><Sub>43</Sub><Font>NO</Font><Sub>3</Sub>,2023-01-17
339681,sinomenine,青藤碱,,C<Sub>19</Sub><Font>H</Font><Sub>23</Sub><Font>NO</Font><Sub>4</Sub>,2023-01-17
523925,sinapine,芥子碱；芥子酸胆碱酯,,[C<Sub>16</Sub><Font>H</Font><Sub>24</Sub><Font>NO</Font><Sub>5</Sub><Font>]</Font><Sup>+</Sup><Font>[OH</Font><Sup>-</Sup><Font>]</Font>,2023-01-17
523926,sinapic acid,"芥子酸；3,5-二甲氧基-4-羟基桂皮酸",,C<Sub>11</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>5</Sub>,2023-01-17
523927,sinalbin,白芥苷,,C<Sub>30</Sub><Font>H</Font><Sub>42</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>15</Sub><Font>S</Font><Sub>2</Sub>,2023-01-17
523928,silver tartrate,酒石酸银,,Ag<Sub>2</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2023-01-17
523929,silver stearate,硬脂酸银；十八酸银,,AgC<Sub>18</Sub><Font>H</Font><Sub>35</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523930,silver salicylate,柳酸银,,AgC<Sub>7</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523931,silver propionate,丙酸银,,AgC<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
