ID,英文名稱,中文名稱,圖片,更新日期
2713912,A/D convertor,类比数位转换器,,2016-10-24
2713913,absolute age,绝对年龄,,2016-10-24
2713914,absolute chronology,绝对编年,,2016-10-24
2713915,absorption,吸收,,2016-10-24
2713916,acceleration,加速度,,2016-10-24
2713917,acceleration sensor,加速度感应器,,2016-10-24
2713918,accelerometer,加速度仪；加速度计,,2016-10-24
2713919,accuracy,准确度,,2016-10-24
2713920,aclinic line,磁赤道,,2016-10-24
2713921,acoustic bearing,声测方位,,2016-10-24
2713922,acoustic sounding,声测,,2016-10-24
2713923,acoustic velocity logging,声速井测,,2016-10-24
2713924,acoustic wave,声波,,2016-10-24
2713925,acoustics,声学,,2016-10-24
2713926,acquisition range,接收范围,,2016-10-24
2713927,active fault,活动断层,,2016-10-24
2713928,adherence,黏著性；附著性,,2016-10-24
2713929,adhesion,黏著力；附著力,,2016-10-24
2713930,adhesiveness,黏性,,2016-10-24
2713931,adiabat,绝热线,,2016-10-24
2713932,adiabatic,绝热的,,2016-10-24
2713933,aftershock,余震,,2016-10-24
2713934,age,期；时代；年龄,,2016-10-24
2713935,agonic line,零磁偏角线,,2016-10-24
2713936,air wave,空气波,,2016-10-24
2713937,airborne magnetometer,空载磁力仪,,2016-10-24
2713938,alignment,校直；列线,,2016-10-24
2713939,altimeter,测高仪；高度计,,2016-10-24
2713940,altitude,高度；海拔,,2016-10-24
2713941,amplification,放大倍率,,2016-10-24
2713942,amplitude,振幅,,2016-10-24
2713943,analog,类比,,2016-10-24
2713944,analog/digital convertor,类比数位转换器,,2016-10-24
2713945,analogous end,类比端,,2016-10-24
2713946,angle of emergence,出射角,,2016-10-24
2713947,angle of incidence,入射角,,2016-10-24
2713948,angle of inclination,倾[斜]角,,2016-10-24
2713949,angle of polarization,偏极角,,2016-10-24
2713950,angle of reflection,反射角,,2016-10-24
2713951,angle of refraction,折射角,,2016-10-24
2713952,angle of repose,安息角,,2016-10-24
2713953,angle of rotation,旋转角,,2016-10-24
2713954,angular acceleration,角加速度,,2016-10-24
2713955,angular distance,角距,,2016-10-24
2713956,angular frequency,角频率,,2016-10-24
2713957,angular momentum,角动量,,2016-10-24
2713958,angular velocity,角速度,,2016-10-24
2713959,anisotropic body,各向异性的,,2016-10-24
2713960,anisotropy,各向异性；非均向性,,2016-10-24
2713961,antipodal,对极点,,2016-10-24
2713962,apparent dip,视倾斜,,2016-10-24
2713963,apparent thickness,视厚度,,2016-10-24
2713964,apparent velocity,视速度,,2016-10-24
2713965,aquiclude,微[透]水层,,2016-10-24
2713966,aquifer,含水层,,2016-10-24
2713967,aquifuge,不透水层,,2016-10-24
2713968,archaeomagnetism,考古地磁学；地磁定年术,,2016-10-24
2713969,aseismic region,无震的,,2016-10-24
2713970,asthenosphere,软流圈,,2016-10-24
2713971,attenuation,衰减,,2016-10-24
2713972,attenuation coefficient,衰减系数,,2016-10-24
2713973,attenuation constant,衰减常数,,2016-10-24
2713974,auxiliary fault,辅助断层,,2016-10-24
2713975,azimuth,方位角,,2016-10-24
2713976,backward scattering,反向散射,,2016-10-24
2713977,basisseism,深地颤,,2016-10-24
2713978,bathymetric chart,等深线图,,2016-10-24
